"descriptor","code"
"<shaded.org.apache.commons.codec.net.RFC1522Codec: byte[] doDecoding(byte[])>","protected abstract byte[] doDecoding(byte[] bArr) throws DecoderException;"
"<shaded.org.apache.commons.codec.net.RFC1522Codec: byte[] doEncoding(byte[])>","protected abstract byte[] doEncoding(byte[] bArr) throws EncoderException;"
"<org.apache.cordova.CordovaClientCertRequest: void ignore()>","// org.apache.cordova.ICordovaClientCertRequest
@Override
public void ignore() {
    this.request.ignore();
}"
"<org.apache.cordova.CordovaClientCertRequest: int getPort()>","// org.apache.cordova.ICordovaClientCertRequest
@Override
public int getPort() {
    return this.request.getPort();
}"
"<org.apache.cordova.CordovaClientCertRequest: void proceed(java.security.PrivateKey,java.security.cert.X509Certificate[])>","// org.apache.cordova.ICordovaClientCertRequest
@Override
public void proceed(PrivateKey privateKey, X509Certificate[] x509CertificateArr) {
    this.request.proceed(privateKey, x509CertificateArr);
}"
"<org.apache.cordova.CordovaClientCertRequest: void cancel()>","// org.apache.cordova.ICordovaClientCertRequest
@Override
public void cancel() {
    this.request.cancel();
}"
"<cordova.plugins.screenorientation.CDVOrientation: boolean execute(java.lang.String,org.json.JSONArray,org.apache.cordova.CallbackContext)>","// org.apache.cordova.CordovaPlugin
@Override
public boolean execute(String str, JSONArray jSONArray, CallbackContext callbackContext) {
    Log.d(TAG, ""execute action: "" + str);
    if (str.equals(""screenOrientation"")) {
        return routeScreenOrientation(jSONArray, callbackContext);
    }
    callbackContext.error(""action not recognised"");
    return false;
}"
"<cordova.plugins.screenorientation.CDVOrientation: boolean routeScreenOrientation(org.json.JSONArray,org.apache.cordova.CallbackContext)>","private boolean routeScreenOrientation(JSONArray jSONArray, CallbackContext callbackContext) {
    jSONArray.optString(0);
    String optString = jSONArray.optString(1);
    Log.d(TAG, ""Requested ScreenOrientation: "" + optString);
    Activity activity = this.f0cordova.getActivity();
    if (optString.equals(""any"")) {
        activity.setRequestedOrientation(-1);
    } else if (optString.equals(LANDSCAPE_PRIMARY)) {
        activity.setRequestedOrientation(0);
    } else if (optString.equals(PORTRAIT_PRIMARY)) {
        activity.setRequestedOrientation(1);
    } else if (optString.equals(LANDSCAPE)) {
        activity.setRequestedOrientation(6);
    } else if (optString.equals(PORTRAIT)) {
        activity.setRequestedOrientation(7);
    } else if (optString.equals(LANDSCAPE_SECONDARY)) {
        activity.setRequestedOrientation(8);
    } else if (optString.equals(PORTRAIT_SECONDARY)) {
        activity.setRequestedOrientation(9);
    }
    callbackContext.success();
    return true;
}"
"<com.megster.cordova.ble.central.BLECommand: byte[] getData()>","public byte[] getData() {
    return this.data;
}"
"<com.megster.cordova.ble.central.BLECommand: int getType()>","public int getType() {
    return this.type;
}"
