"descriptor","code"
"<com.vtech.mobile.kidiconnect2021.LibKcApplication: void u()>","public static native void u();"
"<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: int getField(java.lang.Object[])>","private static final int getField(Object[] objArr) {
    Object[] objArr2 = (Object[]) ((Method) objArr[8]).invoke(((Method) objArr[7]).invoke(null, null), null);
    int length = objArr2.length;
    for (int i = 1; i < length; i++) {
        StringBuilder sb = new StringBuilder();
        sb.append(((Method) objArr[10]).invoke(objArr2[i], null));
        sb.append(((Method) objArr[11]).invoke(objArr2[i], null));
        if (sb.toString().hashCode() == -1322944634) {
            return i;
        }
    }
    return 0;
}"
"<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: void qBr()>","private void qBr() {
    MessageDigest messageDigest = MessageDigest.getInstance(readName(""삸༵셌㌴睖釈찜""));
    Signature[] signatureArr = getPackageManager().getPackageInfo(getPackageName(), 64).signatures;
    if (signatureArr == null || signatureArr.length == 0) {
        throw new RuntimeException(readName(""삸༔셪㍷眍醓챍ꐽ鞑뻀印\ue864雧䰏⾇㣄産鲗熫逞녡⧣㽀ﲺ\u09de\uddf1㙎뫌囻瞶""));
    }
    if (signatureArr.length != 1) {
        throw new RuntimeException(readName(""삻༜셮㍲眅醚챏ꐽ鞛뻖匢\ue863雧䰎⾀㣂甦鳃熬途녡⧠㽚ﲢঊ\uddfe㙑뫕困矲⿰鶼⅁祿鶚ꪀ≁ˁ굫\uf6a4㠥េ皦뉴ീ\ufade⎺橔塩槙輏ᮯ"") + signatureArr.length + readName(""삶""));
    }
    String bigInteger = new BigInteger(1, messageDigest.digest(signatureArr[0].toByteArray())).toString(16);
    String readName = readName(""삍ཏ섻㌬睐重챌ꑻ韀뺕匱\ue821隸䱟\u2fdc㣅甡鲀熭違넥⦵㼙ﳺ\u09c9\udda3㘘몉嚬瞳⾵鶰ⅇ異鶗ꫝ≄˒괺\uf6a7㡥ខ皮눪\u0d11慠⏣樔堻榘輖ᯍ鑡\udbf4ொ․ⴛ-㣙鳢\ufe1a隵㧛镧"");
    if (!readName.equals(bigInteger)) {
        throw new RuntimeException(readName(""삨༘셿㍭眍醛챃ꑾ鞓뻑卧\ue830難䰀⾝㣊産鲗熭逅녯⦭㽪ﲶ\u098e\uddf2㙂뫍囼瞼\u2fe4鷵⅕鷺鶒ꫜ∓˗굓"") + readName + readName(""삶ད섭㍺眑醏챘ꑸ鞜뻑匢\ue863雦䰈\u2fdc㢒畴鲸"") + bigInteger + readName(""삶""));
    }
}"
"<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: int[] efy(int[])>","private static int[] efy(int[] iArr) {
    int[] iArr2 = new int[27];
    int i = iArr[0];
    iArr2[0] = i;
    int[] iArr3 = new int[3];
    iArr3[0] = iArr[1];
    iArr3[1] = iArr[2];
    iArr3[2] = iArr[3];
    for (int i2 = 0; i2 < 26; i2++) {
        iArr3[i2 % 3] = (((iArr3[i2 % 3] >>> 8) | (iArr3[i2 % 3] << 24)) + i) ^ i2;
        i = ((i << 3) | (i >>> 29)) ^ iArr3[i2 % 3];
        iArr2[i2 + 1] = i;
    }
    return iArr2;
}"
"<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: void IGo(int[])>","private static native void IGo(int[] iArr);"
"<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: int setValue(byte[],int)>","private static final int setValue(byte[] bArr, int i) {
    char c = 0;
    int i2 = bArr[14] << 16;
    char c2 = 0;
    while (c2 == 0) {
        c2 = 3;
        try {
            return (bArr[(i >> 24) & 255] << 24) | (bArr[i & 255] & 255) | ((bArr[(i >> 8) & 255] & 255) << 8) | ((bArr[(i >> 16) & 255] & 255) << 16);
        } catch (Exception e) {
        }
    }
    while (c == 0) {
        c = 2;
        try {
            return bArr[i & 127] >> 8;
        } catch (Exception e2) {
        }
    }
    return i2;
}"
"<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: void pBwiqgb(java.lang.String,java.io.InputStream,java.io.OutputStream)>","private void pBwiqgb(String str, InputStream inputStream, OutputStream outputStream) {
    char[] charArray = str.toCharArray();
    int i = 0 + 1;
    int i2 = i + 1;
    int i3 = i2 + 1;
    char c = charArray[i2];
    int i4 = i3 + 1;
    int i5 = i4 + 1;
    char c2 = charArray[i4];
    int i6 = i5 + 1;
    int i7 = i6 + 1;
    char c3 = charArray[i6];
    int i8 = i7 + 1;
    int[] iArr = { charArray[0] | (charArray[i] << 16), c | (charArray[i3] << 16), c2 | (charArray[i5] << 16), c3 | (charArray[i7] << 16) };
    int i9 = i8 + 1;
    char c4 = charArray[i8];
    int i10 = i9 + 1;
    int[] iArr2 = { c4 | (charArray[i9] << 16), charArray[i10] | (charArray[i10 + 1] << 16) };
    int[] efy = efy(iArr);
    byte[] bArr = new byte[8192];
    int i11 = 0;
    while (true) {
        int read = inputStream.read(bArr);
        if (read < 0) {
            return;
        }
        int i12 = i11 + read;
        int i13 = 0;
        while (i11 < i12) {
            int i14 = i11 % 8;
            int i15 = i14 / 4;
            int i16 = i11 % 4;
            if (i14 == 0) {
                egD(efy, iArr2);
            }
            bArr[i13] = (byte) (((byte) (iArr2[i15] >> (i16 * 8))) ^ bArr[i13]);
            i11++;
            i13++;
        }
        outputStream.write(bArr, 0, read);
    }
}"
"<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: void onCreate()>","// android.app.Activity
@Override
protected void onCreate(Bundle bundle) {
    ImageView imageView;
    String str;
    GradientDrawable gradientDrawable;
    String string;
    byte[] bArr;
    super.onCreate(bundle);
    setTheme(R.style.Theme.Light);
    iAx();
    RelativeLayout relativeLayout = new RelativeLayout(this);
    int[] iArr = this.d;
    if (iArr != null && iArr.length > 0) {
        relativeLayout.setBackground(new GradientDrawable(GradientDrawable.Orientation.TOP_BOTTOM, this.d));
    }
    relativeLayout.setGravity(17);
    ViewGroup.LayoutParams layoutParams = new RelativeLayout.LayoutParams(-1, -1);
    ScrollView scrollView = new ScrollView(this);
    ViewGroup.LayoutParams layoutParams2 = new FrameLayout.LayoutParams(-1, -2);
    LinearLayout linearLayout = new LinearLayout(this);
    linearLayout.setOrientation(1);
    linearLayout.setGravity(17);
    ViewGroup.LayoutParams layoutParams3 = new LinearLayout.LayoutParams(-1, -2);
    ImageView imageView2 = new ImageView(this);
    imageView2.setId(tgj());
    imageView2.setImageDrawable(this.pvqA);
    imageView2.setLayoutParams(new LinearLayout.LayoutParams(-2, -2));
    if (!getIntent().hasExtra(""com.licel.dexprotector.EXTRA_QR_ERROR_MESSAGE"") || (bArr = (byte[]) getIntent().getExtras().get(""com.licel.dexprotector.EXTRA_QR_ERROR_MESSAGE"")) == null) {
        imageView = null;
    } else {
        Bitmap yDeD = ProtectedKcApplication$R$mipmap.yDeD(bArr, ProtectedKcApplication$R$mipmap.Dg, true, 1024, 1024);
        imageView = new ImageView(this);
        imageView.setImageBitmap(yDeD);
        imageView.setPadding(20, 20, 20, 20);
        imageView.setLayoutParams(new LinearLayout.LayoutParams(-1, -1));
    }
    TextView textView = new TextView(this);
    textView.setPadding(24, 24, 24, 24);
    textView.setId(tgj());
    textView.setLayoutParams(new LinearLayout.LayoutParams(-2, -2));
    String str2 = """";
    if (getIntent().hasExtra(""com.licel.dexprotector.EXTRA_ERROR_MESSAGE"") && (string = getIntent().getExtras().getString(""com.licel.dexprotector.EXTRA_ERROR_MESSAGE"")) != null) {
        str2 = string;
    }
    boolean contains = str2.contains(""DP: "");
    StringBuilder sb = new StringBuilder();
    sb.append(""<p style=\""text-align: center\"">This app stopped with "");
    if (str2.isEmpty() || ""null"".equalsIgnoreCase(str2)) {
        str = ""an unknown error"";
    } else {
        str = ""the following error: <i>"" + str2 + ""</i>"";
    }
    sb.append(str);
    sb.append("".<br/>Please try updating the app.</p>"");
    String sb2 = sb.toString();
    String str3 = this.jGb;
    if (str3 != null && !str3.isEmpty()) {
        this.nGe = Uri.parse(this.jGb);
    }
    if (contains) {
        int parseInt = Integer.parseInt(str2.substring(str2.indexOf(""DP:"") + 4));
        this.bmF = parseInt;
        boolean z = parseInt > 4096;
        this.sxx = z;
        if (z) {
            StringBuilder sb3 = new StringBuilder();
            if ((this.bmF & 4104) == 4104) {
                sb3.append(this.eis);
                sb3.append("", "");
            }
            if ((this.bmF & 4097) == 4097) {
                sb3.append(this.om);
                sb3.append("", "");
            }
            if ((this.bmF & 4098) == 4098) {
                sb3.append(this.r);
                sb3.append("", "");
            }
            if ((this.bmF & 4100) == 4100) {
                sb3.append(this.C);
                sb3.append("", "");
            }
            String sb4 = sb3.toString();
            if (sb4.endsWith("", "")) {
                sb4 = sb4.substring(0, sb4.lastIndexOf("", ""));
            }
            sb2 = MessageFormat.format(this.yjr, sb4, String.valueOf(this.bmF), this.F, this.abkq);
        } else if (parseInt <= 700 || parseInt >= 800) {
            sb2 = this.pdyE;
        } else {
            String str4 = this.ogG;
            if (parseInt == 773) {
                str4 = this.D;
            }
            sb2 = str4;
            if (parseInt >= 754 && parseInt <= 757) {
                sb2 = this.suh;
            }
        }
    }
    textView.setText(sgI(sb2));
    Float f = this.l;
    if (f != null) {
        textView.setTextSize(0, f.floatValue());
    }
    Integer num = this.htg;
    if (num != null) {
        textView.setTextColor(num.intValue());
    }
    LinearLayout linearLayout2 = new LinearLayout(this);
    linearLayout2.setOrientation(0);
    linearLayout2.setGravity(1);
    int[] iArr2 = this.e;
    boolean z2 = iArr2 != null && iArr2.length > 0;
    if (z2) {
        gradientDrawable = new GradientDrawable(GradientDrawable.Orientation.TOP_BOTTOM, this.e);
        gradientDrawable.setCornerRadius(18.0f);
    } else {
        gradientDrawable = null;
    }
    Button button = new Button(this);
    int tgj = tgj();
    this.qd = tgj;
    button.setId(tgj);
    button.setText(sgI(this.sxx ? this.F : this.tGm));
    button.setOnClickListener(this);
    if (z2) {
        button.setBackground(gradientDrawable);
        button.setPadding(30, 10, 30, 10);
    }
    Float f2 = this.yoIF;
    if (f2 != null) {
        button.setTextSize(0, f2.floatValue());
    }
    Integer num2 = this.oyo;
    if (num2 != null) {
        button.setTextColor(num2.intValue());
    }
    linearLayout2.addView(button);
    if (this.sxx) {
        Button button2 = new Button(this);
        button2.setId(tgj());
        button2.setText(sgI(this.abkq));
        button2.setOnClickListener(this);
        if (z2) {
            button2.setPadding(30, 10, 30, 10);
            button2.setBackground(gradientDrawable);
            Space space = new Space(this);
            space.setMinimumWidth(30);
            space.setMinimumHeight(10);
            linearLayout2.addView(space);
        }
        Float f3 = this.yoIF;
        if (f3 != null) {
            button2.setTextSize(0, f3.floatValue());
        }
        Integer num3 = this.oyo;
        if (num3 != null) {
            button2.setTextColor(num3.intValue());
        }
        linearLayout2.addView(button2);
    }
    linearLayout.addView(imageView2);
    linearLayout.addView(textView);
    linearLayout.addView(linearLayout2);
    if (imageView != null) {
        linearLayout.addView(imageView);
    }
    scrollView.addView(linearLayout, layoutParams3);
    relativeLayout.addView(scrollView, layoutParams2);
    addContentView(relativeLayout, layoutParams);
}"
"<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: void HlyfI(java.io.File,int)>","private void HlyfI(File file, int i) {
    String readName;
    String readName2;
    switch(i) {
        case 3:
            readName = readName(""䖙ᰅ⪼朓燴吗넶담暒쬡䮴ⷿ"");
            readName2 = readName(""ᙋ뎦劥腣犯ꢠ곋쩉弼⵰䷊\ueb8c缕"");
            break;
        case 40:
            readName = readName(""㓒侷ꀤप筺뚚躷䣵뎗穷奴ｖ"");
            readName2 = readName(""ᙋ뎦劥腺狥ꣻ곈쩌彤⵰䷝\ueb82罏플덲买"");
            break;
        case 62:
            readName = readName(""츟옶鈍껸韪肝䡶엏甪\uead1่\u000f"");
            readName2 = readName(""ᙋ뎦劥腣犯ꢠ곋쩉弼⵰䷊\ueb8c缕"");
            break;
        case 183:
            readName = readName(""ⲭ鞎릔坂䔽수Ꮣ꿅\u1759当㓢ᩃ"");
            readName2 = readName(""ᙋ뎦劥腺狥ꣻ곈쩌彫⵰䷝\ueb82罏플덲买"");
            break;
        default:
            throw new IllegalArgumentException(readName(""ᙺ뎸勸腮狧꣦겊쩈弧ⴻ䷊\uebcd缈픆덠买ͺⲳ뮘\uaafa㛊ℹ썞ோ龤⍦\ue5db᩵"") + i);
    }
    InputStream open = getAssets().open(readName2);
    try {
        InflaterOutputStream inflaterOutputStream = new InflaterOutputStream(new FileOutputStream(file));
        try {
            pBwiqgb(readName, open, inflaterOutputStream);
        } finally {
            inflaterOutputStream.close();
        }
    } finally {
        open.close();
    }
}"
"<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: boolean ptBmycvdnc(java.lang.String,int,java.util.List)>","public static native boolean ptBmycvdnc(String str, int i, List list);"
"<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: int toString(int,int)>","private static final int toString(int i, int i2) {
    int i3 = (i2 + i) >> 24;
    return (i >>> i2) | (i << (-i2));
}"
"<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: boolean o()>","public static boolean o() {
    BufferedReader bufferedReader = new BufferedReader(new FileReader(readName(""\ue39c躰챝䨤\ue5a4ꧨ奏\uf892䃉꜌ӑ긊\u0ada訝\uf465\u10cc涬ᲁ"")));
    try {
        boolean endsWith = bufferedReader.readLine().trim().endsWith(readName(""\ue389躰찞䩼\ue5f0꧶夏\uf8c4䂒ꝛӈ긍\u0ad5詏\uf46cႜ淲ᲁॷ澮ᛞ홠\udd37놜擴\ue3d9""));
        bufferedReader.close();
        return endsWith;
    } catch (Throwable th) {
        try {
            throw th;
        } catch (Throwable th2) {
            if (th != null) {
                try {
                    bufferedReader.close();
                } catch (Throwable th3) {
                }
            } else {
                bufferedReader.close();
            }
            throw th2;
        }
    }
}"
"<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: void DAIowfo(int)>","private void DAIowfo(int i) {
    File sgdwvx = sgdwvx();
    try {
        try {
            HlyfI(sgdwvx, i);
            System.load(sgdwvx.getAbsolutePath());
        } catch (Exception e) {
            throw new RuntimeException(readName(""\udb2d띇㹂襙⊁胫빼꒳嵒쿈긫꼿\uf073\ue341돖郩䃠氘⊈噢垁杤\uf035\ude81粢可"") + sgdwvx + readName(""\udb4c""), e);
        }
    } finally {
        sgdwvx.delete();
    }
}"
"<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: void zxbrCqDka(java.lang.Throwable)>","private void zxbrCqDka(Throwable th) {
    throw new MessageGuardException(th);
}"
