"descriptor","code"
"<io.flutter.plugin.platform.n: boolean k0(int)>","/* JADX INFO: Access modifiers changed from: private */
public static boolean k0(int i) {
    return i == 0 || i == 1;
}"
"<io.flutter.plugin.platform.n: void Z()>","public void Z() {
    I();
}"
"<io.flutter.plugin.platform.n: void F()>","public void F() {
    io.flutter.embedding.engine.j.k kVar = this.f444g;
    if (kVar != null) {
        kVar.e(null);
    }
    E();
    this.f444g = null;
    this.c = null;
    this.f442e = null;
}"
"<io.flutter.plugin.platform.n: int g0(double)>","/* JADX INFO: Access modifiers changed from: private */
public int g0(double d2) {
    double K = K();
    Double.isNaN(K);
    return (int) Math.round(d2 / K);
}"
"<io.flutter.plugin.platform.n: void H()>","public void H() {
    this.f443f = null;
}"
"<io.flutter.plugin.platform.n: void X(int,int,int,int,int,int,int,io.flutter.embedding.engine.mutatorsstack.FlutterMutatorsStack)>","public void X(int i, int i2, int i3, int i4, int i5, int i6, int i7, FlutterMutatorsStack flutterMutatorsStack) {
    N();
    M(i);
    io.flutter.embedding.engine.mutatorsstack.a aVar = this.l.get(i);
    aVar.a(flutterMutatorsStack, i2, i3, i4, i5);
    aVar.setVisibility(0);
    aVar.bringToFront();
    FrameLayout.LayoutParams layoutParams = new FrameLayout.LayoutParams(i6, i7);
    View g2 = this.k.get(i).g();
    if (g2 != null) {
        g2.setLayoutParams(layoutParams);
        g2.bringToFront();
    }
    this.s.add(Integer.valueOf(i));
}"
"<io.flutter.plugin.platform.n: void Y()>","public void Y() {
    boolean z = false;
    if (this.p && this.s.isEmpty()) {
        this.p = false;
        this.f441d.A(new // from class: io.flutter.plugin.platform.d
        Runnable() {

            // java.lang.Runnable
            @Override
            public final void run() {
                n.this.R();
            }
        });
    } else {
        if (this.p && this.f441d.i()) {
            z = true;
        }
        J(z);
    }
}"
"<io.flutter.plugin.platform.n: void W(int,int,int,int,int)>","public void W(int i, int i2, int i3, int i4, int i5) {
    if (this.m.get(i) == null) {
        throw new IllegalStateException(""The overlay surface (id:"" + i + "") doesn't exist"");
    }
    N();
    io.flutter.embedding.android.l lVar = this.m.get(i);
    if (lVar.getParent() == null) {
        this.f441d.addView(lVar);
    }
    FrameLayout.LayoutParams layoutParams = new FrameLayout.LayoutParams(i4, i5);
    layoutParams.leftMargin = i2;
    layoutParams.topMargin = i3;
    lVar.setLayoutParams(layoutParams);
    lVar.setVisibility(0);
    lVar.bringToFront();
    this.r.add(Integer.valueOf(i));
}"
"<io.flutter.plugin.platform.n: void G()>","public void G() {
    for (int i = 0; i < this.n.size(); i++) {
        this.f441d.removeView(this.n.valueAt(i));
    }
    for (int i2 = 0; i2 < this.l.size(); i2++) {
        this.f441d.removeView(this.l.valueAt(i2));
    }
    E();
    e0();
    this.f441d = null;
    this.p = false;
    for (int i3 = 0; i3 < this.k.size(); i3++) {
        this.k.valueAt(i3).f();
    }
}"
"<io.flutter.plugin.platform.n: void b(io.flutter.view.c)>","// io.flutter.embedding.engine.j.k.g
@Override
@TargetApi(19)
public void b(k.d dVar) {
    j(19);
    int i = dVar.a;
    if (!n.k0(dVar.f333g)) {
        throw new IllegalStateException(""Trying to create a view with unknown direction value: "" + dVar.f333g + ""(view id: "" + i + "")"");
    }
    i a = n.this.a.a(dVar.b);
    if (a == null) {
        throw new IllegalStateException(""Trying to create a platform view of unregistered type: "" + dVar.b);
    }
    h a2 = a.a(n.this.c, i, dVar.f334h != null ? a.b().a(dVar.f334h) : null);
    a2.g().setLayoutDirection(dVar.f333g);
    n.this.k.put(i, a2);
    f.a.b.d(""PlatformViewsController"", ""Using hybrid composition for platform view: "" + i);
}"
"<io.flutter.plugin.platform.n: void N()>","private void N() {
    if (!this.q || this.p) {
        return;
    }
    this.f441d.o();
    this.p = true;
}"
"<io.flutter.plugin.platform.n: int i0(double)>","/* JADX INFO: Access modifiers changed from: private */
public int i0(double d2) {
    double K = K();
    Double.isNaN(K);
    return (int) Math.round(d2 * K);
}"
"<io.flutter.plugin.platform.n: void z(io.flutter.embedding.engine.renderer.a)>","public void z(io.flutter.embedding.engine.renderer.a aVar) {
    this.b = new io.flutter.embedding.android.f(aVar, true);
}"
"<io.flutter.plugin.platform.n: void E()>","public void E() {
    for (int i = 0; i < this.m.size(); i++) {
        io.flutter.embedding.android.l valueAt = this.m.valueAt(i);
        valueAt.c();
        valueAt.f();
    }
}"
