"descriptor","code"
"<org.apache.cordova.CallbackContext: boolean isFinished()>","public boolean isFinished() {
    return this.finished;
}"
"<org.apache.cordova.CallbackContext: void sendPluginResult(org.apache.cordova.PluginResult)>","public void sendPluginResult(PluginResult pluginResult) {
    synchronized (this) {
        if (this.finished) {
            LOG.w(LOG_TAG, ""Attempted to send a second callback for ID: "" + this.callbackId + ""\nResult was: "" + pluginResult.getMessage());
            return;
        }
        this.finished = !pluginResult.getKeepCallback();
        this.webView.sendPluginResult(pluginResult, this.callbackId);
    }
}"
"<org.apache.cordova.CallbackContext: boolean isChangingThreads()>","public boolean isChangingThreads() {
    return this.changingThreads > 0;
}"
"<org.apache.cordova.CallbackContext: void success(byte[])>","public void success(JSONObject jSONObject) {
    sendPluginResult(new PluginResult(PluginResult.Status.OK, jSONObject));
}"
"<org.apache.cordova.CallbackContext: void success(org.json.JSONObject)>","public void success(JSONObject jSONObject) {
    sendPluginResult(new PluginResult(PluginResult.Status.OK, jSONObject));
}"
"<org.apache.cordova.CallbackContext: void error(int)>","public void error(JSONObject jSONObject) {
    sendPluginResult(new PluginResult(PluginResult.Status.ERROR, jSONObject));
}"
"<org.apache.cordova.CallbackContext: void success(int)>","public void success(JSONObject jSONObject) {
    sendPluginResult(new PluginResult(PluginResult.Status.OK, jSONObject));
}"
"<org.apache.cordova.CallbackContext: void success()>","public void success(JSONObject jSONObject) {
    sendPluginResult(new PluginResult(PluginResult.Status.OK, jSONObject));
}"
"<org.apache.cordova.CallbackContext: void success(java.lang.String)>","public void success(JSONObject jSONObject) {
    sendPluginResult(new PluginResult(PluginResult.Status.OK, jSONObject));
}"
"<org.apache.cordova.CallbackContext: void error(java.lang.String)>","public void error(JSONObject jSONObject) {
    sendPluginResult(new PluginResult(PluginResult.Status.ERROR, jSONObject));
}"
"<org.apache.cordova.CallbackContext: void error(org.json.JSONObject)>","public void error(JSONObject jSONObject) {
    sendPluginResult(new PluginResult(PluginResult.Status.ERROR, jSONObject));
}"
"<org.apache.cordova.CallbackContext: void success(org.json.JSONArray)>","public void success(JSONObject jSONObject) {
    sendPluginResult(new PluginResult(PluginResult.Status.OK, jSONObject));
}"
"<org.apache.cordova.engine.SystemWebViewEngine: void stopLoading()>","// org.apache.cordova.CordovaWebViewEngine
@Override
public void stopLoading() {
    this.webView.stopLoading();
}"
