"descriptor","code"
"<io.flutter.embedding.android.s: void d(android.view.KeyEvent)>","/* JADX INFO: Access modifiers changed from: private */
public void d(KeyEvent keyEvent) {
    e eVar = this.f325c;
    if (eVar == null || eVar.a(keyEvent)) {
        return;
    }
    this.f324b.add(keyEvent);
    this.f325c.c(keyEvent);
    if (this.f324b.remove(keyEvent)) {
        l.b.g(""KeyboardManager"", ""A redispatched key event was consumed before reaching KeyboardManager"");
    }
}"
"<io.flutter.embedding.android.s: boolean a(android.view.KeyEvent)>","boolean a(KeyEvent keyEvent);"
"<io.flutter.embedding.android.s: void c()>","void c(KeyEvent keyEvent);"
"<z0.a: void c(g0.d,g0.d)>","public static final void c(d<? super q> dVar, d<?> dVar2) {
    d b2;
    try {
        b2 = c.b(dVar);
        k.a aVar = k.f144d;
        h.c(b2, k.a(q.f150a), null, 2, null);
    } catch (Throwable th) {
        b(dVar2, th);
    }
}"
"<z0.a: void b(g0.d,java.lang.Throwable)>","public static final void b(d<?> dVar, Throwable th) {
    k.a aVar = k.f144d;
    dVar.resumeWith(k.a(l.a(th)));
    throw th;
}"
"<z0.a: void e(n0.p,java.lang.Object,g0.d,n0.l,int,java.lang.Object)>","public static /* synthetic */
void e(p pVar, Object obj, d dVar, n0.l lVar, int i2, Object obj2) {
    if ((i2 & 4) != 0) {
        lVar = null;
    }
    d(pVar, obj, dVar, lVar);
}"
"<z0.a: void d(n0.p,java.lang.Object,g0.d,n0.l)>","public static final <R, T> void d(p<? super R, ? super d<? super T>, ? extends Object> pVar, R r2, d<? super T> dVar, n0.l<? super Throwable, q> lVar) {
    d a2;
    d b2;
    try {
        a2 = c.a(pVar, r2, dVar);
        b2 = c.b(a2);
        k.a aVar = k.f144d;
        h.b(b2, k.a(q.f150a), lVar);
    } catch (Throwable th) {
        b(dVar, th);
    }
}"
"<io.flutter.view.c: boolean x(android.view.View,android.view.View,android.view.accessibility.AccessibilityEvent)>","@SuppressLint({ ""SwitchIntDef"" })
public boolean x(View view, View view2, AccessibilityEvent accessibilityEvent) {
    Integer recordFlutterId;
    if (!this.f812d.requestSendAccessibilityEvent(view, view2, accessibilityEvent) || (recordFlutterId = this.f812d.getRecordFlutterId(view, accessibilityEvent)) == null) {
        return false;
    }
    int eventType = accessibilityEvent.getEventType();
    if (eventType == 8) {
        this.f819k = recordFlutterId;
        this.f821m = null;
        return true;
    }
    if (eventType == 128) {
        this.f823o = null;
        return true;
    }
    if (eventType == 32768) {
        this.f818j = recordFlutterId;
        this.f817i = null;
        return true;
    }
    if (eventType != 65536) {
        return true;
    }
    this.f819k = null;
    this.f818j = null;
    return true;
}"
"<io.flutter.view.c: android.view.accessibility.AccessibilityNodeInfo createAccessibilityNodeInfo(int)>","/* JADX WARN: Removed duplicated region for block: B:180:0x0431  */
/* JADX WARN: Removed duplicated region for block: B:193:0x0462 A[LOOP:0: B:191:0x045c->B:193:0x0462, LOOP_END] */
/* JADX WARN: Removed duplicated region for block: B:198:0x0487  */
// android.view.accessibility.AccessibilityNodeProvider
@Override
@android.annotation.SuppressLint({ ""NewApi"" })
public /*
        Code decompiled incorrectly, please refer to instructions dump.
        To view partially-correct add '--show-bad-code' argument
    */
android.view.accessibility.AccessibilityNodeInfo createAccessibilityNodeInfo(int r17) {
    /*
            Method dump skipped, instructions count: 1217
            To view this dump add '--comments-level debug' option
        */
    throw new UnsupportedOperationException(""Method not decompiled: io.flutter.view.c.createAccessibilityNodeInfo(int):android.view.accessibility.AccessibilityNodeInfo"");
}"
"<io.flutter.view.c: void b0(java.nio.ByteBuffer,java.lang.String[],java.nio.ByteBuffer[])>","void b0(ByteBuffer byteBuffer, String[] strArr, ByteBuffer[] byteBufferArr) {
    l lVar;
    l lVar2;
    float f2;
    float f3;
    WindowInsets rootWindowInsets;
    View c2;
    ArrayList arrayList = new ArrayList();
    while (byteBuffer.hasRemaining()) {
        l A2 = A(byteBuffer.getInt());
        A2.D0(byteBuffer, strArr, byteBufferArr);
        if (!A2.v0(i.IS_HIDDEN)) {
            if (A2.v0(i.IS_FOCUSED)) {
                this.f821m = A2;
            }
            if (A2.B) {
                arrayList.add(A2);
            }
            if (A2.f910i != -1 && !this.f813e.d(A2.f910i) && (c2 = this.f813e.c(A2.f910i)) != null) {
                c2.setImportantForAccessibility(0);
            }
        }
    }
    HashSet hashSet = new HashSet();
    l B2 = B();
    ArrayList<l> arrayList2 = new ArrayList();
    if (B2 != null) {
        float[] fArr = new float[16];
        Matrix.setIdentityM(fArr, 0);
        int i2 = Build.VERSION.SDK_INT;
        if (i2 >= 23) {
            if ((i2 >= 28 ? w() : true) && (rootWindowInsets = this.f809a.getRootWindowInsets()) != null) {
                if (!this.f826r.equals(Integer.valueOf(rootWindowInsets.getSystemWindowInsetLeft()))) {
                    B2.Y = true;
                    B2.W = true;
                }
                this.f826r = Integer.valueOf(rootWindowInsets.getSystemWindowInsetLeft());
                Matrix.translateM(fArr, 0, r4.intValue(), 0.0f, 0.0f);
            }
        }
        B2.C0(fArr, hashSet, false);
        B2.e0(arrayList2);
    }
    l lVar3 = null;
    for (l lVar4 : arrayList2) {
        if (!this.f824p.contains(Integer.valueOf(lVar4.f903b))) {
            lVar3 = lVar4;
        }
    }
    if (lVar3 == null && arrayList2.size() > 0) {
        lVar3 = (l) arrayList2.get(arrayList2.size() - 1);
    }
    if (lVar3 != null && (lVar3.f903b != this.f825q || arrayList2.size() != this.f824p.size())) {
        this.f825q = lVar3.f903b;
        M(lVar3);
    }
    this.f824p.clear();
    Iterator it = arrayList2.iterator();
    while (it.hasNext()) {
        this.f824p.add(Integer.valueOf(((l) it.next()).f903b));
    }
    Iterator<Map.Entry<Integer, l>> it2 = this.f815g.entrySet().iterator();
    while (it2.hasNext()) {
        l value = it2.next().getValue();
        if (!hashSet.contains(value)) {
            c0(value);
            it2.remove();
        }
    }
    U(0);
    Iterator it3 = arrayList.iterator();
    while (it3.hasNext()) {
        l lVar5 = (l) it3.next();
        if (lVar5.h0()) {
            AccessibilityEvent H = H(lVar5.f903b, 4096);
            float f4 = lVar5.f913l;
            float f5 = lVar5.f914m;
            if (Float.isInfinite(lVar5.f914m)) {
                if (f4 > 70000.0f) {
                    f4 = 70000.0f;
                }
                f5 = 100000.0f;
            }
            if (Float.isInfinite(lVar5.f915n)) {
                f2 = f5 + 100000.0f;
                if (f4 < -70000.0f) {
                    f4 = -70000.0f;
                }
                f3 = f4 + 100000.0f;
            } else {
                f2 = f5 - lVar5.f915n;
                f3 = f4 - lVar5.f915n;
            }
            if (lVar5.s0(g.SCROLL_UP) || lVar5.s0(g.SCROLL_DOWN)) {
                H.setScrollY((int) f3);
                H.setMaxScrollY((int) f2);
            } else if (lVar5.s0(g.SCROLL_LEFT) || lVar5.s0(g.SCROLL_RIGHT)) {
                H.setScrollX((int) f3);
                H.setMaxScrollX((int) f2);
            }
            if (lVar5.f911j > 0) {
                H.setItemCount(lVar5.f911j);
                H.setFromIndex(lVar5.f912k);
                Iterator it4 = lVar5.S.iterator();
                int i3 = 0;
                while (it4.hasNext()) {
                    if (!((l) it4.next()).v0(i.IS_HIDDEN)) {
                        i3++;
                    }
                }
                H.setToIndex((lVar5.f912k + i3) - 1);
            }
            S(H);
        }
        if (lVar5.v0(i.IS_LIVE_REGION) && lVar5.g0()) {
            U(lVar5.f903b);
        }
        l lVar6 = this.f817i;
        if (lVar6 != null && lVar6.f903b == lVar5.f903b) {
            i iVar = i.IS_SELECTED;
            if (!lVar5.t0(iVar) && lVar5.v0(iVar)) {
                AccessibilityEvent H2 = H(lVar5.f903b, 4);
                H2.getText().add(lVar5.f916o);
                S(H2);
            }
        }
        l lVar7 = this.f821m;
        if (lVar7 != null && lVar7.f903b == lVar5.f903b && ((lVar2 = this.f822n) == null || lVar2.f903b != this.f821m.f903b)) {
            this.f822n = this.f821m;
            S(H(lVar5.f903b, 8));
        } else if (this.f821m == null) {
            this.f822n = null;
        }
        l lVar8 = this.f821m;
        if (lVar8 != null && lVar8.f903b == lVar5.f903b) {
            i iVar2 = i.IS_TEXT_FIELD;
            if (lVar5.t0(iVar2) && lVar5.v0(iVar2) && ((lVar = this.f817i) == null || lVar.f903b == this.f821m.f903b)) {
                String str = lVar5.J != null ? lVar5.J : """";
                String str2 = lVar5.f918q != null ? lVar5.f918q : """";
                AccessibilityEvent v2 = v(lVar5.f903b, str, str2);
                if (v2 != null) {
                    S(v2);
                }
                if (lVar5.E != lVar5.f908g || lVar5.F != lVar5.f909h) {
                    AccessibilityEvent H3 = H(lVar5.f903b, 8192);
                    H3.getText().add(str2);
                    H3.setFromIndex(lVar5.f908g);
                    H3.setToIndex(lVar5.f909h);
                    H3.setItemCount(str2.length());
                    S(H3);
                }
            }
        }
    }
}"
