"descriptor","code"
"<com.unity3d.player.ReflectionHelper: void a(com.unity3d.player.ReflectionHelper$a,java.lang.reflect.Member)>","void a(long j, boolean z);"
"<com.unity3d.player.ReflectionHelper: void nativeProxyLogJNIInvokeException(long)>","/* JADX INFO: Access modifiers changed from: private */
public static native void nativeProxyLogJNIInvokeException(long j);"
"<com.unity3d.player.ReflectionHelper: float a(java.lang.Class,java.lang.Class)>","private static float a(Class cls, Class cls2) {
    if (cls.equals(cls2)) {
        return 1.0f;
    }
    if (cls.isPrimitive() || cls2.isPrimitive()) {
        return 0.0f;
    }
    try {
        if (cls.asSubclass(cls2) != null) {
            return 0.5f;
        }
    } catch (ClassCastException unused) {
    }
    try {
        return cls2.asSubclass(cls) != null ? 0.1f : 0.0f;
    } catch (ClassCastException unused2) {
        return 0.0f;
    }
}"
"<com.unity3d.player.ReflectionHelper: void endUnityLaunch()>","protected static void endUnityLaunch() {
    b++;
}"
"<com.unity3d.player.ReflectionHelper: boolean a(com.unity3d.player.ReflectionHelper$a)>","private static synchronized boolean a(a aVar) {
    synchronized (ReflectionHelper.class) {
        a aVar2 = a[aVar.hashCode() & (a.length - 1)];
        if (!aVar.equals(aVar2)) {
            return false;
        }
        aVar.a = aVar2.a;
        return true;
    }
}"
"<com.unity3d.player.ReflectionHelper: void nativeProxyFinalize(long)>","/* JADX INFO: Access modifiers changed from: private */
public static native void nativeProxyFinalize(long j);"
"<com.unity3d.player.ReflectionHelper: float a(java.lang.Class,java.lang.Class[],java.lang.Class[])>","private static float a(Class cls, Class cls2) {
    if (cls.equals(cls2)) {
        return 1.0f;
    }
    if (cls.isPrimitive() || cls2.isPrimitive()) {
        return 0.0f;
    }
    try {
        if (cls.asSubclass(cls2) != null) {
            return 0.5f;
        }
    } catch (ClassCastException unused) {
    }
    try {
        return cls2.asSubclass(cls) != null ? 0.1f : 0.0f;
    } catch (ClassCastException unused2) {
        return 0.0f;
    }
}"
"<com.unity3d.player.ReflectionHelper: void a(long)>","void a(long j, boolean z);"
"<com.unity3d.player.ReflectionHelper: void setNativeExceptionOnProxy(java.lang.Object,long,boolean)>","protected static void setNativeExceptionOnProxy(Object obj, long j, boolean z) {
    ((b) Proxy.getInvocationHandler(obj)).a(j, z);
}"
"<com.unity3d.player.f: void Log(int,java.lang.String)>","/* JADX INFO: Access modifiers changed from: protected */
public static void Log(int i, String str) {
    if (a) {
        return;
    }
    if (i == 6) {
        Log.e(""Unity"", str);
    }
    if (i == 5) {
        Log.w(""Unity"", str);
    }
}"
"<com.google.androidgamesdk.SwappyDisplayManager: void setPreferredDisplayModeId(int)>","public void setPreferredDisplayModeId(final int i) {
    this.mActivity.runOnUiThread(new // from class: com.google.androidgamesdk.SwappyDisplayManager.1
    Runnable() {

        // java.lang.Runnable
        @Override
        public final void run() {
            Window window = SwappyDisplayManager.this.mActivity.getWindow();
            WindowManager.LayoutParams attributes = window.getAttributes();
            attributes.preferredDisplayModeId = i;
            window.setAttributes(attributes);
        }
    });
}"
"<com.google.androidgamesdk.SwappyDisplayManager: void terminate()>","public void terminate() {
    this.mLooper.a.getLooper().quit();
}"
"<com.google.androidgamesdk.SwappyDisplayManager: void nOnRefreshPeriodChanged(long,long,long,long)>","private native void nOnRefreshPeriodChanged(long j, long j2, long j3, long j4);"
