method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<ce.h: void p()>,0,"<androidx.core.content.a: int a(android.content.Context,java.lang.String)>",1.0,1.0,3.0,9.0,10.0,8.0,15.0,1.0,1.0,-1.0,15.0,53966.0,562453.0,10.422358522032392,287.246253464734,3.0,9.0,10.0,8.0,15.0,1.0,1.0,-1.0,15.0,53966.0,562453.0,10.422358522032392,287.246253464734,1
<h.b: void a(java.lang.Runnable)>,0,<b3.a$b: void run()>,1.0,1.0,6.0,1.0,2.0,100.0,427.0,1.0,1.0,-1.0,427.0,53966.0,562453.0,10.422358522032392,287.246253464734,6.0,1.0,2.0,100.0,427.0,1.0,1.0,-1.0,427.0,53966.0,562453.0,10.422358522032392,287.246253464734,0
"<g9.a$g: void b(g9.v$d$c,r9.d)>",0,<g9.i: java.lang.String f()>,1.0,1.0,15.0,1.0,0.0,2.0,14.0,1.0,1.0,-1.0,14.0,53966.0,562453.0,10.422358522032392,287.246253464734,15.0,1.0,0.0,2.0,14.0,1.0,1.0,-1.0,14.0,53966.0,562453.0,10.422358522032392,287.246253464734,0
<com.google.android.gms.internal.measurement.t2: void u(n7.l)>,0,<com.google.android.gms.internal.measurement.d1: void registerOnMeasurementEventListener(com.google.android.gms.internal.measurement.l1)>,1.0,1.0,16.0,1.0,4.0,2.0,78.0,1.0,1.0,-1.0,78.0,53966.0,562453.0,10.422358522032392,287.246253464734,16.0,1.0,4.0,2.0,78.0,1.0,1.0,-1.0,78.0,53966.0,562453.0,10.422358522032392,287.246253464734,0
"<com.google.common.collect.s: com.google.common.collect.s y(java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object,java.lang.Object[])>",0,"<v8.m: void e(boolean,java.lang.Object)>",1.0,1.0,9.0,1.0,3.0,2.0,5.0,1.0,1.0,-1.0,5.0,53966.0,562453.0,10.422358522032392,287.246253464734,9.0,1.0,3.0,2.0,5.0,1.0,1.0,-1.0,5.0,53966.0,562453.0,10.422358522032392,287.246253464734,1
"<androidx.appcompat.widget.a0: android.graphics.drawable.Drawable j(android.content.Context,int,boolean)>",0,<androidx.core.content.a: void <clinit>()>,1.0,1.0,7.0,2.0,1.0,32.0,8.0,1.0,1.0,-1.0,8.0,53966.0,562453.0,10.422358522032392,287.246253464734,7.0,2.0,1.0,32.0,8.0,1.0,1.0,-1.0,8.0,53966.0,562453.0,10.422358522032392,287.246253464734,0
<s4.o: java.lang.Object a()>,0,<s4.p: java.lang.Object a(s4.p)>,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,53966.0,562453.0,10.422358522032392,287.246253464734,9.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,53966.0,562453.0,10.422358522032392,287.246253464734,1
"<cg.a: void d(of.p,java.lang.Object,gf.d,of.l)>",0,"<hf.b: gf.d b(of.p,java.lang.Object,gf.d)>",1.0,1.0,8.0,1.0,1.0,5.0,8.0,1.0,1.0,-1.0,8.0,53966.0,562453.0,10.422358522032392,287.246253464734,8.0,1.0,1.0,5.0,8.0,1.0,1.0,-1.0,8.0,53966.0,562453.0,10.422358522032392,287.246253464734,1
<z1.a: java.lang.String e(android.content.Context)>,0,<i.b$e: boolean hasNext()>,1.0,1.0,4.0,1.0,0.0,867.0,114.0,1.0,1.0,-1.0,114.0,53966.0,562453.0,10.422358522032392,287.246253464734,4.0,1.0,0.0,867.0,114.0,1.0,1.0,-1.0,114.0,53966.0,562453.0,10.422358522032392,287.246253464734,0
<mc.a: zg.a c(com.google.gson.f)>,0,<zg.a: zg.a g(com.google.gson.f)>,1.0,1.0,8.0,1.0,2.0,2.0,3.0,1.0,1.0,-1.0,3.0,53966.0,562453.0,10.422358522032392,287.246253464734,8.0,1.0,2.0,2.0,3.0,1.0,1.0,-1.0,3.0,53966.0,562453.0,10.422358522032392,287.246253464734,1
<androidx.emoji2.text.e: boolean j()>,0,<androidx.emoji2.text.e: int d()>,1.0,1.0,7.0,2.0,9.0,5.0,1.0,1.0,1.0,-1.0,1.0,53966.0,562453.0,10.422358522032392,287.246253464734,7.0,2.0,9.0,5.0,1.0,1.0,1.0,-1.0,1.0,53966.0,562453.0,10.422358522032392,287.246253464734,1
<androidx.emoji2.text.e: androidx.emoji2.text.e b()>,0,"<androidx.core.util.h: void h(boolean,java.lang.String)>",1.0,1.0,6.0,6.0,1.0,3.0,2.0,1.0,1.0,-1.0,2.0,53966.0,562453.0,10.422358522032392,287.246253464734,6.0,6.0,1.0,3.0,2.0,1.0,1.0,-1.0,2.0,53966.0,562453.0,10.422358522032392,287.246253464734,1
<t4.i0: t4.h0 b()>,0,<fb.a$e$a: java.lang.Object get()>,1.0,1.0,7.0,1.0,54.0,80.0,24.0,1.0,1.0,-1.0,24.0,53966.0,562453.0,10.422358522032392,287.246253464734,7.0,1.0,54.0,80.0,24.0,1.0,1.0,-1.0,24.0,53966.0,562453.0,10.422358522032392,287.246253464734,0
<androidx.room.r0: void u(androidx.room.o)>,0,<l.f$a: boolean hasNext()>,1.0,1.0,10.0,1.0,0.0,868.0,290.0,1.0,1.0,-1.0,290.0,53966.0,562453.0,10.422358522032392,287.246253464734,10.0,1.0,0.0,868.0,290.0,1.0,1.0,-1.0,290.0,53966.0,562453.0,10.422358522032392,287.246253464734,0
<com.google.firebase.crashlytics.internal.common.g: java.lang.String z(android.content.Context)>,0,<androidx.appcompat.view.d: android.content.res.Resources getResources()>,1.0,1.0,15.0,1.0,1.0,130.0,16.0,1.0,1.0,-1.0,16.0,53966.0,562453.0,10.422358522032392,287.246253464734,15.0,1.0,1.0,130.0,16.0,1.0,1.0,-1.0,16.0,53966.0,562453.0,10.422358522032392,287.246253464734,0
<x.c: void b()>,0,<x.c$b: void b()>,1.0,1.0,5.0,1.0,10.0,1.0,2.0,1.0,1.0,-1.0,2.0,53966.0,562453.0,10.422358522032392,287.246253464734,5.0,1.0,10.0,1.0,2.0,1.0,1.0,-1.0,2.0,53966.0,562453.0,10.422358522032392,287.246253464734,0
<com.google.firebase.crashlytics.internal.common.h$c: java.lang.Object a(q7.g)>,0,<com.google.firebase.crashlytics.internal.common.l$d: java.lang.Object call()>,1.0,1.0,6.0,2.0,1.0,10.0,57.0,1.0,1.0,-1.0,57.0,53966.0,562453.0,10.422358522032392,287.246253464734,6.0,2.0,1.0,10.0,57.0,1.0,1.0,-1.0,57.0,53966.0,562453.0,10.422358522032392,287.246253464734,0
<com.google.android.gms.internal.measurement.t1: void a()>,0,<com.google.android.gms.dynamite.DynamiteModule: void <clinit>()>,1.0,1.0,6.0,1.0,10.0,14.0,17.0,1.0,1.0,-1.0,17.0,53966.0,562453.0,10.422358522032392,287.246253464734,6.0,1.0,10.0,14.0,17.0,1.0,1.0,-1.0,17.0,53966.0,562453.0,10.422358522032392,287.246253464734,0
<com.google.android.gms.common.r: void <clinit>()>,0,<com.google.android.gms.common.n: byte[] n(java.lang.String)>,1.0,1.0,7.0,12.0,2.0,5.0,7.0,1.0,1.0,-1.0,7.0,53966.0,562453.0,10.422358522032392,287.246253464734,7.0,12.0,2.0,5.0,7.0,1.0,1.0,-1.0,7.0,53966.0,562453.0,10.422358522032392,287.246253464734,1
<ha.n$q: void <init>()>,0,<com.google.gson.s: void <init>()>,1.0,1.0,6.0,1.0,1.0,51.0,1.0,1.0,1.0,-1.0,1.0,53966.0,562453.0,10.422358522032392,287.246253464734,6.0,1.0,1.0,51.0,1.0,1.0,1.0,-1.0,1.0,53966.0,562453.0,10.422358522032392,287.246253464734,1
<fb.a$k: gc.c p()>,0,<o4.a: java.lang.Object get()>,1.0,1.0,6.0,4.0,24.0,80.0,23.0,1.0,1.0,-1.0,23.0,53966.0,562453.0,10.422358522032392,287.246253464734,6.0,4.0,24.0,80.0,23.0,1.0,1.0,-1.0,23.0,53966.0,562453.0,10.422358522032392,287.246253464734,0
"<androidx.appcompat.widget.g$a: boolean a(android.content.Context,int,android.graphics.drawable.Drawable)>",0,<androidx.appcompat.widget.g: void <clinit>()>,1.0,1.0,6.0,1.0,1.0,18.0,85.0,1.0,1.0,-1.0,85.0,53966.0,562453.0,10.422358522032392,287.246253464734,6.0,1.0,1.0,18.0,85.0,1.0,1.0,-1.0,85.0,53966.0,562453.0,10.422358522032392,287.246253464734,0
<l.f: java.lang.Object[] q(int)>,0,"<l.b$a: java.lang.Object b(int,int)>",1.0,1.0,6.0,2.0,0.0,12.0,4.0,1.0,1.0,-1.0,4.0,53966.0,562453.0,10.422358522032392,287.246253464734,6.0,2.0,0.0,12.0,4.0,1.0,1.0,-1.0,4.0,53966.0,562453.0,10.422358522032392,287.246253464734,0
"<g9.a$h: void b(g9.v$d,r9.d)>",0,"<t9.e: r9.d c(r9.b,long)>",1.0,1.0,15.0,1.0,2.0,9.0,16.0,1.0,1.0,-1.0,16.0,53966.0,562453.0,10.422358522032392,287.246253464734,15.0,1.0,2.0,9.0,16.0,1.0,1.0,-1.0,16.0,53966.0,562453.0,10.422358522032392,287.246253464734,0
<androidx.emoji2.text.EmojiCompatInitializer$c: void run()>,0,<androidx.emoji2.text.e: void k()>,1.0,1.0,5.0,100.0,13.0,1.0,7.0,1.0,1.0,-1.0,7.0,53966.0,562453.0,10.422358522032392,287.246253464734,5.0,100.0,13.0,1.0,7.0,1.0,1.0,-1.0,7.0,53966.0,562453.0,10.422358522032392,287.246253464734,1
<kotlinx.coroutines.internal.f: gf.g c()>,0,<yf.a: gf.g c()>,1.0,1.0,5.0,23.0,0.0,24.0,12.0,1.0,1.0,-1.0,12.0,53966.0,562453.0,10.422358522032392,287.246253464734,5.0,23.0,0.0,24.0,12.0,1.0,1.0,-1.0,12.0,53966.0,562453.0,10.422358522032392,287.246253464734,0
<com.google.android.gms.internal.measurement.h2: void a()>,0,<com.google.android.gms.internal.measurement.t2: com.google.android.gms.internal.measurement.f1 k(com.google.android.gms.internal.measurement.t2)>,1.0,1.0,6.0,1.0,0.0,25.0,5.0,1.0,1.0,-1.0,5.0,53966.0,562453.0,10.422358522032392,287.246253464734,6.0,1.0,0.0,25.0,5.0,1.0,1.0,-1.0,5.0,53966.0,562453.0,10.422358522032392,287.246253464734,1
<pf.z: void <clinit>()>,0,<pf.a0: void <init>()>,1.0,1.0,3.0,35.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,53966.0,562453.0,10.422358522032392,287.246253464734,3.0,35.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,53966.0,562453.0,10.422358522032392,287.246253464734,1
<wa.b: wa.b a()>,0,<wa.b$b: wa.b t()>,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,53966.0,562453.0,10.422358522032392,287.246253464734,2.0,2.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,53966.0,562453.0,10.422358522032392,287.246253464734,1
<g9.v$d: g9.v$d$b a()>,0,<g9.f$b: void <init>()>,1.0,1.0,13.0,2.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,53966.0,562453.0,10.422358522032392,287.246253464734,13.0,2.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,53966.0,562453.0,10.422358522032392,287.246253464734,1
<com.google.firebase.crashlytics.internal.common.j: void T(java.lang.String)>,0,<com.google.firebase.crashlytics.internal.common.g: boolean x(android.content.Context)>,1.0,1.0,10.0,1.0,5.0,5.0,16.0,1.0,1.0,-1.0,16.0,53966.0,562453.0,10.422358522032392,287.246253464734,10.0,1.0,5.0,5.0,16.0,1.0,1.0,-1.0,16.0,53966.0,562453.0,10.422358522032392,287.246253464734,1
<n4.l: n4.k b()>,0,<fb.a$k$a: java.lang.Object get()>,1.0,1.0,7.0,1.0,66.0,80.0,23.0,1.0,1.0,-1.0,23.0,53966.0,562453.0,10.422358522032392,287.246253464734,7.0,1.0,66.0,80.0,23.0,1.0,1.0,-1.0,23.0,53966.0,562453.0,10.422358522032392,287.246253464734,0
"<androidx.appcompat.widget.q: void m(android.util.AttributeSet,int)>",0,"<androidx.appcompat.widget.r: void o(android.util.AttributeSet,int)>",1.0,1.0,10.0,1.0,27.0,1.0,51.0,1.0,1.0,-1.0,51.0,53966.0,562453.0,10.422358522032392,287.246253464734,10.0,1.0,27.0,1.0,51.0,1.0,1.0,-1.0,51.0,53966.0,562453.0,10.422358522032392,287.246253464734,1
<com.photogauge.masterapp.MyApplication: void onCreate()>,0,<qc.d: java.lang.String d(android.content.Context)>,1.0,1.0,1.0,1.0,15.0,3.0,62.0,1.0,1.0,-1.0,62.0,53966.0,562453.0,10.422358522032392,287.246253464734,1.0,1.0,15.0,3.0,62.0,1.0,1.0,-1.0,62.0,53966.0,562453.0,10.422358522032392,287.246253464734,1
"<androidx.activity.result.ActivityResultRegistry$1: void g(androidx.lifecycle.t,androidx.lifecycle.n$b)>",0,<l.g: java.lang.Object remove(java.lang.Object)>,1.0,1.0,6.0,3.0,3.0,67.0,107.0,1.0,1.0,-1.0,107.0,53966.0,562453.0,10.422358522032392,287.246253464734,6.0,3.0,3.0,67.0,107.0,1.0,1.0,-1.0,107.0,53966.0,562453.0,10.422358522032392,287.246253464734,0
