method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<androidx.savedstate.SavedStateRegistry: void performSave(android.os.Bundle)>,0,<androidx.collection.MapCollections$ArrayIterator: boolean hasNext()>,1.0,1.0,4.0,1.0,0.0,324.0,139.0,1.0,1.0,-1.0,139.0,22238.0,193464.0,8.699703210720388,148.02522433114171,4.0,1.0,0.0,324.0,139.0,1.0,1.0,-1.0,139.0,22238.0,193464.0,8.699703210720388,148.02522433114171,0
<androidx.appcompat.app.AppCompatDelegateImpl$PanelFeatureState: androidx.appcompat.view.menu.MenuView getListMenuView(androidx.appcompat.view.menu.MenuPresenter$Callback)>,0,<androidx.appcompat.view.menu.MenuBuilder: void addMenuPresenter(androidx.appcompat.view.menu.MenuPresenter)>,1.0,1.0,13.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,22238.0,193464.0,8.699703210720388,148.02522433114171,13.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,22238.0,193464.0,8.699703210720388,148.02522433114171,1
<androidx.appcompat.view.ContextThemeWrapper: android.content.res.Resources$Theme getTheme()>,0,<androidx.appcompat.view.ContextThemeWrapper: void initializeTheme()>,1.0,1.0,7.0,26.0,9.0,2.0,1.0,1.0,1.0,-1.0,1.0,22238.0,193464.0,8.699703210720388,148.02522433114171,7.0,26.0,9.0,2.0,1.0,1.0,1.0,-1.0,1.0,22238.0,193464.0,8.699703210720388,148.02522433114171,1
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable createDrawableIfNeeded(android.content.Context,int)>",0,"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getCachedDrawable(android.content.Context,long)>",1.0,1.0,12.0,1.0,17.0,2.0,20.0,1.0,1.0,-1.0,20.0,22238.0,193464.0,8.699703210720388,148.02522433114171,12.0,1.0,17.0,2.0,20.0,1.0,1.0,-1.0,20.0,22238.0,193464.0,8.699703210720388,148.02522433114171,1
<androidx.emoji2.text.EmojiCompatInitializer$BackgroundDefaultConfig: void <init>(android.content.Context)>,0,<androidx.emoji2.text.EmojiCompatInitializer$BackgroundDefaultLoader: void <init>(android.content.Context)>,1.0,1.0,6.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,22238.0,193464.0,8.699703210720388,148.02522433114171,6.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,22238.0,193464.0,8.699703210720388,148.02522433114171,1
"<androidx.fragment.app.FragmentManager: void attachController(androidx.fragment.app.FragmentHostCallback,androidx.fragment.app.FragmentContainer,androidx.fragment.app.Fragment)>",0,<androidx.activity.result.contract.ActivityResultContracts$RequestMultiplePermissions: void <init>()>,1.0,1.0,8.0,2.0,1.0,1.0,33.0,1.0,1.0,-1.0,33.0,22238.0,193464.0,8.699703210720388,148.02522433114171,8.0,2.0,1.0,1.0,33.0,1.0,1.0,-1.0,33.0,22238.0,193464.0,8.699703210720388,148.02522433114171,1
<androidx.lifecycle.SavedStateHandlesProvider: void performRestore()>,0,<androidx.savedstate.SavedStateRegistry: android.os.Bundle consumeRestoredStateForKey(java.lang.String)>,1.0,1.0,9.0,2.0,6.0,6.0,2.0,1.0,1.0,-1.0,2.0,22238.0,193464.0,8.699703210720388,148.02522433114171,9.0,2.0,6.0,6.0,2.0,1.0,1.0,-1.0,2.0,22238.0,193464.0,8.699703210720388,148.02522433114171,1
<androidx.appcompat.view.menu.MenuBuilder: void onItemsChanged(boolean)>,0,<androidx.appcompat.view.menu.MenuBuilder: void dispatchPresenterUpdate(boolean)>,1.0,1.0,10.0,12.0,131.0,1.0,1.0,1.0,1.0,-1.0,1.0,22238.0,193464.0,8.699703210720388,148.02522433114171,10.0,12.0,131.0,1.0,1.0,1.0,1.0,-1.0,1.0,22238.0,193464.0,8.699703210720388,148.02522433114171,1
<kotlin.collections.CollectionsKt__CollectionsKt: java.util.List listOf(java.lang.Object[])>,0,"<kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>",1.0,1.0,10.0,2.0,1.0,387.0,3.0,1.0,1.0,-1.0,3.0,22238.0,193464.0,8.699703210720388,148.02522433114171,10.0,2.0,1.0,387.0,3.0,1.0,1.0,-1.0,3.0,22238.0,193464.0,8.699703210720388,148.02522433114171,1
<androidx.appcompat.widget.VectorEnabledTintResources: boolean shouldBeUsed()>,0,<androidx.appcompat.widget.VectorEnabledTintResources: boolean isCompatVectorFromResourcesEnabled()>,1.0,1.0,8.0,3.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,22238.0,193464.0,8.699703210720388,148.02522433114171,8.0,3.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,22238.0,193464.0,8.699703210720388,148.02522433114171,1
