method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<io.flutter.embedding.engine.FlutterEngine: void <init>(android.content.Context,io.flutter.embedding.engine.loader.FlutterLoader,io.flutter.embedding.engine.FlutterJNI,io.flutter.plugin.platform.PlatformViewsController,java.lang.String[],boolean,boolean)>",0,<io.flutter.embedding.engine.systemchannels.SettingsChannel: void <init>(io.flutter.embedding.engine.dart.DartExecutor)>,1.0,1.0,6.0,1.0,3.0,1.0,46.0,1.0,1.0,-1.0,46.0,11181.0,73877.0,6.607369644933369,152.39854081784588,6.0,1.0,3.0,1.0,46.0,1.0,1.0,-1.0,46.0,11181.0,73877.0,6.607369644933369,152.39854081784588,1
"<io.flutter.embedding.engine.dart.DartMessenger: void setMessageHandler(java.lang.String,io.flutter.plugin.common.BinaryMessenger$BinaryMessageHandler,io.flutter.plugin.common.BinaryMessenger$TaskQueue)>",0,<io.flutter.Log: void <clinit>()>,1.0,1.0,4.0,7.0,0.0,145.0,92.0,1.0,1.0,-1.0,92.0,11181.0,73877.0,6.607369644933369,152.39854081784588,4.0,7.0,0.0,145.0,92.0,1.0,1.0,-1.0,92.0,11181.0,73877.0,6.607369644933369,152.39854081784588,0
<androidx.lifecycle.h: void <init>(androidx.lifecycle.g)>,0,"<androidx.lifecycle.h: void <init>(androidx.lifecycle.g,boolean)>",1.0,1.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,-1.0,1.0,11181.0,73877.0,6.607369644933369,152.39854081784588,3.0,3.0,5.0,1.0,1.0,1.0,1.0,-1.0,1.0,11181.0,73877.0,6.607369644933369,152.39854081784588,1
"<io.flutter.embedding.engine.FlutterEngine: void <init>(android.content.Context,java.lang.String[],boolean,boolean)>",0,<io.flutter.plugin.platform.PlatformViewsController: void <clinit>()>,1.0,1.0,5.0,1.0,0.0,17.0,3.0,1.0,1.0,-1.0,3.0,11181.0,73877.0,6.607369644933369,152.39854081784588,5.0,1.0,0.0,17.0,3.0,1.0,1.0,-1.0,3.0,11181.0,73877.0,6.607369644933369,152.39854081784588,0
"<io.flutter.embedding.engine.dart.DartExecutor: void <init>(io.flutter.embedding.engine.FlutterJNI,android.content.res.AssetManager)>",0,<io.flutter.embedding.engine.dart.DartExecutor$1: void <init>(io.flutter.embedding.engine.dart.DartExecutor)>,1.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,1.0,-1.0,6.0,11181.0,73877.0,6.607369644933369,152.39854081784588,2.0,2.0,1.0,1.0,6.0,1.0,1.0,-1.0,6.0,11181.0,73877.0,6.607369644933369,152.39854081784588,1
"<io.flutter.embedding.engine.systemchannels.AccessibilityChannel: void <init>(io.flutter.embedding.engine.dart.DartExecutor,io.flutter.embedding.engine.FlutterJNI)>",0,<io.flutter.plugin.common.StandardMessageCodec: void <clinit>()>,1.0,1.0,2.0,2.0,4.0,16.0,5.0,1.0,1.0,-1.0,5.0,11181.0,73877.0,6.607369644933369,152.39854081784588,2.0,2.0,4.0,16.0,5.0,1.0,1.0,-1.0,5.0,11181.0,73877.0,6.607369644933369,152.39854081784588,0
<io.flutter.FlutterInjector$Builder: void fillDefaults()>,0,<io.flutter.embedding.engine.FlutterJNI$Factory: void <init>()>,1.0,1.0,7.0,1.0,1.0,1.0,5.0,1.0,1.0,-1.0,5.0,11181.0,73877.0,6.607369644933369,152.39854081784588,7.0,1.0,1.0,1.0,5.0,1.0,1.0,-1.0,5.0,11181.0,73877.0,6.607369644933369,152.39854081784588,1
<io.flutter.embedding.engine.systemchannels.NavigationChannel: void <init>(io.flutter.embedding.engine.dart.DartExecutor)>,0,<io.flutter.embedding.engine.systemchannels.NavigationChannel$1: void <init>(io.flutter.embedding.engine.systemchannels.NavigationChannel)>,1.0,1.0,7.0,1.0,1.0,1.0,5.0,1.0,1.0,-1.0,5.0,11181.0,73877.0,6.607369644933369,152.39854081784588,7.0,1.0,1.0,1.0,5.0,1.0,1.0,-1.0,5.0,11181.0,73877.0,6.607369644933369,152.39854081784588,1
<io.flutter.util.HandlerCompat: android.os.Handler createAsyncHandler(android.os.Looper)>,0,<b.b: android.os.Handler a(android.os.Looper)>,1.0,1.0,6.0,2.0,1.0,2.0,3.0,1.0,1.0,-1.0,3.0,11181.0,73877.0,6.607369644933369,152.39854081784588,6.0,2.0,1.0,2.0,3.0,1.0,1.0,-1.0,3.0,11181.0,73877.0,6.607369644933369,152.39854081784588,1
<io.flutter.embedding.engine.systemchannels.TextInputChannel: void <init>(io.flutter.embedding.engine.dart.DartExecutor)>,0,<io.flutter.embedding.engine.systemchannels.TextInputChannel$1: void <init>(io.flutter.embedding.engine.systemchannels.TextInputChannel)>,1.0,1.0,7.0,1.0,1.0,1.0,5.0,1.0,1.0,-1.0,5.0,11181.0,73877.0,6.607369644933369,152.39854081784588,7.0,1.0,1.0,1.0,5.0,1.0,1.0,-1.0,5.0,11181.0,73877.0,6.607369644933369,152.39854081784588,1
