method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<c.b.c.h: android.os.Bundle a()>,0,<c.b.c.m: void p(android.os.Bundle)>,1.0,1.0,4.0,2.0,0.0,1.0,4.0,1.0,1.0,-1.0,4.0,8161.0,41582.0,5.095208920475432,63.38718676350344,4.0,2.0,0.0,1.0,4.0,1.0,1.0,-1.0,4.0,8161.0,41582.0,5.095208920475432,63.38718676350344,0
<androidx.recyclerview.widget.LinearLayoutManager$c: boolean b(androidx.recyclerview.widget.RecyclerView$x)>,0,<androidx.recyclerview.widget.RecyclerView$x: int b()>,1.0,1.0,10.0,3.0,0.0,15.0,1.0,1.0,1.0,-1.0,1.0,8161.0,41582.0,5.095208920475432,63.38718676350344,10.0,3.0,0.0,15.0,1.0,1.0,1.0,-1.0,1.0,8161.0,41582.0,5.095208920475432,63.38718676350344,1
<c.b.g.c: void b()>,0,<c.b.g.c: android.content.res.Resources$Theme getTheme()>,1.0,1.0,6.0,2.0,1.0,18.0,8.0,1.0,1.0,-1.0,8.0,8161.0,41582.0,5.095208920475432,63.38718676350344,6.0,2.0,1.0,18.0,8.0,1.0,1.0,-1.0,8.0,8161.0,41582.0,5.095208920475432,63.38718676350344,0
<c.k.b.c0: void z()>,0,<c.e.g$a: boolean hasNext()>,1.0,1.0,5.0,2.0,0.0,121.0,17.0,1.0,1.0,-1.0,17.0,8161.0,41582.0,5.095208920475432,63.38718676350344,5.0,2.0,0.0,121.0,17.0,1.0,1.0,-1.0,17.0,8161.0,41582.0,5.095208920475432,63.38718676350344,0
<androidx.recyclerview.widget.LinearLayoutManager: void g1()>,0,<androidx.recyclerview.widget.LinearLayoutManager$c: void <init>()>,1.0,1.0,9.0,8.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,8161.0,41582.0,5.095208920475432,63.38718676350344,9.0,8.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,8161.0,41582.0,5.095208920475432,63.38718676350344,1
<pl.com.dook.optimasport.scanning.ScanActivity: void M()>,0,<c.e.g$c: java.util.Iterator iterator()>,1.0,1.0,6.0,2.0,1.0,34.0,70.0,1.0,1.0,-1.0,70.0,8161.0,41582.0,5.095208920475432,63.38718676350344,6.0,2.0,1.0,34.0,70.0,1.0,1.0,-1.0,70.0,8161.0,41582.0,5.095208920475432,63.38718676350344,0
"<b.a.q1.c: void <init>(int,int,java.lang.String,int)>",0,"<b.a.q1.a: void <init>(int,int,long,java.lang.String)>",1.0,1.0,6.0,1.0,11.0,1.0,4.0,1.0,1.0,-1.0,4.0,8161.0,41582.0,5.095208920475432,63.38718676350344,6.0,1.0,11.0,1.0,4.0,1.0,1.0,-1.0,4.0,8161.0,41582.0,5.095208920475432,63.38718676350344,1
"<c.c.a.b.b: java.lang.Object d(java.lang.Object,java.lang.Object)>",0,"<c.c.a.b.b: c.c.a.b.b$c c(java.lang.Object,java.lang.Object)>",1.0,1.0,4.0,3.0,1.0,2.0,3.0,1.0,1.0,-1.0,3.0,8161.0,41582.0,5.095208920475432,63.38718676350344,4.0,3.0,1.0,2.0,3.0,1.0,1.0,-1.0,3.0,8161.0,41582.0,5.095208920475432,63.38718676350344,1
"<c.h.d.d: android.graphics.Typeface a(android.content.Context,c.h.c.b.c,android.content.res.Resources,int,int,c.h.c.b.h$c,android.os.Handler,boolean)>",0,"<c.h.d.d: java.lang.String c(android.content.res.Resources,int,int)>",1.0,1.0,12.0,1.0,5.0,3.0,51.0,1.0,1.0,-1.0,51.0,8161.0,41582.0,5.095208920475432,63.38718676350344,12.0,1.0,5.0,3.0,51.0,1.0,1.0,-1.0,51.0,8161.0,41582.0,5.095208920475432,63.38718676350344,1
<e.h.c: e.h.f plus(e.h.f)>,0,"<e.h.a: java.lang.Object fold(java.lang.Object,e.j.a.p)>",1.0,1.0,4.0,4.0,1.0,6.0,7.0,1.0,1.0,-1.0,7.0,8161.0,41582.0,5.095208920475432,63.38718676350344,4.0,4.0,1.0,6.0,7.0,1.0,1.0,-1.0,7.0,8161.0,41582.0,5.095208920475432,63.38718676350344,0
<b.a.q1.k: void <clinit>()>,0,"<d.b.a.a.a: int Z(java.lang.String,int,int,int,int,java.lang.Object)>",1.0,1.0,7.0,3.0,1.0,2.0,12.0,1.0,1.0,-1.0,12.0,8161.0,41582.0,5.095208920475432,63.38718676350344,7.0,3.0,1.0,2.0,12.0,1.0,1.0,-1.0,12.0,8161.0,41582.0,5.095208920475432,63.38718676350344,1
"<b.a.a1: b.a.g0 f(boolean,boolean,e.j.a.l)>",0,"<b.a.a1: b.a.z0 H(e.j.a.l,boolean)>",1.0,1.0,8.0,1.0,4.0,1.0,26.0,1.0,1.0,-1.0,26.0,8161.0,41582.0,5.095208920475432,63.38718676350344,8.0,1.0,4.0,1.0,26.0,1.0,1.0,-1.0,26.0,8161.0,41582.0,5.095208920475432,63.38718676350344,1
<e.h.c: e.h.f minusKey(e.h.f$b)>,0,<b.a.w: e.h.f minusKey(e.h.f$b)>,1.0,1.0,5.0,2.0,5.0,2.0,11.0,1.0,1.0,-1.0,11.0,8161.0,41582.0,5.095208920475432,63.38718676350344,5.0,2.0,5.0,2.0,11.0,1.0,1.0,-1.0,11.0,8161.0,41582.0,5.095208920475432,63.38718676350344,0
"<e.h.f$a$a: java.lang.Object a(e.h.f$a,java.lang.Object,e.j.a.p)>",0,"<e.j.b.i: void d(java.lang.Object,java.lang.String)>",1.0,1.0,5.0,2.0,10.0,125.0,21.0,1.0,1.0,-1.0,21.0,8161.0,41582.0,5.095208920475432,63.38718676350344,5.0,2.0,10.0,125.0,21.0,1.0,1.0,-1.0,21.0,8161.0,41582.0,5.095208920475432,63.38718676350344,1
<c.m.p: void j(java.lang.Object)>,0,<c.c.a.a.b: void b(java.lang.Runnable)>,1.0,1.0,4.0,2.0,99.0,2.0,4.0,1.0,1.0,-1.0,4.0,8161.0,41582.0,5.095208920475432,63.38718676350344,4.0,2.0,99.0,2.0,4.0,1.0,1.0,-1.0,4.0,8161.0,41582.0,5.095208920475432,63.38718676350344,0
<pl.com.dook.optimasport.scanning.ScanActivity: void M()>,0,<c.c.a.b.b$e: boolean hasNext()>,1.0,1.0,6.0,2.0,0.0,123.0,70.0,1.0,1.0,-1.0,70.0,8161.0,41582.0,5.095208920475432,63.38718676350344,6.0,2.0,0.0,123.0,70.0,1.0,1.0,-1.0,70.0,8161.0,41582.0,5.095208920475432,63.38718676350344,0
"<f.a.a.a.f.b: void C(java.lang.String[],int,int,android.view.View)>",0,<f.a.a.a.f.b: boolean A(java.lang.String[])>,1.0,1.0,3.0,1.0,3.0,2.0,7.0,1.0,1.0,-1.0,7.0,8161.0,41582.0,5.095208920475432,63.38718676350344,3.0,1.0,3.0,2.0,7.0,1.0,1.0,-1.0,7.0,8161.0,41582.0,5.095208920475432,63.38718676350344,1
"<androidx.recyclerview.widget.LinearLayoutManager: void v0(androidx.recyclerview.widget.RecyclerView$s,androidx.recyclerview.widget.RecyclerView$x)>",0,"<androidx.recyclerview.widget.LinearLayoutManager: int h1(androidx.recyclerview.widget.RecyclerView$s,androidx.recyclerview.widget.LinearLayoutManager$c,androidx.recyclerview.widget.RecyclerView$x,boolean)>",1.0,1.0,9.0,3.0,4.0,2.0,61.0,1.0,1.0,-1.0,61.0,8161.0,41582.0,5.095208920475432,63.38718676350344,9.0,3.0,4.0,2.0,61.0,1.0,1.0,-1.0,61.0,8161.0,41582.0,5.095208920475432,63.38718676350344,1
<c.c.a.a.b: void b(java.lang.Runnable)>,0,<c.b.c.m$a: void run()>,1.0,1.0,5.0,2.0,1.0,22.0,99.0,1.0,1.0,-1.0,99.0,8161.0,41582.0,5.095208920475432,63.38718676350344,5.0,2.0,1.0,22.0,99.0,1.0,1.0,-1.0,99.0,8161.0,41582.0,5.095208920475432,63.38718676350344,0
"<c.b.h.p0: android.graphics.drawable.Drawable l(android.content.Context,int,boolean,android.graphics.drawable.Drawable)>",0,"<c.b.h.p0: boolean m(android.content.Context,int,android.graphics.drawable.Drawable)>",1.0,1.0,8.0,1.0,66.0,1.0,60.0,1.0,1.0,-1.0,60.0,8161.0,41582.0,5.095208920475432,63.38718676350344,8.0,1.0,66.0,1.0,60.0,1.0,1.0,-1.0,60.0,8161.0,41582.0,5.095208920475432,63.38718676350344,1
<c.c.a.a.b: void <init>()>,0,<c.c.a.a.b$a: void <init>(c.c.a.a.b)>,1.0,1.0,6.0,1.0,2.0,1.0,4.0,1.0,1.0,-1.0,4.0,8161.0,41582.0,5.095208920475432,63.38718676350344,6.0,1.0,2.0,1.0,4.0,1.0,1.0,-1.0,4.0,8161.0,41582.0,5.095208920475432,63.38718676350344,1
"<c.b.h.z: void e(android.util.AttributeSet,int)>",0,"<c.b.h.b0: void setTypeface(android.graphics.Typeface,int)>",1.0,1.0,9.0,1.0,6.0,4.0,96.0,1.0,1.0,-1.0,96.0,8161.0,41582.0,5.095208920475432,63.38718676350344,9.0,1.0,6.0,4.0,96.0,1.0,1.0,-1.0,96.0,8161.0,41582.0,5.095208920475432,63.38718676350344,0
