method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.facebook.internal.NativeProtocol: void updateAllAvailableProtocolVersionsAsync$lambda-1()>,0,<com.facebook.internal.instrument.crashshield.CrashShieldHandler: boolean isObjectCrashing(java.lang.Object)>,1.0,1.0,6.0,1.0,36.0,471.0,176.0,1.0,1.0,-1.0,176.0,49391.0,694911.0,14.069587576684013,368.332395083687,6.0,1.0,36.0,471.0,176.0,1.0,1.0,-1.0,176.0,49391.0,694911.0,14.069587576684013,368.332395083687,1
<com.facebook.appevents.AppEventQueue: void flushAndWait(com.facebook.appevents.FlushReason)>,0,<com.facebook.appevents.AppEventQueue: void <clinit>()>,1.0,1.0,7.0,3.0,6.0,28.0,21.0,1.0,1.0,-1.0,21.0,49391.0,694911.0,14.069587576684013,368.332395083687,7.0,3.0,6.0,28.0,21.0,1.0,1.0,-1.0,21.0,49391.0,694911.0,14.069587576684013,368.332395083687,0
<com.facebook.'-$$Lambda$UserSettingsManager$zhV21tYfRxCKaoumhNYley9SsW8': void run()>,0,<com.facebook.UserSettingsManager: void lambda$zhV21tYfRxCKaoumhNYley9SsW8(long)>,1.0,1.0,4.0,127.0,2.0,1.0,2.0,1.0,1.0,-1.0,2.0,49391.0,694911.0,14.069587576684013,368.332395083687,4.0,127.0,2.0,1.0,2.0,1.0,1.0,-1.0,2.0,49391.0,694911.0,14.069587576684013,368.332395083687,1
<com.facebook.appevents.codeless.ViewIndexingTrigger: void <clinit>()>,0,<com.facebook.appevents.codeless.ViewIndexingTrigger$Companion: void <init>(kotlin.jvm.internal.DefaultConstructorMarker)>,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,49391.0,694911.0,14.069587576684013,368.332395083687,6.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,49391.0,694911.0,14.069587576684013,368.332395083687,1
<com.facebook.appevents.AppEventQueue: void flushAndWait(com.facebook.appevents.FlushReason)>,0,"<kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>",1.0,1.0,7.0,3.0,1.0,1251.0,21.0,1.0,1.0,-1.0,21.0,49391.0,694911.0,14.069587576684013,368.332395083687,7.0,3.0,1.0,1251.0,21.0,1.0,1.0,-1.0,21.0,49391.0,694911.0,14.069587576684013,368.332395083687,1
<com.facebook.internal.Utility: void runOnNonUiThread(java.lang.Runnable)>,0,<com.unity3d.player.UnityPlayer$5: void run()>,1.0,1.0,6.0,5.0,8.0,126.0,838.0,1.0,1.0,-1.0,838.0,49391.0,694911.0,14.069587576684013,368.332395083687,6.0,5.0,8.0,126.0,838.0,1.0,1.0,-1.0,838.0,49391.0,694911.0,14.069587576684013,368.332395083687,0
"<com.safedk.android.SafeDK: void a(boolean,boolean)>",0,<com.safedk.android.analytics.brandsafety.h: void <clinit>()>,1.0,1.0,4.0,2.0,4.0,18.0,91.0,1.0,1.0,-1.0,91.0,49391.0,694911.0,14.069587576684013,368.332395083687,4.0,2.0,4.0,18.0,91.0,1.0,1.0,-1.0,91.0,49391.0,694911.0,14.069587576684013,368.332395083687,0
"<com.facebook.FacebookSdk: void sdkInitialize(android.content.Context,com.facebook.FacebookSdk$InitializeCallback)>",0,"<com.facebook.appevents.internal.ActivityLifecycleTracker: void startTracking(android.app.Application,java.lang.String)>",1.0,1.0,4.0,1.0,9.0,2.0,888.0,1.0,1.0,-1.0,888.0,49391.0,694911.0,14.069587576684013,368.332395083687,4.0,1.0,9.0,2.0,888.0,1.0,1.0,-1.0,888.0,49391.0,694911.0,14.069587576684013,368.332395083687,1
<com.facebook.appevents.ml.ModelManager: void enableMTML()>,0,<com.facebook.internal.FeatureManager: boolean isEnabled(com.facebook.internal.FeatureManager$Feature)>,1.0,1.0,7.0,1.0,12.0,9.0,291.0,1.0,1.0,-1.0,291.0,49391.0,694911.0,14.069587576684013,368.332395083687,7.0,1.0,12.0,9.0,291.0,1.0,1.0,-1.0,291.0,49391.0,694911.0,14.069587576684013,368.332395083687,1
<com.unity3d.player.UnityPlayer: void reportSoftInputIsVisible(boolean)>,0,<com.unity3d.player.UnityPlayer: void queueGLThreadEvent(com.unity3d.player.UnityPlayer$f)>,1.0,1.0,5.0,1.0,2.0,3.0,2.0,1.0,1.0,-1.0,2.0,49391.0,694911.0,14.069587576684013,368.332395083687,5.0,1.0,2.0,3.0,2.0,1.0,1.0,-1.0,2.0,49391.0,694911.0,14.069587576684013,368.332395083687,1
