method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<androidx.constraintlayout.widget.ConstraintLayout: void setSelfDimensionBehaviour(androidx.constraintlayout.core.widgets.ConstraintWidgetContainer,int,int,int,int)>",0,<androidx.constraintlayout.core.widgets.ConstraintWidget: void setMaxHeight(int)>,1.0,1.0,10.0,1.0,0.0,1.0,17.0,1.0,1.0,-1.0,17.0,27965.0,284354.0,10.168210262828536,199.4917462036757,10.0,1.0,0.0,1.0,17.0,1.0,1.0,-1.0,17.0,27965.0,284354.0,10.168210262828536,199.4917462036757,1
"<androidx.collection.SimpleArrayMap: int indexOf(java.lang.Object,int)>",0,"<androidx.collection.SimpleArrayMap: int binarySearchHashes(int[],int,int)>",1.0,1.0,5.0,2.0,3.0,2.0,488.0,1.0,1.0,-1.0,488.0,27965.0,284354.0,10.168210262828536,199.4917462036757,5.0,2.0,3.0,2.0,488.0,1.0,1.0,-1.0,488.0,27965.0,284354.0,10.168210262828536,199.4917462036757,1
"<cz.msebera.android.httpclient.cookie.CookieOrigin: void <init>(java.lang.String,int,java.lang.String,boolean)>",0,<cz.msebera.android.httpclient.util.TextUtils: boolean isBlank(java.lang.CharSequence)>,1.0,1.0,7.0,2.0,24.0,11.0,7.0,1.0,1.0,-1.0,7.0,27965.0,284354.0,10.168210262828536,199.4917462036757,7.0,2.0,24.0,11.0,7.0,1.0,1.0,-1.0,7.0,27965.0,284354.0,10.168210262828536,199.4917462036757,1
<com.loopj.android.http.AsyncHttpResponseHandler: byte[] getResponseData(cz.msebera.android.httpclient.HttpEntity)>,0,"<com.loopj.android.http.AsyncHttpResponseHandler: void sendProgressMessage(long,long)>",1.0,1.0,7.0,1.0,4.0,3.0,70.0,1.0,1.0,-1.0,70.0,27965.0,284354.0,10.168210262828536,199.4917462036757,7.0,1.0,4.0,3.0,70.0,1.0,1.0,-1.0,70.0,27965.0,284354.0,10.168210262828536,199.4917462036757,1
<cz.msebera.android.httpclient.impl.client.ProxyAuthenticationStrategy: void <init>()>,0,"<cz.msebera.android.httpclient.impl.client.AuthenticationStrategyImpl: void <init>(int,java.lang.String)>",1.0,1.0,10.0,2.0,3.0,2.0,1.0,1.0,1.0,-1.0,1.0,27965.0,284354.0,10.168210262828536,199.4917462036757,10.0,2.0,3.0,2.0,1.0,1.0,1.0,-1.0,1.0,27965.0,284354.0,10.168210262828536,199.4917462036757,1
"<androidx.constraintlayout.widget.ConstraintLayout: void applyConstraintsFromLayoutParams(boolean,android.view.View,androidx.constraintlayout.core.widgets.ConstraintWidget,androidx.constraintlayout.widget.ConstraintLayout$LayoutParams,android.util.SparseArray)>",0,<androidx.constraintlayout.core.widgets.ConstraintWidget: void setWrapBehaviorInParent(int)>,1.0,1.0,9.0,1.0,0.0,1.0,36.0,1.0,1.0,-1.0,36.0,27965.0,284354.0,10.168210262828536,199.4917462036757,9.0,1.0,0.0,1.0,36.0,1.0,1.0,-1.0,36.0,27965.0,284354.0,10.168210262828536,199.4917462036757,1
<cz.msebera.android.httpclient.impl.io.AbstractSessionOutputBuffer: void writeLine(cz.msebera.android.httpclient.util.CharArrayBuffer)>,0,<cz.msebera.android.httpclient.util.ByteArrayBuffer: boolean isFull()>,1.0,1.0,7.0,6.0,0.0,4.0,12.0,1.0,1.0,-1.0,12.0,27965.0,284354.0,10.168210262828536,199.4917462036757,7.0,6.0,0.0,4.0,12.0,1.0,1.0,-1.0,12.0,27965.0,284354.0,10.168210262828536,199.4917462036757,1
<cz.msebera.android.httpclient.impl.io.AbstractSessionOutputBuffer: void writeLine(cz.msebera.android.httpclient.util.CharArrayBuffer)>,0,<cz.msebera.android.httpclient.util.ByteArrayBuffer: int length()>,1.0,1.0,7.0,6.0,0.0,13.0,12.0,1.0,1.0,-1.0,12.0,27965.0,284354.0,10.168210262828536,199.4917462036757,7.0,6.0,0.0,13.0,12.0,1.0,1.0,-1.0,12.0,27965.0,284354.0,10.168210262828536,199.4917462036757,1
<cz.msebera.android.httpclient.conn.params.ConnRouteParams: cz.msebera.android.httpclient.HttpHost getDefaultProxy(cz.msebera.android.httpclient.params.HttpParams)>,0,<cz.msebera.android.httpclient.params.BasicHttpParams: java.lang.Object getParameter(java.lang.String)>,1.0,1.0,8.0,1.0,19.0,32.0,7.0,1.0,1.0,-1.0,7.0,27965.0,284354.0,10.168210262828536,199.4917462036757,8.0,1.0,19.0,32.0,7.0,1.0,1.0,-1.0,7.0,27965.0,284354.0,10.168210262828536,199.4917462036757,0
<com.bumptech.glide.load.engine.EngineJob$CallResourceReady: void run()>,0,<com.bumptech.glide.load.engine.EngineJob$ResourceCallbacksAndExecutors: boolean contains(com.bumptech.glide.request.ResourceCallback)>,1.0,1.0,3.0,81.0,23.0,2.0,6.0,1.0,1.0,-1.0,6.0,27965.0,284354.0,10.168210262828536,199.4917462036757,3.0,81.0,23.0,2.0,6.0,1.0,1.0,-1.0,6.0,27965.0,284354.0,10.168210262828536,199.4917462036757,1
<com.bumptech.glide.load.engine.EngineKey: int hashCode()>,0,<com.bumptech.glide.load.model.GlideUrl: int hashCode()>,1.0,1.0,5.0,40.0,4.0,40.0,478.0,1.0,1.0,-1.0,478.0,27965.0,284354.0,10.168210262828536,199.4917462036757,5.0,40.0,4.0,40.0,478.0,1.0,1.0,-1.0,478.0,27965.0,284354.0,10.168210262828536,199.4917462036757,0
"<com.loopj.android.http.AsyncHttpClient$2: void process(cz.msebera.android.httpclient.HttpResponse,cz.msebera.android.httpclient.protocol.HttpContext)>",0,<cz.msebera.android.httpclient.entity.AbstractHttpEntity: cz.msebera.android.httpclient.Header getContentEncoding()>,1.0,1.0,6.0,3.0,0.0,7.0,20.0,1.0,1.0,-1.0,20.0,27965.0,284354.0,10.168210262828536,199.4917462036757,6.0,3.0,0.0,7.0,20.0,1.0,1.0,-1.0,20.0,27965.0,284354.0,10.168210262828536,199.4917462036757,0
<okhttp3.internal.http.BridgeInterceptor: okhttp3.Response intercept(okhttp3.Interceptor$Chain)>,0,<okhttp3.Request$Builder: okhttp3.Request build()>,1.0,1.0,8.0,1.0,2.0,6.0,70.0,1.0,1.0,-1.0,70.0,27965.0,284354.0,10.168210262828536,199.4917462036757,8.0,1.0,2.0,6.0,70.0,1.0,1.0,-1.0,70.0,27965.0,284354.0,10.168210262828536,199.4917462036757,1
<com.bumptech.glide.load.resource.bitmap.HardwareConfigState: boolean isHardwareConfigAllowedByDeviceModel()>,0,<com.bumptech.glide.load.resource.bitmap.HardwareConfigState: boolean isHardwareConfigDisallowedByB147430447()>,1.0,1.0,5.0,1.0,26.0,1.0,3.0,1.0,1.0,-1.0,3.0,27965.0,284354.0,10.168210262828536,199.4917462036757,5.0,1.0,26.0,1.0,3.0,1.0,1.0,-1.0,3.0,27965.0,284354.0,10.168210262828536,199.4917462036757,1
<com.bumptech.glide.load.engine.ActiveResources$1$1: void run()>,0,<com.loopj.android.http.AsyncHttpRequest: void run()>,1.0,1.0,3.0,79.0,9.0,80.0,219.0,1.0,1.0,-1.0,219.0,27965.0,284354.0,10.168210262828536,199.4917462036757,3.0,79.0,9.0,80.0,219.0,1.0,1.0,-1.0,219.0,27965.0,284354.0,10.168210262828536,199.4917462036757,0
"<cz.msebera.android.httpclient.conn.ssl.SSLSocketFactory: java.net.Socket connectSocket(int,java.net.Socket,cz.msebera.android.httpclient.HttpHost,java.net.InetSocketAddress,java.net.InetSocketAddress,cz.msebera.android.httpclient.protocol.HttpContext)>",0,"<cz.msebera.android.httpclient.util.Args: java.lang.Object notNull(java.lang.Object,java.lang.String)>",1.0,1.0,9.0,2.0,4.0,383.0,13.0,1.0,1.0,-1.0,13.0,27965.0,284354.0,10.168210262828536,199.4917462036757,9.0,2.0,4.0,383.0,13.0,1.0,1.0,-1.0,13.0,27965.0,284354.0,10.168210262828536,199.4917462036757,1
