method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.google.firebase.installations.FirebaseInstallations: com.google.firebase.installations.local.PersistedInstallationEntry getPrefsWithGeneratedIdMultiProcessSafe()>,0,<com.google.firebase.installations.local.PersistedInstallation: com.google.firebase.installations.local.PersistedInstallationEntry insertOrUpdatePersistedInstallationEntry(com.google.firebase.installations.local.PersistedInstallationEntry)>,1.0,1.0,6.0,1.0,30.0,2.0,9.0,1.0,1.0,-1.0,9.0,40265.0,444160.0,11.030920153979883,323.67875540345824,6.0,1.0,30.0,2.0,9.0,1.0,1.0,-1.0,9.0,40265.0,444160.0,11.030920153979883,323.67875540345824,1
<com.safedk.android.utils.PersistentConcurrentHashMap: void i()>,0,<com.safedk.android.SafeDK: android.content.Context h()>,1.0,1.0,6.0,1.0,1.0,16.0,140.0,1.0,1.0,-1.0,140.0,40265.0,444160.0,11.030920153979883,323.67875540345824,6.0,1.0,1.0,16.0,140.0,1.0,1.0,-1.0,140.0,40265.0,444160.0,11.030920153979883,323.67875540345824,1
<com.google.android.gms.common.stats.ConnectionTracker: com.google.android.gms.common.stats.ConnectionTracker getInstance()>,0,<com.google.android.gms.common.stats.ConnectionTracker: void <clinit>()>,1.0,1.0,4.0,8.0,1.0,11.0,3.0,1.0,1.0,-1.0,3.0,40265.0,444160.0,11.030920153979883,323.67875540345824,4.0,8.0,1.0,11.0,3.0,1.0,1.0,-1.0,3.0,40265.0,444160.0,11.030920153979883,323.67875540345824,0
"<com.google.firebase.platforminfo.LibraryVersionComponent: com.google.firebase.platforminfo.LibraryVersion lambda$fromContext$0(java.lang.String,com.google.firebase.platforminfo.LibraryVersionComponent$VersionExtractor,com.google.firebase.components.ComponentContainer)>",0,<com.google.firebase.components.AbstractComponentContainer: java.lang.Object get(java.lang.Class)>,1.0,1.0,9.0,1.0,13.0,6.0,8.0,1.0,1.0,-1.0,8.0,40265.0,444160.0,11.030920153979883,323.67875540345824,9.0,1.0,13.0,6.0,8.0,1.0,1.0,-1.0,8.0,40265.0,444160.0,11.030920153979883,323.67875540345824,0
<com.google.firebase.FirebaseApp: java.lang.String getPersistenceKey()>,0,<com.google.firebase.FirebaseOptions: java.lang.String getApplicationId()>,1.0,1.0,8.0,3.0,0.0,3.0,9.0,1.0,1.0,-1.0,9.0,40265.0,444160.0,11.030920153979883,323.67875540345824,8.0,3.0,0.0,3.0,9.0,1.0,1.0,-1.0,9.0,40265.0,444160.0,11.030920153979883,323.67875540345824,1
"<com.safedk.android.analytics.brandsafety.creatives.discoveries.d: void <init>(java.lang.String,java.lang.String,boolean)>",0,<com.safedk.android.analytics.brandsafety.creatives.discoveries.d: void j()>,1.0,1.0,7.0,2.0,15.0,1.0,33.0,1.0,1.0,-1.0,33.0,40265.0,444160.0,11.030920153979883,323.67875540345824,7.0,2.0,15.0,1.0,33.0,1.0,1.0,-1.0,33.0,40265.0,444160.0,11.030920153979883,323.67875540345824,1
<com.google.firebase.installations.FirebaseInstallations: void doRegistrationOrRefresh(boolean)>,0,<com.google.firebase.installations.FirebaseInstallations: com.google.firebase.installations.local.PersistedInstallationEntry getPrefsWithGeneratedIdMultiProcessSafe()>,1.0,1.0,5.0,2.0,9.0,1.0,7.0,1.0,1.0,-1.0,7.0,40265.0,444160.0,11.030920153979883,323.67875540345824,5.0,2.0,9.0,1.0,7.0,1.0,1.0,-1.0,7.0,40265.0,444160.0,11.030920153979883,323.67875540345824,1
<com.unity3d.player.UnityPlayer: void reportSoftInputIsVisible(boolean)>,0,<com.unity3d.player.UnityPlayer: void queueGLThreadEvent(com.unity3d.player.UnityPlayer$f)>,1.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,-1.0,2.0,40265.0,444160.0,11.030920153979883,323.67875540345824,4.0,1.0,2.0,3.0,2.0,1.0,1.0,-1.0,2.0,40265.0,444160.0,11.030920153979883,323.67875540345824,1
<com.google.firebase.installations.remote.FirebaseInstallationServiceClient: com.google.firebase.installations.remote.InstallationResponse readCreateResponse(java.net.HttpURLConnection)>,0,<com.google.firebase.installations.remote.InstallationResponse: com.google.firebase.installations.remote.InstallationResponse$Builder builder()>,1.0,1.0,8.0,1.0,1.0,2.0,40.0,1.0,1.0,-1.0,40.0,40265.0,444160.0,11.030920153979883,323.67875540345824,8.0,1.0,1.0,2.0,40.0,1.0,1.0,-1.0,40.0,40265.0,444160.0,11.030920153979883,323.67875540345824,1
<androidx.collection.SimpleArrayMap: boolean containsKey(java.lang.Object)>,0,<androidx.collection.SimpleArrayMap: int indexOfKey(java.lang.Object)>,1.0,1.0,4.0,97.0,596.0,4.0,1.0,1.0,1.0,-1.0,1.0,40265.0,444160.0,11.030920153979883,323.67875540345824,4.0,97.0,596.0,4.0,1.0,1.0,1.0,-1.0,1.0,40265.0,444160.0,11.030920153979883,323.67875540345824,1
