method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<androidx.collection.SimpleArrayMap: int indexOf(java.lang.Object,int)>",0,"<androidx.collection.SimpleArrayMap: int binarySearchHashes(int[],int,int)>",1.0,1.0,4.0,2.0,3.0,2.0,437.0,1.0,1.0,-1.0,437.0,23139.0,194980.0,8.426466139418299,143.49766129859472,4.0,2.0,3.0,2.0,437.0,1.0,1.0,-1.0,437.0,23139.0,194980.0,8.426466139418299,143.49766129859472,1
<androidx.savedstate.SavedStateRegistry: void performSave(android.os.Bundle)>,0,<androidx.collection.MapCollections$ArrayIterator: boolean hasNext()>,1.0,1.0,4.0,1.0,0.0,330.0,139.0,1.0,1.0,-1.0,139.0,23139.0,194980.0,8.426466139418299,143.49766129859472,4.0,1.0,0.0,330.0,139.0,1.0,1.0,-1.0,139.0,23139.0,194980.0,8.426466139418299,143.49766129859472,0
<androidx.appcompat.app.AppCompatDelegateImpl$PanelFeatureState: androidx.appcompat.view.menu.MenuView getListMenuView(androidx.appcompat.view.menu.MenuPresenter$Callback)>,0,<androidx.appcompat.view.menu.MenuBuilder: void addMenuPresenter(androidx.appcompat.view.menu.MenuPresenter)>,1.0,1.0,8.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,23139.0,194980.0,8.426466139418299,143.49766129859472,8.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,23139.0,194980.0,8.426466139418299,143.49766129859472,1
<androidx.appcompat.view.ContextThemeWrapper: android.content.res.Resources$Theme getTheme()>,0,<androidx.appcompat.view.ContextThemeWrapper: void initializeTheme()>,1.0,1.0,5.0,27.0,9.0,2.0,1.0,1.0,1.0,-1.0,1.0,23139.0,194980.0,8.426466139418299,143.49766129859472,5.0,27.0,9.0,2.0,1.0,1.0,1.0,-1.0,1.0,23139.0,194980.0,8.426466139418299,143.49766129859472,1
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable createDrawableIfNeeded(android.content.Context,int)>",0,"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getCachedDrawable(android.content.Context,long)>",1.0,1.0,8.0,1.0,17.0,2.0,20.0,1.0,1.0,-1.0,20.0,23139.0,194980.0,8.426466139418299,143.49766129859472,8.0,1.0,17.0,2.0,20.0,1.0,1.0,-1.0,20.0,23139.0,194980.0,8.426466139418299,143.49766129859472,1
<androidx.emoji2.text.EmojiCompatInitializer$BackgroundDefaultConfig: void <init>(android.content.Context)>,0,<androidx.emoji2.text.EmojiCompatInitializer$BackgroundDefaultLoader: void <init>(android.content.Context)>,1.0,1.0,6.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,23139.0,194980.0,8.426466139418299,143.49766129859472,6.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,23139.0,194980.0,8.426466139418299,143.49766129859472,1
"<androidx.fragment.app.FragmentManager: void attachController(androidx.fragment.app.FragmentHostCallback,androidx.fragment.app.FragmentContainer,androidx.fragment.app.Fragment)>",0,<androidx.activity.result.contract.ActivityResultContracts$RequestMultiplePermissions: void <init>()>,1.0,1.0,8.0,2.0,1.0,1.0,34.0,1.0,1.0,-1.0,34.0,23139.0,194980.0,8.426466139418299,143.49766129859472,8.0,2.0,1.0,1.0,34.0,1.0,1.0,-1.0,34.0,23139.0,194980.0,8.426466139418299,143.49766129859472,1
<androidx.lifecycle.viewmodel.MutableCreationExtras: void <init>()>,0,"<androidx.lifecycle.viewmodel.MutableCreationExtras: void <init>(androidx.lifecycle.viewmodel.CreationExtras,int,kotlin.jvm.internal.DefaultConstructorMarker)>",1.0,1.0,9.0,1.0,2.0,1.0,1.0,1.0,1.0,-1.0,1.0,23139.0,194980.0,8.426466139418299,143.49766129859472,9.0,1.0,2.0,1.0,1.0,1.0,1.0,-1.0,1.0,23139.0,194980.0,8.426466139418299,143.49766129859472,1
<androidx.lifecycle.SavedStateHandlesProvider: void performRestore()>,0,<androidx.savedstate.SavedStateRegistry: android.os.Bundle consumeRestoredStateForKey(java.lang.String)>,1.0,1.0,9.0,2.0,6.0,6.0,2.0,1.0,1.0,-1.0,2.0,23139.0,194980.0,8.426466139418299,143.49766129859472,9.0,2.0,6.0,6.0,2.0,1.0,1.0,-1.0,2.0,23139.0,194980.0,8.426466139418299,143.49766129859472,1
"<androidx.appcompat.app.AppCompatDelegateImpl: boolean preparePanel(androidx.appcompat.app.AppCompatDelegateImpl$PanelFeatureState,android.view.KeyEvent)>",0,"<androidx.appcompat.view.WindowCallbackWrapper: boolean onPreparePanel(int,android.view.View,android.view.Menu)>",1.0,1.0,4.0,6.0,6.0,6.0,33.0,1.0,1.0,-1.0,33.0,23139.0,194980.0,8.426466139418299,143.49766129859472,4.0,6.0,6.0,6.0,33.0,1.0,1.0,-1.0,33.0,23139.0,194980.0,8.426466139418299,143.49766129859472,0
<androidx.appcompat.view.menu.MenuBuilder: void onItemsChanged(boolean)>,0,<androidx.appcompat.view.menu.MenuBuilder: void dispatchPresenterUpdate(boolean)>,1.0,1.0,6.0,23.0,131.0,1.0,1.0,1.0,1.0,-1.0,1.0,23139.0,194980.0,8.426466139418299,143.49766129859472,6.0,23.0,131.0,1.0,1.0,1.0,1.0,-1.0,1.0,23139.0,194980.0,8.426466139418299,143.49766129859472,1
<kotlin.collections.CollectionsKt__CollectionsKt: java.util.List listOf(java.lang.Object[])>,0,"<kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>",1.0,1.0,9.0,2.0,1.0,388.0,3.0,1.0,1.0,-1.0,3.0,23139.0,194980.0,8.426466139418299,143.49766129859472,9.0,2.0,1.0,388.0,3.0,1.0,1.0,-1.0,3.0,23139.0,194980.0,8.426466139418299,143.49766129859472,1
