method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<org.apache.cordova.CordovaActivity: void onResume()>,0,<org.apache.cordova.CordovaActivity: void <clinit>()>,1.0,1.0,2.0,1.0,0.0,7.0,10.0,1.0,1.0,1.0,10.0,4131.0,20228.0,4.896635197288792,122.10203678070002,2.0,1.0,0.0,7.0,10.0,1.0,1.0,1.0,10.0,4131.0,20228.0,4.896635197288792,122.10203678070002,0
<org.apache.cordova.networkinformation.NetworkManager: void onResume(boolean)>,0,<org.apache.cordova.CordovaPlugin: void onResume(boolean)>,1.0,1.0,5.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,3.0,4131.0,20228.0,4.896635197288792,122.10203678070002,5.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,3.0,4131.0,20228.0,4.896635197288792,122.10203678070002,1
"<com.wellseek.cordova.SelectorCordovaPlugin: void initialize(org.apache.cordova.CordovaInterface,org.apache.cordova.CordovaWebView)>",0,"<org.apache.cordova.CordovaPlugin: void initialize(org.apache.cordova.CordovaInterface,org.apache.cordova.CordovaWebView)>",1.0,1.0,7.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,1.0,4131.0,20228.0,4.896635197288792,122.10203678070002,7.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,1.0,4131.0,20228.0,4.896635197288792,122.10203678070002,1
<org.apache.cordova.whitelist.WhitelistPlugin: void pluginInitialize()>,0,<org.apache.cordova.Whitelist: void <init>()>,1.0,1.0,7.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,4131.0,20228.0,4.896635197288792,122.10203678070002,7.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,4131.0,20228.0,4.896635197288792,122.10203678070002,1
<org.apache.cordova.Whitelist: boolean isUrlWhiteListed(java.lang.String)>,0,<org.apache.cordova.Whitelist$URLPattern: boolean matches(android.net.Uri)>,1.0,1.0,10.0,2.0,11.0,1.0,14.0,1.0,1.0,1.0,14.0,4131.0,20228.0,4.896635197288792,122.10203678070002,10.0,2.0,11.0,1.0,14.0,1.0,1.0,1.0,14.0,4131.0,20228.0,4.896635197288792,122.10203678070002,1
<org.apache.cordova.splashscreen.SplashScreen: void showSplashScreen(boolean)>,0,<org.apache.cordova.splashscreen.SplashScreen$5: void run()>,1.0,1.0,8.0,2.0,38.0,17.0,12.0,1.0,1.0,1.0,12.0,4131.0,20228.0,4.896635197288792,122.10203678070002,8.0,2.0,38.0,17.0,12.0,1.0,1.0,1.0,12.0,4131.0,20228.0,4.896635197288792,122.10203678070002,0
"<org.apache.cordova.PluginManager: java.lang.Object postMessage(java.lang.String,java.lang.Object)>",0,"<org.apache.cordova.CordovaActivity$1: java.lang.Object onMessage(java.lang.String,java.lang.Object)>",1.0,1.0,7.0,4.0,1.0,1.0,27.0,1.0,1.0,1.0,27.0,4131.0,20228.0,4.896635197288792,122.10203678070002,7.0,4.0,1.0,1.0,27.0,1.0,1.0,1.0,27.0,4131.0,20228.0,4.896635197288792,122.10203678070002,0
<org.apache.cordova.whitelist.WhitelistPlugin: void pluginInitialize()>,0,<org.apache.cordova.ConfigXmlParser: void <clinit>()>,1.0,1.0,7.0,1.0,0.0,3.0,5.0,1.0,1.0,1.0,5.0,4131.0,20228.0,4.896635197288792,122.10203678070002,7.0,1.0,0.0,3.0,5.0,1.0,1.0,1.0,5.0,4131.0,20228.0,4.896635197288792,122.10203678070002,0
<org.apache.cordova.CordovaWebViewImpl$2: void run()>,0,<org.apache.cordova.statusbar.StatusBar$1: void run()>,1.0,1.0,6.0,16.0,8.0,17.0,121.0,1.0,1.0,1.0,121.0,4131.0,20228.0,4.896635197288792,122.10203678070002,6.0,16.0,8.0,17.0,121.0,1.0,1.0,1.0,121.0,4131.0,20228.0,4.896635197288792,122.10203678070002,0
<org.apache.cordova.splashscreen.SplashScreen: android.view.View access$000(org.apache.cordova.splashscreen.SplashScreen)>,0,<org.apache.cordova.splashscreen.SplashScreen: android.view.View getView()>,1.0,1.0,7.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4131.0,20228.0,4.896635197288792,122.10203678070002,7.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4131.0,20228.0,4.896635197288792,122.10203678070002,1
<org.apache.cordova.CordovaWebViewImpl$EngineClient$1$1: void run()>,0,"<org.apache.cordova.PluginManager: java.lang.Object postMessage(java.lang.String,java.lang.Object)>",1.0,1.0,6.0,17.0,27.0,4.0,3.0,1.0,1.0,1.0,3.0,4131.0,20228.0,4.896635197288792,122.10203678070002,6.0,17.0,27.0,4.0,3.0,1.0,1.0,1.0,3.0,4131.0,20228.0,4.896635197288792,122.10203678070002,1
"<android.support.v4.content.FileProvider: android.support.v4.content.FileProvider$PathStrategy getPathStrategy(android.content.Context,java.lang.String)>",0,<android.support.v4.content.FileProvider: void <clinit>()>,1.0,1.0,14.0,1.0,4.0,7.0,6.0,1.0,1.0,1.0,6.0,4131.0,20228.0,4.896635197288792,122.10203678070002,14.0,1.0,4.0,7.0,6.0,1.0,1.0,1.0,6.0,4131.0,20228.0,4.896635197288792,122.10203678070002,0
"<org.apache.cordova.splashscreen.SplashScreen: java.lang.Object onMessage(java.lang.String,java.lang.Object)>",0,<org.apache.cordova.splashscreen.SplashScreen: android.view.View getView()>,1.0,1.0,8.0,1.0,3.0,2.0,425.0,1.0,1.0,1.0,425.0,4131.0,20228.0,4.896635197288792,122.10203678070002,8.0,1.0,3.0,2.0,425.0,1.0,1.0,1.0,425.0,4131.0,20228.0,4.896635197288792,122.10203678070002,1
"<org.apache.cordova.CordovaPlugin: void privateInitialize(java.lang.String,org.apache.cordova.CordovaInterface,org.apache.cordova.CordovaWebView,org.apache.cordova.CordovaPreferences)>",0,"<org.apache.cordova.networkinformation.NetworkManager: void initialize(org.apache.cordova.CordovaInterface,org.apache.cordova.CordovaWebView)>",1.0,1.0,6.0,2.0,4.0,1.0,10.0,1.0,1.0,1.0,10.0,4131.0,20228.0,4.896635197288792,122.10203678070002,6.0,2.0,4.0,1.0,10.0,1.0,1.0,1.0,10.0,4131.0,20228.0,4.896635197288792,122.10203678070002,0
"<org.apache.cordova.CordovaPlugin: void privateInitialize(java.lang.String,org.apache.cordova.CordovaInterface,org.apache.cordova.CordovaWebView,org.apache.cordova.CordovaPreferences)>",0,"<org.apache.cordova.CordovaPlugin: void initialize(org.apache.cordova.CordovaInterface,org.apache.cordova.CordovaWebView)>",1.0,1.0,6.0,2.0,0.0,6.0,10.0,1.0,1.0,1.0,10.0,4131.0,20228.0,4.896635197288792,122.10203678070002,6.0,2.0,0.0,6.0,10.0,1.0,1.0,1.0,10.0,4131.0,20228.0,4.896635197288792,122.10203678070002,1
<org.apache.cordova.splashscreen.SplashScreen$5: void run()>,0,<org.apache.cordova.splashscreen.SplashScreen: android.app.Dialog access$100()>,1.0,1.0,6.0,17.0,2.0,2.0,38.0,1.0,1.0,1.0,38.0,4131.0,20228.0,4.896635197288792,122.10203678070002,6.0,17.0,2.0,2.0,38.0,1.0,1.0,1.0,38.0,4131.0,20228.0,4.896635197288792,122.10203678070002,1
