method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.google.firebase.installations.FirebaseInstallations: com.google.firebase.installations.local.PersistedInstallationEntry getPrefsWithGeneratedIdMultiProcessSafe()>,0,<com.google.firebase.installations.local.PersistedInstallation: com.google.firebase.installations.local.PersistedInstallationEntry insertOrUpdatePersistedInstallationEntry(com.google.firebase.installations.local.PersistedInstallationEntry)>,1.0,1.0,6.0,1.0,30.0,2.0,9.0,1.0,1.0,-1.0,9.0,23856.0,280243.0,11.747275318578136,240.25121412488448,6.0,1.0,30.0,2.0,9.0,1.0,1.0,-1.0,9.0,23856.0,280243.0,11.747275318578136,240.25121412488448,0
"<com.getcapacitor.util.JSONUtils: org.json.JSONObject getObject(org.json.JSONObject,java.lang.String)>",0,"<com.getcapacitor.util.JSONUtils: org.json.JSONObject getDeepestObject(org.json.JSONObject,java.lang.String)>",1.0,1.0,9.0,1.0,2.0,5.0,3.0,1.0,1.0,-1.0,3.0,23856.0,280243.0,11.747275318578136,240.25121412488448,9.0,1.0,2.0,5.0,3.0,1.0,1.0,-1.0,3.0,23856.0,280243.0,11.747275318578136,240.25121412488448,1
<androidx.webkit.internal.WebViewGlueCommunicator: androidx.webkit.internal.WebViewProviderFactory createGlueProviderFactory()>,0,"<org.chromium.support_lib_boundary.util.BoundaryInterfaceReflectionUtil: java.lang.Object castToSuppLibClass(java.lang.Class,java.lang.reflect.InvocationHandler)>",1.0,1.0,11.0,1.0,3.0,2.0,8.0,1.0,1.0,-1.0,8.0,23856.0,280243.0,11.747275318578136,240.25121412488448,11.0,1.0,3.0,2.0,8.0,1.0,1.0,-1.0,8.0,23856.0,280243.0,11.747275318578136,240.25121412488448,1
"<androidx.collection.SimpleArrayMap: int indexOf(java.lang.Object,int)>",0,"<androidx.collection.SimpleArrayMap: int binarySearchHashes(int[],int,int)>",1.0,1.0,5.0,2.0,3.0,2.0,485.0,1.0,1.0,-1.0,485.0,23856.0,280243.0,11.747275318578136,240.25121412488448,5.0,2.0,3.0,2.0,485.0,1.0,1.0,-1.0,485.0,23856.0,280243.0,11.747275318578136,240.25121412488448,1
"<androidx.core.content.FileProvider: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",0,<androidx.core.content.FileProvider: void <clinit>()>,1.0,1.0,2.0,1.0,4.0,11.0,8.0,1.0,1.0,-1.0,8.0,23856.0,280243.0,11.747275318578136,240.25121412488448,2.0,1.0,4.0,11.0,8.0,1.0,1.0,-1.0,8.0,23856.0,280243.0,11.747275318578136,240.25121412488448,0
"<com.google.firebase.auth.FirebaseAuth: void <init>(com.google.firebase.FirebaseApp,com.google.firebase.inject.Provider)>",0,<com.google.firebase.FirebaseApp: android.content.Context getApplicationContext()>,1.0,1.0,10.0,1.0,1.0,14.0,18.0,1.0,1.0,-1.0,18.0,23856.0,280243.0,11.747275318578136,240.25121412488448,10.0,1.0,1.0,14.0,18.0,1.0,1.0,-1.0,18.0,23856.0,280243.0,11.747275318578136,240.25121412488448,1
<androidx.appcompat.app.AppCompatDelegateImpl$PanelFeatureState: androidx.appcompat.view.menu.MenuView getListMenuView(androidx.appcompat.view.menu.MenuPresenter$Callback)>,0,<androidx.appcompat.view.menu.MenuBuilder: void addMenuPresenter(androidx.appcompat.view.menu.MenuPresenter)>,1.0,1.0,8.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,23856.0,280243.0,11.747275318578136,240.25121412488448,8.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,23856.0,280243.0,11.747275318578136,240.25121412488448,1
<com.google.firebase.auth.internal.zzbj: void execute(java.lang.Runnable)>,0,<com.capacitorjs.plugins.statusbar.StatusBarPlugin$$ExternalSyntheticLambda3: void run()>,1.0,1.0,4.0,23.0,1.0,85.0,324.0,1.0,1.0,-1.0,324.0,23856.0,280243.0,11.747275318578136,240.25121412488448,4.0,23.0,1.0,85.0,324.0,1.0,1.0,-1.0,324.0,23856.0,280243.0,11.747275318578136,240.25121412488448,0
<com.google.firebase.FirebaseApp: java.lang.String getName()>,0,<com.google.firebase.FirebaseApp: void checkNotDeleted()>,1.0,1.0,6.0,13.0,2.0,5.0,1.0,1.0,1.0,-1.0,1.0,23856.0,280243.0,11.747275318578136,240.25121412488448,6.0,13.0,2.0,5.0,1.0,1.0,1.0,-1.0,1.0,23856.0,280243.0,11.747275318578136,240.25121412488448,1
<com.google.android.gms.internal.measurement.zzcs: void zza()>,0,<com.google.android.gms.internal.measurement.zzef: com.google.android.gms.internal.measurement.zzcc zze(com.google.android.gms.internal.measurement.zzef)>,1.0,1.0,4.0,1.0,0.0,39.0,7.0,1.0,1.0,-1.0,7.0,23856.0,280243.0,11.747275318578136,240.25121412488448,4.0,1.0,0.0,39.0,7.0,1.0,1.0,-1.0,7.0,23856.0,280243.0,11.747275318578136,240.25121412488448,1
