method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<com.unity3d.player.UnityPlayer: void <init>(android.app.Activity,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,<com.unity3d.player.k: void a(java.lang.String)>,1.0,1.0,3.0,2.0,2.0,1.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,2.0,1.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void reportSoftInputIsVisible(boolean)>,0,<com.unity3d.player.UnityPlayer: void queueGLThreadEvent(com.unity3d.player.UnityPlayer$f)>,1.0,1.0,6.0,1.0,2.0,3.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,6.0,1.0,2.0,3.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
"<com.unity3d.player.UnityPlayer: void <init>(android.app.Activity,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,"<com.unity3d.player.f: void Log(int,java.lang.String)>",1.0,1.0,3.0,2.0,3.0,13.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,3.0,13.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void checkResumePlayer()>,0,<com.unity3d.player.UnityPlayer: void <clinit>()>,1.0,1.0,4.0,2.0,2.0,30.0,8.0,1.0,1.0,-1.0,8.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,2.0,2.0,30.0,8.0,1.0,1.0,-1.0,8.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
"<com.unity3d.player.UnityPlayer: void <init>(android.app.Activity,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,<com.unity3d.player.l: void <init>()>,1.0,1.0,3.0,2.0,1.0,1.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,1.0,1.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer$5: void run()>,0,<com.unity3d.player.UnityPlayer: void reportSoftInputIsVisible(boolean)>,1.0,1.0,5.0,41.0,2.0,1.0,8.0,1.0,1.0,-1.0,8.0,19096.0,189493.0,9.92317762882279,283.56017900397376,5.0,41.0,2.0,1.0,8.0,1.0,1.0,-1.0,8.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer$e: void <init>(com.unity3d.player.UnityPlayer)>,0,<com.unity3d.player.UnityPlayer$b: void <clinit>()>,1.0,1.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,5.0,1.0,0.0,1.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
<com.unity3d.player.UnityPlayer$e: void a()>,0,<com.unity3d.player.UnityPlayer$d: void <clinit>()>,1.0,1.0,4.0,1.0,1.0,8.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,1.0,1.0,8.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
<com.unity3d.player.AudioVolumeHandler: void <init>(android.content.Context)>,0,<com.unity3d.player.b: void <init>(android.content.Context)>,1.0,1.0,4.0,1.0,5.0,1.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,1.0,5.0,1.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void resume()>,0,<com.unity3d.player.l: void b(boolean)>,1.0,1.0,3.0,5.0,0.0,2.0,8.0,1.0,1.0,-1.0,8.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,5.0,0.0,2.0,8.0,1.0,1.0,-1.0,8.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void queueGLThreadEvent(java.lang.Runnable)>,0,<com.unity3d.player.l: boolean c()>,1.0,1.0,4.0,3.0,1.0,10.0,164.0,1.0,1.0,-1.0,164.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,3.0,1.0,10.0,164.0,1.0,1.0,-1.0,164.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayerActivity: void onResume()>,0,<com.unity3d.player.MultiWindowSupport: boolean getAllowResizableWindow(android.app.Activity)>,1.0,1.0,2.0,1.0,4.0,5.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,2.0,1.0,4.0,5.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void reportSoftInputArea(android.graphics.Rect)>,0,<com.unity3d.player.UnityPlayer: void queueGLThreadEvent(com.unity3d.player.UnityPlayer$f)>,1.0,1.0,6.0,1.0,2.0,3.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,6.0,1.0,2.0,3.0,2.0,1.0,1.0,-1.0,2.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
"<com.unity3d.player.UnityPlayer: void <init>(android.app.Activity,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,<com.unity3d.player.h: void <init>(android.content.Context)>,1.0,1.0,3.0,2.0,4.0,2.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,4.0,2.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void pauseUnity()>,0,<com.unity3d.player.l: void b(boolean)>,1.0,1.0,4.0,1.0,0.0,2.0,18.0,1.0,1.0,-1.0,18.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,1.0,0.0,2.0,18.0,1.0,1.0,-1.0,18.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
<com.unity3d.player.UnityPlayer: void destroy()>,0,<com.unity3d.player.l: void <clinit>()>,1.0,1.0,3.0,2.0,0.0,15.0,20.0,1.0,1.0,-1.0,20.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,0.0,15.0,20.0,1.0,1.0,-1.0,20.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
"<com.unity3d.player.UnityPlayer$12: void <init>(com.unity3d.player.UnityPlayer,android.graphics.Rect)>",0,"<com.unity3d.player.UnityPlayer$f: void <init>(com.unity3d.player.UnityPlayer,byte)>",1.0,1.0,7.0,1.0,1.0,3.0,1.0,1.0,1.0,-1.0,1.0,19096.0,189493.0,9.92317762882279,283.56017900397376,7.0,1.0,1.0,3.0,1.0,1.0,1.0,-1.0,1.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void resume()>,0,<com.unity3d.player.AudioVolumeHandler: void <init>(android.content.Context)>,1.0,1.0,3.0,5.0,3.0,1.0,8.0,1.0,1.0,-1.0,8.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,5.0,3.0,1.0,8.0,1.0,1.0,-1.0,8.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
<com.unity3d.player.UnityPlayer: void pauseUnity()>,0,<com.unity3d.player.l: void <clinit>()>,1.0,1.0,4.0,1.0,0.0,15.0,18.0,1.0,1.0,-1.0,18.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,1.0,0.0,15.0,18.0,1.0,1.0,-1.0,18.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
<com.unity3d.player.UnityPlayer: void pauseUnity()>,0,<com.unity3d.player.UnityPlayer: boolean isFinishing()>,1.0,1.0,4.0,1.0,1.0,3.0,18.0,1.0,1.0,-1.0,18.0,19096.0,189493.0,9.92317762882279,283.56017900397376,4.0,1.0,1.0,3.0,18.0,1.0,1.0,-1.0,18.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
"<com.unity3d.player.UnityPlayer$1: void onClick(android.content.DialogInterface,int)>",0,<com.unity3d.player.UnityPlayer: void access$400(com.unity3d.player.UnityPlayer)>,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,2.0,2.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,19096.0,189493.0,9.92317762882279,283.56017900397376,1
"<com.unity3d.player.UnityPlayer: void <init>(android.app.Activity,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,<com.unity3d.player.UnityPlayer: void <clinit>()>,1.0,1.0,3.0,2.0,2.0,30.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,3.0,2.0,2.0,30.0,55.0,1.0,1.0,-1.0,55.0,19096.0,189493.0,9.92317762882279,283.56017900397376,0
