method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.appbrain.a.h$b: com.appbrain.a.h$a a(android.content.Context)>,0,<com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>,1.0,1.0,6.0,1.0,0.0,1.0,6.0,1.0,1.0,-1.0,6.0,12016.0,92826.0,7.725199733688416,203.8025122271777,6.0,1.0,0.0,1.0,6.0,1.0,1.0,-1.0,6.0,12016.0,92826.0,7.725199733688416,203.8025122271777,1
<com.appbrain.a.ax: void a()>,0,<com.startapp.ld$a$a: void run()>,1.0,1.0,6.0,3.0,5.0,59.0,307.0,1.0,1.0,-1.0,307.0,12016.0,92826.0,7.725199733688416,203.8025122271777,6.0,3.0,5.0,59.0,307.0,1.0,1.0,-1.0,307.0,12016.0,92826.0,7.725199733688416,203.8025122271777,0
"<com.appbrain.i.b$a: java.lang.Object a(com.appbrain.e.l$i,java.lang.Object,java.lang.Object)>",0,"<com.appbrain.e.l$h: int a(boolean,int,boolean,int)>",1.0,1.0,5.0,10.0,0.0,16.0,113.0,1.0,1.0,-1.0,113.0,12016.0,92826.0,7.725199733688416,203.8025122271777,5.0,10.0,0.0,16.0,113.0,1.0,1.0,-1.0,113.0,12016.0,92826.0,7.725199733688416,203.8025122271777,0
<com.startapp.sdk.ads.video.b: void a(boolean)>,0,"<com.startapp.sdk.ads.video.e: void <init>(com.startapp.sdk.ads.video.h,java.lang.String,com.startapp.sdk.ads.video.j$b,com.startapp.sdk.ads.video.d$a)>",1.0,1.0,5.0,2.0,1.0,1.0,26.0,1.0,1.0,-1.0,26.0,12016.0,92826.0,7.725199733688416,203.8025122271777,5.0,2.0,1.0,1.0,26.0,1.0,1.0,-1.0,26.0,12016.0,92826.0,7.725199733688416,203.8025122271777,1
<com.appbrain.e.a: void a(java.io.OutputStream)>,0,<com.appbrain.i.b$a: int d()>,1.0,1.0,7.0,1.0,17.0,6.0,67.0,1.0,1.0,-1.0,67.0,12016.0,92826.0,7.725199733688416,203.8025122271777,7.0,1.0,17.0,6.0,67.0,1.0,1.0,-1.0,67.0,12016.0,92826.0,7.725199733688416,203.8025122271777,0
<com.startapp.sdk.adsbase.b: void a(boolean)>,0,<com.startapp.sdk.ads.video.b: void b(boolean)>,1.0,1.0,5.0,7.0,3.0,1.0,6.0,1.0,1.0,-1.0,6.0,12016.0,92826.0,7.725199733688416,203.8025122271777,5.0,7.0,3.0,1.0,6.0,1.0,1.0,-1.0,6.0,12016.0,92826.0,7.725199733688416,203.8025122271777,0
<com.appbrain.a.a$1: void onActivityDestroyed(android.app.Activity)>,0,<com.appbrain.a.a: java.util.WeakHashMap a(com.appbrain.a.a)>,1.0,1.0,2.0,1.0,0.0,1.0,37.0,1.0,1.0,-1.0,37.0,12016.0,92826.0,7.725199733688416,203.8025122271777,2.0,1.0,0.0,1.0,37.0,1.0,1.0,-1.0,37.0,12016.0,92826.0,7.725199733688416,203.8025122271777,1
"<com.startapp.sdk.adsbase.model.GetAdRequest: void a(android.content.Context,com.startapp.sdk.adsbase.model.AdPreferences,com.startapp.sdk.adsbase.model.AdPreferences$Placement,com.startapp.sdk.common.utils.Pair)>",0,<com.startapp.sdk.adsbase.model.AdPreferences: java.lang.Double getMinCpm()>,1.0,1.0,9.0,2.0,0.0,2.0,33.0,1.0,1.0,-1.0,33.0,12016.0,92826.0,7.725199733688416,203.8025122271777,9.0,2.0,0.0,2.0,33.0,1.0,1.0,-1.0,33.0,12016.0,92826.0,7.725199733688416,203.8025122271777,1
"<com.appbrain.i.a$r: java.lang.Object a(com.appbrain.e.l$i,java.lang.Object,java.lang.Object)>",0,<com.appbrain.e.b: void <clinit>()>,1.0,1.0,5.0,10.0,2.0,33.0,41.0,1.0,1.0,-1.0,41.0,12016.0,92826.0,7.725199733688416,203.8025122271777,5.0,10.0,2.0,33.0,41.0,1.0,1.0,-1.0,41.0,12016.0,92826.0,7.725199733688416,203.8025122271777,0
<com.appbrain.e.m: com.appbrain.e.n$d a(int)>,0,<com.appbrain.e.m: void <clinit>()>,1.0,1.0,7.0,3.0,2.0,3.0,4.0,1.0,1.0,-1.0,4.0,12016.0,92826.0,7.725199733688416,203.8025122271777,7.0,3.0,2.0,3.0,4.0,1.0,1.0,-1.0,4.0,12016.0,92826.0,7.725199733688416,203.8025122271777,0
<com.appbrain.c.l: void b(java.lang.Runnable)>,0,<com.appbrain.a.bt$1: void run()>,1.0,1.0,3.0,5.0,1.0,59.0,290.0,1.0,1.0,-1.0,290.0,12016.0,92826.0,7.725199733688416,203.8025122271777,3.0,5.0,1.0,59.0,290.0,1.0,1.0,-1.0,290.0,12016.0,92826.0,7.725199733688416,203.8025122271777,0
<com.startapp.sdk.adsbase.b: void c()>,0,<com.startapp.sdk.components.ComponentLocator: com.startapp.sdk.components.ComponentLocator a(android.content.Context)>,1.0,1.0,7.0,9.0,3.0,83.0,19.0,1.0,1.0,-1.0,19.0,12016.0,92826.0,7.725199733688416,203.8025122271777,7.0,9.0,3.0,83.0,19.0,1.0,1.0,-1.0,19.0,12016.0,92826.0,7.725199733688416,203.8025122271777,1
<com.appbrain.a.aw: com.appbrain.AdId a(com.appbrain.AdId)>,0,<com.appbrain.AdId: boolean isInterstitialId()>,1.0,1.0,6.0,2.0,0.0,3.0,7.0,1.0,1.0,-1.0,7.0,12016.0,92826.0,7.725199733688416,203.8025122271777,6.0,2.0,0.0,3.0,7.0,1.0,1.0,-1.0,7.0,12016.0,92826.0,7.725199733688416,203.8025122271777,1
<com.startapp.t0: boolean a(java.lang.Object)>,0,"<com.startapp.f0: java.lang.Boolean a(android.content.Context,java.util.List,int,java.util.Set,java.util.List)>",1.0,1.0,6.0,3.0,78.0,3.0,22.0,1.0,1.0,-1.0,22.0,12016.0,92826.0,7.725199733688416,203.8025122271777,6.0,3.0,78.0,3.0,22.0,1.0,1.0,-1.0,22.0,12016.0,92826.0,7.725199733688416,203.8025122271777,1
