method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<androidx.navigation.NavController: void navigate(androidx.navigation.NavDestination,android.os.Bundle,androidx.navigation.NavOptions,androidx.navigation.Navigator$Extras)>",0,<androidx.navigation.NavOptions: int getPopUpTo()>,1,1,6,3,0,3,44,1,1,-1,44,37460.0,457446.0,12.211585691404164,277.2658718187502,6,3,0,3,44,1,1,-1,44,37460.0,457446.0,12.211585691404164,277.2658718187502,0
"<androidx.constraintlayout.widget.ConstraintLayout: void setSelfDimensionBehaviour(androidx.constraintlayout.core.widgets.ConstraintWidgetContainer,int,int,int,int)>",0,<androidx.constraintlayout.core.widgets.ConstraintWidget: void setMaxHeight(int)>,1,1,5,1,0,1,17,1,1,-1,17,37460.0,457446.0,12.211585691404164,277.2658718187502,5,1,0,1,17,1,1,-1,17,37460.0,457446.0,12.211585691404164,277.2658718187502,0
<com.google.firebase.installations.FirebaseInstallations: com.google.firebase.installations.local.PersistedInstallationEntry getPrefsWithGeneratedIdMultiProcessSafe()>,0,<com.google.firebase.installations.local.PersistedInstallation: com.google.firebase.installations.local.PersistedInstallationEntry insertOrUpdatePersistedInstallationEntry(com.google.firebase.installations.local.PersistedInstallationEntry)>,1,1,8,1,26,2,9,1,1,-1,9,37460.0,457446.0,12.211585691404164,277.2658718187502,8,1,26,2,9,1,1,-1,9,37460.0,457446.0,12.211585691404164,277.2658718187502,0
"<com.google.android.gms.internal.measurement.zzee: com.google.android.gms.internal.measurement.zzcc zzf(android.content.Context,boolean)>",0,<com.google.android.gms.dynamite.DynamiteModule: android.os.IBinder instantiate(java.lang.String)>,1,1,7,1,7,2,5,1,1,-1,5,37460.0,457446.0,12.211585691404164,277.2658718187502,7,1,7,2,5,1,1,-1,5,37460.0,457446.0,12.211585691404164,277.2658718187502,0
<com.onradar.app.db.UserDao_Impl: void <init>(androidx.room.RoomDatabase)>,0,"<com.onradar.app.db.UserDao_Impl$2: void <init>(com.onradar.app.db.UserDao_Impl,androidx.room.RoomDatabase)>",1,1,6,1,1,1,3,1,1,-1,3,37460.0,457446.0,12.211585691404164,277.2658718187502,6,1,1,1,3,1,1,-1,3,37460.0,457446.0,12.211585691404164,277.2658718187502,0
<com.google.firebase.crashlytics.internal.model.AutoCrashlyticsReportEncoder$CrashlyticsReportSessionEventApplicationExecutionThreadFrameEncoder: void <clinit>()>,0,<com.google.firebase.encoders.FieldDescriptor: com.google.firebase.encoders.FieldDescriptor of(java.lang.String)>,1,1,12,2,3,28,2,1,1,-1,2,37460.0,457446.0,12.211585691404164,277.2658718187502,12,2,3,28,2,1,1,-1,2,37460.0,457446.0,12.211585691404164,277.2658718187502,0
<androidx.arch.core.executor.DefaultTaskExecutor: void postToMainThread(java.lang.Runnable)>,0,<com.onradar.app.ui.HomeActivity$onCreate$lambda-1$$inlined$doOnPreDraw$1: void run()>,1,1,8,2,13,102,465,1,1,-1,465,37460.0,457446.0,12.211585691404164,277.2658718187502,8,2,13,102,465,1,1,-1,465,37460.0,457446.0,12.211585691404164,277.2658718187502,0
<com.google.android.datatransport.runtime.scheduling.jobscheduling.Uploader_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.Uploader get()>,0,<com.google.android.datatransport.runtime.time.TimeModule_EventClockFactory: com.google.android.datatransport.runtime.time.Clock get()>,1,1,11,18,1,18,26,1,1,-1,26,37460.0,457446.0,12.211585691404164,277.2658718187502,11,18,1,18,26,1,1,-1,26,37460.0,457446.0,12.211585691404164,277.2658718187502,0
<androidx.navigation.NavController: boolean handleDeepLink(android.content.Intent)>,0,<androidx.navigation.NavGraph: int getStartDestination()>,1,1,13,1,0,7,44,1,1,-1,44,37460.0,457446.0,12.211585691404164,277.2658718187502,13,1,0,7,44,1,1,-1,44,37460.0,457446.0,12.211585691404164,277.2658718187502,0
<com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer get()>,0,<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore_Factory: com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore get()>,1,1,11,18,28,18,26,1,1,-1,26,37460.0,457446.0,12.211585691404164,277.2658718187502,11,18,28,18,26,1,1,-1,26,37460.0,457446.0,12.211585691404164,277.2658718187502,0
<androidx.appcompat.app.AppCompatDelegateImpl$PanelFeatureState: androidx.appcompat.view.menu.MenuView getListMenuView(androidx.appcompat.view.menu.MenuPresenter$Callback)>,0,<androidx.appcompat.view.menu.MenuBuilder: void addMenuPresenter(androidx.appcompat.view.menu.MenuPresenter)>,1,1,11,1,1,3,4,1,1,-1,4,37460.0,457446.0,12.211585691404164,277.2658718187502,11,1,1,3,4,1,1,-1,4,37460.0,457446.0,12.211585691404164,277.2658718187502,0
