method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<com.google.android.gms.common.internal.BaseGmsClient: void getRemoteService(com.google.android.gms.common.internal.IAccountAccessor,java.util.Set)>",0,<com.google.android.gms.common.internal.GetServiceRequest: void <clinit>()>,1.0,1.0,4.0,3.0,1.0,2.0,40.0,1.0,1.0,-1.0,40.0,19056.0,97930.0,5.139063811922754,111.1947309302563,4.0,3.0,1.0,2.0,40.0,1.0,1.0,-1.0,40.0,19056.0,97930.0,5.139063811922754,111.1947309302563,0
"<com.google.android.gms.common.internal.safeparcel.SafeParcelWriter: void writeLong(android.os.Parcel,int,long)>",0,"<com.google.android.gms.common.internal.safeparcel.SafeParcelWriter: void zza(android.os.Parcel,int,int)>",1.0,1.0,9.0,8.0,1.0,14.0,2.0,1.0,1.0,-1.0,2.0,19056.0,97930.0,5.139063811922754,111.1947309302563,9.0,8.0,1.0,14.0,2.0,1.0,1.0,-1.0,2.0,19056.0,97930.0,5.139063811922754,111.1947309302563,1
"<androidx.fragment.app.FragmentLifecycleCallbacksDispatcher: void dispatchOnFragmentPreAttached(androidx.fragment.app.Fragment,boolean)>",0,<androidx.collection.MapCollections$ArrayIterator: boolean hasNext()>,1.0,1.0,9.0,2.0,0.0,270.0,24.0,1.0,1.0,-1.0,24.0,19056.0,97930.0,5.139063811922754,111.1947309302563,9.0,2.0,0.0,270.0,24.0,1.0,1.0,-1.0,24.0,19056.0,97930.0,5.139063811922754,111.1947309302563,0
"<com.google.android.gms.common.internal.zzq: boolean zzb(com.google.android.gms.common.internal.zzm,android.content.ServiceConnection,java.lang.String)>",0,"<com.google.android.gms.common.internal.zzo: void <init>(com.google.android.gms.common.internal.zzq,com.google.android.gms.common.internal.zzm)>",1.0,1.0,7.0,1.0,2.0,1.0,27.0,1.0,1.0,-1.0,27.0,19056.0,97930.0,5.139063811922754,111.1947309302563,7.0,1.0,2.0,1.0,27.0,1.0,1.0,-1.0,27.0,19056.0,97930.0,5.139063811922754,111.1947309302563,1
<androidx.fragment.app.SpecialEffectsController$Operation$State: void <clinit>()>,0,"<androidx.fragment.app.SpecialEffectsController$Operation$State: void <init>(java.lang.String,int)>",1.0,1.0,6.0,18.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,19056.0,97930.0,5.139063811922754,111.1947309302563,6.0,18.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,19056.0,97930.0,5.139063811922754,111.1947309302563,1
"<androidx.fragment.app.FragmentLifecycleCallbacksDispatcher: void dispatchOnFragmentSaveInstanceState(androidx.fragment.app.Fragment,android.os.Bundle,boolean)>",0,<androidx.fragment.app.FragmentManager: androidx.fragment.app.Fragment getParent()>,1.0,1.0,11.0,2.0,0.0,15.0,22.0,1.0,1.0,-1.0,22.0,19056.0,97930.0,5.139063811922754,111.1947309302563,11.0,2.0,0.0,15.0,22.0,1.0,1.0,-1.0,22.0,19056.0,97930.0,5.139063811922754,111.1947309302563,1
"<androidx.appcompat.widget.AppCompatTextHelper$1: void <init>(androidx.appcompat.widget.AppCompatTextHelper,int,int,java.lang.ref.WeakReference)>",0,<androidx.core.content.res.ResourcesCompat$FontCallback: void <init>()>,1.0,1.0,9.0,1.0,1.0,2.0,1.0,1.0,1.0,-1.0,1.0,19056.0,97930.0,5.139063811922754,111.1947309302563,9.0,1.0,1.0,2.0,1.0,1.0,1.0,-1.0,1.0,19056.0,97930.0,5.139063811922754,111.1947309302563,1
<androidx.fragment.app.FragmentManager: androidx.fragment.app.FragmentStateManager createOrGetFragmentStateManager(androidx.fragment.app.Fragment)>,0,<androidx.fragment.app.FragmentStore: androidx.fragment.app.FragmentStateManager getFragmentStateManager(java.lang.String)>,1.0,1.0,7.0,4.0,2.0,3.0,6.0,1.0,1.0,-1.0,6.0,19056.0,97930.0,5.139063811922754,111.1947309302563,7.0,4.0,2.0,3.0,6.0,1.0,1.0,-1.0,6.0,19056.0,97930.0,5.139063811922754,111.1947309302563,1
"<androidx.fragment.app.DefaultSpecialEffectsController: void startAnimations(java.util.List,java.util.List,boolean,java.util.Map)>",0,<androidx.arch.core.internal.SafeIterableMap$IteratorWithAdditions: java.util.Map$Entry next()>,1.0,1.0,6.0,1.0,0.0,273.0,77.0,1.0,1.0,-1.0,77.0,19056.0,97930.0,5.139063811922754,111.1947309302563,6.0,1.0,0.0,273.0,77.0,1.0,1.0,-1.0,77.0,19056.0,97930.0,5.139063811922754,111.1947309302563,0
<androidx.fragment.app.FragmentStateManager: void moveToExpectedState()>,0,<androidx.fragment.app.FragmentStateManager: void destroy()>,1.0,1.0,7.0,6.0,42.0,2.0,35.0,1.0,1.0,-1.0,35.0,19056.0,97930.0,5.139063811922754,111.1947309302563,7.0,6.0,42.0,2.0,35.0,1.0,1.0,-1.0,35.0,19056.0,97930.0,5.139063811922754,111.1947309302563,1
<androidx.fragment.app.SpecialEffectsController$1: void run()>,0,<androidx.fragment.app.SpecialEffectsController$Operation: androidx.fragment.app.Fragment getFragment()>,1.0,1.0,3.0,49.0,0.0,16.0,4.0,1.0,1.0,-1.0,4.0,19056.0,97930.0,5.139063811922754,111.1947309302563,3.0,49.0,0.0,16.0,4.0,1.0,1.0,-1.0,4.0,19056.0,97930.0,5.139063811922754,111.1947309302563,1
<androidx.appcompat.view.ContextThemeWrapper: android.content.res.Resources$Theme getTheme()>,0,<androidx.appcompat.view.ContextThemeWrapper: void initializeTheme()>,1.0,1.0,5.0,28.0,9.0,2.0,1.0,1.0,1.0,-1.0,1.0,19056.0,97930.0,5.139063811922754,111.1947309302563,5.0,28.0,9.0,2.0,1.0,1.0,1.0,-1.0,1.0,19056.0,97930.0,5.139063811922754,111.1947309302563,1
"<androidx.fragment.app.FragmentLifecycleCallbacksDispatcher: void dispatchOnFragmentStarted(androidx.fragment.app.Fragment,boolean)>",0,<androidx.arch.core.internal.SafeIterableMap$ListIterator: java.util.Map$Entry next()>,1.0,1.0,9.0,2.0,1.0,270.0,22.0,1.0,1.0,-1.0,22.0,19056.0,97930.0,5.139063811922754,111.1947309302563,9.0,2.0,1.0,270.0,22.0,1.0,1.0,-1.0,22.0,19056.0,97930.0,5.139063811922754,111.1947309302563,0
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable createDrawableIfNeeded(android.content.Context,int)>",0,"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getCachedDrawable(android.content.Context,long)>",1.0,1.0,8.0,1.0,14.0,2.0,18.0,1.0,1.0,-1.0,18.0,19056.0,97930.0,5.139063811922754,111.1947309302563,8.0,1.0,14.0,2.0,18.0,1.0,1.0,-1.0,18.0,19056.0,97930.0,5.139063811922754,111.1947309302563,1
"<androidx.fragment.app.FragmentManager: void attachController(androidx.fragment.app.FragmentHostCallback,androidx.fragment.app.FragmentContainer,androidx.fragment.app.Fragment)>",0,<androidx.activity.result.contract.ActivityResultContracts$RequestMultiplePermissions: void <init>()>,1.0,1.0,9.0,2.0,1.0,1.0,31.0,1.0,1.0,-1.0,31.0,19056.0,97930.0,5.139063811922754,111.1947309302563,9.0,2.0,1.0,1.0,31.0,1.0,1.0,-1.0,31.0,19056.0,97930.0,5.139063811922754,111.1947309302563,1
"<com.google.android.gms.common.internal.zzq: boolean zzb(com.google.android.gms.common.internal.zzm,android.content.ServiceConnection,java.lang.String)>",0,"<com.google.android.gms.common.internal.zzo: void onServiceConnected(android.content.ComponentName,android.os.IBinder)>",1.0,1.0,7.0,1.0,53.0,2.0,27.0,1.0,1.0,-1.0,27.0,19056.0,97930.0,5.139063811922754,111.1947309302563,7.0,1.0,53.0,2.0,27.0,1.0,1.0,-1.0,27.0,19056.0,97930.0,5.139063811922754,111.1947309302563,0
<androidx.fragment.app.FragmentStateManager: void stop()>,0,"<androidx.fragment.app.FragmentLifecycleCallbacksDispatcher: void dispatchOnFragmentStopped(androidx.fragment.app.Fragment,boolean)>",1.0,1.0,8.0,2.0,22.0,2.0,9.0,1.0,1.0,-1.0,9.0,19056.0,97930.0,5.139063811922754,111.1947309302563,8.0,2.0,22.0,2.0,9.0,1.0,1.0,-1.0,9.0,19056.0,97930.0,5.139063811922754,111.1947309302563,1
<androidx.collection.ArraySet: boolean addAll(java.util.Collection)>,0,<androidx.arch.core.internal.SafeIterableMap$ListIterator: java.util.Map$Entry next()>,1.0,1.0,7.0,4.0,1.0,270.0,50.0,1.0,1.0,-1.0,50.0,19056.0,97930.0,5.139063811922754,111.1947309302563,7.0,4.0,1.0,270.0,50.0,1.0,1.0,-1.0,50.0,19056.0,97930.0,5.139063811922754,111.1947309302563,0
"<androidx.appcompat.widget.LinearLayoutCompat: void <init>(android.content.Context,android.util.AttributeSet,int)>",0,"<androidx.appcompat.widget.TintTypedArray: int getInt(int,int)>",1.0,1.0,4.0,2.0,1.0,7.0,16.0,1.0,1.0,-1.0,16.0,19056.0,97930.0,5.139063811922754,111.1947309302563,4.0,2.0,1.0,7.0,16.0,1.0,1.0,-1.0,16.0,19056.0,97930.0,5.139063811922754,111.1947309302563,1
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getDrawable(android.content.Context,int,boolean)>",0,<androidx.core.content.ContextCompat: void <clinit>()>,1.0,1.0,7.0,2.0,1.0,19.0,8.0,1.0,1.0,-1.0,8.0,19056.0,97930.0,5.139063811922754,111.1947309302563,7.0,2.0,1.0,19.0,8.0,1.0,1.0,-1.0,8.0,19056.0,97930.0,5.139063811922754,111.1947309302563,0
<com.google.android.gms.common.zzc: java.lang.Object createFromParcel(android.os.Parcel)>,0,"<com.google.android.gms.common.Feature: void <init>(java.lang.String,int,long)>",1.0,1.0,12.0,12.0,1.0,1.0,11.0,1.0,1.0,-1.0,11.0,19056.0,97930.0,5.139063811922754,111.1947309302563,12.0,12.0,1.0,1.0,11.0,1.0,1.0,-1.0,11.0,19056.0,97930.0,5.139063811922754,111.1947309302563,1
"<androidx.fragment.app.SpecialEffectsController: void enqueue(androidx.fragment.app.SpecialEffectsController$Operation$State,androidx.fragment.app.SpecialEffectsController$Operation$LifecycleImpact,androidx.fragment.app.FragmentStateManager)>",0,"<androidx.fragment.app.SpecialEffectsController$2: void <init>(androidx.fragment.app.SpecialEffectsController,androidx.fragment.app.SpecialEffectsController$FragmentStateManagerOperation)>",1.0,1.0,9.0,4.0,1.0,1.0,9.0,1.0,1.0,-1.0,9.0,19056.0,97930.0,5.139063811922754,111.1947309302563,9.0,4.0,1.0,1.0,9.0,1.0,1.0,-1.0,9.0,19056.0,97930.0,5.139063811922754,111.1947309302563,1
<androidx.fragment.app.FragmentActivity: void onPause()>,0,<androidx.lifecycle.Lifecycle$Event: void <clinit>()>,1.0,1.0,2.0,1.0,1.0,37.0,4.0,1.0,1.0,-1.0,4.0,19056.0,97930.0,5.139063811922754,111.1947309302563,2.0,1.0,1.0,37.0,4.0,1.0,1.0,-1.0,4.0,19056.0,97930.0,5.139063811922754,111.1947309302563,0
<androidx.collection.ArraySet: boolean addAll(java.util.Collection)>,0,<androidx.arch.core.internal.SafeIterableMap$IteratorWithAdditions: java.util.Map$Entry next()>,1.0,1.0,7.0,4.0,0.0,273.0,50.0,1.0,1.0,-1.0,50.0,19056.0,97930.0,5.139063811922754,111.1947309302563,7.0,4.0,0.0,273.0,50.0,1.0,1.0,-1.0,50.0,19056.0,97930.0,5.139063811922754,111.1947309302563,0
<androidx.fragment.app.FragmentViewLifecycleOwner: androidx.savedstate.SavedStateRegistry getSavedStateRegistry()>,0,<androidx.savedstate.SavedStateRegistryController: androidx.savedstate.SavedStateRegistry getSavedStateRegistry()>,1.0,1.0,8.0,2.0,0.0,4.0,2.0,1.0,1.0,-1.0,2.0,19056.0,97930.0,5.139063811922754,111.1947309302563,8.0,2.0,0.0,4.0,2.0,1.0,1.0,-1.0,2.0,19056.0,97930.0,5.139063811922754,111.1947309302563,1
<androidx.fragment.app.SpecialEffectsController: void enqueueHide(androidx.fragment.app.FragmentStateManager)>,0,"<androidx.fragment.app.SpecialEffectsController: void enqueue(androidx.fragment.app.SpecialEffectsController$Operation$State,androidx.fragment.app.SpecialEffectsController$Operation$LifecycleImpact,androidx.fragment.app.FragmentStateManager)>",1.0,1.0,8.0,1.0,9.0,4.0,11.0,1.0,1.0,-1.0,11.0,19056.0,97930.0,5.139063811922754,111.1947309302563,8.0,1.0,9.0,4.0,11.0,1.0,1.0,-1.0,11.0,19056.0,97930.0,5.139063811922754,111.1947309302563,1
