method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<d.b.a.b.a: java.util.Map$Entry o(java.lang.Object)>,0,<d.b.a.b.a: boolean contains(java.lang.Object)>,1.0,1.0,9.0,1.0,1.0,4.0,3.0,1.0,1.0,-1.0,3.0,23203.0,194987.0,8.403525406197474,193.74603947955504,9.0,1.0,1.0,4.0,3.0,1.0,1.0,-1.0,3.0,23203.0,194987.0,8.403525406197474,193.74603947955504,1
"<androidx.startup.a: java.lang.Object d(java.lang.Class,java.util.Set)>",0,<d.n.a: void b()>,1.0,1.0,4.0,3.0,2.0,3.0,186.0,1.0,1.0,-1.0,186.0,23203.0,194987.0,8.403525406197474,193.74603947955504,4.0,3.0,2.0,3.0,186.0,1.0,1.0,-1.0,186.0,23203.0,194987.0,8.403525406197474,193.74603947955504,1
"<io.flutter.embedding.engine.b: void <init>(android.content.Context,io.flutter.embedding.engine.h.d,io.flutter.embedding.engine.FlutterJNI,io.flutter.plugin.platform.n,java.lang.String[],boolean,boolean)>",0,<io.flutter.embedding.engine.FlutterJNI: boolean isAttached()>,1.0,1.0,6.0,1.0,0.0,8.0,51.0,1.0,1.0,-1.0,51.0,23203.0,194987.0,8.403525406197474,193.74603947955504,6.0,1.0,0.0,8.0,51.0,1.0,1.0,-1.0,51.0,23203.0,194987.0,8.403525406197474,193.74603947955504,1
"<androidx.lifecycle.FullLifecycleObserverAdapter: void j(androidx.lifecycle.m,androidx.lifecycle.i$b)>",0,<androidx.lifecycle.FullLifecycleObserverAdapter$a: void <clinit>()>,1.0,1.0,8.0,3.0,3.0,1.0,34.0,1.0,1.0,-1.0,34.0,23203.0,194987.0,8.403525406197474,193.74603947955504,8.0,3.0,3.0,1.0,34.0,1.0,1.0,-1.0,34.0,23203.0,194987.0,8.403525406197474,193.74603947955504,0
"<io.flutter.embedding.engine.f.d$c: void d(java.lang.String,g.a.c.a.c$a)>",0,"<io.flutter.embedding.engine.f.e: void d(java.lang.String,g.a.c.a.c$a)>",1.0,1.0,4.0,4.0,1.0,6.0,1.0,1.0,1.0,-1.0,1.0,23203.0,194987.0,8.403525406197474,193.74603947955504,4.0,4.0,1.0,6.0,1.0,1.0,1.0,-1.0,1.0,23203.0,194987.0,8.403525406197474,193.74603947955504,1
<io.flutter.embedding.engine.h.d$a: io.flutter.embedding.engine.h.d$b a()>,0,"<io.flutter.embedding.engine.h.d: io.flutter.embedding.engine.h.e a(io.flutter.embedding.engine.h.d,android.content.Context)>",1.0,1.0,5.0,1.0,1.0,1.0,19.0,1.0,1.0,-1.0,19.0,23203.0,194987.0,8.403525406197474,193.74603947955504,5.0,1.0,1.0,1.0,19.0,1.0,1.0,-1.0,19.0,23203.0,194987.0,8.403525406197474,193.74603947955504,1
<androidx.lifecycle.n: boolean i()>,0,<d.b.a.b.b: int size()>,1.0,1.0,6.0,1.0,0.0,2.0,10.0,1.0,1.0,-1.0,10.0,23203.0,194987.0,8.403525406197474,193.74603947955504,6.0,1.0,0.0,2.0,10.0,1.0,1.0,-1.0,10.0,23203.0,194987.0,8.403525406197474,193.74603947955504,1
<e.b.a.b.c.c.r: void <clinit>()>,0,<e.b.a.b.c.c.i: void <clinit>()>,1.0,1.0,7.0,2.0,0.0,15.0,3.0,1.0,1.0,-1.0,3.0,23203.0,194987.0,8.403525406197474,193.74603947955504,7.0,2.0,0.0,15.0,3.0,1.0,1.0,-1.0,3.0,23203.0,194987.0,8.403525406197474,193.74603947955504,0
<io.flutter.embedding.engine.j.n: void <init>(io.flutter.embedding.engine.f.d)>,0,"<g.a.c.a.k: void <init>(g.a.c.a.c,java.lang.String,g.a.c.a.l)>",1.0,1.0,7.0,1.0,1.0,10.0,5.0,1.0,1.0,-1.0,5.0,23203.0,194987.0,8.403525406197474,193.74603947955504,7.0,1.0,1.0,10.0,5.0,1.0,1.0,-1.0,5.0,23203.0,194987.0,8.403525406197474,193.74603947955504,1
<e.b.a.b.c.d.c2: void <init>()>,0,<e.b.a.b.c.d.b2: void <init>()>,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,23203.0,194987.0,8.403525406197474,193.74603947955504,8.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,23203.0,194987.0,8.403525406197474,193.74603947955504,1
"<e.b.a.b.c.d.d1: e.b.a.b.c.d.d1 o(java.lang.Object,java.lang.Object)>",0,<e.b.a.b.c.d.x0: void <clinit>()>,1.0,1.0,7.0,2.0,0.0,17.0,8.0,1.0,1.0,-1.0,8.0,23203.0,194987.0,8.403525406197474,193.74603947955504,7.0,2.0,0.0,17.0,8.0,1.0,1.0,-1.0,8.0,23203.0,194987.0,8.403525406197474,193.74603947955504,0
<io.flutter.embedding.engine.h.b: io.flutter.embedding.engine.h.c e(android.content.Context)>,0,<io.flutter.embedding.engine.h.b: void <clinit>()>,1.0,1.0,9.0,1.0,5.0,4.0,6.0,1.0,1.0,-1.0,6.0,23203.0,194987.0,8.403525406197474,193.74603947955504,9.0,1.0,5.0,4.0,6.0,1.0,1.0,-1.0,6.0,23203.0,194987.0,8.403525406197474,193.74603947955504,0
"<androidx.lifecycle.n: void <init>(androidx.lifecycle.m,boolean)>",0,<androidx.lifecycle.i$c: void <clinit>()>,1.0,1.0,5.0,1.0,1.0,28.0,5.0,1.0,1.0,-1.0,5.0,23203.0,194987.0,8.403525406197474,193.74603947955504,5.0,1.0,1.0,28.0,5.0,1.0,1.0,-1.0,5.0,23203.0,194987.0,8.403525406197474,193.74603947955504,0
<io.flutter.embedding.engine.j.p: void <init>(io.flutter.embedding.engine.f.d)>,0,<g.a.c.a.g: void <clinit>()>,1.0,1.0,7.0,1.0,1.0,5.0,5.0,1.0,1.0,-1.0,5.0,23203.0,194987.0,8.403525406197474,193.74603947955504,7.0,1.0,1.0,5.0,5.0,1.0,1.0,-1.0,5.0,23203.0,194987.0,8.403525406197474,193.74603947955504,0
<androidx.lifecycle.n: void <init>(androidx.lifecycle.m)>,0,"<androidx.lifecycle.n: void <init>(androidx.lifecycle.m,boolean)>",1.0,1.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,-1.0,1.0,23203.0,194987.0,8.403525406197474,193.74603947955504,4.0,5.0,5.0,1.0,1.0,1.0,1.0,-1.0,1.0,23203.0,194987.0,8.403525406197474,193.74603947955504,1
<d.c.b: void <init>()>,0,<d.c.b: void <init>(int)>,1.0,1.0,7.0,5.0,3.0,2.0,1.0,1.0,1.0,-1.0,1.0,23203.0,194987.0,8.403525406197474,193.74603947955504,7.0,5.0,3.0,2.0,1.0,1.0,1.0,-1.0,1.0,23203.0,194987.0,8.403525406197474,193.74603947955504,1
<g.a.c.a.a: void e(g.a.c.a.a$d)>,0,"<io.flutter.embedding.engine.f.e: void d(java.lang.String,g.a.c.a.c$a)>",1.0,1.0,3.0,2.0,1.0,6.0,7.0,1.0,1.0,-1.0,7.0,23203.0,194987.0,8.403525406197474,193.74603947955504,3.0,2.0,1.0,6.0,7.0,1.0,1.0,-1.0,7.0,23203.0,194987.0,8.403525406197474,193.74603947955504,0
<e.b.a.b.c.d.d1: void <clinit>()>,0,<e.b.a.b.c.d.r1: void <clinit>()>,1.0,1.0,6.0,12.0,3.0,2.0,3.0,1.0,1.0,-1.0,3.0,23203.0,194987.0,8.403525406197474,193.74603947955504,6.0,12.0,3.0,2.0,3.0,1.0,1.0,-1.0,3.0,23203.0,194987.0,8.403525406197474,193.74603947955504,0
"<e.b.a.b.c.f.ic: void <init>(e.b.a.b.c.f.kc,int)>",0,<e.b.a.b.c.f.pc: int size()>,1.0,1.0,6.0,2.0,0.0,162.0,5.0,1.0,1.0,-1.0,5.0,23203.0,194987.0,8.403525406197474,193.74603947955504,6.0,2.0,0.0,162.0,5.0,1.0,1.0,-1.0,5.0,23203.0,194987.0,8.403525406197474,193.74603947955504,0
<androidx.lifecycle.n: void p()>,0,<d.b.a.b.b: java.util.Map$Entry k()>,1.0,1.0,5.0,2.0,0.0,2.0,15.0,1.0,1.0,-1.0,15.0,23203.0,194987.0,8.403525406197474,193.74603947955504,5.0,2.0,0.0,2.0,15.0,1.0,1.0,-1.0,15.0,23203.0,194987.0,8.403525406197474,193.74603947955504,0
<io.flutter.embedding.engine.j.g: void <init>(io.flutter.embedding.engine.f.d)>,0,<g.a.c.a.k: void e(g.a.c.a.k$c)>,1.0,1.0,7.0,1.0,7.0,22.0,5.0,1.0,1.0,-1.0,5.0,23203.0,194987.0,8.403525406197474,193.74603947955504,7.0,1.0,7.0,22.0,5.0,1.0,1.0,-1.0,5.0,23203.0,194987.0,8.403525406197474,193.74603947955504,1
<androidx.emoji2.text.EmojiCompatInitializer: void d(android.content.Context)>,0,"<androidx.emoji2.text.EmojiCompatInitializer$1: void <init>(androidx.emoji2.text.EmojiCompatInitializer,androidx.lifecycle.i)>",1.0,1.0,7.0,1.0,1.0,1.0,12.0,1.0,1.0,-1.0,12.0,23203.0,194987.0,8.403525406197474,193.74603947955504,7.0,1.0,1.0,1.0,12.0,1.0,1.0,-1.0,12.0,23203.0,194987.0,8.403525406197474,193.74603947955504,1
<androidx.lifecycle.p: androidx.lifecycle.k f(java.lang.Object)>,0,<androidx.lifecycle.p: void <clinit>()>,1.0,1.0,9.0,1.0,1.0,5.0,79.0,1.0,1.0,-1.0,79.0,23203.0,194987.0,8.403525406197474,193.74603947955504,9.0,1.0,1.0,5.0,79.0,1.0,1.0,-1.0,79.0,23203.0,194987.0,8.403525406197474,193.74603947955504,0
"<io.flutter.embedding.engine.f.e: void <init>(io.flutter.embedding.engine.FlutterJNI,io.flutter.embedding.engine.f.e$i)>",0,<io.flutter.embedding.engine.f.g: void <init>()>,1.0,1.0,4.0,1.0,3.0,1.0,5.0,1.0,1.0,-1.0,5.0,23203.0,194987.0,8.403525406197474,193.74603947955504,4.0,1.0,3.0,1.0,5.0,1.0,1.0,-1.0,5.0,23203.0,194987.0,8.403525406197474,193.74603947955504,1
<e.b.e.a.c.n: void <clinit>()>,0,<e.b.e.a.c.g0: void <clinit>()>,1.0,1.0,9.0,1.0,1.0,1.0,6.0,1.0,1.0,-1.0,6.0,23203.0,194987.0,8.403525406197474,193.74603947955504,9.0,1.0,1.0,1.0,6.0,1.0,1.0,-1.0,6.0,23203.0,194987.0,8.403525406197474,193.74603947955504,0
<io.flutter.embedding.engine.h.b: io.flutter.embedding.engine.h.c e(android.content.Context)>,0,"<io.flutter.embedding.engine.h.c: void <init>(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean)>",1.0,1.0,9.0,1.0,1.0,1.0,6.0,1.0,1.0,-1.0,6.0,23203.0,194987.0,8.403525406197474,193.74603947955504,9.0,1.0,1.0,1.0,6.0,1.0,1.0,-1.0,6.0,23203.0,194987.0,8.403525406197474,193.74603947955504,1
<io.flutter.embedding.engine.f.e: void <init>(io.flutter.embedding.engine.FlutterJNI)>,0,<io.flutter.embedding.engine.f.e$e: void <init>()>,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,-1.0,2.0,23203.0,194987.0,8.403525406197474,193.74603947955504,3.0,1.0,3.0,1.0,2.0,1.0,1.0,-1.0,2.0,23203.0,194987.0,8.403525406197474,193.74603947955504,1
<androidx.lifecycle.FullLifecycleObserverAdapter$a: void <clinit>()>,0,<androidx.lifecycle.i$b: androidx.lifecycle.i$b[] values()>,1.0,1.0,9.0,1.0,70.0,2.0,3.0,1.0,1.0,-1.0,3.0,23203.0,194987.0,8.403525406197474,193.74603947955504,9.0,1.0,70.0,2.0,3.0,1.0,1.0,-1.0,3.0,23203.0,194987.0,8.403525406197474,193.74603947955504,1
"<e.b.a.b.c.d.d1: e.b.a.b.c.d.d1 n(java.lang.Object[],int)>",0,<e.b.a.b.c.d.x0: void <clinit>()>,1.0,1.0,7.0,3.0,0.0,17.0,4.0,1.0,1.0,-1.0,4.0,23203.0,194987.0,8.403525406197474,193.74603947955504,7.0,3.0,0.0,17.0,4.0,1.0,1.0,-1.0,4.0,23203.0,194987.0,8.403525406197474,193.74603947955504,0
<androidx.lifecycle.n: androidx.lifecycle.i$c e(androidx.lifecycle.l)>,0,<d.b.a.b.a: java.util.Map$Entry o(java.lang.Object)>,1.0,1.0,8.0,1.0,3.0,1.0,12.0,1.0,1.0,-1.0,12.0,23203.0,194987.0,8.403525406197474,193.74603947955504,8.0,1.0,3.0,1.0,12.0,1.0,1.0,-1.0,12.0,23203.0,194987.0,8.403525406197474,193.74603947955504,1
<androidx.lifecycle.i$a: void <clinit>()>,0,<androidx.lifecycle.i$c: androidx.lifecycle.i$c[] values()>,1.0,1.0,5.0,3.0,70.0,4.0,5.0,1.0,1.0,-1.0,5.0,23203.0,194987.0,8.403525406197474,193.74603947955504,5.0,3.0,70.0,4.0,5.0,1.0,1.0,-1.0,5.0,23203.0,194987.0,8.403525406197474,193.74603947955504,1
<androidx.emoji2.text.EmojiCompatInitializer: void d(android.content.Context)>,0,<androidx.lifecycle.v: androidx.lifecycle.i a()>,1.0,1.0,7.0,1.0,0.0,16.0,12.0,1.0,1.0,-1.0,12.0,23203.0,194987.0,8.403525406197474,193.74603947955504,7.0,1.0,0.0,16.0,12.0,1.0,1.0,-1.0,12.0,23203.0,194987.0,8.403525406197474,193.74603947955504,0
<e.b.a.b.c.c.l: void <clinit>()>,0,<e.b.a.b.c.c.r: void <clinit>()>,1.0,1.0,6.0,10.0,3.0,2.0,3.0,1.0,1.0,-1.0,3.0,23203.0,194987.0,8.403525406197474,193.74603947955504,6.0,10.0,3.0,2.0,3.0,1.0,1.0,-1.0,3.0,23203.0,194987.0,8.403525406197474,193.74603947955504,0
"<d.e.d.b: d.e.d.b$b e(android.content.Context,java.lang.String,int)>",0,<d.e.d.b: void <clinit>()>,1.0,1.0,11.0,1.0,4.0,11.0,7.0,1.0,1.0,-1.0,7.0,23203.0,194987.0,8.403525406197474,193.74603947955504,11.0,1.0,4.0,11.0,7.0,1.0,1.0,-1.0,7.0,23203.0,194987.0,8.403525406197474,193.74603947955504,0
"<io.flutter.embedding.engine.h.d: void e(android.content.Context,java.lang.String[])>",0,<g.a.d.g: void a(java.lang.String)>,1.0,1.0,7.0,1.0,6.0,15.0,52.0,1.0,1.0,-1.0,52.0,23203.0,194987.0,8.403525406197474,193.74603947955504,7.0,1.0,6.0,15.0,52.0,1.0,1.0,-1.0,52.0,23203.0,194987.0,8.403525406197474,193.74603947955504,1
"<androidx.startup.a: java.lang.Object d(java.lang.Class,java.util.Set)>",0,<d.n.a: boolean d()>,1.0,1.0,4.0,3.0,2.0,1.0,186.0,1.0,1.0,-1.0,186.0,23203.0,194987.0,8.403525406197474,193.74603947955504,4.0,3.0,2.0,1.0,186.0,1.0,1.0,-1.0,186.0,23203.0,194987.0,8.403525406197474,193.74603947955504,1
