method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<androidx.lifecycle.FullLifecycleObserverAdapter: void onStateChanged(androidx.lifecycle.LifecycleOwner,androidx.lifecycle.Lifecycle$Event)>",0,<androidx.lifecycle.FullLifecycleObserverAdapter$1: void <clinit>()>,1.0,1.0,8.0,3.0,3.0,1.0,19.0,1.0,1.0,-1.0,19.0,12891.0,64041.0,4.967884570630672,86.66546431192518,8.0,3.0,3.0,1.0,19.0,1.0,1.0,-1.0,19.0,12891.0,64041.0,4.967884570630672,86.66546431192518,0
<androidx.lifecycle.LifecycleRegistry: void addObserver(androidx.lifecycle.LifecycleObserver)>,0,"<androidx.arch.core.internal.FastSafeIterableMap: java.lang.Object putIfAbsent(java.lang.Object,java.lang.Object)>",1.0,1.0,6.0,7.0,3.0,4.0,12.0,1.0,1.0,-1.0,12.0,12891.0,64041.0,4.967884570630672,86.66546431192518,6.0,7.0,3.0,4.0,12.0,1.0,1.0,-1.0,12.0,12891.0,64041.0,4.967884570630672,86.66546431192518,1
<androidx.lifecycle.LifecycleRegistry: void addObserver(androidx.lifecycle.LifecycleObserver)>,0,<androidx.arch.core.internal.FastSafeIterableMap: boolean contains(java.lang.Object)>,1.0,1.0,6.0,7.0,1.0,4.0,12.0,1.0,1.0,-1.0,12.0,12891.0,64041.0,4.967884570630672,86.66546431192518,6.0,7.0,1.0,4.0,12.0,1.0,1.0,-1.0,12.0,12891.0,64041.0,4.967884570630672,86.66546431192518,1
<androidx.lifecycle.LifecycleRegistry: void addObserver(androidx.lifecycle.LifecycleObserver)>,0,<androidx.lifecycle.LifecycleRegistry: void sync()>,1.0,1.0,6.0,7.0,10.0,2.0,12.0,1.0,1.0,-1.0,12.0,12891.0,64041.0,4.967884570630672,86.66546431192518,6.0,7.0,10.0,2.0,12.0,1.0,1.0,-1.0,12.0,12891.0,64041.0,4.967884570630672,86.66546431192518,0
<androidx.collection.SimpleArrayMap: boolean containsKey(java.lang.Object)>,0,<androidx.collection.SimpleArrayMap: int indexOfKey(java.lang.Object)>,1.0,1.0,6.0,12.0,343.0,5.0,1.0,1.0,1.0,-1.0,1.0,12891.0,64041.0,4.967884570630672,86.66546431192518,6.0,12.0,343.0,5.0,1.0,1.0,1.0,-1.0,1.0,12891.0,64041.0,4.967884570630672,86.66546431192518,1
<androidx.arch.core.executor.ArchTaskExecutor: boolean isMainThread()>,0,<androidx.arch.core.executor.ArchTaskExecutor: boolean isMainThread()>,1.0,1.0,7.0,2.0,2.0,2.0,2.0,1.0,1.0,-1.0,2.0,12891.0,64041.0,4.967884570630672,86.66546431192518,7.0,2.0,2.0,2.0,2.0,1.0,1.0,-1.0,2.0,12891.0,64041.0,4.967884570630672,86.66546431192518,0
<androidx.collection.SimpleArrayMap: void <init>()>,0,<androidx.collection.ContainerHelpers: void <clinit>()>,1.0,1.0,5.0,8.0,0.0,22.0,2.0,1.0,1.0,-1.0,2.0,12891.0,64041.0,4.967884570630672,86.66546431192518,5.0,8.0,0.0,22.0,2.0,1.0,1.0,-1.0,2.0,12891.0,64041.0,4.967884570630672,86.66546431192518,0
<androidx.arch.core.internal.FastSafeIterableMap: java.util.Map$Entry ceil(java.lang.Object)>,0,<androidx.arch.core.internal.FastSafeIterableMap: boolean contains(java.lang.Object)>,1.0,1.0,8.0,1.0,1.0,4.0,3.0,1.0,1.0,-1.0,3.0,12891.0,64041.0,4.967884570630672,86.66546431192518,8.0,1.0,1.0,4.0,3.0,1.0,1.0,-1.0,3.0,12891.0,64041.0,4.967884570630672,86.66546431192518,1
"<androidx.lifecycle.LifecycleRegistry$ObserverWithState: void <init>(androidx.lifecycle.LifecycleObserver,androidx.lifecycle.Lifecycle$State)>",0,<androidx.lifecycle.Lifecycling: androidx.lifecycle.LifecycleEventObserver lifecycleEventObserver(java.lang.Object)>,1.0,1.0,7.0,1.0,22.0,1.0,3.0,1.0,1.0,-1.0,3.0,12891.0,64041.0,4.967884570630672,86.66546431192518,7.0,1.0,22.0,1.0,3.0,1.0,1.0,-1.0,3.0,12891.0,64041.0,4.967884570630672,86.66546431192518,1
<androidx.lifecycle.LifecycleRegistry: void moveToState(androidx.lifecycle.Lifecycle$State)>,0,<androidx.lifecycle.LifecycleRegistry: void sync()>,1.0,1.0,4.0,1.0,10.0,2.0,1.0,1.0,1.0,-1.0,1.0,12891.0,64041.0,4.967884570630672,86.66546431192518,4.0,1.0,10.0,2.0,1.0,1.0,1.0,-1.0,1.0,12891.0,64041.0,4.967884570630672,86.66546431192518,1
"<androidx.lifecycle.LifecycleRegistry$ObserverWithState: void dispatchEvent(androidx.lifecycle.LifecycleOwner,androidx.lifecycle.Lifecycle$Event)>",0,"<androidx.lifecycle.FullLifecycleObserverAdapter: void onStateChanged(androidx.lifecycle.LifecycleOwner,androidx.lifecycle.Lifecycle$Event)>",1.0,1.0,7.0,3.0,19.0,3.0,18.0,1.0,1.0,-1.0,18.0,12891.0,64041.0,4.967884570630672,86.66546431192518,7.0,3.0,19.0,3.0,18.0,1.0,1.0,-1.0,18.0,12891.0,64041.0,4.967884570630672,86.66546431192518,0
<androidx.arch.core.executor.ArchTaskExecutor: void <init>()>,0,<androidx.arch.core.executor.TaskExecutor: void <init>()>,1.0,1.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,-1.0,2.0,12891.0,64041.0,4.967884570630672,86.66546431192518,7.0,1.0,1.0,2.0,2.0,1.0,1.0,-1.0,2.0,12891.0,64041.0,4.967884570630672,86.66546431192518,1
<androidx.lifecycle.LifecycleRegistry: void addObserver(androidx.lifecycle.LifecycleObserver)>,0,<androidx.lifecycle.LifecycleRegistry: void pushParentState(androidx.lifecycle.Lifecycle$State)>,1.0,1.0,6.0,7.0,1.0,3.0,12.0,1.0,1.0,-1.0,12.0,12891.0,64041.0,4.967884570630672,86.66546431192518,6.0,7.0,1.0,3.0,12.0,1.0,1.0,-1.0,12.0,12891.0,64041.0,4.967884570630672,86.66546431192518,1
<androidx.appcompat.app.AppCompatDelegate: void <clinit>()>,0,<androidx.collection.ArraySet: void <clinit>()>,1.0,1.0,3.0,11.0,0.0,7.0,3.0,1.0,1.0,-1.0,3.0,12891.0,64041.0,4.967884570630672,86.66546431192518,3.0,11.0,0.0,7.0,3.0,1.0,1.0,-1.0,3.0,12891.0,64041.0,4.967884570630672,86.66546431192518,0
<androidx.arch.core.executor.ArchTaskExecutor: boolean isMainThread()>,0,<androidx.arch.core.executor.DefaultTaskExecutor: boolean isMainThread()>,1.0,1.0,7.0,2.0,3.0,1.0,2.0,1.0,1.0,-1.0,2.0,12891.0,64041.0,4.967884570630672,86.66546431192518,7.0,2.0,3.0,1.0,2.0,1.0,1.0,-1.0,2.0,12891.0,64041.0,4.967884570630672,86.66546431192518,0
<androidx.arch.core.executor.ArchTaskExecutor: androidx.arch.core.executor.ArchTaskExecutor getInstance()>,0,<androidx.arch.core.executor.ArchTaskExecutor: void <init>()>,1.0,1.0,6.0,4.0,2.0,1.0,2.0,1.0,1.0,-1.0,2.0,12891.0,64041.0,4.967884570630672,86.66546431192518,6.0,4.0,2.0,1.0,2.0,1.0,1.0,-1.0,2.0,12891.0,64041.0,4.967884570630672,86.66546431192518,1
