method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<androidx.fragment.app.FragmentActivity: void init()>,0,<androidx.fragment.app.FragmentActivity$1: void <init>(androidx.fragment.app.FragmentActivity)>,1.0,1.0,6.0,1.0,1.0,1.0,5.0,1.0,1.0,-1.0,5.0,9610.0,50462.0,5.250988553590011,107.95862232967382,6.0,1.0,1.0,1.0,5.0,1.0,1.0,-1.0,5.0,9610.0,50462.0,5.250988553590011,107.95862232967382,1
<org.apache.cordova.PluginManager: void init()>,0,<org.apache.cordova.LOG: void <clinit>()>,1.0,1.0,5.0,2.0,0.0,65.0,15.0,1.0,1.0,-1.0,15.0,9610.0,50462.0,5.250988553590011,107.95862232967382,5.0,2.0,0.0,65.0,15.0,1.0,1.0,-1.0,15.0,9610.0,50462.0,5.250988553590011,107.95862232967382,0
<org.apache.cordova.CordovaActivity: void onResume()>,0,<org.apache.cordova.CordovaActivity: void <clinit>()>,1.0,1.0,2.0,1.0,0.0,8.0,12.0,1.0,1.0,-1.0,12.0,9610.0,50462.0,5.250988553590011,107.95862232967382,2.0,1.0,0.0,8.0,12.0,1.0,1.0,-1.0,12.0,9610.0,50462.0,5.250988553590011,107.95862232967382,0
<org.apache.cordova.file.FileUtils: org.json.JSONObject requestAllPaths()>,0,<org.apache.cordova.CordovaPlugin: void <clinit>()>,1.0,1.0,5.0,2.0,0.0,66.0,18.0,1.0,1.0,-1.0,18.0,9610.0,50462.0,5.250988553590011,107.95862232967382,5.0,2.0,0.0,66.0,18.0,1.0,1.0,-1.0,18.0,9610.0,50462.0,5.250988553590011,107.95862232967382,0
<androidx.appcompat.app.AppCompatDelegateImpl$PanelFeatureState: androidx.appcompat.view.menu.MenuView getListMenuView(androidx.appcompat.view.menu.MenuPresenter$Callback)>,0,<androidx.appcompat.view.menu.MenuBuilder: void addMenuPresenter(androidx.appcompat.view.menu.MenuPresenter)>,1.0,1.0,8.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,9610.0,50462.0,5.250988553590011,107.95862232967382,8.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,9610.0,50462.0,5.250988553590011,107.95862232967382,1
<androidx.lifecycle.LifecycleRegistry: void backwardPass(androidx.lifecycle.LifecycleOwner)>,0,<androidx.lifecycle.Lifecycle$Event: androidx.lifecycle.Lifecycle$State getTargetState()>,1.0,1.0,7.0,1.0,8.0,3.0,28.0,1.0,1.0,-1.0,28.0,9610.0,50462.0,5.250988553590011,107.95862232967382,7.0,1.0,8.0,3.0,28.0,1.0,1.0,-1.0,28.0,9610.0,50462.0,5.250988553590011,107.95862232967382,1
<androidx.fragment.app.FragmentStore: java.util.List getActiveFragmentStateManagers()>,0,<androidx.arch.core.internal.SafeIterableMap$IteratorWithAdditions: boolean hasNext()>,1.0,1.0,7.0,4.0,0.0,132.0,29.0,1.0,1.0,-1.0,29.0,9610.0,50462.0,5.250988553590011,107.95862232967382,7.0,4.0,0.0,132.0,29.0,1.0,1.0,-1.0,29.0,9610.0,50462.0,5.250988553590011,107.95862232967382,0
<androidx.fragment.app.FragmentManager: void <init>()>,0,"<androidx.fragment.app.FragmentManager$1: void <init>(androidx.fragment.app.FragmentManager,boolean)>",1.0,1.0,4.0,1.0,1.0,1.0,17.0,1.0,1.0,-1.0,17.0,9610.0,50462.0,5.250988553590011,107.95862232967382,4.0,1.0,1.0,1.0,17.0,1.0,1.0,-1.0,17.0,9610.0,50462.0,5.250988553590011,107.95862232967382,1
<androidx.appcompat.view.ContextThemeWrapper: android.content.res.Resources$Theme getTheme()>,0,<androidx.appcompat.view.ContextThemeWrapper: void initializeTheme()>,1.0,1.0,5.0,21.0,9.0,2.0,1.0,1.0,1.0,-1.0,1.0,9610.0,50462.0,5.250988553590011,107.95862232967382,5.0,21.0,9.0,2.0,1.0,1.0,1.0,-1.0,1.0,9610.0,50462.0,5.250988553590011,107.95862232967382,1
<org.apache.cordova.AllowList$URLPattern: boolean matches(android.net.Uri)>,0,"<org.apache.cordova.LOG: void d(java.lang.String,java.lang.String)>",1.0,1.0,8.0,1.0,2.0,39.0,11.0,1.0,1.0,-1.0,11.0,9610.0,50462.0,5.250988553590011,107.95862232967382,8.0,1.0,2.0,39.0,11.0,1.0,1.0,-1.0,11.0,9610.0,50462.0,5.250988553590011,107.95862232967382,0
<androidx.lifecycle.LifecycleRegistry: androidx.lifecycle.Lifecycle$State calculateTargetState(androidx.lifecycle.LifecycleObserver)>,0,<androidx.arch.core.internal.SafeIterableMap$Entry: java.lang.Object getValue()>,1.0,1.0,8.0,1.0,0.0,19.0,7.0,1.0,1.0,-1.0,7.0,9610.0,50462.0,5.250988553590011,107.95862232967382,8.0,1.0,0.0,19.0,7.0,1.0,1.0,-1.0,7.0,9610.0,50462.0,5.250988553590011,107.95862232967382,0
"<org.apache.cordova.PluginManager: java.lang.Object postMessage(java.lang.String,java.lang.Object)>",0,"<org.apache.cordova.CordovaActivity$1: java.lang.Object onMessage(java.lang.String,java.lang.Object)>",1.0,1.0,4.0,4.0,1.0,1.0,53.0,1.0,1.0,-1.0,53.0,9610.0,50462.0,5.250988553590011,107.95862232967382,4.0,4.0,1.0,1.0,53.0,1.0,1.0,-1.0,53.0,9610.0,50462.0,5.250988553590011,107.95862232967382,0
<androidx.fragment.app.FragmentManager: void dispatchActivityCreated()>,0,<androidx.fragment.app.FragmentManagerViewModel: void setIsStateSaved(boolean)>,1.0,1.0,6.0,2.0,0.0,9.0,2.0,1.0,1.0,-1.0,2.0,9610.0,50462.0,5.250988553590011,107.95862232967382,6.0,2.0,0.0,9.0,2.0,1.0,1.0,-1.0,2.0,9610.0,50462.0,5.250988553590011,107.95862232967382,1
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable createDrawableIfNeeded(android.content.Context,int)>",0,"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getCachedDrawable(android.content.Context,long)>",1.0,1.0,8.0,1.0,17.0,2.0,19.0,1.0,1.0,-1.0,19.0,9610.0,50462.0,5.250988553590011,107.95862232967382,8.0,1.0,17.0,2.0,19.0,1.0,1.0,-1.0,19.0,9610.0,50462.0,5.250988553590011,107.95862232967382,1
<org.apache.cordova.CordovaWebViewImpl$2: void run()>,0,<org.apache.cordova.statusbar.StatusBar$1: void run()>,1.0,1.0,3.0,39.0,8.0,40.0,190.0,1.0,1.0,-1.0,190.0,9610.0,50462.0,5.250988553590011,107.95862232967382,3.0,39.0,8.0,40.0,190.0,1.0,1.0,-1.0,190.0,9610.0,50462.0,5.250988553590011,107.95862232967382,0
"<androidx.fragment.app.FragmentManager: void attachController(androidx.fragment.app.FragmentHostCallback,androidx.fragment.app.FragmentContainer,androidx.fragment.app.Fragment)>",0,<androidx.activity.result.contract.ActivityResultContracts$RequestMultiplePermissions: void <init>()>,1.0,1.0,9.0,2.0,1.0,1.0,30.0,1.0,1.0,-1.0,30.0,9610.0,50462.0,5.250988553590011,107.95862232967382,9.0,2.0,1.0,1.0,30.0,1.0,1.0,-1.0,30.0,9610.0,50462.0,5.250988553590011,107.95862232967382,1
<org.apache.cordova.splashscreen.SplashScreen: android.view.View access$000(org.apache.cordova.splashscreen.SplashScreen)>,0,<org.apache.cordova.splashscreen.SplashScreen: android.view.View getView()>,1.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,-1.0,1.0,9610.0,50462.0,5.250988553590011,107.95862232967382,4.0,1.0,3.0,2.0,1.0,1.0,1.0,-1.0,1.0,9610.0,50462.0,5.250988553590011,107.95862232967382,1
"<androidx.core.view.ViewCompat$Api21Impl: void setOnApplyWindowInsetsListener(android.view.View,androidx.core.view.OnApplyWindowInsetsListener)>",0,"<androidx.core.view.ViewCompat$Api21Impl$1: void <init>(android.view.View,androidx.core.view.OnApplyWindowInsetsListener)>",1.0,1.0,9.0,1.0,1.0,2.0,6.0,1.0,1.0,-1.0,6.0,9610.0,50462.0,5.250988553590011,107.95862232967382,9.0,1.0,1.0,2.0,6.0,1.0,1.0,-1.0,6.0,9610.0,50462.0,5.250988553590011,107.95862232967382,1
<androidx.fragment.app.FragmentManager: void ensureExecReady(boolean)>,0,"<androidx.fragment.app.FragmentManager: void executePostponedTransaction(java.util.ArrayList,java.util.ArrayList)>",1.0,1.0,5.0,2.0,9.0,2.0,7.0,1.0,1.0,-1.0,7.0,9610.0,50462.0,5.250988553590011,107.95862232967382,5.0,2.0,9.0,2.0,7.0,1.0,1.0,-1.0,7.0,9610.0,50462.0,5.250988553590011,107.95862232967382,1
<org.apache.cordova.CordovaActivity: void init()>,0,<org.apache.cordova.CordovaWebViewImpl: org.apache.cordova.PluginManager getPluginManager()>,1.0,1.0,4.0,1.0,0.0,3.0,11.0,1.0,1.0,-1.0,11.0,9610.0,50462.0,5.250988553590011,107.95862232967382,4.0,1.0,0.0,3.0,11.0,1.0,1.0,-1.0,11.0,9610.0,50462.0,5.250988553590011,107.95862232967382,0
<androidx.lifecycle.Lifecycle$1: void <clinit>()>,0,<androidx.lifecycle.Lifecycle$Event: androidx.lifecycle.Lifecycle$Event[] values()>,1.0,1.0,6.0,3.0,67.0,2.0,5.0,1.0,1.0,-1.0,5.0,9610.0,50462.0,5.250988553590011,107.95862232967382,6.0,3.0,67.0,2.0,5.0,1.0,1.0,-1.0,5.0,9610.0,50462.0,5.250988553590011,107.95862232967382,1
<org.apache.cordova.AllowListPlugin: void pluginInitialize()>,0,<org.apache.cordova.ConfigXmlParser: void <clinit>()>,1.0,1.0,7.0,1.0,0.0,5.0,5.0,1.0,1.0,-1.0,5.0,9610.0,50462.0,5.250988553590011,107.95862232967382,7.0,1.0,0.0,5.0,5.0,1.0,1.0,-1.0,5.0,9610.0,50462.0,5.250988553590011,107.95862232967382,0
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getDrawable(android.content.Context,int,boolean)>",0,<androidx.core.content.ContextCompat: void <clinit>()>,1.0,1.0,7.0,2.0,1.0,11.0,8.0,1.0,1.0,-1.0,8.0,9610.0,50462.0,5.250988553590011,107.95862232967382,7.0,2.0,1.0,11.0,8.0,1.0,1.0,-1.0,8.0,9610.0,50462.0,5.250988553590011,107.95862232967382,0
<org.apache.cordova.CordovaActivity: void loadUrl(java.lang.String)>,0,"<org.apache.cordova.CordovaPreferences: boolean getBoolean(java.lang.String,boolean)>",1.0,1.0,3.0,1.0,6.0,12.0,3.0,1.0,1.0,-1.0,3.0,9610.0,50462.0,5.250988553590011,107.95862232967382,3.0,1.0,6.0,12.0,3.0,1.0,1.0,-1.0,3.0,9610.0,50462.0,5.250988553590011,107.95862232967382,1
