method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<com.facebook.appevents.internal.AppEventsLoggerUtility: org.json.JSONObject getJSONObjectForGraphAPICall(com.facebook.appevents.internal.AppEventsLoggerUtility$GraphAPIActivityType,com.facebook.internal.AttributionIdentifiers,java.lang.String,boolean,android.content.Context)>",0,<com.facebook.appevents.internal.AppEventsLoggerUtility: void <clinit>()>,1.0,1.0,8.0,2.0,4.0,3.0,200.0,1.0,1.0,-1.0,200.0,50670.0,625623.0,12.347010065127296,346.7110496257331,8.0,2.0,4.0,3.0,200.0,1.0,1.0,-1.0,200.0,50670.0,625623.0,12.347010065127296,346.7110496257331,0
<com.facebook.internal.NativeProtocol: void updateAllAvailableProtocolVersionsAsync$lambda-1()>,0,<com.facebook.internal.instrument.crashshield.CrashShieldHandler: boolean isObjectCrashing(java.lang.Object)>,1.0,1.0,6.0,1.0,21.0,461.0,171.0,1.0,1.0,-1.0,171.0,50670.0,625623.0,12.347010065127296,346.7110496257331,6.0,1.0,21.0,461.0,171.0,1.0,1.0,-1.0,171.0,50670.0,625623.0,12.347010065127296,346.7110496257331,1
<com.facebook.appevents.AppEventQueue: void flushAndWait(com.facebook.appevents.FlushReason)>,0,<com.facebook.appevents.AppEventQueue: void <clinit>()>,1.0,1.0,7.0,3.0,5.0,28.0,21.0,1.0,1.0,-1.0,21.0,50670.0,625623.0,12.347010065127296,346.7110496257331,7.0,3.0,5.0,28.0,21.0,1.0,1.0,-1.0,21.0,50670.0,625623.0,12.347010065127296,346.7110496257331,0
<com.google.android.datatransport.runtime.scheduling.jobscheduling.Uploader_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.Uploader get()>,0,<com.google.android.datatransport.runtime.time.TimeModule_EventClockFactory: com.google.android.datatransport.runtime.time.Clock get()>,1.0,1.0,5.0,22.0,1.0,22.0,27.0,1.0,1.0,-1.0,27.0,50670.0,625623.0,12.347010065127296,346.7110496257331,5.0,22.0,1.0,22.0,27.0,1.0,1.0,-1.0,27.0,50670.0,625623.0,12.347010065127296,346.7110496257331,0
"<com.facebook.appevents.AppEvent: org.json.JSONObject getJSONObjectForAppEvent(java.lang.String,java.lang.String,java.lang.Double,android.os.Bundle,java.util.UUID)>",0,<com.facebook.appevents.restrictivedatafilter.RestrictiveDataManager: java.lang.String processEvent(java.lang.String)>,1.0,1.0,9.0,1.0,6.0,1.0,233.0,1.0,1.0,-1.0,233.0,50670.0,625623.0,12.347010065127296,346.7110496257331,9.0,1.0,6.0,1.0,233.0,1.0,1.0,-1.0,233.0,50670.0,625623.0,12.347010065127296,346.7110496257331,1
<com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer get()>,0,<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore_Factory: com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore get()>,1.0,1.0,5.0,22.0,27.0,22.0,27.0,1.0,1.0,-1.0,27.0,50670.0,625623.0,12.347010065127296,346.7110496257331,5.0,22.0,27.0,22.0,27.0,1.0,1.0,-1.0,27.0,50670.0,625623.0,12.347010065127296,346.7110496257331,0
<com.facebook.internal.FetchedAppSettingsManager: org.json.JSONObject getAppSettingsQueryResponse(java.lang.String)>,0,"<com.facebook.GraphRequest$Companion: com.facebook.GraphRequest newGraphPathRequest(com.facebook.AccessToken,java.lang.String,com.facebook.GraphRequest$Callback)>",1.0,1.0,7.0,2.0,2.0,8.0,32.0,1.0,1.0,-1.0,32.0,50670.0,625623.0,12.347010065127296,346.7110496257331,7.0,2.0,2.0,8.0,32.0,1.0,1.0,-1.0,32.0,50670.0,625623.0,12.347010065127296,346.7110496257331,1
"<com.facebook.appevents.AppEventQueue: void handleResponse(com.facebook.appevents.AccessTokenAppIdPair,com.facebook.GraphRequest,com.facebook.GraphResponse,com.facebook.appevents.SessionEventsState,com.facebook.appevents.FlushStatistics)>",0,"<kotlin.jvm.internal.Intrinsics: void checkNotNullExpressionValue(java.lang.Object,java.lang.String)>",1.0,1.0,10.0,1.0,5.0,559.0,64.0,1.0,1.0,-1.0,64.0,50670.0,625623.0,12.347010065127296,346.7110496257331,10.0,1.0,5.0,559.0,64.0,1.0,1.0,-1.0,64.0,50670.0,625623.0,12.347010065127296,346.7110496257331,0
<com.facebook.soloader.UnpackingSoSource: void prepare(int)>,0,<com.facebook.soloader.SysUtil: void mkdirOrThrow(java.io.File)>,1.0,1.0,6.0,4.0,7.0,1.0,14.0,1.0,1.0,-1.0,14.0,50670.0,625623.0,12.347010065127296,346.7110496257331,6.0,4.0,7.0,1.0,14.0,1.0,1.0,-1.0,14.0,50670.0,625623.0,12.347010065127296,346.7110496257331,1
"<com.facebook.soloader.SoLoader: void doLoadLibraryBySoName(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",0,"<com.facebook.soloader.DirectorySoSource: int loadLibrary(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",1.0,1.0,10.0,1.0,1.0,2.0,45.0,1.0,1.0,-1.0,45.0,50670.0,625623.0,12.347010065127296,346.7110496257331,10.0,1.0,1.0,2.0,45.0,1.0,1.0,-1.0,45.0,50670.0,625623.0,12.347010065127296,346.7110496257331,0
