method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<androidx.fragment.app.FragmentManagerImpl: void moveToState(int,boolean)>",0,<androidx.arch.core.internal.SafeIterableMap$IteratorWithAdditions: boolean hasNext()>,1.0,1.0,6.0,5.0,0.0,796.0,158.0,1.0,1.0,-1.0,158.0,49820.0,783448.0,15.72557205941389,365.9405346621601,6.0,5.0,0.0,796.0,158.0,1.0,1.0,-1.0,158.0,49820.0,783448.0,15.72557205941389,365.9405346621601,0
"<com.google.android.gms.common.internal.zzq: boolean zzb(com.google.android.gms.common.internal.zzm,android.content.ServiceConnection,java.lang.String)>",0,"<com.google.android.gms.common.internal.zzo: void <init>(com.google.android.gms.common.internal.zzq,com.google.android.gms.common.internal.zzm)>",1.0,1.0,8.0,1.0,2.0,1.0,35.0,1.0,1.0,-1.0,35.0,49820.0,783448.0,15.72557205941389,365.9405346621601,8.0,1.0,2.0,1.0,35.0,1.0,1.0,-1.0,35.0,49820.0,783448.0,15.72557205941389,365.9405346621601,1
"<com.google.firebase.database.core.SyncTree: java.util.List applyOperationHelper(com.google.firebase.database.core.operation.Operation,com.google.firebase.database.core.utilities.ImmutableTree,com.google.firebase.database.snapshot.Node,com.google.firebase.database.core.WriteTreeRef)>",0,<com.google.firebase.database.core.Path: boolean isEmpty()>,1.0,1.0,8.0,2.0,0.0,48.0,24.0,1.0,1.0,-1.0,24.0,49820.0,783448.0,15.72557205941389,365.9405346621601,8.0,2.0,0.0,48.0,24.0,1.0,1.0,-1.0,24.0,49820.0,783448.0,15.72557205941389,365.9405346621601,1
<okio.Buffer: byte readByte()>,0,<okio.Segment: okio.Segment pop()>,1.0,1.0,7.0,17.0,0.0,16.0,3.0,1.0,1.0,-1.0,3.0,49820.0,783448.0,15.72557205941389,365.9405346621601,7.0,17.0,0.0,16.0,3.0,1.0,1.0,-1.0,3.0,49820.0,783448.0,15.72557205941389,365.9405346621601,0
"<com.google.firebase.database.tubesock.WebSocket: void <init>(com.google.firebase.database.connection.ConnectionContext,java.net.URI,java.lang.String,java.util.Map)>",0,"<com.google.firebase.database.logging.LogWrapper: void <init>(com.google.firebase.database.logging.Logger,java.lang.String,java.lang.String)>",1.0,1.0,11.0,1.0,1.0,5.0,35.0,1.0,1.0,-1.0,35.0,49820.0,783448.0,15.72557205941389,365.9405346621601,11.0,1.0,1.0,5.0,35.0,1.0,1.0,-1.0,35.0,49820.0,783448.0,15.72557205941389,365.9405346621601,1
<com.google.firebase.database.snapshot.IndexedNode: com.google.firebase.database.snapshot.IndexedNode 'from'(com.google.firebase.database.snapshot.Node)>,0,<com.google.firebase.database.snapshot.PriorityIndex: void <clinit>()>,1.0,1.0,4.0,7.0,1.0,6.0,4.0,1.0,1.0,-1.0,4.0,49820.0,783448.0,15.72557205941389,365.9405346621601,4.0,7.0,1.0,6.0,4.0,1.0,1.0,-1.0,4.0,49820.0,783448.0,15.72557205941389,365.9405346621601,0
<androidx.collection.ArraySet: boolean addAll(java.util.Collection)>,0,<androidx.arch.core.internal.SafeIterableMap$ListIterator: java.util.Map$Entry next()>,1.0,1.0,8.0,3.0,1.0,802.0,222.0,1.0,1.0,-1.0,222.0,49820.0,783448.0,15.72557205941389,365.9405346621601,8.0,3.0,1.0,802.0,222.0,1.0,1.0,-1.0,222.0,49820.0,783448.0,15.72557205941389,365.9405346621601,0
<com.google.android.gms.common.zzc: java.lang.Object createFromParcel(android.os.Parcel)>,0,"<com.google.android.gms.common.Feature: void <init>(java.lang.String,int,long)>",1.0,1.0,5.0,12.0,1.0,1.0,11.0,1.0,1.0,-1.0,11.0,49820.0,783448.0,15.72557205941389,365.9405346621601,5.0,12.0,1.0,1.0,11.0,1.0,1.0,-1.0,11.0,49820.0,783448.0,15.72557205941389,365.9405346621601,1
<com.google.firebase.database.core.Path: int hashCode()>,0,<com.google.firebase.database.snapshot.ChildKey: int hashCode()>,1.0,1.0,4.0,63.0,1.0,64.0,1.0,1.0,1.0,-1.0,1.0,49820.0,783448.0,15.72557205941389,365.9405346621601,4.0,63.0,1.0,64.0,1.0,1.0,1.0,-1.0,1.0,49820.0,783448.0,15.72557205941389,365.9405346621601,1
"<com.google.firebase.database.snapshot.IndexedNode: com.google.firebase.database.snapshot.ChildKey getPredecessorChildName(com.google.firebase.database.snapshot.ChildKey,com.google.firebase.database.snapshot.Node,com.google.firebase.database.snapshot.Index)>",0,<com.google.firebase.database.snapshot.NamedNode: com.google.firebase.database.snapshot.ChildKey getName()>,1.0,1.0,12.0,1.0,0.0,24.0,18.0,1.0,1.0,-1.0,18.0,49820.0,783448.0,15.72557205941389,365.9405346621601,12.0,1.0,0.0,24.0,18.0,1.0,1.0,-1.0,18.0,49820.0,783448.0,15.72557205941389,365.9405346621601,0
