method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<androidx.constraintlayout.widget.ConstraintLayout: void setSelfDimensionBehaviour(androidx.constraintlayout.core.widgets.ConstraintWidgetContainer,int,int,int,int)>",0,<androidx.constraintlayout.core.widgets.ConstraintWidget: void setMaxHeight(int)>,1.0,1.0,11.0,1.0,0.0,1.0,17.0,1.0,1.0,-1.0,17.0,53560.0,876941.0,16.373058252427185,375.7797445894308,11.0,1.0,0.0,1.0,17.0,1.0,1.0,-1.0,17.0,53560.0,876941.0,16.373058252427185,375.7797445894308,1
<com.google.firebase.installations.FirebaseInstallations: com.google.firebase.installations.local.PersistedInstallationEntry getPrefsWithGeneratedIdMultiProcessSafe()>,0,<com.google.firebase.installations.local.PersistedInstallation: com.google.firebase.installations.local.PersistedInstallationEntry insertOrUpdatePersistedInstallationEntry(com.google.firebase.installations.local.PersistedInstallationEntry)>,1.0,1.0,7.0,1.0,27.0,2.0,9.0,1.0,1.0,-1.0,9.0,53560.0,876941.0,16.373058252427185,375.7797445894308,7.0,1.0,27.0,2.0,9.0,1.0,1.0,-1.0,9.0,53560.0,876941.0,16.373058252427185,375.7797445894308,1
<okhttp3.internal.platform.Android10Platform: void <init>()>,0,<androidx.arch.core.internal.SafeIterableMap$IteratorWithAdditions: boolean hasNext()>,1.0,1.0,10.0,1.0,0.0,851.0,413.0,1.0,1.0,-1.0,413.0,53560.0,876941.0,16.373058252427185,375.7797445894308,10.0,1.0,0.0,851.0,413.0,1.0,1.0,-1.0,413.0,53560.0,876941.0,16.373058252427185,375.7797445894308,0
<com.bumptech.glide.load.engine.executor.GlideExecutor: void execute(java.lang.Runnable)>,0,<com.google.firebase.installations.FirebaseInstallations$$ExternalSyntheticLambda2: void run()>,1.0,1.0,5.0,54.0,1.0,112.0,412.0,1.0,1.0,-1.0,412.0,53560.0,876941.0,16.373058252427185,375.7797445894308,5.0,54.0,1.0,112.0,412.0,1.0,1.0,-1.0,412.0,53560.0,876941.0,16.373058252427185,375.7797445894308,0
<androidx.collection.ArraySet: boolean add(java.lang.Object)>,0,<com.bumptech.glide.load.Options: int hashCode()>,1.0,1.0,4.0,112.0,2.0,98.0,796.0,1.0,1.0,-1.0,796.0,53560.0,876941.0,16.373058252427185,375.7797445894308,4.0,112.0,2.0,98.0,796.0,1.0,1.0,-1.0,796.0,53560.0,876941.0,16.373058252427185,375.7797445894308,0
<androidx.savedstate.SavedStateRegistry: void performSave(android.os.Bundle)>,0,<androidx.collection.MapCollections$ArrayIterator: boolean hasNext()>,1.0,1.0,4.0,1.0,0.0,850.0,264.0,1.0,1.0,-1.0,264.0,53560.0,876941.0,16.373058252427185,375.7797445894308,4.0,1.0,0.0,850.0,264.0,1.0,1.0,-1.0,264.0,53560.0,876941.0,16.373058252427185,375.7797445894308,0
<com.google.firebase.heartbeatinfo.DefaultHeartBeatController: java.lang.String lambda$getHeartBeatsHeader$2$com-google-firebase-heartbeatinfo-DefaultHeartBeatController()>,0,<com.google.firebase.components.OptionalProvider$$ExternalSyntheticLambda1: java.lang.Object get()>,1.0,1.0,6.0,1.0,2.0,15.0,150.0,1.0,1.0,-1.0,150.0,53560.0,876941.0,16.373058252427185,375.7797445894308,6.0,1.0,2.0,15.0,150.0,1.0,1.0,-1.0,150.0,53560.0,876941.0,16.373058252427185,375.7797445894308,0
"<com.google.android.material.textfield.TextInputLayout: void updateLabelState(boolean,boolean)>",0,<com.google.android.material.internal.CollapsingTextHelper: void setExpandedTextColor(android.content.res.ColorStateList)>,1.0,1.0,10.0,2.0,1.0,1.0,16.0,1.0,1.0,-1.0,16.0,53560.0,876941.0,16.373058252427185,375.7797445894308,10.0,2.0,1.0,1.0,16.0,1.0,1.0,-1.0,16.0,53560.0,876941.0,16.373058252427185,375.7797445894308,1
<okio.Buffer: byte readByte()>,0,<okio.Segment: okio.Segment pop()>,1.0,1.0,7.0,39.0,1.0,24.0,7.0,1.0,1.0,-1.0,7.0,53560.0,876941.0,16.373058252427185,375.7797445894308,7.0,39.0,1.0,24.0,7.0,1.0,1.0,-1.0,7.0,53560.0,876941.0,16.373058252427185,375.7797445894308,0
"<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore: java.lang.Object retryIfDbLocked(com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore$Producer,com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore$Function)>",0,<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore$$ExternalSyntheticLambda10: java.lang.Object produce()>,1.0,1.0,8.0,2.0,2.0,1.0,33.0,1.0,1.0,-1.0,33.0,53560.0,876941.0,16.373058252427185,375.7797445894308,8.0,2.0,2.0,1.0,33.0,1.0,1.0,-1.0,33.0,53560.0,876941.0,16.373058252427185,375.7797445894308,0
