method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#min_fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#min_fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer get()>,xxx,<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore_Factory: com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore get()>,1.0,1.0,4.0,22.0,27.0,22.0,27.0,1.0,1.0,-1.0,27.0,27.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,4.0,22.0,27.0,22.0,27.0,1.0,1.0,-1.0,27.0,27.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
"<com.facebook.react.ReactInstanceManager: void <init>(android.content.Context,android.app.Activity,com.facebook.react.modules.core.DefaultHardwareBackBtnHandler,com.facebook.react.bridge.JavaScriptExecutorFactory,com.facebook.react.bridge.JSBundleLoader,java.lang.String,java.util.List,boolean,com.facebook.react.bridge.NotThreadSafeBridgeIdleDebugListener,com.facebook.react.common.LifecycleState,com.facebook.react.uimanager.UIImplementationProvider,com.facebook.react.bridge.NativeModuleCallExceptionHandler,com.facebook.react.devsupport.RedBoxHandler,boolean,com.facebook.react.devsupport.interfaces.DevBundleDownloadListener,int,int,com.facebook.react.bridge.JSIModulePackage,java.util.Map)>",xxx,<com.facebook.react.ReactInstanceManager$1: void <init>(com.facebook.react.ReactInstanceManager)>,1.0,1.0,5.0,1.0,1.0,1.0,30.0,1.0,1.0,-1.0,30.0,30.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,5.0,1.0,1.0,1.0,30.0,1.0,1.0,-1.0,30.0,30.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.facebook.react.ReactActivityDelegate: void onCreate(android.os.Bundle)>,xxx,<com.facebook.react.ReactActivityDelegate: java.lang.String getMainComponentName()>,1.0,1.0,4.0,1.0,0.0,1.0,6.0,1.0,1.0,-1.0,6.0,6.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,4.0,1.0,0.0,1.0,6.0,1.0,1.0,-1.0,6.0,6.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.firebase.installations.FirebaseInstallations: void preConditionChecks()>,xxx,<com.google.firebase.installations.FirebaseInstallations: java.lang.String getApiKey()>,1.0,1.0,9.0,2.0,2.0,4.0,8.0,1.0,1.0,-1.0,8.0,8.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,9.0,2.0,2.0,4.0,8.0,1.0,1.0,-1.0,8.0,8.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.android.datatransport.runtime.scheduling.persistence.EventStoreConfig: void <clinit>()>,xxx,<com.google.android.datatransport.runtime.scheduling.persistence.AutoValue_EventStoreConfig$Builder: com.google.android.datatransport.runtime.scheduling.persistence.EventStoreConfig$Builder setCriticalSectionEnterTimeoutMs(int)>,1.0,1.0,7.0,2.0,2.0,1.0,7.0,1.0,1.0,-1.0,7.0,7.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,7.0,2.0,2.0,1.0,7.0,1.0,1.0,-1.0,7.0,7.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<com.google.firebase.messaging.Store: void checkForRestore(java.lang.String)>,xxx,<androidx.core.content.ContextCompat: java.io.File getNoBackupFilesDir(android.content.Context)>,1.0,1.0,16.0,1.0,7.0,3.0,18.0,1.0,1.0,-1.0,18.0,18.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,16.0,1.0,7.0,3.0,18.0,1.0,1.0,-1.0,18.0,18.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.firebase.messaging.FcmExecutors: java.util.concurrent.ScheduledExecutorService newInitExecutor()>,xxx,<com.google.android.gms.common.util.concurrent.NamedThreadFactory: void <init>(java.lang.String)>,1.0,1.0,14.0,1.0,1.0,10.0,2.0,1.0,1.0,-1.0,2.0,2.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,14.0,1.0,1.0,10.0,2.0,1.0,1.0,-1.0,2.0,2.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.firebase.installations.'-$$Lambda$FirebaseInstallations$VZq1h0TBcWNH8Y5yY86ujrFFyLo': void run()>,xxx,<com.google.firebase.installations.FirebaseInstallations: void lambda$doRegistrationOrRefresh$2$FirebaseInstallations(boolean)>,1.0,1.0,5.0,187.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,5.0,187.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<androidx.appcompat.widget.AppCompatDrawableManager: void preload()>,xxx,<androidx.appcompat.widget.ResourceManagerInternal: androidx.appcompat.widget.ResourceManagerInternal get()>,1.0,1.0,8.0,2.0,3.0,6.0,6.0,1.0,1.0,-1.0,6.0,6.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,8.0,2.0,3.0,6.0,6.0,1.0,1.0,-1.0,6.0,6.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
"<androidx.lifecycle.ViewModelProvider: androidx.lifecycle.ViewModel get(java.lang.String,java.lang.Class)>",xxx,<androidx.lifecycle.ViewModelStore: androidx.lifecycle.ViewModel get(java.lang.String)>,1.0,1.0,10.0,1.0,2.0,2.0,15.0,1.0,1.0,-1.0,15.0,15.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,10.0,1.0,2.0,2.0,15.0,1.0,1.0,-1.0,15.0,15.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
