method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<com.facebook.appevents.internal.AppEventsLoggerUtility: org.json.JSONObject getJSONObjectForGraphAPICall(com.facebook.appevents.internal.AppEventsLoggerUtility$GraphAPIActivityType,com.facebook.internal.AttributionIdentifiers,java.lang.String,boolean,android.content.Context)>",0,<com.facebook.appevents.internal.AppEventsLoggerUtility: void <clinit>()>,1.0,1.0,7.0,2.0,4.0,3.0,163.0,1.0,1.0,-1.0,163.0,21965.0,238709.0,10.86769861142727,240.47257958434747,7.0,2.0,4.0,3.0,163.0,1.0,1.0,-1.0,163.0,21965.0,238709.0,10.86769861142727,240.47257958434747,0
<com.facebook.internal.NativeProtocol: void updateAllAvailableProtocolVersionsAsync()>,0,<com.facebook.appevents.internal.ActivityLifecycleTracker$onActivityPaused$handleActivityPaused$1: void run()>,1.0,1.0,4.0,2.0,25.0,98.0,327.0,1.0,1.0,-1.0,327.0,21965.0,238709.0,10.86769861142727,240.47257958434747,4.0,2.0,25.0,98.0,327.0,1.0,1.0,-1.0,327.0,21965.0,238709.0,10.86769861142727,240.47257958434747,0
<com.facebook.appevents.AppEventQueue: void flushAndWait(com.facebook.appevents.FlushReason)>,0,<com.facebook.appevents.AppEventQueue: void <clinit>()>,1.0,1.0,5.0,3.0,6.0,23.0,21.0,1.0,1.0,-1.0,21.0,21965.0,238709.0,10.86769861142727,240.47257958434747,5.0,3.0,6.0,23.0,21.0,1.0,1.0,-1.0,21.0,21965.0,238709.0,10.86769861142727,240.47257958434747,0
<com.facebook.internal.FetchedAppGateKeepersManager: org.json.JSONObject getAppGateKeepersQueryResponse(java.lang.String)>,0,<kotlin.jvm.internal.StringCompanionObject: void <clinit>()>,1.0,1.0,6.0,2.0,1.0,63.0,18.0,1.0,1.0,-1.0,18.0,21965.0,238709.0,10.86769861142727,240.47257958434747,6.0,2.0,1.0,63.0,18.0,1.0,1.0,-1.0,18.0,21965.0,238709.0,10.86769861142727,240.47257958434747,0
"<com.facebook.appevents.AppEvent: org.json.JSONObject getJSONObjectForAppEvent(java.lang.String,java.lang.String,java.lang.Double,android.os.Bundle,java.util.UUID)>",0,<com.facebook.appevents.restrictivedatafilter.RestrictiveDataManager: java.lang.String processEvent(java.lang.String)>,1.0,1.0,8.0,1.0,6.0,1.0,188.0,1.0,1.0,-1.0,188.0,21965.0,238709.0,10.86769861142727,240.47257958434747,8.0,1.0,6.0,1.0,188.0,1.0,1.0,-1.0,188.0,21965.0,238709.0,10.86769861142727,240.47257958434747,1
"<com.facebook.GraphRequest$Companion: void serializeToUrlConnection$facebook_core_release(com.facebook.GraphRequestBatch,java.net.HttpURLConnection)>",0,<com.facebook.HttpMethod: void <clinit>()>,1.0,1.0,11.0,1.0,1.0,24.0,36.0,1.0,1.0,-1.0,36.0,21965.0,238709.0,10.86769861142727,240.47257958434747,11.0,1.0,1.0,24.0,36.0,1.0,1.0,-1.0,36.0,21965.0,238709.0,10.86769861142727,240.47257958434747,0
<com.facebook.internal.FetchedAppSettingsManager: org.json.JSONObject getAppSettingsQueryResponse(java.lang.String)>,0,"<com.facebook.GraphRequest$Companion: com.facebook.GraphRequest newGraphPathRequest(com.facebook.AccessToken,java.lang.String,com.facebook.GraphRequest$Callback)>",1.0,1.0,6.0,2.0,2.0,4.0,26.0,1.0,1.0,-1.0,26.0,21965.0,238709.0,10.86769861142727,240.47257958434747,6.0,2.0,2.0,4.0,26.0,1.0,1.0,-1.0,26.0,21965.0,238709.0,10.86769861142727,240.47257958434747,1
"<com.unity3d.player.UnityPlayer: void <init>(android.content.Context,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,<com.unity3d.player.UnityPlayer: int getNaturalOrientation(int)>,1.0,1.0,3.0,2.0,5.0,1.0,68.0,1.0,1.0,-1.0,68.0,21965.0,238709.0,10.86769861142727,240.47257958434747,3.0,2.0,5.0,1.0,68.0,1.0,1.0,-1.0,68.0,21965.0,238709.0,10.86769861142727,240.47257958434747,1
"<com.facebook.appevents.AppEventQueue: void handleResponse(com.facebook.appevents.AccessTokenAppIdPair,com.facebook.GraphRequest,com.facebook.GraphResponse,com.facebook.appevents.SessionEventsState,com.facebook.appevents.FlushStatistics)>",0,"<kotlin.jvm.internal.Intrinsics: void checkNotNullExpressionValue(java.lang.Object,java.lang.String)>",1.0,1.0,6.0,1.0,5.0,358.0,349.0,1.0,1.0,-1.0,349.0,21965.0,238709.0,10.86769861142727,240.47257958434747,6.0,1.0,5.0,358.0,349.0,1.0,1.0,-1.0,349.0,21965.0,238709.0,10.86769861142727,240.47257958434747,0
"<com.facebook.appevents.AppEventQueue: void add(com.facebook.appevents.AccessTokenAppIdPair,com.facebook.appevents.AppEvent)>",0,<com.facebook.appevents.AppEventsLoggerImpl$Companion$initializeTimersIfNeeded$attributionRecheckRunnable$1: void run()>,1.0,1.0,9.0,1.0,159.0,98.0,313.0,1.0,1.0,-1.0,313.0,21965.0,238709.0,10.86769861142727,240.47257958434747,9.0,1.0,159.0,98.0,313.0,1.0,1.0,-1.0,313.0,21965.0,238709.0,10.86769861142727,240.47257958434747,0
"<com.facebook.appevents.PersistedEvents: void addEvents(com.facebook.appevents.AccessTokenAppIdPair,java.util.List)>",0,<com.facebook.internal.instrument.crashshield.CrashShieldHandler: void <clinit>()>,1.0,1.0,6.0,2.0,4.0,621.0,33.0,1.0,1.0,-1.0,33.0,21965.0,238709.0,10.86769861142727,240.47257958434747,6.0,2.0,4.0,621.0,33.0,1.0,1.0,-1.0,33.0,21965.0,238709.0,10.86769861142727,240.47257958434747,0
"<com.facebook.ProfileManager: void <init>(androidx.localbroadcastmanager.content.LocalBroadcastManager,com.facebook.ProfileCache)>",0,"<kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>",1.0,1.0,7.0,1.0,1.0,779.0,2.0,1.0,1.0,-1.0,2.0,21965.0,238709.0,10.86769861142727,240.47257958434747,7.0,1.0,1.0,779.0,2.0,1.0,1.0,-1.0,2.0,21965.0,238709.0,10.86769861142727,240.47257958434747,1
"<com.facebook.appevents.AppEventsLoggerImpl$Companion: void logEvent(com.facebook.appevents.AppEvent,com.facebook.appevents.AccessTokenAppIdPair)>",0,<com.facebook.internal.Logger: void <clinit>()>,1.0,1.0,8.0,1.0,2.0,46.0,18.0,1.0,1.0,-1.0,18.0,21965.0,238709.0,10.86769861142727,240.47257958434747,8.0,1.0,2.0,46.0,18.0,1.0,1.0,-1.0,18.0,21965.0,238709.0,10.86769861142727,240.47257958434747,0
<com.facebook.UserSettingsManager: void logIfSDKSettingsChanged()>,0,<com.facebook.UserSettingsManager: void <clinit>()>,1.0,1.0,6.0,2.0,5.0,22.0,21.0,1.0,1.0,-1.0,21.0,21965.0,238709.0,10.86769861142727,240.47257958434747,6.0,2.0,5.0,22.0,21.0,1.0,1.0,-1.0,21.0,21965.0,238709.0,10.86769861142727,240.47257958434747,0
