method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<androidx.core.view.WindowInsetsCompat: void <init>(android.view.WindowInsets)>,0,"<androidx.core.view.WindowInsetsCompat$Impl20: void <init>(androidx.core.view.WindowInsetsCompat,android.view.WindowInsets)>",1,1,4,1,1,3,11,1,1,-1,11,19427.0,104385.0,5.373191949348844,102.46766297839729,4,1,1,3,11,1,1,-1,11,19427.0,104385.0,5.373191949348844,102.46766297839729,0
"<androidx.appcompat.widget.AppCompatTextHelper$1: void <init>(androidx.appcompat.widget.AppCompatTextHelper,int,int,java.lang.ref.WeakReference)>",0,<androidx.core.content.res.ResourcesCompat$FontCallback: void <init>()>,1,1,9,1,1,2,1,1,1,-1,1,19427.0,104385.0,5.373191949348844,102.46766297839729,9,1,1,2,1,1,1,-1,1,19427.0,104385.0,5.373191949348844,102.46766297839729,0
<androidx.appcompat.view.ContextThemeWrapper: android.content.res.Resources$Theme getTheme()>,0,<androidx.appcompat.view.ContextThemeWrapper: void initializeTheme()>,1,1,5,32,9,2,1,1,1,-1,1,19427.0,104385.0,5.373191949348844,102.46766297839729,5,32,9,2,1,1,1,-1,1,19427.0,104385.0,5.373191949348844,102.46766297839729,0
<androidx.appcompat.app.WindowDecorActionBar: void init(android.view.View)>,0,<androidx.appcompat.app.WindowDecorActionBar: void setHomeButtonEnabled(boolean)>,1,1,7,2,1,1,23,1,1,-1,23,19427.0,104385.0,5.373191949348844,102.46766297839729,7,2,1,1,23,1,1,-1,23,19427.0,104385.0,5.373191949348844,102.46766297839729,0
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable createDrawableIfNeeded(android.content.Context,int)>",0,"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getCachedDrawable(android.content.Context,long)>",1,1,8,1,17,2,19,1,1,-1,19,19427.0,104385.0,5.373191949348844,102.46766297839729,8,1,17,2,19,1,1,-1,19,19427.0,104385.0,5.373191949348844,102.46766297839729,0
<androidx.core.view.WindowInsetsCompat$BuilderImpl29: androidx.core.view.WindowInsetsCompat build()>,0,<androidx.core.view.WindowInsetsCompat$BuilderImpl: void applyInsetTypes()>,1,1,4,1,12,3,5,1,1,-1,5,19427.0,104385.0,5.373191949348844,102.46766297839729,4,1,12,3,5,1,1,-1,5,19427.0,104385.0,5.373191949348844,102.46766297839729,0
"<androidx.fragment.app.FragmentManager: void attachController(androidx.fragment.app.FragmentHostCallback,androidx.fragment.app.FragmentContainer,androidx.fragment.app.Fragment)>",0,<androidx.activity.result.contract.ActivityResultContracts$RequestMultiplePermissions: void <init>()>,1,1,8,2,1,1,31,1,1,-1,31,19427.0,104385.0,5.373191949348844,102.46766297839729,8,2,1,1,31,1,1,-1,31,19427.0,104385.0,5.373191949348844,102.46766297839729,0
"<androidx.appcompat.view.SupportMenuInflater$MenuState: void <init>(androidx.appcompat.view.SupportMenuInflater,android.view.Menu)>",0,<androidx.appcompat.view.SupportMenuInflater$MenuState: void resetGroup()>,1,1,8,1,0,2,2,1,1,-1,2,19427.0,104385.0,5.373191949348844,102.46766297839729,8,1,0,2,2,1,1,-1,2,19427.0,104385.0,5.373191949348844,102.46766297839729,0
"<androidx.appcompat.widget.LinearLayoutCompat: void <init>(android.content.Context,android.util.AttributeSet,int)>",0,"<androidx.appcompat.widget.TintTypedArray: int getInt(int,int)>",1,1,4,2,1,7,16,1,1,-1,16,19427.0,104385.0,5.373191949348844,102.46766297839729,4,2,1,7,16,1,1,-1,16,19427.0,104385.0,5.373191949348844,102.46766297839729,0
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getDrawable(android.content.Context,int,boolean)>",0,<androidx.core.content.ContextCompat: void <clinit>()>,1,1,7,2,1,21,8,1,1,-1,8,19427.0,104385.0,5.373191949348844,102.46766297839729,7,2,1,21,8,1,1,-1,8,19427.0,104385.0,5.373191949348844,102.46766297839729,0
