method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<androidx.collection.SimpleArrayMap: int indexOf(java.lang.Object,int)>",0,"<androidx.collection.SimpleArrayMap: int binarySearchHashes(int[],int,int)>",1.0,1.0,5.0,2.0,3.0,2.0,385.0,1.0,1.0,-1.0,385.0,12703.0,95148.0,7.490199165551444,138.6200866019254,5.0,2.0,3.0,2.0,385.0,1.0,1.0,-1.0,385.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
"<org.apache.cordova.file.FileUtils: org.json.JSONObject getFile(java.lang.String,java.lang.String,org.json.JSONObject,boolean)>",0,<org.apache.cordova.file.FileUtils: org.apache.cordova.file.Filesystem filesystemForURL(org.apache.cordova.file.LocalFilesystemURL)>,1.0,1.0,6.0,1.0,1.0,12.0,7.0,1.0,1.0,-1.0,7.0,12703.0,95148.0,7.490199165551444,138.6200866019254,6.0,1.0,1.0,12.0,7.0,1.0,1.0,-1.0,7.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
<org.apache.cordova.CordovaActivity: void onResume()>,0,<org.apache.cordova.CordovaActivity: void <clinit>()>,1.0,1.0,2.0,1.0,0.0,8.0,12.0,1.0,1.0,-1.0,12.0,12703.0,95148.0,7.490199165551444,138.6200866019254,2.0,1.0,0.0,8.0,12.0,1.0,1.0,-1.0,12.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
<androidx.emoji2.text.EmojiCompatInitializer: java.lang.Boolean create(android.content.Context)>,0,<androidx.emoji2.text.EmojiCompatInitializer: void delayUntilFirstResume(android.content.Context)>,1.0,1.0,4.0,1.0,11.0,1.0,7.0,1.0,1.0,-1.0,7.0,12703.0,95148.0,7.490199165551444,138.6200866019254,4.0,1.0,11.0,1.0,7.0,1.0,1.0,-1.0,7.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
<androidx.appcompat.app.AppCompatDelegateImpl$PanelFeatureState: androidx.appcompat.view.menu.MenuView getListMenuView(androidx.appcompat.view.menu.MenuPresenter$Callback)>,0,<androidx.appcompat.view.menu.MenuBuilder: void addMenuPresenter(androidx.appcompat.view.menu.MenuPresenter)>,1.0,1.0,8.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,12703.0,95148.0,7.490199165551444,138.6200866019254,8.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
<androidx.core.view.WindowInsetsCompat: void <init>(android.view.WindowInsets)>,0,"<androidx.core.view.WindowInsetsCompat$Impl20: void <init>(androidx.core.view.WindowInsetsCompat,android.view.WindowInsets)>",1.0,1.0,4.0,1.0,1.0,3.0,11.0,1.0,1.0,-1.0,11.0,12703.0,95148.0,7.490199165551444,138.6200866019254,4.0,1.0,1.0,3.0,11.0,1.0,1.0,-1.0,11.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
"<androidx.appcompat.widget.AppCompatTextHelper$1: void <init>(androidx.appcompat.widget.AppCompatTextHelper,int,int,java.lang.ref.WeakReference)>",0,<androidx.core.content.res.ResourcesCompat$FontCallback: void <init>()>,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,12703.0,95148.0,7.490199165551444,138.6200866019254,9.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
"<org.apache.cordova.file.LocalFilesystem: org.json.JSONObject copyFileToURL(org.apache.cordova.file.LocalFilesystemURL,java.lang.String,org.apache.cordova.file.Filesystem,org.apache.cordova.file.LocalFilesystemURL,boolean)>",0,<org.apache.cordova.file.LocalFilesystem: java.lang.String filesystemPathForURL(org.apache.cordova.file.LocalFilesystemURL)>,1.0,1.0,7.0,1.0,1.0,13.0,23.0,1.0,1.0,-1.0,23.0,12703.0,95148.0,7.490199165551444,138.6200866019254,7.0,1.0,1.0,13.0,23.0,1.0,1.0,-1.0,23.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
<androidx.appcompat.view.ContextThemeWrapper: android.content.res.Resources$Theme getTheme()>,0,<androidx.appcompat.view.ContextThemeWrapper: void initializeTheme()>,1.0,1.0,5.0,21.0,9.0,2.0,1.0,1.0,1.0,-1.0,1.0,12703.0,95148.0,7.490199165551444,138.6200866019254,5.0,21.0,9.0,2.0,1.0,1.0,1.0,-1.0,1.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
<org.apache.cordova.file.FileUtils$18: void run(org.json.JSONArray)>,0,"<org.apache.cordova.file.FileUtils: boolean access$100(org.apache.cordova.file.FileUtils,java.lang.String,int)>",1.0,1.0,4.0,1.0,1.0,4.0,15.0,1.0,1.0,-1.0,15.0,12703.0,95148.0,7.490199165551444,138.6200866019254,4.0,1.0,1.0,4.0,15.0,1.0,1.0,-1.0,15.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
"<org.apache.cordova.PluginManager: java.lang.Object postMessage(java.lang.String,java.lang.Object)>",0,"<org.apache.cordova.CordovaActivity$1: java.lang.Object onMessage(java.lang.String,java.lang.Object)>",1.0,1.0,4.0,4.0,1.0,1.0,164.0,1.0,1.0,-1.0,164.0,12703.0,95148.0,7.490199165551444,138.6200866019254,4.0,4.0,1.0,1.0,164.0,1.0,1.0,-1.0,164.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
"<androidx.core.provider.FontProvider: java.util.List getCertificates(androidx.core.provider.FontRequest,android.content.res.Resources)>",0,<androidx.core.provider.FontRequest: java.util.List getCertificates()>,1.0,1.0,8.0,1.0,0.0,1.0,3.0,1.0,1.0,-1.0,3.0,12703.0,95148.0,7.490199165551444,138.6200866019254,8.0,1.0,0.0,1.0,3.0,1.0,1.0,-1.0,3.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable createDrawableIfNeeded(android.content.Context,int)>",0,"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getCachedDrawable(android.content.Context,long)>",1.0,1.0,8.0,1.0,17.0,2.0,20.0,1.0,1.0,-1.0,20.0,12703.0,95148.0,7.490199165551444,138.6200866019254,8.0,1.0,17.0,2.0,20.0,1.0,1.0,-1.0,20.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
<androidx.core.view.WindowInsetsCompat$BuilderImpl29: androidx.core.view.WindowInsetsCompat build()>,0,<androidx.core.view.WindowInsetsCompat$BuilderImpl: void applyInsetTypes()>,1.0,1.0,4.0,1.0,13.0,3.0,5.0,1.0,1.0,-1.0,5.0,12703.0,95148.0,7.490199165551444,138.6200866019254,4.0,1.0,13.0,3.0,5.0,1.0,1.0,-1.0,5.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
"<androidx.lifecycle.FullLifecycleObserverAdapter: void onStateChanged(androidx.lifecycle.LifecycleOwner,androidx.lifecycle.Lifecycle$Event)>",0,<androidx.lifecycle.FullLifecycleObserverAdapter$1: void <clinit>()>,1.0,1.0,8.0,3.0,3.0,1.0,29.0,1.0,1.0,-1.0,29.0,12703.0,95148.0,7.490199165551444,138.6200866019254,8.0,3.0,3.0,1.0,29.0,1.0,1.0,-1.0,29.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
<androidx.emoji2.text.EmojiCompatInitializer$BackgroundDefaultConfig: void <init>(android.content.Context)>,0,<androidx.emoji2.text.EmojiCompatInitializer$BackgroundDefaultLoader: void <init>(android.content.Context)>,1.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,12703.0,95148.0,7.490199165551444,138.6200866019254,5.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
"<cordova.plugins.Diagnostic_Location: void initialize(org.apache.cordova.CordovaInterface,org.apache.cordova.CordovaWebView)>",0,<cordova.plugins.Diagnostic: void <clinit>()>,1.0,1.0,7.0,1.0,7.0,11.0,20.0,1.0,1.0,-1.0,20.0,12703.0,95148.0,7.490199165551444,138.6200866019254,7.0,1.0,7.0,11.0,20.0,1.0,1.0,-1.0,20.0,12703.0,95148.0,7.490199165551444,138.6200866019254,0
"<androidx.fragment.app.FragmentManager: void attachController(androidx.fragment.app.FragmentHostCallback,androidx.fragment.app.FragmentContainer,androidx.fragment.app.Fragment)>",0,<androidx.activity.result.contract.ActivityResultContracts$RequestMultiplePermissions: void <init>()>,1.0,1.0,9.0,2.0,1.0,1.0,30.0,1.0,1.0,-1.0,30.0,12703.0,95148.0,7.490199165551444,138.6200866019254,9.0,2.0,1.0,1.0,30.0,1.0,1.0,-1.0,30.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
<org.apache.cordova.file.AssetFilesystem: org.json.JSONObject getFileMetadataForLocalURL(org.apache.cordova.file.LocalFilesystemURL)>,0,<org.apache.cordova.file.AssetFilesystem: android.net.Uri toNativeUri(org.apache.cordova.file.LocalFilesystemURL)>,1.0,1.0,7.0,3.0,1.0,8.0,11.0,1.0,1.0,-1.0,11.0,12703.0,95148.0,7.490199165551444,138.6200866019254,7.0,3.0,1.0,8.0,11.0,1.0,1.0,-1.0,11.0,12703.0,95148.0,7.490199165551444,138.6200866019254,1
