method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<androidx.fragment.app.FragmentActivity: void init()>,0,<androidx.fragment.app.FragmentActivity$1: void <init>(androidx.fragment.app.FragmentActivity)>,1.0,1.0,6.0,1.0,1.0,1.0,5.0,1.0,1.0,-1.0,5.0,11971.0,65005.0,5.430206331968925,119.06716406430274,6.0,1.0,1.0,1.0,5.0,1.0,1.0,-1.0,5.0,11971.0,65005.0,5.430206331968925,119.06716406430274,1
<com.getcapacitor.BridgeActivity: void onResume()>,0,<com.getcapacitor.App: void fireStatusChange(boolean)>,1.0,1.0,2.0,1.0,3.0,2.0,5.0,1.0,1.0,-1.0,5.0,11971.0,65005.0,5.430206331968925,119.06716406430274,2.0,1.0,3.0,2.0,5.0,1.0,1.0,-1.0,5.0,11971.0,65005.0,5.430206331968925,119.06716406430274,1
<org.apache.cordova.PluginManager: void init()>,0,<org.apache.cordova.LOG: void <clinit>()>,1.0,1.0,6.0,2.0,0.0,47.0,7.0,1.0,1.0,-1.0,7.0,11971.0,65005.0,5.430206331968925,119.06716406430274,6.0,2.0,0.0,47.0,7.0,1.0,1.0,-1.0,7.0,11971.0,65005.0,5.430206331968925,119.06716406430274,0
"<com.getcapacitor.util.JSONUtils: org.json.JSONObject getObject(org.json.JSONObject,java.lang.String)>",0,"<com.getcapacitor.util.JSONUtils: org.json.JSONObject getDeepestObject(org.json.JSONObject,java.lang.String)>",1.0,1.0,9.0,1.0,2.0,4.0,3.0,1.0,1.0,-1.0,3.0,11971.0,65005.0,5.430206331968925,119.06716406430274,9.0,1.0,2.0,4.0,3.0,1.0,1.0,-1.0,3.0,11971.0,65005.0,5.430206331968925,119.06716406430274,1
<com.getcapacitor.Plugin: void execute(java.lang.Runnable)>,0,<org.apache.cordova.inappbrowser.InAppBrowser$1: void run()>,1.0,1.0,8.0,1.0,33.0,43.0,196.0,1.0,1.0,-1.0,196.0,11971.0,65005.0,5.430206331968925,119.06716406430274,8.0,1.0,33.0,43.0,196.0,1.0,1.0,-1.0,196.0,11971.0,65005.0,5.430206331968925,119.06716406430274,0
"<androidx.collection.SimpleArrayMap: int indexOf(java.lang.Object,int)>",0,"<androidx.collection.SimpleArrayMap: int binarySearchHashes(int[],int,int)>",1.0,1.0,5.0,2.0,3.0,2.0,342.0,1.0,1.0,-1.0,342.0,11971.0,65005.0,5.430206331968925,119.06716406430274,5.0,2.0,3.0,2.0,342.0,1.0,1.0,-1.0,342.0,11971.0,65005.0,5.430206331968925,119.06716406430274,1
"<androidx.activity.result.ActivityResultRegistry: androidx.activity.result.ActivityResultLauncher register(java.lang.String,androidx.lifecycle.LifecycleOwner,androidx.activity.result.contract.ActivityResultContract,androidx.activity.result.ActivityResultCallback)>",0,<androidx.activity.ComponentActivity: androidx.lifecycle.Lifecycle getLifecycle()>,1.0,1.0,11.0,2.0,0.0,15.0,37.0,1.0,1.0,-1.0,37.0,11971.0,65005.0,5.430206331968925,119.06716406430274,11.0,2.0,0.0,15.0,37.0,1.0,1.0,-1.0,37.0,11971.0,65005.0,5.430206331968925,119.06716406430274,0
"<androidx.core.content.FileProvider: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",0,<androidx.core.content.FileProvider: void <clinit>()>,1.0,1.0,2.0,1.0,4.0,15.0,5.0,1.0,1.0,-1.0,5.0,11971.0,65005.0,5.430206331968925,119.06716406430274,2.0,1.0,4.0,15.0,5.0,1.0,1.0,-1.0,5.0,11971.0,65005.0,5.430206331968925,119.06716406430274,0
<org.apache.cordova.file.FileUtils: org.json.JSONObject requestAllPaths()>,0,<org.apache.cordova.CordovaPlugin: void <clinit>()>,1.0,1.0,5.0,2.0,0.0,49.0,19.0,1.0,1.0,-1.0,19.0,11971.0,65005.0,5.430206331968925,119.06716406430274,5.0,2.0,0.0,49.0,19.0,1.0,1.0,-1.0,19.0,11971.0,65005.0,5.430206331968925,119.06716406430274,0
"<org.apache.cordova.file.FileUtils: void initialize(org.apache.cordova.CordovaInterface,org.apache.cordova.CordovaWebView)>",0,<org.apache.cordova.file.AssetFilesystem: void <clinit>()>,1.0,1.0,7.0,1.0,1.0,5.0,41.0,1.0,1.0,-1.0,41.0,11971.0,65005.0,5.430206331968925,119.06716406430274,7.0,1.0,1.0,5.0,41.0,1.0,1.0,-1.0,41.0,11971.0,65005.0,5.430206331968925,119.06716406430274,0
<androidx.appcompat.app.AppCompatDelegateImpl$PanelFeatureState: androidx.appcompat.view.menu.MenuView getListMenuView(androidx.appcompat.view.menu.MenuPresenter$Callback)>,0,<androidx.appcompat.view.menu.MenuBuilder: void addMenuPresenter(androidx.appcompat.view.menu.MenuPresenter)>,1.0,1.0,8.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,11971.0,65005.0,5.430206331968925,119.06716406430274,8.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,11971.0,65005.0,5.430206331968925,119.06716406430274,1
<androidx.lifecycle.LifecycleRegistry: void backwardPass(androidx.lifecycle.LifecycleOwner)>,0,<androidx.lifecycle.Lifecycle$Event: androidx.lifecycle.Lifecycle$State getTargetState()>,1.0,1.0,7.0,1.0,8.0,3.0,28.0,1.0,1.0,-1.0,28.0,11971.0,65005.0,5.430206331968925,119.06716406430274,7.0,1.0,8.0,3.0,28.0,1.0,1.0,-1.0,28.0,11971.0,65005.0,5.430206331968925,119.06716406430274,1
