method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<androidx.appcompat.app.AppCompatDelegateImpl$PanelFeatureState: androidx.appcompat.view.menu.MenuView getListMenuView(androidx.appcompat.view.menu.MenuPresenter$Callback)>,0,<androidx.appcompat.view.menu.MenuBuilder: void addMenuPresenter(androidx.appcompat.view.menu.MenuPresenter)>,1.0,1.0,8.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,16790.0,111218.0,6.624061941631924,205.96024024888052,8.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,16790.0,111218.0,6.624061941631924,205.96024024888052,1
"<com.google.android.gms.internal.gtm.zzbs: void <init>(com.google.android.gms.internal.gtm.zzbx,com.google.android.gms.internal.gtm.zzby)>",0,<com.google.android.gms.internal.gtm.zzbu: void <init>(com.google.android.gms.internal.gtm.zzbx)>,1.0,1.0,6.0,1.0,1.0,15.0,3.0,1.0,1.0,-1.0,3.0,16790.0,111218.0,6.624061941631924,205.96024024888052,6.0,1.0,1.0,15.0,3.0,1.0,1.0,-1.0,3.0,16790.0,111218.0,6.624061941631924,205.96024024888052,1
<com.google.android.gms.internal.gtm.zzew: void <clinit>()>,0,<com.google.android.gms.internal.gtm.zzdg: void <clinit>()>,1.0,1.0,5.0,31.0,1.0,1.0,56.0,1.0,1.0,-1.0,56.0,16790.0,111218.0,6.624061941631924,205.96024024888052,5.0,31.0,1.0,1.0,56.0,1.0,1.0,-1.0,56.0,16790.0,111218.0,6.624061941631924,205.96024024888052,0
<com.google.android.gms.internal.gtm.zzcm: void zzad()>,0,<com.google.android.gms.internal.gtm.zzcy: void zzg(long)>,1.0,1.0,5.0,11.0,143.0,3.0,29.0,1.0,1.0,-1.0,29.0,16790.0,111218.0,6.624061941631924,205.96024024888052,5.0,11.0,143.0,3.0,29.0,1.0,1.0,-1.0,29.0,16790.0,111218.0,6.624061941631924,205.96024024888052,0
<androidx.appcompat.view.ContextThemeWrapper: android.content.res.Resources$Theme getTheme()>,0,<androidx.appcompat.view.ContextThemeWrapper: void initializeTheme()>,1.0,1.0,5.0,22.0,9.0,1.0,1.0,1.0,1.0,-1.0,1.0,16790.0,111218.0,6.624061941631924,205.96024024888052,5.0,22.0,9.0,1.0,1.0,1.0,1.0,-1.0,1.0,16790.0,111218.0,6.624061941631924,205.96024024888052,1
"<androidx.fragment.app.FragmentController: boolean dispatchCreateOptionsMenu(android.view.Menu,android.view.MenuInflater)>",0,"<androidx.fragment.app.FragmentManagerImpl: boolean dispatchCreateOptionsMenu(android.view.Menu,android.view.MenuInflater)>",1.0,1.0,5.0,1.0,7.0,2.0,1.0,1.0,1.0,-1.0,1.0,16790.0,111218.0,6.624061941631924,205.96024024888052,5.0,1.0,7.0,2.0,1.0,1.0,1.0,-1.0,1.0,16790.0,111218.0,6.624061941631924,205.96024024888052,1
<androidx.fragment.app.FragmentManagerImpl: void dispatchResume()>,0,<androidx.fragment.app.FragmentManagerImpl: void dispatchStateChange(int)>,1.0,1.0,5.0,3.0,2.0,8.0,1.0,1.0,1.0,-1.0,1.0,16790.0,111218.0,6.624061941631924,205.96024024888052,5.0,3.0,2.0,8.0,1.0,1.0,1.0,-1.0,1.0,16790.0,111218.0,6.624061941631924,205.96024024888052,1
<com.google.android.gms.internal.gtm.zzcy: void <init>(com.google.android.gms.internal.gtm.zzbx)>,0,<com.google.android.gms.common.internal.Preconditions: java.lang.Object checkNotNull(java.lang.Object)>,1.0,1.0,9.0,3.0,1.0,118.0,3.0,1.0,1.0,-1.0,3.0,16790.0,111218.0,6.624061941631924,205.96024024888052,9.0,3.0,1.0,118.0,3.0,1.0,1.0,-1.0,3.0,16790.0,111218.0,6.624061941631924,205.96024024888052,1
<com.google.android.gms.internal.gtm.zzew: void <clinit>()>,0,<com.google.android.gms.internal.gtm.zzde: void <clinit>()>,1.0,1.0,5.0,31.0,1.0,1.0,56.0,1.0,1.0,-1.0,56.0,16790.0,111218.0,6.624061941631924,205.96024024888052,5.0,31.0,1.0,1.0,56.0,1.0,1.0,-1.0,56.0,16790.0,111218.0,6.624061941631924,205.96024024888052,0
<com.google.android.gms.common.stats.ConnectionTracker: com.google.android.gms.common.stats.ConnectionTracker getInstance()>,0,<com.google.android.gms.common.stats.ConnectionTracker: void <clinit>()>,1.0,1.0,7.0,6.0,1.0,9.0,3.0,1.0,1.0,-1.0,3.0,16790.0,111218.0,6.624061941631924,205.96024024888052,7.0,6.0,1.0,9.0,3.0,1.0,1.0,-1.0,3.0,16790.0,111218.0,6.624061941631924,205.96024024888052,0
