method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<com.ionicframework.cordova.webview.IonicWebViewEngine: void init(org.apache.cordova.CordovaWebView,org.apache.cordova.CordovaInterface,org.apache.cordova.CordovaWebViewEngine$Client,org.apache.cordova.CordovaResourceApi,org.apache.cordova.PluginManager,org.apache.cordova.NativeToJsMessageQueue)>",0,"<com.ionicframework.cordova.webview.IonicWebViewEngine$ServerClient: void <init>(com.ionicframework.cordova.webview.IonicWebViewEngine,org.apache.cordova.engine.SystemWebViewEngine,org.apache.cordova.ConfigXmlParser)>",1.0,1.0,6.0,1.0,1.0,1.0,26.0,1.0,1.0,1.0,26.0,1152.0,3189.0,2.7682291666666665,39.81718407024145,6.0,1.0,1.0,1.0,26.0,1.0,1.0,1.0,26.0,1152.0,3189.0,2.7682291666666665,39.81718407024145,1
<org.apache.cordova.splashscreen.SplashScreen: void removeSplashScreen(boolean)>,0,<org.apache.cordova.CordovaInterfaceImpl: android.app.Activity getActivity()>,1.0,1.0,6.0,4.0,0.0,32.0,4.0,1.0,1.0,1.0,4.0,1152.0,3189.0,2.7682291666666665,39.81718407024145,6.0,4.0,0.0,32.0,4.0,1.0,1.0,1.0,4.0,1152.0,3189.0,2.7682291666666665,39.81718407024145,0
<org.apache.cordova.splashscreen.SplashScreen: void pluginInitialize()>,0,<org.apache.cordova.splashscreen.SplashScreen$1: void run()>,1.0,1.0,7.0,1.0,5.0,6.0,11.0,1.0,1.0,1.0,11.0,1152.0,3189.0,2.7682291666666665,39.81718407024145,7.0,1.0,5.0,6.0,11.0,1.0,1.0,1.0,11.0,1152.0,3189.0,2.7682291666666665,39.81718407024145,0
<org.apache.cordova.CordovaWebViewImpl: void handleStop()>,0,<org.apache.cordova.PluginManager: void onStop()>,1.0,1.0,3.0,1.0,18.0,1.0,2.0,1.0,1.0,1.0,2.0,1152.0,3189.0,2.7682291666666665,39.81718407024145,3.0,1.0,18.0,1.0,2.0,1.0,1.0,1.0,2.0,1152.0,3189.0,2.7682291666666665,39.81718407024145,1
<org.apache.cordova.whitelist.WhitelistPlugin$CustomConfigXmlParser: void <init>(org.apache.cordova.whitelist.WhitelistPlugin)>,0,<org.apache.cordova.ConfigXmlParser: void <init>()>,1.0,1.0,9.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1152.0,3189.0,2.7682291666666665,39.81718407024145,9.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1152.0,3189.0,2.7682291666666665,39.81718407024145,1
<org.apache.cordova.PluginManager: void onStart()>,0,<org.apache.cordova.CordovaPlugin: void onStart()>,1.0,1.0,4.0,1.0,0.0,1.0,18.0,1.0,1.0,1.0,18.0,1152.0,3189.0,2.7682291666666665,39.81718407024145,4.0,1.0,0.0,1.0,18.0,1.0,1.0,1.0,18.0,1152.0,3189.0,2.7682291666666665,39.81718407024145,1
<org.apache.cordova.PluginManager: void init()>,0,<org.apache.cordova.LOG: void <clinit>()>,1.0,1.0,5.0,2.0,0.0,50.0,14.0,1.0,1.0,1.0,14.0,1152.0,3189.0,2.7682291666666665,39.81718407024145,5.0,2.0,0.0,50.0,14.0,1.0,1.0,1.0,14.0,1152.0,3189.0,2.7682291666666665,39.81718407024145,0
<org.apache.cordova.CordovaActivity: void onStart()>,0,<org.apache.cordova.CordovaWebViewImpl: void handleStart()>,1.0,1.0,2.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,6.0,1152.0,3189.0,2.7682291666666665,39.81718407024145,2.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,6.0,1152.0,3189.0,2.7682291666666665,39.81718407024145,0
"<com.android.plugins.Permissions: void checkPermissionAction(org.apache.cordova.CallbackContext,org.json.JSONArray)>",0,"<com.android.plugins.Permissions: void addProperty(org.json.JSONObject,java.lang.String,java.lang.Object)>",1.0,1.0,8.0,1.0,2.0,3.0,19.0,1.0,1.0,1.0,19.0,1152.0,3189.0,2.7682291666666665,39.81718407024145,8.0,1.0,2.0,3.0,19.0,1.0,1.0,1.0,19.0,1152.0,3189.0,2.7682291666666665,39.81718407024145,1
<org.apache.cordova.CordovaWebViewImpl$3: void run()>,0,<org.apache.cordova.CordovaWebViewImpl: void <clinit>()>,1.0,1.0,5.0,6.0,0.0,7.0,64.0,1.0,1.0,1.0,64.0,1152.0,3189.0,2.7682291666666665,39.81718407024145,5.0,6.0,0.0,7.0,64.0,1.0,1.0,1.0,64.0,1152.0,3189.0,2.7682291666666665,39.81718407024145,0
