method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.google.android.datatransport.cct.CctTransportBackend: com.google.android.datatransport.cct.internal.BatchedLogRequest getRequestBody(com.google.android.datatransport.runtime.backends.BackendRequest)>,0,<com.google.android.datatransport.cct.internal.AndroidClientInfo: com.google.android.datatransport.cct.internal.AndroidClientInfo$Builder builder()>,1.0,1.0,7.0,1.0,1.0,1.0,320.0,1.0,1.0,-1.0,320.0,30998.0,294281.0,9.493547970836827,208.4329569357179,7.0,1.0,1.0,1.0,320.0,1.0,1.0,-1.0,320.0,30998.0,294281.0,9.493547970836827,208.4329569357179,1
"<com.google.firebase.crashlytics.internal.model.AutoCrashlyticsReportEncoder$CrashlyticsReportSessionEventApplicationExecutionBinaryImageEncoder: void encode(com.google.firebase.crashlytics.internal.model.CrashlyticsReport$Session$Event$Application$Execution$BinaryImage,com.google.firebase.encoders.ObjectEncoderContext)>",0,<com.google.firebase.crashlytics.internal.model.AutoValue_CrashlyticsReport_Session_Event_Application_Execution_BinaryImage: long getSize()>,1.0,1.0,13.0,1.0,0.0,2.0,9.0,1.0,1.0,-1.0,9.0,30998.0,294281.0,9.493547970836827,208.4329569357179,13.0,1.0,0.0,2.0,9.0,1.0,1.0,-1.0,9.0,30998.0,294281.0,9.493547970836827,208.4329569357179,0
<com.google.firebase.installations.FirebaseInstallations: com.google.firebase.installations.local.PersistedInstallationEntry getPrefsWithGeneratedIdMultiProcessSafe()>,0,<com.google.firebase.installations.local.PersistedInstallation: com.google.firebase.installations.local.PersistedInstallationEntry insertOrUpdatePersistedInstallationEntry(com.google.firebase.installations.local.PersistedInstallationEntry)>,1.0,1.0,6.0,1.0,30.0,2.0,9.0,1.0,1.0,-1.0,9.0,30998.0,294281.0,9.493547970836827,208.4329569357179,6.0,1.0,30.0,2.0,9.0,1.0,1.0,-1.0,9.0,30998.0,294281.0,9.493547970836827,208.4329569357179,1
"<com.getcapacitor.util.JSONUtils: org.json.JSONObject getObject(org.json.JSONObject,java.lang.String)>",0,"<com.getcapacitor.util.JSONUtils: org.json.JSONObject getDeepestObject(org.json.JSONObject,java.lang.String)>",1.0,1.0,5.0,1.0,2.0,5.0,3.0,1.0,1.0,-1.0,3.0,30998.0,294281.0,9.493547970836827,208.4329569357179,5.0,1.0,2.0,5.0,3.0,1.0,1.0,-1.0,3.0,30998.0,294281.0,9.493547970836827,208.4329569357179,1
<androidx.webkit.internal.WebViewGlueCommunicator: androidx.webkit.internal.WebViewProviderFactory createGlueProviderFactory()>,0,"<org.chromium.support_lib_boundary.util.BoundaryInterfaceReflectionUtil: java.lang.Object castToSuppLibClass(java.lang.Class,java.lang.reflect.InvocationHandler)>",1.0,1.0,11.0,1.0,3.0,2.0,8.0,1.0,1.0,-1.0,8.0,30998.0,294281.0,9.493547970836827,208.4329569357179,11.0,1.0,3.0,2.0,8.0,1.0,1.0,-1.0,8.0,30998.0,294281.0,9.493547970836827,208.4329569357179,1
"<androidx.collection.SimpleArrayMap: int indexOf(java.lang.Object,int)>",0,"<androidx.collection.SimpleArrayMap: int binarySearchHashes(int[],int,int)>",1.0,1.0,4.0,2.0,3.0,2.0,550.0,1.0,1.0,-1.0,550.0,30998.0,294281.0,9.493547970836827,208.4329569357179,4.0,2.0,3.0,2.0,550.0,1.0,1.0,-1.0,550.0,30998.0,294281.0,9.493547970836827,208.4329569357179,1
<com.google.firebase.components.AbstractComponentContainer: java.util.Set setOf(java.lang.Class)>,0,<com.google.firebase.FirebaseApp$$ExternalSyntheticLambda1: java.lang.Object get()>,1.0,1.0,10.0,4.0,1.0,16.0,14.0,1.0,1.0,-1.0,14.0,30998.0,294281.0,9.493547970836827,208.4329569357179,10.0,4.0,1.0,16.0,14.0,1.0,1.0,-1.0,14.0,30998.0,294281.0,9.493547970836827,208.4329569357179,0
"<androidx.core.content.FileProvider: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",0,<androidx.core.content.FileProvider: void <clinit>()>,1.0,1.0,2.0,1.0,4.0,10.0,6.0,1.0,1.0,-1.0,6.0,30998.0,294281.0,9.493547970836827,208.4329569357179,2.0,1.0,4.0,10.0,6.0,1.0,1.0,-1.0,6.0,30998.0,294281.0,9.493547970836827,208.4329569357179,0
<com.google.android.datatransport.runtime.scheduling.jobscheduling.Uploader_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.Uploader get()>,0,<com.google.android.datatransport.runtime.time.TimeModule_EventClockFactory: com.google.android.datatransport.runtime.time.Clock get()>,1.0,1.0,8.0,19.0,1.0,19.0,26.0,1.0,1.0,-1.0,26.0,30998.0,294281.0,9.493547970836827,208.4329569357179,8.0,19.0,1.0,19.0,26.0,1.0,1.0,-1.0,26.0,30998.0,294281.0,9.493547970836827,208.4329569357179,0
<com.google.android.gms.tasks.zzd: void zzd(com.google.android.gms.tasks.Task)>,0,<com.google.firebase.messaging.EnhancedIntentService$$ExternalSyntheticLambda2: void execute(java.lang.Runnable)>,1.0,1.0,6.0,1.0,352.0,54.0,23.0,1.0,1.0,-1.0,23.0,30998.0,294281.0,9.493547970836827,208.4329569357179,6.0,1.0,352.0,54.0,23.0,1.0,1.0,-1.0,23.0,30998.0,294281.0,9.493547970836827,208.4329569357179,0
