method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<io.flutter.view.e: io.flutter.view.e e(android.hardware.display.DisplayManager,io.flutter.embedding.engine.FlutterJNI)>",0,"<io.flutter.view.e$b: void <init>(io.flutter.view.e,android.hardware.display.DisplayManager)>",1.0,1.0,9.0,1.0,1.0,2.0,7.0,1.0,1.0,-1.0,7.0,19811.0,105793.0,5.340114078037454,78.54074466174511,9.0,1.0,1.0,2.0,7.0,1.0,1.0,-1.0,7.0,19811.0,105793.0,5.340114078037454,78.54074466174511,1
"<y.c: void c(java.lang.String,k0.c$a,k0.c$c)>",0,"<y.c$f: void <init>(k0.c$a,y.c$d)>",1.0,1.0,4.0,5.0,1.0,1.0,79.0,1.0,1.0,-1.0,79.0,19811.0,105793.0,5.340114078037454,78.54074466174511,4.0,5.0,1.0,1.0,79.0,1.0,1.0,-1.0,79.0,19811.0,105793.0,5.340114078037454,78.54074466174511,1
<j0.i: void <init>(y.a)>,0,<j0.i$a: void <init>(j0.i)>,1.0,1.0,7.0,1.0,1.0,1.0,5.0,1.0,1.0,-1.0,5.0,19811.0,105793.0,5.340114078037454,78.54074466174511,7.0,1.0,1.0,1.0,5.0,1.0,1.0,-1.0,5.0,19811.0,105793.0,5.340114078037454,78.54074466174511,1
<j0.f: void <init>(y.a)>,0,"<k0.j: void <init>(k0.c,java.lang.String,k0.k)>",1.0,1.0,7.0,1.0,1.0,10.0,5.0,1.0,1.0,-1.0,5.0,19811.0,105793.0,5.340114078037454,78.54074466174511,7.0,1.0,1.0,10.0,5.0,1.0,1.0,-1.0,5.0,19811.0,105793.0,5.340114078037454,78.54074466174511,1
"<io.flutter.embedding.engine.a: void <init>(android.content.Context,a0.d,io.flutter.embedding.engine.FlutterJNI,io.flutter.plugin.platform.o,java.lang.String[],boolean,boolean)>",0,<x.a: a0.d c()>,1.0,1.0,6.0,1.0,0.0,2.0,45.0,1.0,1.0,-1.0,45.0,19811.0,105793.0,5.340114078037454,78.54074466174511,6.0,1.0,0.0,2.0,45.0,1.0,1.0,-1.0,45.0,19811.0,105793.0,5.340114078037454,78.54074466174511,1
<io.flutter.embedding.android.d: void <init>()>,0,<androidx.lifecycle.g: void <init>(androidx.lifecycle.f)>,1.0,1.0,3.0,1.0,5.0,1.0,2.0,1.0,1.0,-1.0,2.0,19811.0,105793.0,5.340114078037454,78.54074466174511,3.0,1.0,5.0,1.0,2.0,1.0,1.0,-1.0,2.0,19811.0,105793.0,5.340114078037454,78.54074466174511,1
<k0.j: void e(k0.j$c)>,0,"<k0.j$a: void <init>(k0.j,k0.j$c)>",1.0,1.0,8.0,13.0,1.0,1.0,7.0,1.0,1.0,-1.0,7.0,19811.0,105793.0,5.340114078037454,78.54074466174511,8.0,13.0,1.0,1.0,7.0,1.0,1.0,-1.0,7.0,19811.0,105793.0,5.340114078037454,78.54074466174511,1
"<io.flutter.embedding.engine.a: void <init>(android.content.Context,a0.d,io.flutter.embedding.engine.FlutterJNI,io.flutter.plugin.platform.o,java.lang.String[],boolean,boolean)>",0,"<l0.a: void <init>(android.content.Context,j0.f)>",1.0,1.0,6.0,1.0,3.0,1.0,45.0,1.0,1.0,-1.0,45.0,19811.0,105793.0,5.340114078037454,78.54074466174511,6.0,1.0,3.0,1.0,45.0,1.0,1.0,-1.0,45.0,19811.0,105793.0,5.340114078037454,78.54074466174511,1
"<com.facebook.ads.internal.dynamicloading.DynamicLoaderFactory: com.facebook.ads.internal.dynamicloading.DynamicLoader access$000(android.content.Context,boolean)>",0,<com.facebook.ads.internal.dynamicloading.DynamicLoaderFactory: void <clinit>()>,1.0,1.0,4.0,1.0,4.0,51.0,2.0,1.0,1.0,-1.0,2.0,19811.0,105793.0,5.340114078037454,78.54074466174511,4.0,1.0,4.0,51.0,2.0,1.0,1.0,-1.0,2.0,19811.0,105793.0,5.340114078037454,78.54074466174511,0
"<y.a: void <init>(io.flutter.embedding.engine.FlutterJNI,android.content.res.AssetManager)>",0,<y.a$a: void <init>(y.a)>,1.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,1.0,-1.0,6.0,19811.0,105793.0,5.340114078037454,78.54074466174511,2.0,2.0,1.0,1.0,6.0,1.0,1.0,-1.0,6.0,19811.0,105793.0,5.340114078037454,78.54074466174511,1
