method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<androidx.customview.widget.ViewDragHelper: void saveInitialMotion(float,float,int)>",0,<androidx.customview.widget.ViewDragHelper: void ensureMotionHistorySizeForId(int)>,1.0,1.0,8.0,1.0,2.0,1.0,2.0,1.0,1.0,-1.0,2.0,11433.0,64288.0,5.623021079331759,125.49206694873072,8.0,1.0,2.0,1.0,2.0,1.0,1.0,-1.0,2.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
"<androidx.core.content.FileProvider: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",0,<androidx.core.content.FileProvider: void <clinit>()>,1.0,1.0,2.0,1.0,4.0,9.0,4.0,1.0,1.0,-1.0,4.0,11433.0,64288.0,5.623021079331759,125.49206694873072,2.0,1.0,4.0,9.0,4.0,1.0,1.0,-1.0,4.0,11433.0,64288.0,5.623021079331759,125.49206694873072,0
"<androidx.customview.widget.ViewDragHelper: boolean forceSettleCapturedViewAt(int,int,int,int)>",0,"<androidx.customview.widget.ViewDragHelper: int computeSettleDuration(android.view.View,int,int,int,int)>",1.0,1.0,7.0,2.0,7.0,1.0,6.0,1.0,1.0,-1.0,6.0,11433.0,64288.0,5.623021079331759,125.49206694873072,7.0,2.0,7.0,1.0,6.0,1.0,1.0,-1.0,6.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
"<androidx.drawerlayout.widget.DrawerLayout: void addView(android.view.View,int,android.view.ViewGroup$LayoutParams)>",0,<androidx.drawerlayout.widget.DrawerLayout: boolean isDrawerView(android.view.View)>,1.0,1.0,5.0,2.0,4.0,10.0,8.0,1.0,1.0,-1.0,8.0,11433.0,64288.0,5.623021079331759,125.49206694873072,5.0,2.0,4.0,10.0,8.0,1.0,1.0,-1.0,8.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
<androidx.drawerlayout.widget.DrawerLayout: int getDrawerLockMode(android.view.View)>,0,<androidx.drawerlayout.widget.DrawerLayout: int getDrawerLockMode(int)>,1.0,1.0,6.0,4.0,2.0,2.0,8.0,1.0,1.0,-1.0,8.0,11433.0,64288.0,5.623021079331759,125.49206694873072,6.0,4.0,2.0,2.0,8.0,1.0,1.0,-1.0,8.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
"<androidx.customview.widget.ViewDragHelper: int computeSettleDuration(android.view.View,int,int,int,int)>",0,<androidx.customview.widget.ViewDragHelper$Callback: int getViewVerticalDragRange(android.view.View)>,1.0,1.0,8.0,1.0,0.0,2.0,7.0,1.0,1.0,-1.0,7.0,11433.0,64288.0,5.623021079331759,125.49206694873072,8.0,1.0,0.0,2.0,7.0,1.0,1.0,-1.0,7.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
<androidx.customview.widget.ViewDragHelper: void clearMotionHistory(int)>,0,<androidx.customview.widget.ViewDragHelper: boolean isPointerDown(int)>,1.0,1.0,8.0,1.0,0.0,2.0,1.0,1.0,1.0,-1.0,1.0,11433.0,64288.0,5.623021079331759,125.49206694873072,8.0,1.0,0.0,2.0,1.0,1.0,1.0,-1.0,1.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
<com.bluegolf.android.v6.Uploader$3: void run()>,0,<com.bluegolf.android.v6.CameraUI: android.app.Activity getActivity()>,1.0,1.0,4.0,28.0,0.0,1.0,16.0,1.0,1.0,-1.0,16.0,11433.0,64288.0,5.623021079331759,125.49206694873072,4.0,28.0,0.0,1.0,16.0,1.0,1.0,-1.0,16.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
"<androidx.drawerlayout.widget.DrawerLayout: void openDrawer(int,boolean)>",0,<androidx.drawerlayout.widget.DrawerLayout: android.view.View findDrawerWithGravity(int)>,1.0,1.0,5.0,1.0,6.0,7.0,9.0,1.0,1.0,-1.0,9.0,11433.0,64288.0,5.623021079331759,125.49206694873072,5.0,1.0,6.0,7.0,9.0,1.0,1.0,-1.0,9.0,11433.0,64288.0,5.623021079331759,125.49206694873072,1
"<androidx.core.content.FileProvider: androidx.core.content.FileProvider$PathStrategy parsePathStrategy(android.content.Context,java.lang.String)>",0,<androidx.core.content.FileProvider: void <clinit>()>,1.0,1.0,4.0,1.0,4.0,9.0,18.0,1.0,1.0,-1.0,18.0,11433.0,64288.0,5.623021079331759,125.49206694873072,4.0,1.0,4.0,9.0,18.0,1.0,1.0,-1.0,18.0,11433.0,64288.0,5.623021079331759,125.49206694873072,0
