method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<android.arch.lifecycle.f: void m(android.arch.lifecycle.c$b)>,0,<android.arch.lifecycle.f: void p()>,1.0,1.0,12.0,1.0,10.0,2.0,1.0,1.0,1.0,1.0,1.0,6199.0,25822.0,4.165510566220358,45.79095345054605,12.0,1.0,10.0,2.0,1.0,1.0,1.0,1.0,1.0,6199.0,25822.0,4.165510566220358,45.79095345054605,1
"<android.support.v7.widget.u0: void <init>(android.support.v7.widget.Toolbar,boolean,int,int)>",0,"<android.support.v7.widget.t0: int m(int,int)>",1.0,1.0,11.0,1.0,1.0,4.0,36.0,1.0,1.0,1.0,36.0,6199.0,25822.0,4.165510566220358,45.79095345054605,11.0,1.0,1.0,4.0,36.0,1.0,1.0,1.0,36.0,6199.0,25822.0,4.165510566220358,45.79095345054605,1
<android.support.v7.app.c: void onCreate(android.os.Bundle)>,0,<android.support.v7.app.f: void k()>,1.0,1.0,3.0,1.0,3.0,1.0,9.0,1.0,1.0,1.0,9.0,6199.0,25822.0,4.165510566220358,45.79095345054605,3.0,1.0,3.0,1.0,9.0,1.0,1.0,1.0,9.0,6199.0,25822.0,4.165510566220358,45.79095345054605,0
<android.support.v7.app.f: boolean U(android.support.v7.app.f$m)>,0,<android.support.v7.app.f: android.content.Context N()>,1.0,1.0,13.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,6199.0,25822.0,4.165510566220358,45.79095345054605,13.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,6199.0,25822.0,4.165510566220358,45.79095345054605,1
<android.support.v4.app.f: void <init>()>,0,<android.support.v4.app.h: android.support.v4.app.h b(android.support.v4.app.i)>,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,6199.0,25822.0,4.165510566220358,45.79095345054605,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,6199.0,25822.0,4.165510566220358,45.79095345054605,1
"<android.support.v7.app.f$j: boolean onCreatePanelMenu(int,android.view.Menu)>",0,"<a.b.d.d.i: boolean onCreatePanelMenu(int,android.view.Menu)>",1.0,1.0,11.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,6199.0,25822.0,4.165510566220358,45.79095345054605,11.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,6199.0,25822.0,4.165510566220358,45.79095345054605,1
<android.support.v7.view.menu.h: void <init>(android.content.Context)>,0,<android.support.v7.view.menu.h: void b0(boolean)>,1.0,1.0,12.0,2.0,5.0,1.0,9.0,1.0,1.0,1.0,9.0,6199.0,25822.0,4.165510566220358,45.79095345054605,12.0,2.0,5.0,1.0,9.0,1.0,1.0,1.0,9.0,6199.0,25822.0,4.165510566220358,45.79095345054605,1
<android.arch.lifecycle.f: void p()>,0,<android.arch.lifecycle.f: boolean j()>,1.0,1.0,13.0,2.0,5.0,1.0,10.0,1.0,1.0,1.0,10.0,6199.0,25822.0,4.165510566220358,45.79095345054605,13.0,2.0,5.0,1.0,10.0,1.0,1.0,1.0,10.0,6199.0,25822.0,4.165510566220358,45.79095345054605,1
"<android.support.v7.widget.g0: void <init>(android.content.Context,android.util.AttributeSet,int)>",0,<a.b.d.a.j: void <clinit>()>,1.0,1.0,18.0,1.0,0.0,19.0,13.0,1.0,1.0,1.0,13.0,6199.0,25822.0,4.165510566220358,45.79095345054605,18.0,1.0,0.0,19.0,13.0,1.0,1.0,1.0,13.0,6199.0,25822.0,4.165510566220358,45.79095345054605,0
<android.support.v7.widget.e: void <init>(android.view.View)>,0,<android.support.v7.widget.j: void <clinit>()>,1.0,1.0,13.0,3.0,2.0,22.0,3.0,1.0,1.0,1.0,3.0,6199.0,25822.0,4.165510566220358,45.79095345054605,13.0,3.0,2.0,22.0,3.0,1.0,1.0,1.0,3.0,6199.0,25822.0,4.165510566220358,45.79095345054605,0
