method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<com.getcapacitor.util.JSONUtils: org.json.JSONObject getObject(org.json.JSONObject,java.lang.String)>",0,"<com.getcapacitor.util.JSONUtils: org.json.JSONObject getDeepestObject(org.json.JSONObject,java.lang.String)>",1,1,9,1,2,5,3,1,1,-1,3,26238.0,193964.0,7.392484183245674,198.8813284939473,9,1,2,5,3,1,1,-1,3,26238.0,193964.0,7.392484183245674,198.8813284939473,0
<com.transistorsoft.locationmanager.adapter.BackgroundGeolocation: void <init>(android.content.Context)>,0,<com.transistorsoft.locationmanager.adapter.BackgroundGeolocation$r0: void <init>(com.transistorsoft.locationmanager.adapter.BackgroundGeolocation)>,1,1,2,2,1,1,63,1,1,-1,63,26238.0,193964.0,7.392484183245674,198.8813284939473,2,2,1,1,63,1,1,-1,63,26238.0,193964.0,7.392484183245674,198.8813284939473,0
"<androidx.collection.SimpleArrayMap: int indexOf(java.lang.Object,int)>",0,"<androidx.collection.SimpleArrayMap: int binarySearchHashes(int[],int,int)>",1,1,4,2,3,2,476,1,1,-1,476,26238.0,193964.0,7.392484183245674,198.8813284939473,4,2,3,2,476,1,1,-1,476,26238.0,193964.0,7.392484183245674,198.8813284939473,0
<com.transistorsoft.locationmanager.logger.TSSQLiteAppender: void start()>,0,<ch.qos.logback.classic.db.SQLBuilder: java.lang.String buildInsertPropertiesSQL(ch.qos.logback.classic.db.names.DBNameResolver)>,1,1,4,7,9,2,23,1,1,-1,23,26238.0,193964.0,7.392484183245674,198.8813284939473,4,7,9,2,23,1,1,-1,23,26238.0,193964.0,7.392484183245674,198.8813284939473,0
<androidx.appcompat.app.AppCompatDelegateImpl$PanelFeatureState: androidx.appcompat.view.menu.MenuView getListMenuView(androidx.appcompat.view.menu.MenuPresenter$Callback)>,0,<androidx.appcompat.view.menu.MenuBuilder: void addMenuPresenter(androidx.appcompat.view.menu.MenuPresenter)>,1,1,8,1,1,3,4,1,1,-1,4,26238.0,193964.0,7.392484183245674,198.8813284939473,8,1,1,3,4,1,1,-1,4,26238.0,193964.0,7.392484183245674,198.8813284939473,0
<org.greenrobot.eventbus.EventBusBuilder: org.greenrobot.eventbus.MainThreadSupport getMainThreadSupport()>,0,<org.greenrobot.eventbus.EventBusBuilder: java.lang.Object getAndroidMainLooperOrNull()>,1,1,6,1,1,1,5,1,1,-1,5,26238.0,193964.0,7.392484183245674,198.8813284939473,6,1,1,1,5,1,1,-1,5,26238.0,193964.0,7.392484183245674,198.8813284939473,0
<androidx.appcompat.view.ContextThemeWrapper: android.content.res.Resources$Theme getTheme()>,0,<androidx.appcompat.view.ContextThemeWrapper: void initializeTheme()>,1,1,5,30,9,2,1,1,1,-1,1,26238.0,193964.0,7.392484183245674,198.8813284939473,5,30,9,2,1,1,1,-1,1,26238.0,193964.0,7.392484183245674,198.8813284939473,0
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable createDrawableIfNeeded(android.content.Context,int)>",0,"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getCachedDrawable(android.content.Context,long)>",1,1,8,1,17,2,19,1,1,-1,19,26238.0,193964.0,7.392484183245674,198.8813284939473,8,1,17,2,19,1,1,-1,19,26238.0,193964.0,7.392484183245674,198.8813284939473,0
"<com.microsoft.appcenter.channel.DefaultChannel: void addGroup(java.lang.String,int,long,int,com.microsoft.appcenter.ingestion.Ingestion,com.microsoft.appcenter.channel.Channel$GroupListener)>",0,<androidx.arch.core.internal.SafeIterableMap$IteratorWithAdditions: java.util.Map$Entry next()>,1,1,5,5,0,476,73,1,1,-1,73,26238.0,193964.0,7.392484183245674,198.8813284939473,5,5,0,476,73,1,1,-1,73,26238.0,193964.0,7.392484183245674,198.8813284939473,0
<com.transistorsoft.locationmanager.adapter.BackgroundGeolocation$m0: void run()>,0,<com.transistorsoft.tslocationmanager.Application: java.lang.String Ephp(java.lang.String)>,1,1,3,87,13,411,37,1,1,-1,37,26238.0,193964.0,7.392484183245674,198.8813284939473,3,87,13,411,37,1,1,-1,37,26238.0,193964.0,7.392484183245674,198.8813284939473,0
