method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<androidx.recyclerview.widget.ItemTouchHelper: void select(androidx.recyclerview.widget.RecyclerView$ViewHolder,int)>",0,"<androidx.recyclerview.widget.ItemTouchHelper: void endRecoverAnimation(androidx.recyclerview.widget.RecyclerView$ViewHolder,boolean)>",1.0,1.0,8.0,6.0,35.0,3.0,39.0,1.0,1.0,-1.0,39.0,26092.0,246405.0,9.443699218151158,164.92224183762505,8.0,6.0,35.0,3.0,39.0,1.0,1.0,-1.0,39.0,26092.0,246405.0,9.443699218151158,164.92224183762505,1
<androidx.recyclerview.widget.RecyclerView: void recoverFocusFromState()>,0,<androidx.recyclerview.widget.RecyclerView: android.view.View findNextViewToFocus()>,1.0,1.0,9.0,1.0,4.0,1.0,19.0,1.0,1.0,-1.0,19.0,26092.0,246405.0,9.443699218151158,164.92224183762505,9.0,1.0,4.0,1.0,19.0,1.0,1.0,-1.0,19.0,26092.0,246405.0,9.443699218151158,164.92224183762505,1
"<androidx.collection.SimpleArrayMap: int indexOf(java.lang.Object,int)>",0,"<androidx.collection.SimpleArrayMap: int binarySearchHashes(int[],int,int)>",1.0,1.0,5.0,2.0,3.0,2.0,467.0,1.0,1.0,-1.0,467.0,26092.0,246405.0,9.443699218151158,164.92224183762505,5.0,2.0,3.0,2.0,467.0,1.0,1.0,-1.0,467.0,26092.0,246405.0,9.443699218151158,164.92224183762505,1
"<androidx.fragment.app.FragmentLifecycleCallbacksDispatcher: void dispatchOnFragmentSaveInstanceState(androidx.fragment.app.Fragment,android.os.Bundle,boolean)>",0,<androidx.fragment.app.FragmentManager: androidx.fragment.app.Fragment getParent()>,1.0,1.0,11.0,2.0,0.0,15.0,111.0,1.0,1.0,-1.0,111.0,26092.0,246405.0,9.443699218151158,164.92224183762505,11.0,2.0,0.0,15.0,111.0,1.0,1.0,-1.0,111.0,26092.0,246405.0,9.443699218151158,164.92224183762505,1
<androidx.fragment.app.FragmentManager: androidx.fragment.app.FragmentStateManager createOrGetFragmentStateManager(androidx.fragment.app.Fragment)>,0,<androidx.fragment.app.FragmentStore: androidx.fragment.app.FragmentStateManager getFragmentStateManager(java.lang.String)>,1.0,1.0,7.0,3.0,2.0,3.0,6.0,1.0,1.0,-1.0,6.0,26092.0,246405.0,9.443699218151158,164.92224183762505,7.0,3.0,2.0,3.0,6.0,1.0,1.0,-1.0,6.0,26092.0,246405.0,9.443699218151158,164.92224183762505,1
"<androidx.recyclerview.widget.RecyclerView: android.view.View findChildViewUnder(float,float)>",0,<androidx.recyclerview.widget.ChildHelper: int getChildCount()>,1.0,1.0,11.0,2.0,6.0,12.0,8.0,1.0,1.0,-1.0,8.0,26092.0,246405.0,9.443699218151158,164.92224183762505,11.0,2.0,6.0,12.0,8.0,1.0,1.0,-1.0,8.0,26092.0,246405.0,9.443699218151158,164.92224183762505,1
<androidx.appcompat.view.ContextThemeWrapper: android.content.res.Resources$Theme getTheme()>,0,<androidx.appcompat.view.ContextThemeWrapper: void initializeTheme()>,1.0,1.0,5.0,29.0,9.0,2.0,1.0,1.0,1.0,-1.0,1.0,26092.0,246405.0,9.443699218151158,164.92224183762505,5.0,29.0,9.0,2.0,1.0,1.0,1.0,-1.0,1.0,26092.0,246405.0,9.443699218151158,164.92224183762505,1
"<androidx.fragment.app.FragmentLifecycleCallbacksDispatcher: void dispatchOnFragmentStarted(androidx.fragment.app.Fragment,boolean)>",0,<androidx.arch.core.internal.SafeIterableMap$ListIterator: java.util.Map$Entry next()>,1.0,1.0,9.0,2.0,1.0,400.0,111.0,1.0,1.0,-1.0,111.0,26092.0,246405.0,9.443699218151158,164.92224183762505,9.0,2.0,1.0,400.0,111.0,1.0,1.0,-1.0,111.0,26092.0,246405.0,9.443699218151158,164.92224183762505,0
"<androidx.recyclerview.widget.RecyclerView$Recycler: androidx.recyclerview.widget.RecyclerView$ViewHolder tryGetViewHolderForPositionByDeadline(int,boolean,long)>",0,<androidx.recyclerview.widget.RecyclerView$ViewHolder: void unScrap()>,1.0,1.0,10.0,2.0,1.0,3.0,69.0,1.0,1.0,-1.0,69.0,26092.0,246405.0,9.443699218151158,164.92224183762505,10.0,2.0,1.0,3.0,69.0,1.0,1.0,-1.0,69.0,26092.0,246405.0,9.443699218151158,164.92224183762505,0
<com.google.android.material.shape.ShapePath: void addConnectingShadowIfNecessary(float)>,0,<com.google.android.material.shape.ShapePath$PathArcOperation: void <clinit>()>,1.0,1.0,18.0,2.0,2.0,4.0,17.0,1.0,1.0,-1.0,17.0,26092.0,246405.0,9.443699218151158,164.92224183762505,18.0,2.0,2.0,4.0,17.0,1.0,1.0,-1.0,17.0,26092.0,246405.0,9.443699218151158,164.92224183762505,0
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable createDrawableIfNeeded(android.content.Context,int)>",0,"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getCachedDrawable(android.content.Context,long)>",1.0,1.0,8.0,1.0,19.0,2.0,21.0,1.0,1.0,-1.0,21.0,26092.0,246405.0,9.443699218151158,164.92224183762505,8.0,1.0,19.0,2.0,21.0,1.0,1.0,-1.0,21.0,26092.0,246405.0,9.443699218151158,164.92224183762505,1
"<androidx.fragment.app.FragmentManager: void attachController(androidx.fragment.app.FragmentHostCallback,androidx.fragment.app.FragmentContainer,androidx.fragment.app.Fragment)>",0,<androidx.activity.result.contract.ActivityResultContracts$RequestMultiplePermissions: void <init>()>,1.0,1.0,8.0,2.0,1.0,1.0,30.0,1.0,1.0,-1.0,30.0,26092.0,246405.0,9.443699218151158,164.92224183762505,8.0,2.0,1.0,1.0,30.0,1.0,1.0,-1.0,30.0,26092.0,246405.0,9.443699218151158,164.92224183762505,1
<androidx.recyclerview.widget.RecyclerView: void saveFocusInfo()>,0,<androidx.recyclerview.widget.RecyclerView$Adapter: boolean hasStableIds()>,1.0,1.0,9.0,1.0,0.0,15.0,9.0,1.0,1.0,-1.0,9.0,26092.0,246405.0,9.443699218151158,164.92224183762505,9.0,1.0,0.0,15.0,9.0,1.0,1.0,-1.0,9.0,26092.0,246405.0,9.443699218151158,164.92224183762505,1
"<androidx.appcompat.view.SupportMenuInflater$MenuState: void <init>(androidx.appcompat.view.SupportMenuInflater,android.view.Menu)>",0,<androidx.appcompat.view.SupportMenuInflater$MenuState: void resetGroup()>,1.0,1.0,14.0,1.0,0.0,2.0,2.0,1.0,1.0,-1.0,2.0,26092.0,246405.0,9.443699218151158,164.92224183762505,14.0,1.0,0.0,2.0,2.0,1.0,1.0,-1.0,2.0,26092.0,246405.0,9.443699218151158,164.92224183762505,1
