method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<org.apache.cordova.NativeToJsMessageQueue: java.lang.String popAndEncodeAsJs()>,0,<androidx.arch.core.b.b$e: boolean hasNext()>,1.0,1.0,4.0,2.0,0.0,264.0,38.0,1.0,1.0,-1.0,38.0,17841.0,120525.0,6.755506978308391,161.0051607550301,4.0,2.0,0.0,264.0,38.0,1.0,1.0,-1.0,38.0,17841.0,120525.0,6.755506978308391,161.0051607550301,0
<org.apache.cordova.PluginManager: void setPluginEntries(java.util.Collection)>,0,<androidx.arch.core.b.b$e: boolean hasNext()>,1.0,1.0,6.0,1.0,0.0,264.0,72.0,1.0,1.0,-1.0,72.0,17841.0,120525.0,6.755506978308391,161.0051607550301,6.0,1.0,0.0,264.0,72.0,1.0,1.0,-1.0,72.0,17841.0,120525.0,6.755506978308391,161.0051607550301,0
<e.o: boolean r()>,0,"<e.o: long x(e.c,long)>",1.0,1.0,8.0,4.0,21.0,15.0,16.0,1.0,1.0,-1.0,16.0,17841.0,120525.0,6.755506978308391,161.0051607550301,8.0,4.0,21.0,15.0,16.0,1.0,1.0,-1.0,16.0,17841.0,120525.0,6.755506978308391,161.0051607550301,0
<com.worklight.e.a: void g(com.worklight.e.i)>,0,<com.worklight.e.l: void <init>(com.worklight.e.i)>,1.0,1.0,6.0,1.0,1.0,1.0,8.0,1.0,1.0,-1.0,8.0,17841.0,120525.0,6.755506978308391,161.0051607550301,6.0,1.0,1.0,1.0,8.0,1.0,1.0,-1.0,8.0,17841.0,120525.0,6.755506978308391,161.0051607550301,1
"<androidx.fragment.app.n: void k(androidx.fragment.app.k,androidx.fragment.app.g,androidx.fragment.app.Fragment)>",0,<androidx.fragment.app.v: void x(androidx.fragment.app.q)>,1.0,1.0,8.0,2.0,0.0,1.0,30.0,1.0,1.0,-1.0,30.0,17841.0,120525.0,6.755506978308391,161.0051607550301,8.0,2.0,0.0,1.0,30.0,1.0,1.0,-1.0,30.0,17841.0,120525.0,6.755506978308391,161.0051607550301,1
"<com.worklight.e.m.f$a: void onActivitySaveInstanceState(android.app.Activity,android.os.Bundle)>",0,<com.worklight.b.a: void w(java.lang.String)>,1.0,1.0,2.0,1.0,1.0,64.0,8.0,1.0,1.0,-1.0,8.0,17841.0,120525.0,6.755506978308391,161.0051607550301,2.0,1.0,1.0,64.0,8.0,1.0,1.0,-1.0,8.0,17841.0,120525.0,6.755506978308391,161.0051607550301,1
<androidx.appcompat.c.i: boolean dispatchKeyEvent(android.view.KeyEvent)>,0,<androidx.appcompat.app.d: boolean dispatchKeyEvent(android.view.KeyEvent)>,1.0,1.0,3.0,3.0,5.0,2.0,7.0,1.0,1.0,-1.0,7.0,17841.0,120525.0,6.755506978308391,161.0051607550301,3.0,3.0,5.0,2.0,7.0,1.0,1.0,-1.0,7.0,17841.0,120525.0,6.755506978308391,161.0051607550301,0
<org.apache.cordova.CordovaWebViewImpl: void hideCustomView()>,0,<org.apache.cordova.LOG: void <clinit>()>,1.0,1.0,4.0,1.0,0.0,73.0,16.0,1.0,1.0,-1.0,16.0,17841.0,120525.0,6.755506978308391,161.0051607550301,4.0,1.0,0.0,73.0,16.0,1.0,1.0,-1.0,16.0,17841.0,120525.0,6.755506978308391,161.0051607550301,0
"<com.worklight.e.m.m: void o(d.h0,com.worklight.e.m.o,int)>",0,<com.worklight.androidgap.plugin.WLResourceRequestPlugin$a$a: void b(com.worklight.e.m.n)>,1.0,1.0,7.0,1.0,8.0,4.0,68.0,1.0,1.0,-1.0,68.0,17841.0,120525.0,6.755506978308391,161.0051607550301,7.0,1.0,8.0,4.0,68.0,1.0,1.0,-1.0,68.0,17841.0,120525.0,6.755506978308391,161.0051607550301,0
<org.apache.cordova.CordovaActivity: void onResume()>,0,<org.apache.cordova.CordovaActivity: void <clinit>()>,1.0,1.0,2.0,1.0,0.0,8.0,12.0,1.0,1.0,-1.0,12.0,17841.0,120525.0,6.755506978308391,161.0051607550301,2.0,1.0,0.0,8.0,12.0,1.0,1.0,-1.0,12.0,17841.0,120525.0,6.755506978308391,161.0051607550301,0
"<com.worklight.b.a: void a0(java.lang.String,com.worklight.e.j)>",0,<com.worklight.b.a$h$a: void a(com.worklight.e.m.h)>,1.0,1.0,5.0,2.0,7.0,10.0,64.0,1.0,1.0,-1.0,64.0,17841.0,120525.0,6.755506978308391,161.0051607550301,5.0,2.0,7.0,10.0,64.0,1.0,1.0,-1.0,64.0,17841.0,120525.0,6.755506978308391,161.0051607550301,0
<d.l0.e: void f(java.net.Socket)>,0,<d.l0.e: void <clinit>()>,1.0,1.0,7.0,7.0,12.0,81.0,3.0,1.0,1.0,-1.0,3.0,17841.0,120525.0,6.755506978308391,161.0051607550301,7.0,7.0,12.0,81.0,3.0,1.0,1.0,-1.0,3.0,17841.0,120525.0,6.755506978308391,161.0051607550301,0
<com.worklight.e.n.f$j: void a(com.worklight.e.m.h)>,0,<com.worklight.e.n.f: java.util.List g(com.worklight.e.n.f)>,1.0,1.0,5.0,10.0,0.0,2.0,71.0,1.0,1.0,-1.0,71.0,17841.0,120525.0,6.755506978308391,161.0051607550301,5.0,10.0,0.0,2.0,71.0,1.0,1.0,-1.0,71.0,17841.0,120525.0,6.755506978308391,161.0051607550301,1
<androidx.lifecycle.i: void p()>,0,<androidx.lifecycle.i: void g(androidx.lifecycle.h)>,1.0,1.0,5.0,2.0,21.0,1.0,11.0,1.0,1.0,-1.0,11.0,17841.0,120525.0,6.755506978308391,161.0051607550301,5.0,2.0,21.0,1.0,11.0,1.0,1.0,-1.0,11.0,17841.0,120525.0,6.755506978308391,161.0051607550301,1
"<com.worklight.e.m.m: void p(java.net.URI,java.lang.String,int)>",0,<d.f0$a: d.f0 b()>,1.0,1.0,5.0,3.0,2.0,19.0,15.0,1.0,1.0,-1.0,15.0,17841.0,120525.0,6.755506978308391,161.0051607550301,5.0,3.0,2.0,19.0,15.0,1.0,1.0,-1.0,15.0,17841.0,120525.0,6.755506978308391,161.0051607550301,1
"<androidx.appcompat.app.g$v: void a(androidx.appcompat.view.menu.g,boolean)>",0,<androidx.appcompat.view.menu.g: androidx.appcompat.view.menu.g D()>,1.0,1.0,4.0,6.0,0.0,5.0,5.0,1.0,1.0,-1.0,5.0,17841.0,120525.0,6.755506978308391,161.0051607550301,4.0,6.0,0.0,5.0,5.0,1.0,1.0,-1.0,5.0,17841.0,120525.0,6.755506978308391,161.0051607550301,1
<com.worklight.e.m.n: void <init>(d.h0)>,0,<d.y: java.util.Map i()>,1.0,1.0,4.0,4.0,17.0,2.0,35.0,1.0,1.0,-1.0,35.0,17841.0,120525.0,6.755506978308391,161.0051607550301,4.0,4.0,17.0,2.0,35.0,1.0,1.0,-1.0,35.0,17841.0,120525.0,6.755506978308391,161.0051607550301,1
<e.k: boolean l()>,0,<e.k: void o()>,1.0,1.0,8.0,1.0,3.0,2.0,9.0,1.0,1.0,-1.0,9.0,17841.0,120525.0,6.755506978308391,161.0051607550301,8.0,1.0,3.0,2.0,9.0,1.0,1.0,-1.0,9.0,17841.0,120525.0,6.755506978308391,161.0051607550301,1
<androidx.fragment.app.v: java.util.List k()>,0,<androidx.arch.core.b.b$d: java.lang.Object next()>,1.0,1.0,7.0,4.0,1.0,270.0,59.0,1.0,1.0,-1.0,59.0,17841.0,120525.0,6.755506978308391,161.0051607550301,7.0,4.0,1.0,270.0,59.0,1.0,1.0,-1.0,59.0,17841.0,120525.0,6.755506978308391,161.0051607550301,0
