method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.google.firebase.installations.FirebaseInstallations: com.google.firebase.installations.local.PersistedInstallationEntry getPrefsWithGeneratedIdMultiProcessSafe()>,0,<com.google.firebase.installations.local.PersistedInstallation: com.google.firebase.installations.local.PersistedInstallationEntry insertOrUpdatePersistedInstallationEntry(com.google.firebase.installations.local.PersistedInstallationEntry)>,1.0,1.0,7.0,1.0,30.0,2.0,9.0,1.0,1.0,-1.0,9.0,57336.0,825878.0,14.404178875401144,365.4425617342997,7.0,1.0,30.0,2.0,9.0,1.0,1.0,-1.0,9.0,57336.0,825878.0,14.404178875401144,365.4425617342997,1
<com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer get()>,0,<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore_Factory: com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore get()>,1.0,1.0,10.0,18.0,28.0,18.0,26.0,1.0,1.0,-1.0,26.0,57336.0,825878.0,14.404178875401144,365.4425617342997,10.0,18.0,28.0,18.0,26.0,1.0,1.0,-1.0,26.0,57336.0,825878.0,14.404178875401144,365.4425617342997,0
<org.apache.cordova.PluginManager: org.apache.cordova.CordovaPlugin getPlugin(java.lang.String)>,0,<com.getcapacitor.cordova.MockCordovaWebViewImpl: org.apache.cordova.CordovaPreferences getPreferences()>,1.0,1.0,6.0,5.0,0.0,2.0,6.0,1.0,1.0,-1.0,6.0,57336.0,825878.0,14.404178875401144,365.4425617342997,6.0,5.0,0.0,2.0,6.0,1.0,1.0,-1.0,6.0,57336.0,825878.0,14.404178875401144,365.4425617342997,0
"<androidx.browser.customtabs.CustomTabsClient: boolean bindCustomTabsService(android.content.Context,java.lang.String,androidx.browser.customtabs.CustomTabsServiceConnection)>",0,<androidx.browser.customtabs.CustomTabsServiceConnection: void setApplicationContext(android.content.Context)>,1.0,1.0,6.0,2.0,0.0,1.0,8.0,1.0,1.0,-1.0,8.0,57336.0,825878.0,14.404178875401144,365.4425617342997,6.0,2.0,0.0,1.0,8.0,1.0,1.0,-1.0,8.0,57336.0,825878.0,14.404178875401144,365.4425617342997,1
<com.getcapacitor.Bridge: void execute(java.lang.Runnable)>,0,<com.zoho.livechat.android.utils.SalesIQCache$1: void run()>,1.0,1.0,10.0,1.0,3.0,117.0,596.0,1.0,1.0,-1.0,596.0,57336.0,825878.0,14.404178875401144,365.4425617342997,10.0,1.0,3.0,117.0,596.0,1.0,1.0,-1.0,596.0,57336.0,825878.0,14.404178875401144,365.4425617342997,0
"<androidx.appcompat.app.AppCompatDelegateImpl: boolean preparePanel(androidx.appcompat.app.AppCompatDelegateImpl$PanelFeatureState,android.view.KeyEvent)>",0,"<androidx.appcompat.view.WindowCallbackWrapper: boolean onPreparePanel(int,android.view.View,android.view.Menu)>",1.0,1.0,6.0,2.0,5.0,6.0,31.0,1.0,1.0,-1.0,31.0,57336.0,825878.0,14.404178875401144,365.4425617342997,6.0,2.0,5.0,6.0,31.0,1.0,1.0,-1.0,31.0,57336.0,825878.0,14.404178875401144,365.4425617342997,0
<androidx.arch.core.internal.SafeIterableMap$ListIterator: java.util.Map$Entry next()>,0,<androidx.arch.core.internal.SafeIterableMap$ListIterator: androidx.arch.core.internal.SafeIterableMap$Entry nextNode()>,1.0,1.0,3.0,935.0,2.0,2.0,1.0,1.0,1.0,-1.0,1.0,57336.0,825878.0,14.404178875401144,365.4425617342997,3.0,935.0,2.0,2.0,1.0,1.0,1.0,-1.0,1.0,57336.0,825878.0,14.404178875401144,365.4425617342997,1
<com.zoho.livechat.android.utils.GetConversationsUtil: void run()>,0,<com.zoho.livechat.android.utils.LiveChatUtil: void log(java.lang.String)>,1.0,1.0,4.0,128.0,3.0,57.0,188.0,1.0,1.0,-1.0,188.0,57336.0,825878.0,14.404178875401144,365.4425617342997,4.0,128.0,3.0,57.0,188.0,1.0,1.0,-1.0,188.0,57336.0,825878.0,14.404178875401144,365.4425617342997,1
<com.google.android.datatransport.runtime.scheduling.persistence.SchemaManager: void <clinit>()>,0,<com.google.android.datatransport.runtime.scheduling.persistence.SchemaManager$$ExternalSyntheticLambda4: void <clinit>()>,1.0,1.0,12.0,2.0,1.0,1.0,12.0,1.0,1.0,-1.0,12.0,57336.0,825878.0,14.404178875401144,365.4425617342997,12.0,2.0,1.0,1.0,12.0,1.0,1.0,-1.0,12.0,57336.0,825878.0,14.404178875401144,365.4425617342997,0
<org.apache.cordova.CallbackContext: void sendPluginResult(org.apache.cordova.PluginResult)>,0,<org.apache.cordova.LOG: void <clinit>()>,1.0,1.0,5.0,7.0,0.0,26.0,9.0,1.0,1.0,-1.0,9.0,57336.0,825878.0,14.404178875401144,365.4425617342997,5.0,7.0,0.0,26.0,9.0,1.0,1.0,-1.0,9.0,57336.0,825878.0,14.404178875401144,365.4425617342997,0
