method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<com.facebook.appevents.internal.AppEventsLoggerUtility: org.json.JSONObject getJSONObjectForGraphAPICall(com.facebook.appevents.internal.AppEventsLoggerUtility$GraphAPIActivityType,com.facebook.internal.AttributionIdentifiers,java.lang.String,boolean,android.content.Context)>",0,<com.facebook.appevents.internal.AppEventsLoggerUtility: void <clinit>()>,1.0,1.0,7.0,2.0,4.0,3.0,172.0,1.0,1.0,-1.0,172.0,22422.0,237814.0,10.606279546873608,226.21826301227009,7.0,2.0,4.0,3.0,172.0,1.0,1.0,-1.0,172.0,22422.0,237814.0,10.606279546873608,226.21826301227009,0
<com.facebook.internal.NativeProtocol: void updateAllAvailableProtocolVersionsAsync$lambda-1()>,0,<com.facebook.internal.instrument.crashshield.CrashShieldHandler: boolean isObjectCrashing(java.lang.Object)>,1.0,1.0,5.0,1.0,20.0,463.0,144.0,1.0,1.0,-1.0,144.0,22422.0,237814.0,10.606279546873608,226.21826301227009,5.0,1.0,20.0,463.0,144.0,1.0,1.0,-1.0,144.0,22422.0,237814.0,10.606279546873608,226.21826301227009,1
<com.facebook.appevents.AppEventQueue: void flushAndWait(com.facebook.appevents.FlushReason)>,0,<com.facebook.appevents.AppEventQueue: void <clinit>()>,1.0,1.0,6.0,3.0,5.0,28.0,21.0,1.0,1.0,-1.0,21.0,22422.0,237814.0,10.606279546873608,226.21826301227009,6.0,3.0,5.0,28.0,21.0,1.0,1.0,-1.0,21.0,22422.0,237814.0,10.606279546873608,226.21826301227009,0
<com.facebook.internal.FetchedAppGateKeepersManager: org.json.JSONObject getAppGateKeepersQueryResponse(java.lang.String)>,0,<kotlin.jvm.internal.StringCompanionObject: void <clinit>()>,1.0,1.0,6.0,2.0,1.0,65.0,17.0,1.0,1.0,-1.0,17.0,22422.0,237814.0,10.606279546873608,226.21826301227009,6.0,2.0,1.0,65.0,17.0,1.0,1.0,-1.0,17.0,22422.0,237814.0,10.606279546873608,226.21826301227009,0
<com.facebook.appevents.internal.'-$$Lambda$ActivityLifecycleTracker$AC3piC_KgSSIlNc5IqGfVSStKes': void run()>,0,"<com.facebook.appevents.internal.ActivityLifecycleTracker: void lambda$AC3piC_KgSSIlNc5IqGfVSStKes(long,java.lang.String,android.content.Context)>",1.0,1.0,3.0,62.0,2.0,1.0,2.0,1.0,1.0,-1.0,2.0,22422.0,237814.0,10.606279546873608,226.21826301227009,3.0,62.0,2.0,1.0,2.0,1.0,1.0,-1.0,2.0,22422.0,237814.0,10.606279546873608,226.21826301227009,1
"<com.facebook.appevents.AppEvent: org.json.JSONObject getJSONObjectForAppEvent(java.lang.String,java.lang.String,java.lang.Double,android.os.Bundle,java.util.UUID)>",0,<com.facebook.appevents.restrictivedatafilter.RestrictiveDataManager: java.lang.String processEvent(java.lang.String)>,1.0,1.0,8.0,1.0,6.0,1.0,203.0,1.0,1.0,-1.0,203.0,22422.0,237814.0,10.606279546873608,226.21826301227009,8.0,1.0,6.0,1.0,203.0,1.0,1.0,-1.0,203.0,22422.0,237814.0,10.606279546873608,226.21826301227009,1
"<com.facebook.GraphRequest$Companion: void serializeToUrlConnection$facebook_core_release(com.facebook.GraphRequestBatch,java.net.HttpURLConnection)>",0,<com.facebook.HttpMethod: void <clinit>()>,1.0,1.0,11.0,1.0,2.0,16.0,36.0,1.0,1.0,-1.0,36.0,22422.0,237814.0,10.606279546873608,226.21826301227009,11.0,1.0,2.0,16.0,36.0,1.0,1.0,-1.0,36.0,22422.0,237814.0,10.606279546873608,226.21826301227009,0
<com.facebook.internal.FetchedAppSettingsManager: org.json.JSONObject getAppSettingsQueryResponse(java.lang.String)>,0,"<com.facebook.GraphRequest$Companion: com.facebook.GraphRequest newGraphPathRequest(com.facebook.AccessToken,java.lang.String,com.facebook.GraphRequest$Callback)>",1.0,1.0,6.0,2.0,2.0,8.0,25.0,1.0,1.0,-1.0,25.0,22422.0,237814.0,10.606279546873608,226.21826301227009,6.0,2.0,2.0,8.0,25.0,1.0,1.0,-1.0,25.0,22422.0,237814.0,10.606279546873608,226.21826301227009,1
"<com.unity3d.player.UnityPlayer: void <init>(android.content.Context,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,<com.unity3d.player.UnityPlayer: int getNaturalOrientation(int)>,1.0,1.0,3.0,2.0,5.0,1.0,66.0,1.0,1.0,-1.0,66.0,22422.0,237814.0,10.606279546873608,226.21826301227009,3.0,2.0,5.0,1.0,66.0,1.0,1.0,-1.0,66.0,22422.0,237814.0,10.606279546873608,226.21826301227009,1
<com.facebook.'-$$Lambda$UserSettingsManager$zhV21tYfRxCKaoumhNYley9SsW8': void run()>,0,<com.facebook.UserSettingsManager: void lambda$zhV21tYfRxCKaoumhNYley9SsW8(long)>,1.0,1.0,3.0,62.0,2.0,1.0,2.0,1.0,1.0,-1.0,2.0,22422.0,237814.0,10.606279546873608,226.21826301227009,3.0,62.0,2.0,1.0,2.0,1.0,1.0,-1.0,2.0,22422.0,237814.0,10.606279546873608,226.21826301227009,1
