method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<androidx.collection.SimpleArrayMap: int indexOf(java.lang.Object,int)>",0,"<androidx.collection.SimpleArrayMap: int binarySearchHashes(int[],int,int)>",1.0,1.0,4.0,2.0,3.0,2.0,481.0,1.0,1.0,-1.0,481.0,23910.0,203743.0,8.521246340443328,175.52200075585418,4.0,2.0,3.0,2.0,481.0,1.0,1.0,-1.0,481.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
"<androidx.fragment.app.FragmentManagerImpl: void moveToState(int,boolean)>",0,<androidx.arch.core.internal.SafeIterableMap$IteratorWithAdditions: boolean hasNext()>,1.0,1.0,6.0,5.0,0.0,378.0,156.0,1.0,1.0,-1.0,156.0,23910.0,203743.0,8.521246340443328,175.52200075585418,6.0,5.0,0.0,378.0,156.0,1.0,1.0,-1.0,156.0,23910.0,203743.0,8.521246340443328,175.52200075585418,0
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable createDrawableIfNeeded(android.content.Context,int)>",0,"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getCachedDrawable(android.content.Context,long)>",1.0,1.0,9.0,1.0,17.0,2.0,19.0,1.0,1.0,-1.0,19.0,23910.0,203743.0,8.521246340443328,175.52200075585418,9.0,1.0,17.0,2.0,19.0,1.0,1.0,-1.0,19.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
<androidx.appcompat.widget.VectorEnabledTintResources: boolean shouldBeUsed()>,0,<androidx.appcompat.widget.VectorEnabledTintResources: boolean isCompatVectorFromResourcesEnabled()>,1.0,1.0,5.0,3.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,23910.0,203743.0,8.521246340443328,175.52200075585418,5.0,3.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
<rs.playradio.android.playradio.entity.onair.Schedule: void init()>,0,"<rs.playradio.android.playradio.entity.onair.Person: void <init>(java.lang.String,java.lang.String)>",1.0,1.0,4.0,1.0,1.0,2.0,7.0,1.0,1.0,-1.0,7.0,23910.0,203743.0,8.521246340443328,175.52200075585418,4.0,1.0,1.0,2.0,7.0,1.0,1.0,-1.0,7.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
<rs.playradio.android.playradio.entity.onair.Schedule: void init()>,0,"<rs.playradio.android.playradio.entity.onair.ScheduleItem: void <init>(java.lang.String,rs.playradio.android.playradio.entity.onair.Person,rs.playradio.android.playradio.entity.onair.Period,java.lang.String,java.lang.String,int)>",1.0,1.0,4.0,1.0,1.0,3.0,7.0,1.0,1.0,-1.0,7.0,23910.0,203743.0,8.521246340443328,175.52200075585418,4.0,1.0,1.0,3.0,7.0,1.0,1.0,-1.0,7.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
<androidx.lifecycle.LifecycleRegistry: void addObserver(androidx.lifecycle.LifecycleObserver)>,0,<androidx.lifecycle.LifecycleRegistry: void sync()>,1.0,1.0,6.0,6.0,11.0,2.0,12.0,1.0,1.0,-1.0,12.0,23910.0,203743.0,8.521246340443328,175.52200075585418,6.0,6.0,11.0,2.0,12.0,1.0,1.0,-1.0,12.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable loadDrawableFromDelegates(android.content.Context,int)>",0,<androidx.collection.SimpleArrayMap: java.lang.Object get(java.lang.Object)>,1.0,1.0,9.0,2.0,2.0,121.0,49.0,1.0,1.0,-1.0,49.0,23910.0,203743.0,8.521246340443328,175.52200075585418,9.0,2.0,2.0,121.0,49.0,1.0,1.0,-1.0,49.0,23910.0,203743.0,8.521246340443328,175.52200075585418,0
<androidx.fragment.app.FragmentManagerImpl: void <clinit>()>,0,<androidx.fragment.app.FragmentManager: void <clinit>()>,1.0,1.0,6.0,33.0,2.0,35.0,2.0,1.0,1.0,-1.0,2.0,23910.0,203743.0,8.521246340443328,175.52200075585418,6.0,33.0,2.0,35.0,2.0,1.0,1.0,-1.0,2.0,23910.0,203743.0,8.521246340443328,175.52200075585418,0
<androidx.collection.SparseArrayCompat: void <init>(int)>,0,<androidx.collection.ContainerHelpers: int idealIntArraySize(int)>,1.0,1.0,5.0,2.0,2.0,3.0,3.0,1.0,1.0,-1.0,3.0,23910.0,203743.0,8.521246340443328,175.52200075585418,5.0,2.0,2.0,3.0,3.0,1.0,1.0,-1.0,3.0,23910.0,203743.0,8.521246340443328,175.52200075585418,1
