method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<androidx.multidex.MultiDex: void install(android.content.Context)>,0,<androidx.multidex.MultiDex: void <clinit>()>,1.0,1.0,2.0,1.0,4.0,12.0,19.0,1.0,1.0,1.0,19.0,3150.0,12724.0,4.039365079365079,133.81530965105313,2.0,1.0,4.0,12.0,19.0,1.0,1.0,1.0,19.0,3150.0,12724.0,4.039365079365079,133.81530965105313,0
<air.com.adobe.appentry.AppEntry: void onCreate(android.os.Bundle)>,0,<air.com.adobe.appentry.AppEntry: void <clinit>()>,1.0,1.0,2.0,1.0,0.0,25.0,23.0,1.0,1.0,1.0,23.0,3150.0,12724.0,4.039365079365079,133.81530965105313,2.0,1.0,0.0,25.0,23.0,1.0,1.0,1.0,23.0,3150.0,12724.0,4.039365079365079,133.81530965105313,0
<air.com.adobe.appentry.AppEntry: void InvokeWrapperOnCreate()>,0,"<air.com.adobe.appentry.AppEntry: java.lang.Object InvokeMethod(java.lang.reflect.Method,java.lang.Object[])>",1.0,1.0,3.0,1.0,3.0,11.0,9.0,1.0,1.0,1.0,9.0,3150.0,12724.0,4.039365079365079,133.81530965105313,3.0,1.0,3.0,11.0,9.0,1.0,1.0,1.0,9.0,3150.0,12724.0,4.039365079365079,133.81530965105313,1
<air.com.adobe.appentry.AppEntry: void onCreate(android.os.Bundle)>,0,<air.com.adobe.appentry.GetVersionCode: void <clinit>()>,1.0,1.0,2.0,1.0,0.0,1.0,23.0,1.0,1.0,1.0,23.0,3150.0,12724.0,4.039365079365079,133.81530965105313,2.0,1.0,0.0,1.0,23.0,1.0,1.0,1.0,23.0,3150.0,12724.0,4.039365079365079,133.81530965105313,0
"<air.com.adobe.appentry.AppEntry: java.lang.Object InvokeMethod(java.lang.reflect.Method,java.lang.Object[])>",0,<air.com.adobe.appentry.AppEntry: void <clinit>()>,1.0,1.0,3.0,11.0,0.0,25.0,3.0,1.0,1.0,1.0,3.0,3150.0,12724.0,4.039365079365079,133.81530965105313,3.0,11.0,0.0,25.0,3.0,1.0,1.0,1.0,3.0,3150.0,12724.0,4.039365079365079,133.81530965105313,0
<air.com.adobe.appentry.AppEntry: void onCreate(android.os.Bundle)>,0,<air.com.adobe.appentry.GetVersionCode: java.lang.String getAbi()>,1.0,1.0,2.0,1.0,2.0,1.0,23.0,1.0,1.0,1.0,23.0,3150.0,12724.0,4.039365079365079,133.81530965105313,2.0,1.0,2.0,1.0,23.0,1.0,1.0,1.0,23.0,3150.0,12724.0,4.039365079365079,133.81530965105313,1
<air.com.adobe.appentry.AppEntry: void onPostCreate(android.os.Bundle)>,0,<air.com.adobe.appentry.AppEntry: void <clinit>()>,1.0,1.0,2.0,1.0,0.0,25.0,5.0,1.0,1.0,1.0,5.0,3150.0,12724.0,4.039365079365079,133.81530965105313,2.0,1.0,0.0,25.0,5.0,1.0,1.0,1.0,5.0,3150.0,12724.0,4.039365079365079,133.81530965105313,0
<air.com.adobe.appentry.AppEntry: void onCreate(android.os.Bundle)>,0,<air.com.adobe.appentry.AppEntry: void InvokeWrapperOnCreate()>,1.0,1.0,2.0,1.0,9.0,1.0,23.0,1.0,1.0,1.0,23.0,3150.0,12724.0,4.039365079365079,133.81530965105313,2.0,1.0,9.0,1.0,23.0,1.0,1.0,1.0,23.0,3150.0,12724.0,4.039365079365079,133.81530965105313,1
<air.com.adobe.appentry.AppEntry: void onPostResume()>,0,<air.com.adobe.appentry.AppEntry: void <clinit>()>,1.0,1.0,2.0,1.0,0.0,25.0,5.0,1.0,1.0,1.0,5.0,3150.0,12724.0,4.039365079365079,133.81530965105313,2.0,1.0,0.0,25.0,5.0,1.0,1.0,1.0,5.0,3150.0,12724.0,4.039365079365079,133.81530965105313,0
"<com.adobe.air.CameraUIProvider: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",0,<com.adobe.air.CameraUIProvider: void <clinit>()>,1.0,1.0,2.0,1.0,4.0,7.0,4.0,1.0,1.0,1.0,4.0,3150.0,12724.0,4.039365079365079,133.81530965105313,2.0,1.0,4.0,7.0,4.0,1.0,1.0,1.0,4.0,3150.0,12724.0,4.039365079365079,133.81530965105313,0
