method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: int fklGHexqdb()>,0,<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: void <clinit>()>,1.0,1.0,2.0,1.0,0.0,13.0,5.0,1.0,1.0,1.0,5.0,300.0,646.0,2.1533333333333333,13.439628482972136,2.0,1.0,0.0,13.0,5.0,1.0,1.0,1.0,5.0,300.0,646.0,2.1533333333333333,13.439628482972136,0
<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: java.io.File sgdwvx()>,0,<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: void <clinit>()>,1.0,1.0,3.0,1.0,0.0,13.0,17.0,1.0,1.0,1.0,17.0,300.0,646.0,2.1533333333333333,13.439628482972136,3.0,1.0,0.0,13.0,17.0,1.0,1.0,1.0,17.0,300.0,646.0,2.1533333333333333,13.439628482972136,0
"<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: void pBwiqgb(java.lang.String,java.io.InputStream,java.io.OutputStream)>",0,"<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: void egD(int[],int[])>",1.0,1.0,4.0,1.0,0.0,1.0,16.0,1.0,1.0,1.0,16.0,300.0,646.0,2.1533333333333333,13.439628482972136,4.0,1.0,0.0,1.0,16.0,1.0,1.0,1.0,16.0,300.0,646.0,2.1533333333333333,13.439628482972136,1
<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: java.lang.String readName(java.lang.String)>,0,<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: void <clinit>()>,1.0,1.0,2.0,8.0,0.0,13.0,10.0,1.0,1.0,2.0,10.0,300.0,646.0,2.1533333333333333,13.439628482972136,2.0,8.0,0.0,13.0,10.0,1.0,1.0,2.0,10.0,300.0,646.0,2.1533333333333333,13.439628482972136,0
"<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: void HlyfI(java.io.File,int)>",0,<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: java.lang.String readName(java.lang.String)>,1.0,1.0,3.0,1.0,10.0,8.0,17.0,1.0,1.0,1.0,17.0,300.0,646.0,2.1533333333333333,13.439628482972136,3.0,1.0,10.0,8.0,17.0,1.0,1.0,1.0,17.0,300.0,646.0,2.1533333333333333,13.439628482972136,1
<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: void attachBaseContext(android.content.Context)>,0,<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: java.lang.String dfuhyFik()>,1.0,1.0,1.0,1.0,2.0,1.0,18.0,1.0,1.0,1.0,18.0,300.0,646.0,2.1533333333333333,13.439628482972136,1.0,1.0,2.0,1.0,18.0,1.0,1.0,1.0,18.0,300.0,646.0,2.1533333333333333,13.439628482972136,1
"<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: void HlyfI(java.io.File,int)>",0,<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>,1.0,1.0,3.0,1.0,0.0,6.0,17.0,1.0,1.0,1.0,17.0,300.0,646.0,2.1533333333333333,13.439628482972136,3.0,1.0,0.0,6.0,17.0,1.0,1.0,1.0,17.0,300.0,646.0,2.1533333333333333,13.439628482972136,0
<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: java.lang.String dfuhyFik()>,0,<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: void <clinit>()>,1.0,1.0,2.0,1.0,0.0,13.0,2.0,1.0,1.0,1.0,2.0,300.0,646.0,2.1533333333333333,13.439628482972136,2.0,1.0,0.0,13.0,2.0,1.0,1.0,1.0,2.0,300.0,646.0,2.1533333333333333,13.439628482972136,0
<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: void attachBaseContext(android.content.Context)>,0,<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: java.lang.String readName(java.lang.String)>,1.0,1.0,1.0,1.0,10.0,8.0,18.0,1.0,1.0,1.0,18.0,300.0,646.0,2.1533333333333333,13.439628482972136,1.0,1.0,10.0,8.0,18.0,1.0,1.0,1.0,18.0,300.0,646.0,2.1533333333333333,13.439628482972136,1
<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: void DAIowfo(int)>,0,<com.vtech.mobile.kidiconnect2021.ProtectedKcApplication: void <clinit>()>,1.0,1.0,2.0,1.0,0.0,13.0,13.0,1.0,1.0,1.0,13.0,300.0,646.0,2.1533333333333333,13.439628482972136,2.0,1.0,0.0,13.0,13.0,1.0,1.0,1.0,13.0,300.0,646.0,2.1533333333333333,13.439628482972136,0
