method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.google.firebase.installations.FirebaseInstallations: com.google.firebase.installations.local.PersistedInstallationEntry getPrefsWithGeneratedIdMultiProcessSafe()>,0,<com.google.firebase.installations.local.PersistedInstallation: com.google.firebase.installations.local.PersistedInstallationEntry insertOrUpdatePersistedInstallationEntry(com.google.firebase.installations.local.PersistedInstallationEntry)>,1.0,1.0,8.0,1.0,27.0,2.0,9.0,1.0,1.0,-1.0,9.0,61803.0,1055425.0,17.077245441159814,362.6779193216003,8.0,1.0,27.0,2.0,9.0,1.0,1.0,-1.0,9.0,61803.0,1055425.0,17.077245441159814,362.6779193216003,1
<com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer get()>,0,<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore_Factory: com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore get()>,1.0,1.0,4.0,23.0,30.0,23.0,28.0,1.0,1.0,-1.0,28.0,61803.0,1055425.0,17.077245441159814,362.6779193216003,4.0,23.0,30.0,23.0,28.0,1.0,1.0,-1.0,28.0,61803.0,1055425.0,17.077245441159814,362.6779193216003,0
"<com.facebook.soloader.SoLoader: void doLoadLibraryBySoName(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",0,"<com.facebook.soloader.DirectorySoSource: int loadLibrary(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",1.0,1.0,10.0,1.0,1.0,2.0,48.0,1.0,1.0,-1.0,48.0,61803.0,1055425.0,17.077245441159814,362.6779193216003,10.0,1.0,1.0,2.0,48.0,1.0,1.0,-1.0,48.0,61803.0,1055425.0,17.077245441159814,362.6779193216003,0
<com.facebook.react.modules.systeminfo.AndroidInfoHelpers: java.lang.String getFriendlyDeviceName()>,0,<com.facebook.react.modules.systeminfo.AndroidInfoHelpers: void <clinit>()>,1.0,1.0,5.0,3.0,0.0,9.0,8.0,1.0,1.0,-1.0,8.0,61803.0,1055425.0,17.077245441159814,362.6779193216003,5.0,3.0,0.0,9.0,8.0,1.0,1.0,-1.0,8.0,61803.0,1055425.0,17.077245441159814,362.6779193216003,0
<com.google.android.datatransport.runtime.scheduling.persistence.SchemaManager: void <clinit>()>,0,<com.google.android.datatransport.runtime.scheduling.persistence.SchemaManager$$ExternalSyntheticLambda4: void <clinit>()>,1.0,1.0,6.0,2.0,1.0,1.0,12.0,1.0,1.0,-1.0,12.0,61803.0,1055425.0,17.077245441159814,362.6779193216003,6.0,2.0,1.0,1.0,12.0,1.0,1.0,-1.0,12.0,61803.0,1055425.0,17.077245441159814,362.6779193216003,0
<kotlin.reflect.jvm.internal.impl.builtins.StandardNames$FqNames: void <clinit>()>,0,<kotlin.reflect.jvm.internal.impl.name.ClassId: kotlin.reflect.jvm.internal.impl.name.ClassId topLevel(kotlin.reflect.jvm.internal.impl.name.FqName)>,1.0,1.0,4.0,57.0,5.0,24.0,105.0,1.0,1.0,-1.0,105.0,61803.0,1055425.0,17.077245441159814,362.6779193216003,4.0,57.0,5.0,24.0,105.0,1.0,1.0,-1.0,105.0,61803.0,1055425.0,17.077245441159814,362.6779193216003,1
"<expo.modules.clipboard.ClipboardFileProvider$Companion: expo.modules.clipboard.ClipboardFileProvider$PathStrategy parsePathStrategy(android.content.Context,java.lang.String)>",0,<expo.modules.clipboard.ClipboardFileProvider: void <clinit>()>,1.0,1.0,9.0,1.0,4.0,8.0,13.0,1.0,1.0,-1.0,13.0,61803.0,1055425.0,17.077245441159814,362.6779193216003,9.0,1.0,4.0,8.0,13.0,1.0,1.0,-1.0,13.0,61803.0,1055425.0,17.077245441159814,362.6779193216003,0
"<expo.modules.ReactNativeHostWrapper: void <init>(android.app.Application,com.facebook.react.ReactNativeHost)>",0,"<kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>",1.0,1.0,2.0,1.0,1.0,3687.0,2.0,1.0,1.0,-1.0,2.0,61803.0,1055425.0,17.077245441159814,362.6779193216003,2.0,1.0,1.0,3687.0,2.0,1.0,1.0,-1.0,2.0,61803.0,1055425.0,17.077245441159814,362.6779193216003,1
"<com.google.firebase.platforminfo.LibraryVersionComponent: com.google.firebase.platforminfo.LibraryVersion lambda$fromContext$0(java.lang.String,com.google.firebase.platforminfo.LibraryVersionComponent$VersionExtractor,com.google.firebase.components.ComponentContainer)>",0,<com.google.firebase.components.AbstractComponentContainer: java.lang.Object get(java.lang.Class)>,1.0,1.0,11.0,1.0,14.0,8.0,8.0,1.0,1.0,-1.0,8.0,61803.0,1055425.0,17.077245441159814,362.6779193216003,11.0,1.0,14.0,8.0,8.0,1.0,1.0,-1.0,8.0,61803.0,1055425.0,17.077245441159814,362.6779193216003,0
<kotlin.reflect.jvm.internal.impl.builtins.StandardNames$FqNames: void <clinit>()>,0,<kotlin.reflect.jvm.internal.impl.builtins.StandardNames$FqNames: kotlin.reflect.jvm.internal.impl.name.FqNameUnsafe reflect(java.lang.String)>,1.0,1.0,4.0,57.0,6.0,1.0,105.0,1.0,1.0,-1.0,105.0,61803.0,1055425.0,17.077245441159814,362.6779193216003,4.0,57.0,6.0,1.0,105.0,1.0,1.0,-1.0,105.0,61803.0,1055425.0,17.077245441159814,362.6779193216003,1
