method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.google.android.datatransport.runtime.scheduling.jobscheduling.Uploader_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.Uploader get()>,0,<com.google.android.datatransport.runtime.time.TimeModule_EventClockFactory: com.google.android.datatransport.runtime.time.Clock get()>,1.0,1.0,4.0,23.0,1.0,23.0,28.0,1.0,1.0,-1.0,28.0,46761.0,515977.0,11.034344860032933,254.28458826653127,4.0,23.0,1.0,23.0,28.0,1.0,1.0,-1.0,28.0,46761.0,515977.0,11.034344860032933,254.28458826653127,0
<com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer get()>,0,<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore_Factory: com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore get()>,1.0,1.0,4.0,23.0,30.0,23.0,28.0,1.0,1.0,-1.0,28.0,46761.0,515977.0,11.034344860032933,254.28458826653127,4.0,23.0,30.0,23.0,28.0,1.0,1.0,-1.0,28.0,46761.0,515977.0,11.034344860032933,254.28458826653127,0
<com.google.android.gms.common.util.concurrent.zza: void run()>,0,<org.devio.rn.splashscreen.SplashScreen$1: void run()>,1.0,1.0,4.0,117.0,14.0,118.0,552.0,1.0,1.0,-1.0,552.0,46761.0,515977.0,11.034344860032933,254.28458826653127,4.0,117.0,14.0,118.0,552.0,1.0,1.0,-1.0,552.0,46761.0,515977.0,11.034344860032933,254.28458826653127,0
"<com.facebook.react.ReactInstanceManager: void <init>(android.content.Context,android.app.Activity,com.facebook.react.modules.core.DefaultHardwareBackBtnHandler,com.facebook.react.bridge.JavaScriptExecutorFactory,com.facebook.react.bridge.JSBundleLoader,java.lang.String,java.util.List,boolean,com.facebook.react.bridge.NotThreadSafeBridgeIdleDebugListener,com.facebook.react.common.LifecycleState,com.facebook.react.uimanager.UIImplementationProvider,com.facebook.react.bridge.NativeModuleCallExceptionHandler,com.facebook.react.devsupport.RedBoxHandler,boolean,com.facebook.react.devsupport.interfaces.DevBundleDownloadListener,int,int,com.facebook.react.bridge.JSIModulePackage,java.util.Map)>",0,<com.facebook.react.ReactInstanceManager$1: void <init>(com.facebook.react.ReactInstanceManager)>,1.0,1.0,6.0,1.0,1.0,1.0,30.0,1.0,1.0,-1.0,30.0,46761.0,515977.0,11.034344860032933,254.28458826653127,6.0,1.0,1.0,1.0,30.0,1.0,1.0,-1.0,30.0,46761.0,515977.0,11.034344860032933,254.28458826653127,1
<com.facebook.soloader.UnpackingSoSource: void prepare(int)>,0,<com.facebook.soloader.SysUtil: void mkdirOrThrow(java.io.File)>,1.0,1.0,6.0,4.0,7.0,1.0,14.0,1.0,1.0,-1.0,14.0,46761.0,515977.0,11.034344860032933,254.28458826653127,6.0,4.0,7.0,1.0,14.0,1.0,1.0,-1.0,14.0,46761.0,515977.0,11.034344860032933,254.28458826653127,1
"<com.facebook.soloader.SoLoader: void doLoadLibraryBySoName(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",0,"<com.facebook.soloader.DirectorySoSource: int loadLibrary(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",1.0,1.0,10.0,1.0,1.0,2.0,44.0,1.0,1.0,-1.0,44.0,46761.0,515977.0,11.034344860032933,254.28458826653127,10.0,1.0,1.0,2.0,44.0,1.0,1.0,-1.0,44.0,46761.0,515977.0,11.034344860032933,254.28458826653127,0
<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore_Factory: com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore get()>,0,<com.google.android.datatransport.runtime.scheduling.SchedulingModule_WorkSchedulerFactory: com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkScheduler get()>,1.0,1.0,4.0,23.0,28.0,23.0,30.0,1.0,1.0,-1.0,30.0,46761.0,515977.0,11.034344860032933,254.28458826653127,4.0,23.0,28.0,23.0,30.0,1.0,1.0,-1.0,30.0,46761.0,515977.0,11.034344860032933,254.28458826653127,0
<com.google.android.datatransport.runtime.ExecutionModule_ExecutorFactory$InstanceHolder: void <clinit>()>,0,<com.google.android.datatransport.runtime.ExecutionModule_ExecutorFactory: void <init>()>,1.0,1.0,14.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,46761.0,515977.0,11.034344860032933,254.28458826653127,14.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,46761.0,515977.0,11.034344860032933,254.28458826653127,1
<com.facebook.react.modules.systeminfo.AndroidInfoHelpers: java.lang.String getFriendlyDeviceName()>,0,<com.facebook.react.modules.systeminfo.AndroidInfoHelpers: void <clinit>()>,1.0,1.0,6.0,1.0,0.0,7.0,8.0,1.0,1.0,-1.0,8.0,46761.0,515977.0,11.034344860032933,254.28458826653127,6.0,1.0,0.0,7.0,8.0,1.0,1.0,-1.0,8.0,46761.0,515977.0,11.034344860032933,254.28458826653127,0
<androidx.fragment.app.FragmentManager: java.util.Set collectAllSpecialEffectsController()>,0,<androidx.collection.MapCollections$ArrayIterator: boolean hasNext()>,1.0,1.0,6.0,3.0,0.0,867.0,140.0,1.0,1.0,-1.0,140.0,46761.0,515977.0,11.034344860032933,254.28458826653127,6.0,3.0,0.0,867.0,140.0,1.0,1.0,-1.0,140.0,46761.0,515977.0,11.034344860032933,254.28458826653127,0
