method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<com.facebook.appevents.internal.AppEventsLoggerUtility: org.json.JSONObject getJSONObjectForGraphAPICall(com.facebook.appevents.internal.AppEventsLoggerUtility$GraphAPIActivityType,com.facebook.internal.AttributionIdentifiers,java.lang.String,boolean,android.content.Context)>",0,<com.facebook.appevents.internal.AppEventsLoggerUtility: void <clinit>()>,1.0,1.0,7.0,2.0,4.0,3.0,203.0,1.0,1.0,-1.0,203.0,30567.0,418488.0,13.690843066051624,343.8281097665883,7.0,2.0,4.0,3.0,203.0,1.0,1.0,-1.0,203.0,30567.0,418488.0,13.690843066051624,343.8281097665883,0
<com.google.firebase.installations.FirebaseInstallations: com.google.firebase.installations.local.PersistedInstallationEntry getPrefsWithGeneratedIdMultiProcessSafe()>,0,<com.google.firebase.installations.local.PersistedInstallation: com.google.firebase.installations.local.PersistedInstallationEntry insertOrUpdatePersistedInstallationEntry(com.google.firebase.installations.local.PersistedInstallationEntry)>,1.0,1.0,7.0,1.0,26.0,2.0,9.0,1.0,1.0,-1.0,9.0,30567.0,418488.0,13.690843066051624,343.8281097665883,7.0,1.0,26.0,2.0,9.0,1.0,1.0,-1.0,9.0,30567.0,418488.0,13.690843066051624,343.8281097665883,0
"<com.google.android.gms.internal.measurement.zzee: com.google.android.gms.internal.measurement.zzcc zzf(android.content.Context,boolean)>",0,<com.google.android.gms.dynamite.DynamiteModule: android.os.IBinder instantiate(java.lang.String)>,1.0,1.0,6.0,1.0,9.0,2.0,5.0,1.0,1.0,-1.0,5.0,30567.0,418488.0,13.690843066051624,343.8281097665883,6.0,1.0,9.0,2.0,5.0,1.0,1.0,-1.0,5.0,30567.0,418488.0,13.690843066051624,343.8281097665883,1
<com.facebook.appevents.AppEventQueue: void flushAndWait(com.facebook.appevents.FlushReason)>,0,<com.facebook.appevents.AppEventQueue: void <clinit>()>,1.0,1.0,5.0,3.0,6.0,23.0,21.0,1.0,1.0,-1.0,21.0,30567.0,418488.0,13.690843066051624,343.8281097665883,5.0,3.0,6.0,23.0,21.0,1.0,1.0,-1.0,21.0,30567.0,418488.0,13.690843066051624,343.8281097665883,0
"<com.facebook.appevents.AppEvent: org.json.JSONObject getJSONObjectForAppEvent(java.lang.String,java.lang.String,java.lang.Double,android.os.Bundle,java.util.UUID)>",0,<com.facebook.appevents.restrictivedatafilter.RestrictiveDataManager: java.lang.String processEvent(java.lang.String)>,1.0,1.0,8.0,1.0,6.0,1.0,233.0,1.0,1.0,-1.0,233.0,30567.0,418488.0,13.690843066051624,343.8281097665883,8.0,1.0,6.0,1.0,233.0,1.0,1.0,-1.0,233.0,30567.0,418488.0,13.690843066051624,343.8281097665883,1
<com.facebook.internal.FetchedAppSettingsManager: org.json.JSONObject getAppSettingsQueryResponse(java.lang.String)>,0,"<com.facebook.GraphRequest$Companion: com.facebook.GraphRequest newGraphPathRequest(com.facebook.AccessToken,java.lang.String,com.facebook.GraphRequest$Callback)>",1.0,1.0,6.0,2.0,2.0,4.0,41.0,1.0,1.0,-1.0,41.0,30567.0,418488.0,13.690843066051624,343.8281097665883,6.0,2.0,2.0,4.0,41.0,1.0,1.0,-1.0,41.0,30567.0,418488.0,13.690843066051624,343.8281097665883,1
"<com.facebook.appevents.AppEventQueue: void handleResponse(com.facebook.appevents.AccessTokenAppIdPair,com.facebook.GraphRequest,com.facebook.GraphResponse,com.facebook.appevents.SessionEventsState,com.facebook.appevents.FlushStatistics)>",0,"<kotlin.jvm.internal.Intrinsics: void checkNotNullExpressionValue(java.lang.Object,java.lang.String)>",1.0,1.0,6.0,1.0,5.0,361.0,453.0,1.0,1.0,-1.0,453.0,30567.0,418488.0,13.690843066051624,343.8281097665883,6.0,1.0,5.0,361.0,453.0,1.0,1.0,-1.0,453.0,30567.0,418488.0,13.690843066051624,343.8281097665883,0
"<com.facebook.appevents.AppEventsLoggerImpl$Companion: void logEvent(com.facebook.appevents.AppEvent,com.facebook.appevents.AccessTokenAppIdPair)>",0,<com.facebook.internal.Logger: void <clinit>()>,1.0,1.0,8.0,1.0,2.0,46.0,18.0,1.0,1.0,-1.0,18.0,30567.0,418488.0,13.690843066051624,343.8281097665883,8.0,1.0,2.0,46.0,18.0,1.0,1.0,-1.0,18.0,30567.0,418488.0,13.690843066051624,343.8281097665883,0
<com.google.android.gms.common.stats.ConnectionTracker: com.google.android.gms.common.stats.ConnectionTracker getInstance()>,0,<com.google.android.gms.common.stats.ConnectionTracker: void <clinit>()>,1.0,1.0,5.0,8.0,1.0,11.0,3.0,1.0,1.0,-1.0,3.0,30567.0,418488.0,13.690843066051624,343.8281097665883,5.0,8.0,1.0,11.0,3.0,1.0,1.0,-1.0,3.0,30567.0,418488.0,13.690843066051624,343.8281097665883,0
<com.facebook.appevents.codeless.CodelessMatcher: void startTracking()>,0,<com.google.firebase.installations.'-$$Lambda$FirebaseInstallations$pfXbx9QCGkMrm_6XDXgf1nv3q8c': void run()>,1.0,1.0,8.0,1.0,1.0,103.0,418.0,1.0,1.0,-1.0,418.0,30567.0,418488.0,13.690843066051624,343.8281097665883,8.0,1.0,1.0,103.0,418.0,1.0,1.0,-1.0,418.0,30567.0,418488.0,13.690843066051624,343.8281097665883,0
