method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<appinventor.ai_methunsharma0.Modapk.Screen1: void <init>()>,0,<gnu.mapping.ProcedureN: void <clinit>()>,1.0,1.0,2.0,1.0,2.0,747.0,14.0,1.0,1.0,-1.0,14.0,35174.0,403720.0,11.477796099391597,332.9618349351035,2.0,1.0,2.0,747.0,14.0,1.0,1.0,-1.0,14.0,35174.0,403720.0,11.477796099391597,332.9618349351035,0
<appinventor.ai_methunsharma0.Modapk.Screen1: void onCreate(android.os.Bundle)>,0,<com.google.appinventor.components.runtime.AppInventorCompatActivity: void setClassicModeFromYail(boolean)>,1.0,1.0,2.0,2.0,7.0,4.0,4.0,1.0,1.0,-1.0,4.0,35174.0,403720.0,11.477796099391597,332.9618349351035,2.0,2.0,7.0,4.0,4.0,1.0,1.0,-1.0,4.0,35174.0,403720.0,11.477796099391597,332.9618349351035,1
<appinventor.ai_methunsharma0.Modapk.Screen2: java.lang.Object Clock1$Timer()>,0,<com.google.appinventor.components.runtime.Form: void <clinit>()>,1.0,1.0,9.0,1.0,3.0,305.0,13.0,1.0,1.0,-1.0,13.0,35174.0,403720.0,11.477796099391597,332.9618349351035,9.0,1.0,3.0,305.0,13.0,1.0,1.0,-1.0,13.0,35174.0,403720.0,11.477796099391597,332.9618349351035,0
<gnu.bytecode.ClassType: void addFields()>,0,<gnu.bytecode.Type: void <clinit>()>,1.0,1.0,7.0,1.0,21.0,488.0,10.0,1.0,1.0,-1.0,10.0,35174.0,403720.0,11.477796099391597,332.9618349351035,7.0,1.0,21.0,488.0,10.0,1.0,1.0,-1.0,10.0,35174.0,403720.0,11.477796099391597,332.9618349351035,0
<kawa.standard.Scheme: void <clinit>()>,0,<kawa.standard.Scheme: void <init>(gnu.mapping.Environment)>,1.0,1.0,6.0,410.0,1.0,1.0,27.0,1.0,1.0,-1.0,27.0,35174.0,403720.0,11.477796099391597,332.9618349351035,6.0,410.0,1.0,1.0,27.0,1.0,1.0,-1.0,27.0,35174.0,403720.0,11.477796099391597,332.9618349351035,1
<gnu.mapping.ThreadLocation: void <init>(java.lang.String)>,0,<gnu.mapping.ThreadLocation: void <clinit>()>,1.0,1.0,7.0,9.0,4.0,23.0,8.0,1.0,1.0,-1.0,8.0,35174.0,403720.0,11.477796099391597,332.9618349351035,7.0,9.0,4.0,23.0,8.0,1.0,1.0,-1.0,8.0,35174.0,403720.0,11.477796099391597,332.9618349351035,0
<gnu.mapping.OutPort: void writeWordStart()>,0,<gnu.text.PrettyWriter: void writeWordStart()>,1.0,1.0,10.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,35174.0,403720.0,11.477796099391597,332.9618349351035,10.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,35174.0,403720.0,11.477796099391597,332.9618349351035,1
<gnu.expr.PrimProcedure: void apply(gnu.mapping.CallContext)>,0,<gnu.bytecode.Type: void <clinit>()>,1.0,1.0,9.0,2.0,21.0,488.0,39.0,1.0,1.0,-1.0,39.0,35174.0,403720.0,11.477796099391597,332.9618349351035,9.0,2.0,21.0,488.0,39.0,1.0,1.0,-1.0,39.0,35174.0,403720.0,11.477796099391597,332.9618349351035,0
<kawa.standard.Scheme: void initScheme()>,0,<gnu.expr.Compilation: java.lang.String mangleNameIfNeeded(java.lang.String)>,1.0,1.0,7.0,1.0,3.0,20.0,15.0,1.0,1.0,-1.0,15.0,35174.0,403720.0,11.477796099391597,332.9618349351035,7.0,1.0,3.0,20.0,15.0,1.0,1.0,-1.0,15.0,35174.0,403720.0,11.477796099391597,332.9618349351035,1
"<com.google.youngandroid.runtime: java.lang.Object apply1(gnu.expr.ModuleMethod,java.lang.Object)>",0,<com.google.youngandroid.runtime: java.lang.Object coerceToNumber(java.lang.Object)>,1.0,1.0,8.0,2.0,16.0,11.0,140.0,1.0,1.0,-1.0,140.0,35174.0,403720.0,11.477796099391597,332.9618349351035,8.0,2.0,16.0,11.0,140.0,1.0,1.0,-1.0,140.0,35174.0,403720.0,11.477796099391597,332.9618349351035,0
