method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.google.firebase.installations.FirebaseInstallations: com.google.firebase.installations.local.PersistedInstallationEntry getPrefsWithGeneratedIdMultiProcessSafe()>,0,<com.google.firebase.installations.local.PersistedInstallation: com.google.firebase.installations.local.PersistedInstallationEntry insertOrUpdatePersistedInstallationEntry(com.google.firebase.installations.local.PersistedInstallationEntry)>,1.0,1.0,8.0,1.0,29.0,2.0,9.0,1.0,1.0,-1.0,9.0,43071.0,459715.0,10.673422952798868,236.1694723905028,8.0,1.0,29.0,2.0,9.0,1.0,1.0,-1.0,9.0,43071.0,459715.0,10.673422952798868,236.1694723905028,1
<com.google.android.datatransport.runtime.scheduling.jobscheduling.Uploader_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.Uploader get()>,0,<com.google.android.datatransport.runtime.time.TimeModule_EventClockFactory: com.google.android.datatransport.runtime.time.Clock get()>,1.0,1.0,4.0,23.0,1.0,23.0,28.0,1.0,1.0,-1.0,28.0,43071.0,459715.0,10.673422952798868,236.1694723905028,4.0,23.0,1.0,23.0,28.0,1.0,1.0,-1.0,28.0,43071.0,459715.0,10.673422952798868,236.1694723905028,0
<com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer get()>,0,<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore_Factory: com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore get()>,1.0,1.0,4.0,23.0,30.0,23.0,28.0,1.0,1.0,-1.0,28.0,43071.0,459715.0,10.673422952798868,236.1694723905028,4.0,23.0,30.0,23.0,28.0,1.0,1.0,-1.0,28.0,43071.0,459715.0,10.673422952798868,236.1694723905028,0
<androidx.emoji2.text.EmojiCompatInitializer$BackgroundDefaultConfig: void <init>(android.content.Context)>,0,<androidx.emoji2.text.EmojiCompatInitializer$BackgroundDefaultLoader: void <init>(android.content.Context)>,1.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,43071.0,459715.0,10.673422952798868,236.1694723905028,5.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,43071.0,459715.0,10.673422952798868,236.1694723905028,1
"<com.facebook.soloader.SoLoader: void doLoadLibraryBySoName(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",0,"<com.facebook.soloader.DirectorySoSource: int loadLibrary(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",1.0,1.0,10.0,1.0,1.0,2.0,44.0,1.0,1.0,-1.0,44.0,43071.0,459715.0,10.673422952798868,236.1694723905028,10.0,1.0,1.0,2.0,44.0,1.0,1.0,-1.0,44.0,43071.0,459715.0,10.673422952798868,236.1694723905028,0
<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore_Factory: com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore get()>,0,<com.google.android.datatransport.runtime.scheduling.SchedulingModule_WorkSchedulerFactory: com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkScheduler get()>,1.0,1.0,4.0,23.0,28.0,23.0,30.0,1.0,1.0,-1.0,30.0,43071.0,459715.0,10.673422952798868,236.1694723905028,4.0,23.0,28.0,23.0,30.0,1.0,1.0,-1.0,30.0,43071.0,459715.0,10.673422952798868,236.1694723905028,0
<com.google.android.datatransport.runtime.ExecutionModule_ExecutorFactory$InstanceHolder: void <clinit>()>,0,<com.google.android.datatransport.runtime.ExecutionModule_ExecutorFactory: void <init>()>,1.0,1.0,16.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,43071.0,459715.0,10.673422952798868,236.1694723905028,16.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,43071.0,459715.0,10.673422952798868,236.1694723905028,1
<com.facebook.react.modules.systeminfo.AndroidInfoHelpers: java.lang.String getFriendlyDeviceName()>,0,<com.facebook.react.modules.systeminfo.AndroidInfoHelpers: void <clinit>()>,1.0,1.0,5.0,1.0,0.0,7.0,8.0,1.0,1.0,-1.0,8.0,43071.0,459715.0,10.673422952798868,236.1694723905028,5.0,1.0,0.0,7.0,8.0,1.0,1.0,-1.0,8.0,43071.0,459715.0,10.673422952798868,236.1694723905028,0
<androidx.emoji2.text.EmojiCompat: void <init>(androidx.emoji2.text.EmojiCompat$Config)>,0,<androidx.emoji2.text.EmojiCompat$CompatInternal: void <init>(androidx.emoji2.text.EmojiCompat)>,1.0,1.0,6.0,1.0,1.0,2.0,24.0,1.0,1.0,-1.0,24.0,43071.0,459715.0,10.673422952798868,236.1694723905028,6.0,1.0,1.0,2.0,24.0,1.0,1.0,-1.0,24.0,43071.0,459715.0,10.673422952798868,236.1694723905028,0
<com.google.android.datatransport.runtime.scheduling.persistence.SchemaManager: void <clinit>()>,0,<com.google.android.datatransport.runtime.scheduling.persistence.SchemaManager$$ExternalSyntheticLambda4: void <clinit>()>,1.0,1.0,6.0,2.0,1.0,1.0,12.0,1.0,1.0,-1.0,12.0,43071.0,459715.0,10.673422952798868,236.1694723905028,6.0,2.0,1.0,1.0,12.0,1.0,1.0,-1.0,12.0,43071.0,459715.0,10.673422952798868,236.1694723905028,0
