method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<e.l: void L()>,0,<f1.b0: void <clinit>()>,1.0,1.0,3.0,5.0,3.0,147.0,68.0,1.0,1.0,-1.0,68.0,17990.0,156886.0,8.720733740967203,192.8711930956236,3.0,5.0,3.0,147.0,68.0,1.0,1.0,-1.0,68.0,17990.0,156886.0,8.720733740967203,192.8711930956236,0
<h6.k: java.util.Map I(java.util.ArrayList)>,0,"<h6.k: void J(java.util.ArrayList,java.util.LinkedHashMap)>",1.0,1.0,7.0,2.0,64.0,1.0,11.0,1.0,1.0,-1.0,11.0,17990.0,156886.0,8.720733740967203,192.8711930956236,7.0,2.0,64.0,1.0,11.0,1.0,1.0,-1.0,11.0,17990.0,156886.0,8.720733740967203,192.8711930956236,1
<androidx.emoji2.text.f: void c()>,0,"<f3.i8: void g(java.lang.String,boolean)>",1.0,1.0,5.0,1.0,1.0,37.0,14.0,1.0,1.0,-1.0,14.0,17990.0,156886.0,8.720733740967203,192.8711930956236,5.0,1.0,1.0,37.0,14.0,1.0,1.0,-1.0,14.0,17990.0,156886.0,8.720733740967203,192.8711930956236,1
<androidx.lifecycle.o: void j(java.lang.Object)>,0,<androidx.lifecycle.LiveData: void c(androidx.lifecycle.LiveData$c)>,1.0,1.0,5.0,8.0,14.0,2.0,3.0,1.0,1.0,-1.0,3.0,17990.0,156886.0,8.720733740967203,192.8711930956236,5.0,8.0,14.0,2.0,3.0,1.0,1.0,-1.0,3.0,17990.0,156886.0,8.720733740967203,192.8711930956236,1
<androidx.recyclerview.widget.c0: void b(androidx.recyclerview.widget.RecyclerView$z)>,0,"<k0.h: java.lang.Object getOrDefault(java.lang.Object,java.lang.Object)>",1.0,1.0,10.0,2.0,1.0,21.0,2.0,1.0,1.0,-1.0,2.0,17990.0,156886.0,8.720733740967203,192.8711930956236,10.0,2.0,1.0,21.0,2.0,1.0,1.0,-1.0,2.0,17990.0,156886.0,8.720733740967203,192.8711930956236,1
<io.github.jitinsharma.bottomnavbar.BottomNavBar: void setUpPrimaryItem(d6.b)>,0,<androidx.appcompat.widget.o: void setImageDrawable(android.graphics.drawable.Drawable)>,1.0,1.0,4.0,1.0,5.0,15.0,16.0,1.0,1.0,-1.0,16.0,17990.0,156886.0,8.720733740967203,192.8711930956236,4.0,1.0,5.0,15.0,16.0,1.0,1.0,-1.0,16.0,17990.0,156886.0,8.720733740967203,192.8711930956236,0
<c6.a: void onClick(android.view.View)>,0,"<o6.d: void f(java.lang.Object,java.lang.String)>",1.0,1.0,6.0,4.0,3.0,152.0,21.0,1.0,1.0,-1.0,21.0,17990.0,156886.0,8.720733740967203,192.8711930956236,6.0,4.0,3.0,152.0,21.0,1.0,1.0,-1.0,21.0,17990.0,156886.0,8.720733740967203,192.8711930956236,1
"<e.l: void <init>(android.content.Context,android.view.Window,e.h,java.lang.Object)>",0,<androidx.appcompat.widget.k: void d()>,1.0,1.0,4.0,2.0,6.0,2.0,17.0,1.0,1.0,-1.0,17.0,17990.0,156886.0,8.720733740967203,192.8711930956236,4.0,2.0,6.0,2.0,17.0,1.0,1.0,-1.0,17.0,17990.0,156886.0,8.720733740967203,192.8711930956236,1
"<f1.p: boolean g(int,int)>",0,<f1.p: android.view.ViewParent f(int)>,1.0,1.0,6.0,3.0,0.0,8.0,17.0,1.0,1.0,-1.0,17.0,17990.0,156886.0,8.720733740967203,192.8711930956236,6.0,3.0,0.0,8.0,17.0,1.0,1.0,-1.0,17.0,17990.0,156886.0,8.720733740967203,192.8711930956236,1
"<androidx.recyclerview.widget.RecyclerView$r: androidx.recyclerview.widget.RecyclerView$z i(int,long)>",0,"<androidx.recyclerview.widget.a: int f(int,int)>",1.0,1.0,7.0,3.0,2.0,3.0,93.0,1.0,1.0,-1.0,93.0,17990.0,156886.0,8.720733740967203,192.8711930956236,7.0,3.0,2.0,3.0,93.0,1.0,1.0,-1.0,93.0,17990.0,156886.0,8.720733740967203,192.8711930956236,1
"<androidx.emoji2.text.f: java.lang.CharSequence f(int,int,java.lang.CharSequence)>",0,<androidx.emoji2.text.n: void b()>,1.0,1.0,6.0,4.0,5.0,1.0,41.0,1.0,1.0,-1.0,41.0,17990.0,156886.0,8.720733740967203,192.8711930956236,6.0,4.0,5.0,1.0,41.0,1.0,1.0,-1.0,41.0,17990.0,156886.0,8.720733740967203,192.8711930956236,1
<androidx.emoji2.text.f: androidx.emoji2.text.f a()>,0,<androidx.emoji2.text.f: void <clinit>()>,1.0,1.0,5.0,5.0,1.0,10.0,3.0,1.0,1.0,-1.0,3.0,17990.0,156886.0,8.720733740967203,192.8711930956236,5.0,5.0,1.0,10.0,3.0,1.0,1.0,-1.0,3.0,17990.0,156886.0,8.720733740967203,192.8711930956236,0
<androidx.appcompat.widget.k: void d()>,0,<androidx.appcompat.widget.k: void <init>()>,1.0,1.0,5.0,2.0,1.0,1.0,6.0,1.0,1.0,-1.0,6.0,17990.0,156886.0,8.720733740967203,192.8711930956236,5.0,2.0,1.0,1.0,6.0,1.0,1.0,-1.0,6.0,17990.0,156886.0,8.720733740967203,192.8711930956236,1
<androidx.recyclerview.widget.a: void b()>,0,<androidx.recyclerview.widget.a: void l(java.util.ArrayList)>,1.0,1.0,9.0,1.0,4.0,4.0,4.0,1.0,1.0,-1.0,4.0,17990.0,156886.0,8.720733740967203,192.8711930956236,9.0,1.0,4.0,4.0,4.0,1.0,1.0,-1.0,4.0,17990.0,156886.0,8.720733740967203,192.8711930956236,1
"<e.l: boolean W(e.l$m,android.view.KeyEvent)>",0,"<i.c: void <init>(android.content.Context,int)>",1.0,1.0,6.0,2.0,1.0,4.0,47.0,1.0,1.0,-1.0,47.0,17990.0,156886.0,8.720733740967203,192.8711930956236,6.0,2.0,1.0,4.0,47.0,1.0,1.0,-1.0,47.0,17990.0,156886.0,8.720733740967203,192.8711930956236,0
<androidx.fragment.app.n: void Q(android.content.Intent)>,0,<w0.a: void <clinit>()>,1.0,1.0,7.0,8.0,1.0,29.0,7.0,1.0,1.0,-1.0,7.0,17990.0,156886.0,8.720733740967203,192.8711930956236,7.0,8.0,1.0,29.0,7.0,1.0,1.0,-1.0,7.0,17990.0,156886.0,8.720733740967203,192.8711930956236,0
<x0.f$d: int hashCode()>,0,<e1.b: int b(java.lang.Object[])>,1.0,1.0,5.0,38.0,1.0,3.0,1.0,1.0,1.0,-1.0,1.0,17990.0,156886.0,8.720733740967203,192.8711930956236,5.0,38.0,1.0,3.0,1.0,1.0,1.0,-1.0,1.0,17990.0,156886.0,8.720733740967203,192.8711930956236,1
<androidx.appcompat.view.menu.f: void v()>,0,<androidx.appcompat.view.menu.f: void p(boolean)>,1.0,1.0,7.0,6.0,73.0,11.0,2.0,1.0,1.0,-1.0,2.0,17990.0,156886.0,8.720733740967203,192.8711930956236,7.0,6.0,73.0,11.0,2.0,1.0,1.0,-1.0,2.0,17990.0,156886.0,8.720733740967203,192.8711930956236,1
<m1.c: void l()>,0,<m1.c: void p(int)>,1.0,1.0,7.0,1.0,4.0,5.0,8.0,1.0,1.0,-1.0,8.0,17990.0,156886.0,8.720733740967203,192.8711930956236,7.0,1.0,4.0,5.0,8.0,1.0,1.0,-1.0,8.0,17990.0,156886.0,8.720733740967203,192.8711930956236,0
<androidx.activity.ComponentActivity: void <init>()>,0,<b.a: void <init>()>,1.0,1.0,5.0,1.0,2.0,1.0,46.0,1.0,1.0,-1.0,46.0,17990.0,156886.0,8.720733740967203,192.8711930956236,5.0,1.0,2.0,1.0,46.0,1.0,1.0,-1.0,46.0,17990.0,156886.0,8.720733740967203,192.8711930956236,1
"<e3.n: void d(int,int)>",0,<e3.n: void <clinit>()>,1.0,1.0,5.0,2.0,1.0,16.0,3.0,1.0,1.0,-1.0,3.0,17990.0,156886.0,8.720733740967203,192.8711930956236,5.0,2.0,1.0,16.0,3.0,1.0,1.0,-1.0,3.0,17990.0,156886.0,8.720733740967203,192.8711930956236,0
<l.b: java.lang.Object j(java.lang.Object)>,0,<l.b$d: java.lang.Object next()>,1.0,1.0,5.0,3.0,0.0,404.0,87.0,1.0,1.0,-1.0,87.0,17990.0,156886.0,8.720733740967203,192.8711930956236,5.0,3.0,0.0,404.0,87.0,1.0,1.0,-1.0,87.0,17990.0,156886.0,8.720733740967203,192.8711930956236,0
<e.k: void <clinit>()>,0,<k0.d: void <init>()>,1.0,1.0,3.0,17.0,1.0,3.0,5.0,1.0,1.0,-1.0,5.0,17990.0,156886.0,8.720733740967203,192.8711930956236,3.0,17.0,1.0,3.0,5.0,1.0,1.0,-1.0,5.0,17990.0,156886.0,8.720733740967203,192.8711930956236,1
<androidx.fragment.app.h0: void g()>,0,<k0.g$a: java.lang.Object next()>,1.0,1.0,6.0,1.0,4.0,403.0,87.0,1.0,1.0,-1.0,87.0,17990.0,156886.0,8.720733740967203,192.8711930956236,6.0,1.0,4.0,403.0,87.0,1.0,1.0,-1.0,87.0,17990.0,156886.0,8.720733740967203,192.8711930956236,0
<androidx.lifecycle.y$a: java.lang.Object a()>,0,<o6.c: java.lang.Class a()>,1.0,1.0,6.0,1.0,0.0,2.0,25.0,1.0,1.0,-1.0,25.0,17990.0,156886.0,8.720733740967203,192.8711930956236,6.0,1.0,0.0,2.0,25.0,1.0,1.0,-1.0,25.0,17990.0,156886.0,8.720733740967203,192.8711930956236,0
