method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<androidx.emoji2.text.e: void <init>(androidx.emoji2.text.e$c)>,0,<l.b: void <init>()>,1.0,1.0,8.0,1.0,1.0,6.0,20.0,1.0,1.0,-1.0,20.0,22299.0,154203.0,6.915242836001615,140.9413500385855,8.0,1.0,1.0,6.0,20.0,1.0,1.0,-1.0,20.0,22299.0,154203.0,6.915242836001615,140.9413500385855,1
"<o2.a: void <init>(io.flutter.embedding.engine.FlutterJNI,android.content.res.AssetManager)>",0,<o2.c: void <init>(io.flutter.embedding.engine.FlutterJNI)>,1.0,1.0,2.0,2.0,2.0,1.0,6.0,1.0,1.0,-1.0,6.0,22299.0,154203.0,6.915242836001615,140.9413500385855,2.0,2.0,2.0,1.0,6.0,1.0,1.0,-1.0,6.0,22299.0,154203.0,6.915242836001615,140.9413500385855,1
<w3.e: void a(java.lang.String)>,0,<d0.a: void c(java.lang.String)>,1.0,1.0,5.0,15.0,2.0,4.0,2.0,1.0,1.0,-1.0,2.0,22299.0,154203.0,6.915242836001615,140.9413500385855,5.0,15.0,2.0,4.0,2.0,1.0,1.0,-1.0,2.0,22299.0,154203.0,6.915242836001615,140.9413500385855,1
<androidx.lifecycle.v$b: void registerIn(android.app.Activity)>,0,<androidx.lifecycle.v$b: void <init>()>,1.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,-1.0,2.0,22299.0,154203.0,6.915242836001615,140.9413500385855,4.0,1.0,1.0,3.0,2.0,1.0,1.0,-1.0,2.0,22299.0,154203.0,6.915242836001615,140.9413500385855,1
<androidx.lifecycle.u$c: void <init>(androidx.lifecycle.u)>,0,<androidx.lifecycle.d: void <init>()>,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,-1.0,1.0,22299.0,154203.0,6.915242836001615,140.9413500385855,2.0,2.0,1.0,3.0,1.0,1.0,1.0,-1.0,1.0,22299.0,154203.0,6.915242836001615,140.9413500385855,1
<androidx.startup.a: void a()>,0,<d0.a: void f()>,1.0,1.0,2.0,1.0,2.0,4.0,9.0,1.0,1.0,-1.0,9.0,22299.0,154203.0,6.915242836001615,140.9413500385855,2.0,1.0,2.0,4.0,9.0,1.0,1.0,-1.0,9.0,22299.0,154203.0,6.915242836001615,140.9413500385855,1
<a3.e: void <init>(o2.a)>,0,"<b3.a: void <init>(b3.c,java.lang.String,b3.i)>",1.0,1.0,7.0,1.0,1.0,6.0,3.0,1.0,1.0,-1.0,3.0,22299.0,154203.0,6.915242836001615,140.9413500385855,7.0,1.0,1.0,6.0,3.0,1.0,1.0,-1.0,3.0,22299.0,154203.0,6.915242836001615,140.9413500385855,1
<b3.f: void <clinit>()>,0,<b3.f: void <init>()>,1.0,1.0,6.0,9.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,22299.0,154203.0,6.915242836001615,140.9413500385855,6.0,9.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,22299.0,154203.0,6.915242836001615,140.9413500385855,1
<b3.k: void e(b3.k$c)>,0,"<o2.a$c: void e(java.lang.String,b3.c$a)>",1.0,1.0,3.0,37.0,1.0,4.0,9.0,1.0,1.0,-1.0,9.0,22299.0,154203.0,6.915242836001615,140.9413500385855,3.0,37.0,1.0,4.0,9.0,1.0,1.0,-1.0,9.0,22299.0,154203.0,6.915242836001615,140.9413500385855,0
<i.a: void <init>()>,0,<i.b: void <init>()>,1.0,1.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0,-1.0,2.0,22299.0,154203.0,6.915242836001615,140.9413500385855,5.0,2.0,2.0,3.0,2.0,1.0,1.0,-1.0,2.0,22299.0,154203.0,6.915242836001615,140.9413500385855,1
