method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<androidx.emoji2.text.EmojiCompatInitializer$BackgroundDefaultConfig: void <init>(android.content.Context)>,0,<androidx.emoji2.text.EmojiCompatInitializer$BackgroundDefaultLoader: void <init>(android.content.Context)>,1.0,1.0,6.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,35149.0,410636.0,11.682722125807278,217.68873649655657,6.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
<androidx.arch.core.internal.SafeIterableMap$ListIterator: java.util.Map$Entry next()>,0,<androidx.arch.core.internal.SafeIterableMap$ListIterator: androidx.arch.core.internal.SafeIterableMap$Entry nextNode()>,1.0,1.0,4.0,691.0,2.0,2.0,1.0,1.0,1.0,-1.0,1.0,35149.0,410636.0,11.682722125807278,217.68873649655657,4.0,691.0,2.0,2.0,1.0,1.0,1.0,-1.0,1.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
<androidx.emoji2.text.EmojiCompat: void <init>(androidx.emoji2.text.EmojiCompat$Config)>,0,<androidx.emoji2.text.EmojiCompat$CompatInternal: void <init>(androidx.emoji2.text.EmojiCompat)>,1.0,1.0,7.0,1.0,1.0,2.0,23.0,1.0,1.0,-1.0,23.0,35149.0,410636.0,11.682722125807278,217.68873649655657,7.0,1.0,1.0,2.0,23.0,1.0,1.0,-1.0,23.0,35149.0,410636.0,11.682722125807278,217.68873649655657,0
<androidx.lifecycle.LifecycleRegistry: void addObserver(androidx.lifecycle.LifecycleObserver)>,0,<androidx.lifecycle.LifecycleRegistry: void sync()>,1.0,1.0,6.0,25.0,14.0,2.0,19.0,1.0,1.0,-1.0,19.0,35149.0,410636.0,11.682722125807278,217.68873649655657,6.0,25.0,14.0,2.0,19.0,1.0,1.0,-1.0,19.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
<androidx.savedstate.SavedStateRegistryController: void performRestore(android.os.Bundle)>,0,"<kotlin.jvm.internal.Intrinsics: void checkNotNullExpressionValue(java.lang.Object,java.lang.String)>",1.0,1.0,5.0,4.0,5.0,381.0,18.0,1.0,1.0,-1.0,18.0,35149.0,410636.0,11.682722125807278,217.68873649655657,5.0,4.0,5.0,381.0,18.0,1.0,1.0,-1.0,18.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable loadDrawableFromDelegates(android.content.Context,int)>",0,<androidx.collection.SimpleArrayMap: java.lang.Object get(java.lang.Object)>,1.0,1.0,8.0,2.0,2.0,208.0,52.0,1.0,1.0,-1.0,52.0,35149.0,410636.0,11.682722125807278,217.68873649655657,8.0,2.0,2.0,208.0,52.0,1.0,1.0,-1.0,52.0,35149.0,410636.0,11.682722125807278,217.68873649655657,0
<com.google.firebase.FirebaseApp: java.lang.String getPersistenceKey()>,0,<com.google.firebase.FirebaseOptions: java.lang.String getApplicationId()>,1.0,1.0,10.0,2.0,0.0,3.0,9.0,1.0,1.0,-1.0,9.0,35149.0,410636.0,11.682722125807278,217.68873649655657,10.0,2.0,0.0,3.0,9.0,1.0,1.0,-1.0,9.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
<androidx.fragment.app.FragmentActivity: void lambda$init$3$androidx-fragment-app-FragmentActivity(android.content.Context)>,0,<androidx.fragment.app.FragmentController: void attachHost(androidx.fragment.app.Fragment)>,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,35149.0,410636.0,11.682722125807278,217.68873649655657,7.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
<androidx.collection.SimpleArrayMap: boolean containsKey(java.lang.Object)>,0,<androidx.collection.SimpleArrayMap: int indexOfKey(java.lang.Object)>,1.0,1.0,5.0,58.0,596.0,5.0,1.0,1.0,1.0,-1.0,1.0,35149.0,410636.0,11.682722125807278,217.68873649655657,5.0,58.0,596.0,5.0,1.0,1.0,1.0,-1.0,1.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
<com.ladushkinySkazky.ladushkinnyskazki.presentation.MainActivity: void <init>()>,0,<com.ladushkinySkazky.ladushkinnyskazki.domian.NetworkMonitorUtil: void <init>(android.content.Context)>,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,-1.0,2.0,35149.0,410636.0,11.682722125807278,217.68873649655657,2.0,1.0,3.0,1.0,2.0,1.0,1.0,-1.0,2.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
<com.google.firebase.components.LazySet: void updateSet()>,0,<com.google.firebase.components.ComponentDiscovery$$ExternalSyntheticLambda0: java.lang.Object get()>,1.0,1.0,9.0,1.0,1.0,18.0,192.0,1.0,1.0,-1.0,192.0,35149.0,410636.0,11.682722125807278,217.68873649655657,9.0,1.0,1.0,18.0,192.0,1.0,1.0,-1.0,192.0,35149.0,410636.0,11.682722125807278,217.68873649655657,0
"<androidx.fragment.app.FragmentActivity: boolean markState(androidx.fragment.app.FragmentManager,androidx.lifecycle.Lifecycle$State)>",0,<androidx.fragment.app.Fragment: androidx.fragment.app.FragmentManager getChildFragmentManager()>,1.0,1.0,6.0,2.0,5.0,6.0,176.0,1.0,1.0,-1.0,176.0,35149.0,410636.0,11.682722125807278,217.68873649655657,6.0,2.0,5.0,6.0,176.0,1.0,1.0,-1.0,176.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
<androidx.appcompat.widget.AppCompatDrawableManager: void preload()>,0,<androidx.appcompat.widget.ResourceManagerInternal: androidx.appcompat.widget.ResourceManagerInternal get()>,1.0,1.0,8.0,2.0,3.0,6.0,6.0,1.0,1.0,-1.0,6.0,35149.0,410636.0,11.682722125807278,217.68873649655657,8.0,2.0,3.0,6.0,6.0,1.0,1.0,-1.0,6.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
<androidx.fragment.app.FragmentManagerViewModel: void <init>(boolean)>,0,<androidx.lifecycle.ViewModel: void <init>()>,1.0,1.0,9.0,3.0,3.0,5.0,2.0,1.0,1.0,-1.0,2.0,35149.0,410636.0,11.682722125807278,217.68873649655657,9.0,3.0,3.0,5.0,2.0,1.0,1.0,-1.0,2.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
"<androidx.lifecycle.ViewModelProvider: androidx.lifecycle.ViewModel get(java.lang.String,java.lang.Class)>",0,<androidx.lifecycle.ViewModelStore: androidx.lifecycle.ViewModel get(java.lang.String)>,1.0,1.0,7.0,2.0,2.0,2.0,28.0,1.0,1.0,-1.0,28.0,35149.0,410636.0,11.682722125807278,217.68873649655657,7.0,2.0,2.0,2.0,28.0,1.0,1.0,-1.0,28.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
<androidx.appcompat.widget.AppCompatDrawableManager: void preload()>,0,<androidx.appcompat.widget.AppCompatDrawableManager: void <init>()>,1.0,1.0,8.0,2.0,1.0,1.0,6.0,1.0,1.0,-1.0,6.0,35149.0,410636.0,11.682722125807278,217.68873649655657,8.0,2.0,1.0,1.0,6.0,1.0,1.0,-1.0,6.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
<com.google.firebase.components.ComponentRuntime: java.lang.Object lambda$discoverComponents$0$com-google-firebase-components-ComponentRuntime(com.google.firebase.components.Component)>,0,<com.google.firebase.components.Component$$ExternalSyntheticLambda2: java.lang.Object create(com.google.firebase.components.ComponentContainer)>,1.0,1.0,9.0,1.0,1.0,2.0,11.0,1.0,1.0,-1.0,11.0,35149.0,410636.0,11.682722125807278,217.68873649655657,9.0,1.0,1.0,2.0,11.0,1.0,1.0,-1.0,11.0,35149.0,410636.0,11.682722125807278,217.68873649655657,0
"<androidx.fragment.app.FragmentActivity: boolean markState(androidx.fragment.app.FragmentManager,androidx.lifecycle.Lifecycle$State)>",0,<androidx.arch.core.internal.SafeIterableMap$ListIterator: boolean hasNext()>,1.0,1.0,6.0,2.0,0.0,689.0,176.0,1.0,1.0,-1.0,176.0,35149.0,410636.0,11.682722125807278,217.68873649655657,6.0,2.0,0.0,689.0,176.0,1.0,1.0,-1.0,176.0,35149.0,410636.0,11.682722125807278,217.68873649655657,0
<androidx.fragment.app.Fragment: void performStop()>,0,<androidx.fragment.app.FragmentManager: void dispatchStop()>,1.0,1.0,9.0,1.0,2.0,2.0,13.0,1.0,1.0,-1.0,13.0,35149.0,410636.0,11.682722125807278,217.68873649655657,9.0,1.0,2.0,2.0,13.0,1.0,1.0,-1.0,13.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
<androidx.appcompat.app.AppCompatDelegate: void <clinit>()>,0,<androidx.collection.ArraySet: void <clinit>()>,1.0,1.0,5.0,15.0,1.0,8.0,3.0,1.0,1.0,-1.0,3.0,35149.0,410636.0,11.682722125807278,217.68873649655657,5.0,15.0,1.0,8.0,3.0,1.0,1.0,-1.0,3.0,35149.0,410636.0,11.682722125807278,217.68873649655657,0
<com.google.firebase.components.EventBus: void enablePublishingAndFlushPending()>,0,<androidx.arch.core.internal.SafeIterableMap$ListIterator: boolean hasNext()>,1.0,1.0,14.0,1.0,0.0,689.0,162.0,1.0,1.0,-1.0,162.0,35149.0,410636.0,11.682722125807278,217.68873649655657,14.0,1.0,0.0,689.0,162.0,1.0,1.0,-1.0,162.0,35149.0,410636.0,11.682722125807278,217.68873649655657,0
<androidx.appcompat.widget.AppCompatDrawableManager: androidx.appcompat.widget.AppCompatDrawableManager get()>,0,<androidx.appcompat.widget.AppCompatDrawableManager: void preload()>,1.0,1.0,10.0,4.0,6.0,2.0,2.0,1.0,1.0,-1.0,2.0,35149.0,410636.0,11.682722125807278,217.68873649655657,10.0,4.0,6.0,2.0,2.0,1.0,1.0,-1.0,2.0,35149.0,410636.0,11.682722125807278,217.68873649655657,0
<androidx.lifecycle.ProcessLifecycleOwner: void init(android.content.Context)>,0,<androidx.lifecycle.ProcessLifecycleOwner: void attach(android.content.Context)>,1.0,1.0,6.0,1.0,6.0,1.0,2.0,1.0,1.0,-1.0,2.0,35149.0,410636.0,11.682722125807278,217.68873649655657,6.0,1.0,6.0,1.0,2.0,1.0,1.0,-1.0,2.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
<androidx.activity.ComponentActivity: void <init>()>,0,<androidx.activity.OnBackPressedDispatcher: void <init>(java.lang.Runnable)>,1.0,1.0,5.0,1.0,2.0,2.0,30.0,1.0,1.0,-1.0,30.0,35149.0,410636.0,11.682722125807278,217.68873649655657,5.0,1.0,2.0,2.0,30.0,1.0,1.0,-1.0,30.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
<androidx.appcompat.app.AppCompatDelegateImpl: void attachToWindow(android.view.Window)>,0,"<androidx.appcompat.widget.TintTypedArray: androidx.appcompat.widget.TintTypedArray obtainStyledAttributes(android.content.Context,android.util.AttributeSet,int[])>",1.0,1.0,8.0,2.0,2.0,4.0,7.0,1.0,1.0,-1.0,7.0,35149.0,410636.0,11.682722125807278,217.68873649655657,8.0,2.0,2.0,4.0,7.0,1.0,1.0,-1.0,7.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
<com.google.firebase.components.ComponentRuntime: java.lang.Object lambda$discoverComponents$0$com-google-firebase-components-ComponentRuntime(com.google.firebase.components.Component)>,0,<com.google.firebase.components.Component: com.google.firebase.components.ComponentFactory getFactory()>,1.0,1.0,9.0,1.0,0.0,2.0,11.0,1.0,1.0,-1.0,11.0,35149.0,410636.0,11.682722125807278,217.68873649655657,9.0,1.0,0.0,2.0,11.0,1.0,1.0,-1.0,11.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
"<androidx.startup.AppInitializer: java.lang.Object doInitialize(java.lang.Class,java.util.Set)>",0,<androidx.tracing.Trace: boolean isEnabled()>,1.0,1.0,4.0,3.0,2.0,1.0,288.0,1.0,1.0,-1.0,288.0,35149.0,410636.0,11.682722125807278,217.68873649655657,4.0,3.0,2.0,1.0,288.0,1.0,1.0,-1.0,288.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
<androidx.collection.ArraySet: void <init>(int)>,0,<androidx.collection.ContainerHelpers: void <clinit>()>,1.0,1.0,7.0,2.0,0.0,21.0,3.0,1.0,1.0,-1.0,3.0,35149.0,410636.0,11.682722125807278,217.68873649655657,7.0,2.0,0.0,21.0,3.0,1.0,1.0,-1.0,3.0,35149.0,410636.0,11.682722125807278,217.68873649655657,0
<androidx.fragment.app.FragmentActivity$HostCallbacks: androidx.lifecycle.ViewModelStore getViewModelStore()>,0,<androidx.activity.ComponentActivity: androidx.lifecycle.ViewModelStore getViewModelStore()>,1.0,1.0,6.0,7.0,3.0,13.0,1.0,1.0,1.0,-1.0,1.0,35149.0,410636.0,11.682722125807278,217.68873649655657,6.0,7.0,3.0,13.0,1.0,1.0,1.0,-1.0,1.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
"<androidx.appcompat.widget.AppCompatTextHelper: void loadFromAttributes(android.util.AttributeSet,int)>",0,"<androidx.appcompat.widget.TintTypedArray: int getResourceId(int,int)>",1.0,1.0,12.0,1.0,1.0,4.0,59.0,1.0,1.0,-1.0,59.0,35149.0,410636.0,11.682722125807278,217.68873649655657,12.0,1.0,1.0,4.0,59.0,1.0,1.0,-1.0,59.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
"<androidx.appcompat.widget.AppCompatTextHelper: void loadFromAttributes(android.util.AttributeSet,int)>",0,"<androidx.appcompat.widget.TintTypedArray: androidx.appcompat.widget.TintTypedArray obtainStyledAttributes(android.content.Context,android.util.AttributeSet,int[])>",1.0,1.0,12.0,1.0,2.0,4.0,59.0,1.0,1.0,-1.0,59.0,35149.0,410636.0,11.682722125807278,217.68873649655657,12.0,1.0,2.0,4.0,59.0,1.0,1.0,-1.0,59.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
"<androidx.fragment.app.FragmentManager: void attachController(androidx.fragment.app.FragmentHostCallback,androidx.fragment.app.FragmentContainer,androidx.fragment.app.Fragment)>",0,"<androidx.savedstate.SavedStateRegistry: void registerSavedStateProvider(java.lang.String,androidx.savedstate.SavedStateRegistry$SavedStateProvider)>",1.0,1.0,9.0,2.0,5.0,7.0,54.0,1.0,1.0,-1.0,54.0,35149.0,410636.0,11.682722125807278,217.68873649655657,9.0,2.0,5.0,7.0,54.0,1.0,1.0,-1.0,54.0,35149.0,410636.0,11.682722125807278,217.68873649655657,1
