method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.facebook.soloader.UnpackingSoSource: void prepare(int)>,0,<com.facebook.soloader.SysUtil: void mkdirOrThrow(java.io.File)>,1.0,1.0,6.0,4.0,7.0,1.0,14.0,1.0,1.0,-1.0,14.0,25559.0,221064.0,8.649164677804295,182.3495910686498,6.0,4.0,7.0,1.0,14.0,1.0,1.0,-1.0,14.0,25559.0,221064.0,8.649164677804295,182.3495910686498,1
"<com.facebook.soloader.SoLoader: void doLoadLibraryBySoName(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",0,"<com.facebook.soloader.DirectorySoSource: int loadLibrary(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",1.0,1.0,10.0,1.0,1.0,2.0,40.0,1.0,1.0,-1.0,40.0,25559.0,221064.0,8.649164677804295,182.3495910686498,10.0,1.0,1.0,2.0,40.0,1.0,1.0,-1.0,40.0,25559.0,221064.0,8.649164677804295,182.3495910686498,0
"<com.facebook.react.ReactInstanceManager: void <init>(android.content.Context,android.app.Activity,com.facebook.react.modules.core.DefaultHardwareBackBtnHandler,com.facebook.react.bridge.JavaScriptExecutorFactory,com.facebook.react.bridge.JSBundleLoader,java.lang.String,java.util.List,boolean,com.facebook.react.bridge.NotThreadSafeBridgeIdleDebugListener,com.facebook.react.common.LifecycleState,com.facebook.react.uimanager.UIImplementationProvider,com.facebook.react.bridge.NativeModuleCallExceptionHandler,com.facebook.react.devsupport.RedBoxHandler,boolean,com.facebook.react.devsupport.interfaces.DevBundleDownloadListener,int,int,com.facebook.react.bridge.JSIModulePackage,java.util.Map,com.facebook.react.ReactPackageTurboModuleManagerDelegate$Builder)>",0,<com.facebook.react.uimanager.DisplayMetricsHolder: void initDisplayMetricsIfNotInitialized(android.content.Context)>,1.0,1.0,2.0,2.0,2.0,4.0,30.0,1.0,1.0,-1.0,30.0,25559.0,221064.0,8.649164677804295,182.3495910686498,2.0,2.0,2.0,4.0,30.0,1.0,1.0,-1.0,30.0,25559.0,221064.0,8.649164677804295,182.3495910686498,1
<com.facebook.react.modules.systeminfo.AndroidInfoHelpers: java.lang.String getFriendlyDeviceName()>,0,<com.facebook.react.modules.systeminfo.AndroidInfoHelpers: void <clinit>()>,1.0,1.0,5.0,1.0,0.0,7.0,8.0,1.0,1.0,-1.0,8.0,25559.0,221064.0,8.649164677804295,182.3495910686498,5.0,1.0,0.0,7.0,8.0,1.0,1.0,-1.0,8.0,25559.0,221064.0,8.649164677804295,182.3495910686498,0
<androidx.appcompat.widget.VectorEnabledTintResources: boolean shouldBeUsed()>,0,<androidx.appcompat.widget.VectorEnabledTintResources: boolean isCompatVectorFromResourcesEnabled()>,1.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,25559.0,221064.0,8.649164677804295,182.3495910686498,4.0,3.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,25559.0,221064.0,8.649164677804295,182.3495910686498,1
"<com.facebook.react.bridge.JSBundleLoader: com.facebook.react.bridge.JSBundleLoader createAssetLoader(android.content.Context,java.lang.String,boolean)>",0,"<com.facebook.react.bridge.JSBundleLoader$1: void <init>(android.content.Context,java.lang.String,boolean)>",1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,25559.0,221064.0,8.649164677804295,182.3495910686498,5.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,25559.0,221064.0,8.649164677804295,182.3495910686498,1
"<com.facebook.soloader.SoLoader: void initSoSources(android.content.Context,int,com.facebook.soloader.SoFileLoader)>",0,<com.facebook.soloader.SysUtil: boolean is64Bit()>,1.0,1.0,5.0,1.0,13.0,1.0,34.0,1.0,1.0,-1.0,34.0,25559.0,221064.0,8.649164677804295,182.3495910686498,5.0,1.0,13.0,1.0,34.0,1.0,1.0,-1.0,34.0,25559.0,221064.0,8.649164677804295,182.3495910686498,1
"<org.devio.rn.splashscreen.SplashScreen: void show(android.app.Activity,int,boolean)>",0,"<org.devio.rn.splashscreen.SplashScreen$1: void <init>(android.app.Activity,int,boolean)>",1.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,-1.0,4.0,25559.0,221064.0,8.649164677804295,182.3495910686498,5.0,1.0,1.0,1.0,4.0,1.0,1.0,-1.0,4.0,25559.0,221064.0,8.649164677804295,182.3495910686498,1
<com.easydish.apps.angelos.MainActivity: void onCreate(android.os.Bundle)>,0,<org.devio.rn.splashscreen.SplashScreen: void show(android.app.Activity)>,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,25559.0,221064.0,8.649164677804295,182.3495910686498,2.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,25559.0,221064.0,8.649164677804295,182.3495910686498,1
<com.facebook.soloader.FileLocker: com.facebook.soloader.FileLocker lock(java.io.File)>,0,<com.facebook.soloader.FileLocker: void <init>(java.io.File)>,1.0,1.0,7.0,1.0,5.0,1.0,1.0,1.0,1.0,-1.0,1.0,25559.0,221064.0,8.649164677804295,182.3495910686498,7.0,1.0,5.0,1.0,1.0,1.0,1.0,-1.0,1.0,25559.0,221064.0,8.649164677804295,182.3495910686498,1
