method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<androidx.lifecycle.h$a: void onActivityCreated(android.app.Activity,android.os.Bundle)>",0,<androidx.lifecycle.t: void g(android.app.Activity)>,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,-1.0,1.0,12283.0,68404.0,5.5689978018399415,99.74747090813403,2.0,1.0,4.0,1.0,1.0,1.0,1.0,-1.0,1.0,12283.0,68404.0,5.5689978018399415,99.74747090813403,1
"<io.flutter.embedding.engine.b: void <init>(android.content.Context,io.flutter.embedding.engine.h.d,io.flutter.embedding.engine.FlutterJNI,io.flutter.plugin.platform.o,java.lang.String[],boolean,boolean)>",0,<io.flutter.embedding.engine.j.p: void <init>(io.flutter.embedding.engine.f.d)>,1.0,1.0,6.0,1.0,5.0,1.0,51.0,1.0,1.0,-1.0,51.0,12283.0,68404.0,5.5689978018399415,99.74747090813403,6.0,1.0,5.0,1.0,51.0,1.0,1.0,-1.0,51.0,12283.0,68404.0,5.5689978018399415,99.74747090813403,1
<g.a.c.a.s: void <clinit>()>,0,<g.a.c.a.s: void <init>()>,1.0,1.0,7.0,6.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,12283.0,68404.0,5.5689978018399415,99.74747090813403,7.0,6.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,12283.0,68404.0,5.5689978018399415,99.74747090813403,1
"<io.flutter.view.e: io.flutter.view.e e(android.hardware.display.DisplayManager,io.flutter.embedding.engine.FlutterJNI)>",0,"<io.flutter.view.e$b: void <init>(io.flutter.view.e,android.hardware.display.DisplayManager)>",1.0,1.0,9.0,1.0,1.0,2.0,9.0,1.0,1.0,-1.0,9.0,12283.0,68404.0,5.5689978018399415,99.74747090813403,9.0,1.0,1.0,2.0,9.0,1.0,1.0,-1.0,9.0,12283.0,68404.0,5.5689978018399415,99.74747090813403,1
<androidx.startup.InitializationProvider: boolean onCreate()>,0,<androidx.startup.a: androidx.startup.a c(android.content.Context)>,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,-1.0,5.0,12283.0,68404.0,5.5689978018399415,99.74747090813403,1.0,1.0,2.0,2.0,5.0,1.0,1.0,-1.0,5.0,12283.0,68404.0,5.5689978018399415,99.74747090813403,1
"<androidx.startup.a: java.lang.Object b(java.lang.Class,java.util.Set)>",0,<d.k.a: void b()>,1.0,1.0,3.0,3.0,2.0,3.0,120.0,1.0,1.0,-1.0,120.0,12283.0,68404.0,5.5689978018399415,99.74747090813403,3.0,3.0,2.0,3.0,120.0,1.0,1.0,-1.0,120.0,12283.0,68404.0,5.5689978018399415,99.74747090813403,1
<androidx.startup.a: androidx.startup.a c(android.content.Context)>,0,<androidx.startup.a: void <init>(android.content.Context)>,1.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,-1.0,2.0,12283.0,68404.0,5.5689978018399415,99.74747090813403,2.0,2.0,4.0,1.0,2.0,1.0,1.0,-1.0,2.0,12283.0,68404.0,5.5689978018399415,99.74747090813403,1
<io.flutter.embedding.engine.j.p: void <init>(io.flutter.embedding.engine.f.d)>,0,<io.flutter.embedding.engine.j.p$a: void <init>(io.flutter.embedding.engine.j.p)>,1.0,1.0,7.0,1.0,1.0,1.0,5.0,1.0,1.0,-1.0,5.0,12283.0,68404.0,5.5689978018399415,99.74747090813403,7.0,1.0,1.0,1.0,5.0,1.0,1.0,-1.0,5.0,12283.0,68404.0,5.5689978018399415,99.74747090813403,1
"<io.flutter.embedding.engine.h.d: void l(android.content.Context,io.flutter.embedding.engine.h.d$c)>",0,"<io.flutter.embedding.engine.h.d$a: void <init>(io.flutter.embedding.engine.h.d,android.content.Context)>",1.0,1.0,8.0,1.0,1.0,1.0,23.0,1.0,1.0,-1.0,23.0,12283.0,68404.0,5.5689978018399415,99.74747090813403,8.0,1.0,1.0,1.0,23.0,1.0,1.0,-1.0,23.0,12283.0,68404.0,5.5689978018399415,99.74747090813403,1
"<androidx.lifecycle.l: void <init>(androidx.lifecycle.k,boolean)>",0,<androidx.lifecycle.g: void <init>()>,1.0,1.0,5.0,1.0,2.0,1.0,5.0,1.0,1.0,-1.0,5.0,12283.0,68404.0,5.5689978018399415,99.74747090813403,5.0,1.0,2.0,1.0,5.0,1.0,1.0,-1.0,5.0,12283.0,68404.0,5.5689978018399415,99.74747090813403,1
