method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<io.flutter.view.e: io.flutter.view.e e(android.hardware.display.DisplayManager,io.flutter.embedding.engine.FlutterJNI)>",0,"<io.flutter.view.e$b: void <init>(io.flutter.view.e,android.hardware.display.DisplayManager)>",1.0,1.0,9.0,1.0,1.0,2.0,9.0,1.0,1.0,1.0,9.0,4962.0,23085.0,4.65235792019347,104.92566601689408,9.0,1.0,1.0,2.0,9.0,1.0,1.0,1.0,9.0,4962.0,23085.0,4.65235792019347,104.92566601689408,1
"<io.flutter.embedding.engine.h.d: void j(android.content.Context,io.flutter.embedding.engine.h.d$c)>",0,<io.flutter.view.e: void f()>,1.0,1.0,8.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,22.0,4962.0,23085.0,4.65235792019347,104.92566601689408,8.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,22.0,4962.0,23085.0,4.65235792019347,104.92566601689408,1
"<io.flutter.embedding.engine.h.d: void j(android.content.Context,io.flutter.embedding.engine.h.d$c)>",0,<f.a.d.g: void a(java.lang.String)>,1.0,1.0,8.0,1.0,6.0,14.0,22.0,1.0,1.0,1.0,22.0,4962.0,23085.0,4.65235792019347,104.92566601689408,8.0,1.0,6.0,14.0,22.0,1.0,1.0,1.0,22.0,4962.0,23085.0,4.65235792019347,104.92566601689408,1
<io.flutter.embedding.android.i: boolean w()>,0,<io.flutter.embedding.android.i: java.lang.String u()>,1.0,1.0,4.0,3.0,3.0,5.0,5.0,1.0,1.0,1.0,5.0,4962.0,23085.0,4.65235792019347,104.92566601689408,4.0,3.0,3.0,5.0,5.0,1.0,1.0,1.0,5.0,4962.0,23085.0,4.65235792019347,104.92566601689408,1
<io.flutter.embedding.engine.j.p: void <init>(io.flutter.embedding.engine.f.d)>,0,<io.flutter.embedding.engine.j.p$a: void <init>(io.flutter.embedding.engine.j.p)>,1.0,1.0,7.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,4962.0,23085.0,4.65235792019347,104.92566601689408,7.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,4962.0,23085.0,4.65235792019347,104.92566601689408,1
"<io.flutter.embedding.engine.b: void <init>(android.content.Context,io.flutter.embedding.engine.h.d,io.flutter.embedding.engine.FlutterJNI,io.flutter.plugin.platform.n,java.lang.String[],boolean,boolean)>",0,<io.flutter.embedding.engine.FlutterJNI: boolean isAttached()>,1.0,1.0,6.0,1.0,0.0,8.0,45.0,1.0,1.0,1.0,45.0,4962.0,23085.0,4.65235792019347,104.92566601689408,6.0,1.0,0.0,8.0,45.0,1.0,1.0,1.0,45.0,4962.0,23085.0,4.65235792019347,104.92566601689408,1
<io.flutter.embedding.engine.j.d: void <init>(io.flutter.embedding.engine.f.d)>,0,<f.a.c.a.q: void <clinit>()>,1.0,1.0,7.0,1.0,2.0,6.0,8.0,1.0,1.0,1.0,8.0,4962.0,23085.0,4.65235792019347,104.92566601689408,7.0,1.0,2.0,6.0,8.0,1.0,1.0,1.0,8.0,4962.0,23085.0,4.65235792019347,104.92566601689408,0
<f.a.c.a.q: void <clinit>()>,0,<f.a.c.a.q: void <init>(f.a.c.a.p)>,1.0,1.0,6.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4962.0,23085.0,4.65235792019347,104.92566601689408,6.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4962.0,23085.0,4.65235792019347,104.92566601689408,1
"<io.flutter.embedding.engine.h.d: void j(android.content.Context,io.flutter.embedding.engine.h.d$c)>",0,"<io.flutter.view.e: io.flutter.view.e e(android.hardware.display.DisplayManager,io.flutter.embedding.engine.FlutterJNI)>",1.0,1.0,8.0,1.0,9.0,1.0,22.0,1.0,1.0,1.0,22.0,4962.0,23085.0,4.65235792019347,104.92566601689408,8.0,1.0,9.0,1.0,22.0,1.0,1.0,1.0,22.0,4962.0,23085.0,4.65235792019347,104.92566601689408,1
<io.flutter.embedding.engine.FlutterJNI: void setRefreshRateFPS(float)>,0,<io.flutter.embedding.engine.FlutterJNI: void <clinit>()>,1.0,1.0,3.0,3.0,0.0,7.0,2.0,1.0,1.0,1.0,2.0,4962.0,23085.0,4.65235792019347,104.92566601689408,3.0,3.0,0.0,7.0,2.0,1.0,1.0,1.0,2.0,4962.0,23085.0,4.65235792019347,104.92566601689408,0
<io.flutter.plugin.platform.n: void <init>()>,0,<io.flutter.plugin.platform.k: void <init>()>,1.0,1.0,6.0,1.0,2.0,1.0,8.0,1.0,1.0,1.0,8.0,4962.0,23085.0,4.65235792019347,104.92566601689408,6.0,1.0,2.0,1.0,8.0,1.0,1.0,1.0,8.0,4962.0,23085.0,4.65235792019347,104.92566601689408,1
"<io.flutter.embedding.engine.h.d: void e(android.content.Context,java.lang.String[])>",0,<f.a.d.g: void a(java.lang.String)>,1.0,1.0,7.0,1.0,6.0,14.0,41.0,1.0,1.0,1.0,41.0,4962.0,23085.0,4.65235792019347,104.92566601689408,7.0,1.0,6.0,14.0,41.0,1.0,1.0,1.0,41.0,4962.0,23085.0,4.65235792019347,104.92566601689408,1
<androidx.lifecycle.h: void <init>(androidx.lifecycle.g)>,0,<androidx.lifecycle.d: void <init>()>,1.0,1.0,4.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,4962.0,23085.0,4.65235792019347,104.92566601689408,4.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,4962.0,23085.0,4.65235792019347,104.92566601689408,1
"<io.flutter.embedding.engine.b: void <init>(android.content.Context,io.flutter.embedding.engine.h.d,io.flutter.embedding.engine.FlutterJNI,io.flutter.plugin.platform.n,java.lang.String[],boolean,boolean)>",0,<f.a.a: f.a.a e()>,1.0,1.0,6.0,1.0,2.0,5.0,45.0,1.0,1.0,1.0,45.0,4962.0,23085.0,4.65235792019347,104.92566601689408,6.0,1.0,2.0,5.0,45.0,1.0,1.0,1.0,45.0,4962.0,23085.0,4.65235792019347,104.92566601689408,1
<io.flutter.embedding.engine.j.o: void <init>(io.flutter.embedding.engine.f.d)>,0,"<f.a.c.a.a: void <init>(f.a.c.a.c,java.lang.String,f.a.c.a.h)>",1.0,1.0,7.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,3.0,4962.0,23085.0,4.65235792019347,104.92566601689408,7.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,3.0,4962.0,23085.0,4.65235792019347,104.92566601689408,1
<f.a.c.a.j: void e(f.a.c.a.j$c)>,0,"<f.a.c.a.j$a: void <init>(f.a.c.a.j,f.a.c.a.j$c)>",1.0,1.0,8.0,13.0,1.0,1.0,7.0,1.0,1.0,1.0,7.0,4962.0,23085.0,4.65235792019347,104.92566601689408,8.0,13.0,1.0,1.0,7.0,1.0,1.0,1.0,7.0,4962.0,23085.0,4.65235792019347,104.92566601689408,1
<io.flutter.embedding.engine.h.b: io.flutter.embedding.engine.h.c e(android.content.Context)>,0,<io.flutter.embedding.engine.h.b: void <clinit>()>,1.0,1.0,9.0,1.0,5.0,4.0,6.0,1.0,1.0,1.0,6.0,4962.0,23085.0,4.65235792019347,104.92566601689408,9.0,1.0,5.0,4.0,6.0,1.0,1.0,1.0,6.0,4962.0,23085.0,4.65235792019347,104.92566601689408,0
"<io.flutter.embedding.engine.b: void <init>(android.content.Context,io.flutter.embedding.engine.h.d,io.flutter.embedding.engine.FlutterJNI,io.flutter.plugin.platform.n,java.lang.String[],boolean,boolean)>",0,<io.flutter.embedding.engine.j.p: void <init>(io.flutter.embedding.engine.f.d)>,1.0,1.0,6.0,1.0,5.0,1.0,45.0,1.0,1.0,1.0,45.0,4962.0,23085.0,4.65235792019347,104.92566601689408,6.0,1.0,5.0,1.0,45.0,1.0,1.0,1.0,45.0,4962.0,23085.0,4.65235792019347,104.92566601689408,1
