method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<org.apache.cordova.file.FileUtils: boolean needPermission(java.lang.String,int)>",0,<androidx.collection.MapCollections$ArrayIterator: java.lang.Object next()>,1.0,1.0,6.0,1.0,4.0,367.0,120.0,1.0,1.0,-1.0,120.0,23259.0,187543.0,8.063244335526033,154.3378371893379,6.0,1.0,4.0,367.0,120.0,1.0,1.0,-1.0,120.0,23259.0,187543.0,8.063244335526033,154.3378371893379,0
<androidx.appcompat.app.AppCompatDelegateImpl$PanelFeatureState: androidx.appcompat.view.menu.MenuView getListMenuView(androidx.appcompat.view.menu.MenuPresenter$Callback)>,0,<androidx.appcompat.view.menu.MenuBuilder: void addMenuPresenter(androidx.appcompat.view.menu.MenuPresenter)>,1.0,1.0,8.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,23259.0,187543.0,8.063244335526033,154.3378371893379,8.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,23259.0,187543.0,8.063244335526033,154.3378371893379,1
<androidx.appcompat.view.ContextThemeWrapper: android.content.res.Resources$Theme getTheme()>,0,<androidx.appcompat.view.ContextThemeWrapper: void initializeTheme()>,1.0,1.0,5.0,28.0,9.0,2.0,1.0,1.0,1.0,-1.0,1.0,23259.0,187543.0,8.063244335526033,154.3378371893379,5.0,28.0,9.0,2.0,1.0,1.0,1.0,-1.0,1.0,23259.0,187543.0,8.063244335526033,154.3378371893379,1
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable createDrawableIfNeeded(android.content.Context,int)>",0,"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getCachedDrawable(android.content.Context,long)>",1.0,1.0,8.0,1.0,17.0,2.0,20.0,1.0,1.0,-1.0,20.0,23259.0,187543.0,8.063244335526033,154.3378371893379,8.0,1.0,17.0,2.0,20.0,1.0,1.0,-1.0,20.0,23259.0,187543.0,8.063244335526033,154.3378371893379,1
<androidx.core.view.WindowInsetsCompat$BuilderImpl29: androidx.core.view.WindowInsetsCompat build()>,0,<androidx.core.view.WindowInsetsCompat$BuilderImpl: void applyInsetTypes()>,1.0,1.0,4.0,1.0,13.0,3.0,5.0,1.0,1.0,-1.0,5.0,23259.0,187543.0,8.063244335526033,154.3378371893379,4.0,1.0,13.0,3.0,5.0,1.0,1.0,-1.0,5.0,23259.0,187543.0,8.063244335526033,154.3378371893379,1
<androidx.emoji2.text.EmojiCompatInitializer$BackgroundDefaultConfig: void <init>(android.content.Context)>,0,<androidx.emoji2.text.EmojiCompatInitializer$BackgroundDefaultLoader: void <init>(android.content.Context)>,1.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,23259.0,187543.0,8.063244335526033,154.3378371893379,5.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,23259.0,187543.0,8.063244335526033,154.3378371893379,1
"<androidx.fragment.app.FragmentManager: void attachController(androidx.fragment.app.FragmentHostCallback,androidx.fragment.app.FragmentContainer,androidx.fragment.app.Fragment)>",0,<androidx.activity.result.contract.ActivityResultContracts$RequestMultiplePermissions: void <init>()>,1.0,1.0,9.0,2.0,1.0,1.0,30.0,1.0,1.0,-1.0,30.0,23259.0,187543.0,8.063244335526033,154.3378371893379,9.0,2.0,1.0,1.0,30.0,1.0,1.0,-1.0,30.0,23259.0,187543.0,8.063244335526033,154.3378371893379,1
<org.apache.cordova.CordovaActivity: void init()>,0,<org.apache.cordova.CordovaWebViewImpl: org.apache.cordova.PluginManager getPluginManager()>,1.0,1.0,4.0,1.0,0.0,5.0,12.0,1.0,1.0,-1.0,12.0,23259.0,187543.0,8.063244335526033,154.3378371893379,4.0,1.0,0.0,5.0,12.0,1.0,1.0,-1.0,12.0,23259.0,187543.0,8.063244335526033,154.3378371893379,0
<org.apache.cordova.AllowListPlugin: void pluginInitialize()>,0,<org.apache.cordova.ConfigXmlParser: void <clinit>()>,1.0,1.0,7.0,1.0,0.0,5.0,5.0,1.0,1.0,-1.0,5.0,23259.0,187543.0,8.063244335526033,154.3378371893379,7.0,1.0,0.0,5.0,5.0,1.0,1.0,-1.0,5.0,23259.0,187543.0,8.063244335526033,154.3378371893379,0
<org.apache.cordova.CordovaActivity: void loadUrl(java.lang.String)>,0,"<org.apache.cordova.CordovaPreferences: boolean getBoolean(java.lang.String,boolean)>",1.0,1.0,3.0,1.0,6.0,12.0,3.0,1.0,1.0,-1.0,3.0,23259.0,187543.0,8.063244335526033,154.3378371893379,3.0,1.0,6.0,12.0,3.0,1.0,1.0,-1.0,3.0,23259.0,187543.0,8.063244335526033,154.3378371893379,1
"<androidx.appcompat.app.AppCompatDelegateImpl: boolean preparePanel(androidx.appcompat.app.AppCompatDelegateImpl$PanelFeatureState,android.view.KeyEvent)>",0,"<androidx.appcompat.view.WindowCallbackWrapper: boolean onPreparePanel(int,android.view.View,android.view.Menu)>",1.0,1.0,4.0,6.0,5.0,6.0,31.0,1.0,1.0,-1.0,31.0,23259.0,187543.0,8.063244335526033,154.3378371893379,4.0,6.0,5.0,6.0,31.0,1.0,1.0,-1.0,31.0,23259.0,187543.0,8.063244335526033,154.3378371893379,0
<androidx.appcompat.widget.VectorEnabledTintResources: boolean shouldBeUsed()>,0,<androidx.appcompat.widget.VectorEnabledTintResources: boolean isCompatVectorFromResourcesEnabled()>,1.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,23259.0,187543.0,8.063244335526033,154.3378371893379,4.0,3.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,23259.0,187543.0,8.063244335526033,154.3378371893379,1
<org.chromium.customtabsclient.shared.CustomTabsHelper: java.lang.String getDefaultViewHandlerPackageName(android.content.Context)>,0,<org.chromium.customtabsclient.shared.CustomTabsHelper: void <clinit>()>,1.0,1.0,10.0,1.0,4.0,4.0,2.0,1.0,1.0,-1.0,2.0,23259.0,187543.0,8.063244335526033,154.3378371893379,10.0,1.0,4.0,4.0,2.0,1.0,1.0,-1.0,2.0,23259.0,187543.0,8.063244335526033,154.3378371893379,0
<androidx.core.view.WindowInsetsCompat: void <clinit>()>,0,<androidx.core.view.WindowInsetsCompat$Impl: void <clinit>()>,1.0,1.0,2.0,21.0,5.0,7.0,4.0,1.0,1.0,-1.0,4.0,23259.0,187543.0,8.063244335526033,154.3378371893379,2.0,21.0,5.0,7.0,4.0,1.0,1.0,-1.0,4.0,23259.0,187543.0,8.063244335526033,154.3378371893379,0
<androidx.arch.core.internal.SafeIterableMap$ListIterator: java.util.Map$Entry next()>,0,<androidx.arch.core.internal.SafeIterableMap$ListIterator: androidx.arch.core.internal.SafeIterableMap$Entry nextNode()>,1.0,1.0,3.0,367.0,2.0,2.0,1.0,1.0,1.0,-1.0,1.0,23259.0,187543.0,8.063244335526033,154.3378371893379,3.0,367.0,2.0,2.0,1.0,1.0,1.0,-1.0,1.0,23259.0,187543.0,8.063244335526033,154.3378371893379,1
<androidx.emoji2.text.EmojiCompat: void <init>(androidx.emoji2.text.EmojiCompat$Config)>,0,<androidx.emoji2.text.EmojiCompat$CompatInternal: void <init>(androidx.emoji2.text.EmojiCompat)>,1.0,1.0,6.0,1.0,1.0,2.0,24.0,1.0,1.0,-1.0,24.0,23259.0,187543.0,8.063244335526033,154.3378371893379,6.0,1.0,1.0,2.0,24.0,1.0,1.0,-1.0,24.0,23259.0,187543.0,8.063244335526033,154.3378371893379,0
<androidx.fragment.app.FragmentManager: java.util.Set collectAllSpecialEffectsController()>,0,<androidx.collection.MapCollections$ArrayIterator: boolean hasNext()>,1.0,1.0,7.0,3.0,0.0,365.0,125.0,1.0,1.0,-1.0,125.0,23259.0,187543.0,8.063244335526033,154.3378371893379,7.0,3.0,0.0,365.0,125.0,1.0,1.0,-1.0,125.0,23259.0,187543.0,8.063244335526033,154.3378371893379,0
<org.apache.cordova.PluginManager: void setPluginEntries(java.util.Collection)>,0,<androidx.collection.MapCollections$ArrayIterator: java.lang.Object next()>,1.0,1.0,7.0,1.0,4.0,367.0,165.0,1.0,1.0,-1.0,165.0,23259.0,187543.0,8.063244335526033,154.3378371893379,7.0,1.0,4.0,367.0,165.0,1.0,1.0,-1.0,165.0,23259.0,187543.0,8.063244335526033,154.3378371893379,0
<androidx.emoji2.text.FontRequestEmojiCompatConfig$FontRequestMetadataLoader: void createMetadata()>,0,<androidx.emoji2.text.FontRequestEmojiCompatConfig$FontRequestMetadataLoader: androidx.core.provider.FontsContractCompat$FontInfo retrieveFontInfo()>,1.0,1.0,4.0,1.0,9.0,1.0,21.0,1.0,1.0,-1.0,21.0,23259.0,187543.0,8.063244335526033,154.3378371893379,4.0,1.0,9.0,1.0,21.0,1.0,1.0,-1.0,21.0,23259.0,187543.0,8.063244335526033,154.3378371893379,1
<org.apache.cordova.CallbackContext: void sendPluginResult(org.apache.cordova.PluginResult)>,0,<org.apache.cordova.LOG: void <clinit>()>,1.0,1.0,4.0,48.0,0.0,82.0,8.0,1.0,1.0,-1.0,8.0,23259.0,187543.0,8.063244335526033,154.3378371893379,4.0,48.0,0.0,82.0,8.0,1.0,1.0,-1.0,8.0,23259.0,187543.0,8.063244335526033,154.3378371893379,0
<androidx.fragment.app.FragmentManager: boolean execPendingActions(boolean)>,0,<androidx.fragment.app.FragmentStore: void burpActive()>,1.0,1.0,4.0,8.0,28.0,3.0,7.0,1.0,1.0,-1.0,7.0,23259.0,187543.0,8.063244335526033,154.3378371893379,4.0,8.0,28.0,3.0,7.0,1.0,1.0,-1.0,7.0,23259.0,187543.0,8.063244335526033,154.3378371893379,1
<androidx.appcompat.widget.TintContextWrapper: boolean shouldWrap(android.content.Context)>,0,<androidx.appcompat.widget.VectorEnabledTintResources: void <clinit>()>,1.0,1.0,8.0,1.0,0.0,5.0,8.0,1.0,1.0,-1.0,8.0,23259.0,187543.0,8.063244335526033,154.3378371893379,8.0,1.0,0.0,5.0,8.0,1.0,1.0,-1.0,8.0,23259.0,187543.0,8.063244335526033,154.3378371893379,0
<com.unarin.cordova.beacon.LocationManager: void initLocationManager()>,0,<org.altbeacon.beacon.BeaconManager: java.util.List getBeaconParsers()>,1.0,1.0,8.0,1.0,0.0,6.0,13.0,1.0,1.0,-1.0,13.0,23259.0,187543.0,8.063244335526033,154.3378371893379,8.0,1.0,0.0,6.0,13.0,1.0,1.0,-1.0,13.0,23259.0,187543.0,8.063244335526033,154.3378371893379,1
<androidx.appcompat.view.WindowCallbackWrapper: boolean dispatchKeyEvent(android.view.KeyEvent)>,0,<androidx.core.app.ComponentActivity: boolean dispatchKeyEvent(android.view.KeyEvent)>,1.0,1.0,3.0,3.0,4.0,3.0,7.0,1.0,1.0,-1.0,7.0,23259.0,187543.0,8.063244335526033,154.3378371893379,3.0,3.0,4.0,3.0,7.0,1.0,1.0,-1.0,7.0,23259.0,187543.0,8.063244335526033,154.3378371893379,0
<org.apache.cordova.CordovaWebViewImpl$3: void run()>,0,<org.apache.cordova.statusbar.StatusBar$1: void run()>,1.0,1.0,3.0,66.0,17.0,66.0,321.0,1.0,1.0,-1.0,321.0,23259.0,187543.0,8.063244335526033,154.3378371893379,3.0,66.0,17.0,66.0,321.0,1.0,1.0,-1.0,321.0,23259.0,187543.0,8.063244335526033,154.3378371893379,0
<org.apache.cordova.PluginManager: void onStart()>,0,<androidx.collection.MapCollections$ArrayIterator: java.lang.Object next()>,1.0,1.0,4.0,1.0,4.0,367.0,164.0,1.0,1.0,-1.0,164.0,23259.0,187543.0,8.063244335526033,154.3378371893379,4.0,1.0,4.0,367.0,164.0,1.0,1.0,-1.0,164.0,23259.0,187543.0,8.063244335526033,154.3378371893379,0
<androidx.arch.core.internal.SafeIterableMap: java.lang.Object remove(java.lang.Object)>,0,<androidx.collection.MapCollections$KeySet: java.util.Iterator iterator()>,1.0,1.0,9.0,3.0,1.0,146.0,130.0,1.0,1.0,-1.0,130.0,23259.0,187543.0,8.063244335526033,154.3378371893379,9.0,3.0,1.0,146.0,130.0,1.0,1.0,-1.0,130.0,23259.0,187543.0,8.063244335526033,154.3378371893379,0
<androidx.lifecycle.LifecycleRegistry: void addObserver(androidx.lifecycle.LifecycleObserver)>,0,<androidx.lifecycle.LifecycleRegistry: void sync()>,1.0,1.0,6.0,11.0,11.0,2.0,19.0,1.0,1.0,-1.0,19.0,23259.0,187543.0,8.063244335526033,154.3378371893379,6.0,11.0,11.0,2.0,19.0,1.0,1.0,-1.0,19.0,23259.0,187543.0,8.063244335526033,154.3378371893379,1
<org.apache.cordova.file.Filesystem: android.net.Uri$Builder createLocalUriBuilder()>,0,<org.apache.cordova.file.Filesystem: void <clinit>()>,1.0,1.0,8.0,3.0,0.0,11.0,8.0,1.0,1.0,-1.0,8.0,23259.0,187543.0,8.063244335526033,154.3378371893379,8.0,3.0,0.0,11.0,8.0,1.0,1.0,-1.0,8.0,23259.0,187543.0,8.063244335526033,154.3378371893379,0
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable loadDrawableFromDelegates(android.content.Context,int)>",0,<androidx.collection.SimpleArrayMap: java.lang.Object get(java.lang.Object)>,1.0,1.0,6.0,2.0,2.0,141.0,51.0,1.0,1.0,-1.0,51.0,23259.0,187543.0,8.063244335526033,154.3378371893379,6.0,2.0,2.0,141.0,51.0,1.0,1.0,-1.0,51.0,23259.0,187543.0,8.063244335526033,154.3378371893379,0
<org.apache.cordova.CordovaWebViewImpl: void handleResume(boolean)>,0,<org.apache.cordova.PluginManager: void onResume(boolean)>,1.0,1.0,3.0,1.0,169.0,1.0,4.0,1.0,1.0,-1.0,4.0,23259.0,187543.0,8.063244335526033,154.3378371893379,3.0,1.0,169.0,1.0,4.0,1.0,1.0,-1.0,4.0,23259.0,187543.0,8.063244335526033,154.3378371893379,1
<org.apache.cordova.engine.SystemWebChromeClient: void <init>(org.apache.cordova.engine.SystemWebViewEngine)>,0,<org.apache.cordova.CordovaDialogsHelper: void <init>(android.content.Context)>,1.0,1.0,8.0,1.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,23259.0,187543.0,8.063244335526033,154.3378371893379,8.0,1.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,23259.0,187543.0,8.063244335526033,154.3378371893379,1
<org.apache.cordova.file.FileUtils: org.json.JSONObject resolveLocalFileSystemURI(java.lang.String)>,0,<org.apache.cordova.file.FileUtils: org.apache.cordova.file.Filesystem filesystemForURL(org.apache.cordova.file.LocalFilesystemURL)>,1.0,1.0,6.0,1.0,1.0,12.0,17.0,1.0,1.0,-1.0,17.0,23259.0,187543.0,8.063244335526033,154.3378371893379,6.0,1.0,1.0,12.0,17.0,1.0,1.0,-1.0,17.0,23259.0,187543.0,8.063244335526033,154.3378371893379,1
