method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.google.firebase.installations.FirebaseInstallations: com.google.firebase.installations.local.PersistedInstallationEntry getPrefsWithGeneratedIdMultiProcessSafe()>,0,<com.google.firebase.installations.local.PersistedInstallation: com.google.firebase.installations.local.PersistedInstallationEntry insertOrUpdatePersistedInstallationEntry(com.google.firebase.installations.local.PersistedInstallationEntry)>,1.0,1.0,7.0,1.0,27.0,2.0,9.0,1.0,1.0,-1.0,9.0,48383.0,621051.0,12.83614079325383,328.3328245184373,7.0,1.0,27.0,2.0,9.0,1.0,1.0,-1.0,9.0,48383.0,621051.0,12.83614079325383,328.3328245184373,1
<com.google.android.datatransport.runtime.scheduling.jobscheduling.Uploader_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.Uploader get()>,0,<com.google.android.datatransport.runtime.time.TimeModule_EventClockFactory: com.google.android.datatransport.runtime.time.Clock get()>,1.0,1.0,4.0,25.0,1.0,25.0,49.0,1.0,1.0,-1.0,49.0,48383.0,621051.0,12.83614079325383,328.3328245184373,4.0,25.0,1.0,25.0,49.0,1.0,1.0,-1.0,49.0,48383.0,621051.0,12.83614079325383,328.3328245184373,0
<com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer get()>,0,<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore_Factory: com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore get()>,1.0,1.0,4.0,25.0,49.0,25.0,49.0,1.0,1.0,-1.0,49.0,48383.0,621051.0,12.83614079325383,328.3328245184373,4.0,25.0,49.0,25.0,49.0,1.0,1.0,-1.0,49.0,48383.0,621051.0,12.83614079325383,328.3328245184373,0
<com.google.android.gms.measurement.internal.zzeg: void <clinit>()>,0,<com.google.android.gms.measurement.internal.zzdq: void <clinit>()>,1.0,1.0,5.0,135.0,1.0,1.0,95.0,1.0,1.0,-1.0,95.0,48383.0,621051.0,12.83614079325383,328.3328245184373,5.0,135.0,1.0,1.0,95.0,1.0,1.0,-1.0,95.0,48383.0,621051.0,12.83614079325383,328.3328245184373,0
"<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore: java.lang.Object retryIfDbLocked(com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore$Producer,com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore$Function)>",0,<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore$$ExternalSyntheticLambda10: java.lang.Object produce()>,1.0,1.0,8.0,2.0,2.0,1.0,33.0,1.0,1.0,-1.0,33.0,48383.0,621051.0,12.83614079325383,328.3328245184373,8.0,2.0,2.0,1.0,33.0,1.0,1.0,-1.0,33.0,48383.0,621051.0,12.83614079325383,328.3328245184373,0
<com.google.android.gms.measurement.internal.zzbf: void <clinit>()>,0,<com.google.android.gms.measurement.internal.zzbf: void <init>()>,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,48383.0,621051.0,12.83614079325383,328.3328245184373,6.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,48383.0,621051.0,12.83614079325383,328.3328245184373,1
<androidx.emoji2.text.EmojiCompatInitializer$BackgroundDefaultConfig: void <init>(android.content.Context)>,0,<androidx.emoji2.text.EmojiCompatInitializer$BackgroundDefaultLoader: void <init>(android.content.Context)>,1.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,48383.0,621051.0,12.83614079325383,328.3328245184373,5.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,48383.0,621051.0,12.83614079325383,328.3328245184373,1
"<com.facebook.soloader.SoLoader: void doLoadLibraryBySoName(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",0,"<com.facebook.soloader.DirectorySoSource: int loadLibrary(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",1.0,1.0,10.0,1.0,1.0,2.0,47.0,1.0,1.0,-1.0,47.0,48383.0,621051.0,12.83614079325383,328.3328245184373,10.0,1.0,1.0,2.0,47.0,1.0,1.0,-1.0,47.0,48383.0,621051.0,12.83614079325383,328.3328245184373,0
<com.google.firebase.heartbeatinfo.DefaultHeartBeatController: java.lang.Void lambda$registerHeartBeat$0$com-google-firebase-heartbeatinfo-DefaultHeartBeatController()>,0,<com.google.firebase.components.OptionalProvider$$ExternalSyntheticLambda1: java.lang.Object get()>,1.0,1.0,6.0,1.0,2.0,13.0,20.0,1.0,1.0,-1.0,20.0,48383.0,621051.0,12.83614079325383,328.3328245184373,6.0,1.0,2.0,13.0,20.0,1.0,1.0,-1.0,20.0,48383.0,621051.0,12.83614079325383,328.3328245184373,0
"<com.google.android.gms.internal.measurement.zzhc: void <init>(android.content.Context,com.google.android.gms.internal.measurement.zzim)>",0,<com.google.android.gms.internal.measurement.zzhz: void <init>()>,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,48383.0,621051.0,12.83614079325383,328.3328245184373,10.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,48383.0,621051.0,12.83614079325383,328.3328245184373,1
