method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<c.a.e.k: boolean a(c.a.e.h)>,0,<androidx.collection.MapCollections$ArrayIterator: boolean hasNext()>,1.0,1.0,7.0,3.0,0.0,670.0,60.0,1.0,1.0,-1.0,60.0,47146.0,553548.0,11.741144529758625,293.5691141508957,7.0,3.0,0.0,670.0,60.0,1.0,1.0,-1.0,60.0,47146.0,553548.0,11.741144529758625,293.5691141508957,0
<androidx.appcompat.app.AppCompatDelegateImpl$PanelFeatureState: androidx.appcompat.view.menu.MenuView getListMenuView(androidx.appcompat.view.menu.MenuPresenter$Callback)>,0,<androidx.appcompat.view.menu.MenuBuilder: void addMenuPresenter(androidx.appcompat.view.menu.MenuPresenter)>,1.0,1.0,9.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,47146.0,553548.0,11.741144529758625,293.5691141508957,9.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,47146.0,553548.0,11.741144529758625,293.5691141508957,1
<h.g: void <clinit>()>,0,<h.a: void <clinit>()>,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,47146.0,553548.0,11.741144529758625,293.5691141508957,10.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,47146.0,553548.0,11.741144529758625,293.5691141508957,0
"<c.a.d.c: java.lang.Object b(android.content.Context,c.a.d.b)>",0,"<c.a.d.c: android.content.SharedPreferences a(android.content.Context,java.lang.String)>",1.0,1.0,5.0,8.0,50.0,2.0,7.0,1.0,1.0,-1.0,7.0,47146.0,553548.0,11.741144529758625,293.5691141508957,5.0,8.0,50.0,2.0,7.0,1.0,1.0,-1.0,7.0,47146.0,553548.0,11.741144529758625,293.5691141508957,1
"<c.a.s0.f: java.lang.Object a(android.content.Context,java.lang.String,int,java.lang.String,android.os.Bundle,java.lang.Object[])>",0,<c.a.v.a: c.a.v.a e()>,1.0,1.0,4.0,1.0,2.0,4.0,104.0,1.0,1.0,-1.0,104.0,47146.0,553548.0,11.741144529758625,293.5691141508957,4.0,1.0,2.0,4.0,104.0,1.0,1.0,-1.0,104.0,47146.0,553548.0,11.741144529758625,293.5691141508957,0
<com.chargeplus.chargeapp.app.a: void j()>,0,<com.chargeplus.chargeapp.base.utils.f: java.lang.String b()>,1.0,1.0,5.0,1.0,4.0,3.0,9.0,1.0,1.0,-1.0,9.0,47146.0,553548.0,11.741144529758625,293.5691141508957,5.0,1.0,4.0,3.0,9.0,1.0,1.0,-1.0,9.0,47146.0,553548.0,11.741144529758625,293.5691141508957,1
<c.a.t.a: void onActivityResumed(android.app.Activity)>,0,<c.a.t.b: void b(android.content.Context)>,1.0,1.0,2.0,41.0,11.0,2.0,10.0,1.0,1.0,-1.0,10.0,47146.0,553548.0,11.741144529758625,293.5691141508957,2.0,41.0,11.0,2.0,10.0,1.0,1.0,-1.0,10.0,47146.0,553548.0,11.741144529758625,293.5691141508957,1
<h.m0.i.j: h.i0 a(h.a0$a)>,0,<h.m0.i.g: h.g0 a()>,1.0,1.0,8.0,1.0,0.0,8.0,32.0,1.0,1.0,-1.0,32.0,47146.0,553548.0,11.741144529758625,293.5691141508957,8.0,1.0,0.0,8.0,32.0,1.0,1.0,-1.0,32.0,47146.0,553548.0,11.741144529758625,293.5691141508957,0
<c.a.e.b: c.a.m.a a()>,0,<c.a.e.r: boolean a()>,1.0,1.0,5.0,1.0,0.0,5.0,37.0,1.0,1.0,-1.0,37.0,47146.0,553548.0,11.741144529758625,293.5691141508957,5.0,1.0,0.0,5.0,37.0,1.0,1.0,-1.0,37.0,47146.0,553548.0,11.741144529758625,293.5691141508957,1
<c.a.f.h: c.a.f.h a(java.lang.String)>,0,<c.a.f.h: void <clinit>()>,1.0,1.0,6.0,1.0,4.0,18.0,2.0,1.0,1.0,-1.0,2.0,47146.0,553548.0,11.741144529758625,293.5691141508957,6.0,1.0,4.0,18.0,2.0,1.0,1.0,-1.0,2.0,47146.0,553548.0,11.741144529758625,293.5691141508957,0
