method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<e.c.a.b.e.i.z2: e.c.a.b.e.i.z2 x(android.content.Context,java.lang.String,java.lang.String,java.lang.String,android.os.Bundle)>",0,"<e.c.a.b.e.i.z2: void <init>(android.content.Context,java.lang.String,java.lang.String,java.lang.String,android.os.Bundle)>",1.0,1.0,11.0,1.0,24.0,1.0,2.0,1.0,1.0,-1.0,2.0,41823.0,625777.0,14.962508667479616,328.0815610033606,11.0,1.0,24.0,1.0,2.0,1.0,1.0,-1.0,2.0,41823.0,625777.0,14.962508667479616,328.0815610033606,1
<com.google.firebase.installations.e: java.lang.String f()>,0,<com.google.firebase.m: java.lang.String b()>,1.0,1.0,8.0,2.0,0.0,9.0,2.0,1.0,1.0,-1.0,2.0,41823.0,625777.0,14.962508667479616,328.0815610033606,8.0,2.0,0.0,9.0,2.0,1.0,1.0,-1.0,2.0,41823.0,625777.0,14.962508667479616,328.0815610033606,1
<com.google.mlkit.common.internal.CommonComponentRegistrar: java.util.List getComponents()>,0,<com.google.mlkit.common.internal.g: void <clinit>()>,1.0,1.0,12.0,1.0,1.0,1.0,20.0,1.0,1.0,-1.0,20.0,41823.0,625777.0,14.962508667479616,328.0815610033606,12.0,1.0,1.0,1.0,20.0,1.0,1.0,-1.0,20.0,41823.0,625777.0,14.962508667479616,328.0815610033606,0
<e.c.a.b.e.k.q9: java.lang.Object[] toArray(java.lang.Object[])>,0,<e.c.a.b.e.k.y9: int size()>,1.0,1.0,4.0,22.0,0.0,487.0,24.0,1.0,1.0,-1.0,24.0,41823.0,625777.0,14.962508667479616,328.0815610033606,4.0,22.0,0.0,487.0,24.0,1.0,1.0,-1.0,24.0,41823.0,625777.0,14.962508667479616,328.0815610033606,0
<androidx.lifecycle.h: void <init>(androidx.lifecycle.g)>,0,"<androidx.lifecycle.h: void <init>(androidx.lifecycle.g,boolean)>",1.0,1.0,4.0,6.0,5.0,1.0,1.0,1.0,1.0,-1.0,1.0,41823.0,625777.0,14.962508667479616,328.0815610033606,4.0,6.0,5.0,1.0,1.0,1.0,1.0,-1.0,1.0,41823.0,625777.0,14.962508667479616,328.0815610033606,1
<com.google.firebase.components.s: void g(java.util.List)>,0,<com.google.firebase.v.a: java.lang.Object get()>,1.0,1.0,11.0,1.0,2.0,26.0,892.0,1.0,1.0,-1.0,892.0,41823.0,625777.0,14.962508667479616,328.0815610033606,11.0,1.0,2.0,26.0,892.0,1.0,1.0,-1.0,892.0,41823.0,625777.0,14.962508667479616,328.0815610033606,0
"<e.c.a.b.e.h.fm: void e(java.lang.String,e.c.a.b.e.h.em)>",0,"<d.d.g: java.lang.Object put(java.lang.Object,java.lang.Object)>",1.0,1.0,15.0,1.0,656.0,231.0,32.0,1.0,1.0,-1.0,32.0,41823.0,625777.0,14.962508667479616,328.0815610033606,15.0,1.0,656.0,231.0,32.0,1.0,1.0,-1.0,32.0,41823.0,625777.0,14.962508667479616,328.0815610033606,0
"<h.d: int g(int,int,int)>",0,"<h.z.c: void <init>(int,int)>",1.0,1.0,17.0,1.0,1.0,9.0,11.0,1.0,1.0,-1.0,11.0,41823.0,625777.0,14.962508667479616,328.0815610033606,17.0,1.0,1.0,9.0,11.0,1.0,1.0,-1.0,11.0,41823.0,625777.0,14.962508667479616,328.0815610033606,1
<e.c.a.b.e.h.dk: void <init>(com.google.firebase.i)>,0,<e.c.a.b.e.h.jl: void <init>()>,1.0,1.0,12.0,1.0,1.0,1.0,4.0,1.0,1.0,-1.0,4.0,41823.0,625777.0,14.962508667479616,328.0815610033606,12.0,1.0,1.0,1.0,4.0,1.0,1.0,-1.0,4.0,41823.0,625777.0,14.962508667479616,328.0815610033606,1
"<io.flutter.embedding.engine.b: void <init>(android.content.Context,io.flutter.embedding.engine.h.d,io.flutter.embedding.engine.FlutterJNI,io.flutter.plugin.platform.n,java.lang.String[],boolean,boolean)>",0,<io.flutter.embedding.engine.FlutterJNI: boolean isAttached()>,1.0,1.0,6.0,1.0,0.0,8.0,51.0,1.0,1.0,-1.0,51.0,41823.0,625777.0,14.962508667479616,328.0815610033606,6.0,1.0,0.0,8.0,51.0,1.0,1.0,-1.0,51.0,41823.0,625777.0,14.962508667479616,328.0815610033606,1
