method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<com.google.android.gms.dynamite.DynamiteModule: com.google.android.gms.dynamite.DynamiteModule zzb(android.content.Context,java.lang.String,int)>",0,<com.google.android.gms.dynamite.DynamiteModule: void <init>(android.content.Context)>,1.0,1.0,10.0,1.0,2.0,3.0,23.0,1.0,1.0,-1.0,23.0,23983.0,339539.0,14.157486552975024,300.82342529135093,10.0,1.0,2.0,3.0,23.0,1.0,1.0,-1.0,23.0,23983.0,339539.0,14.157486552975024,300.82342529135093,1
<com.google.android.gms.internal.ads.zzyp: void initialize(android.content.Context)>,0,"<com.google.android.gms.common.wrappers.PackageManagerWrapper: android.content.pm.ApplicationInfo getApplicationInfo(java.lang.String,int)>",1.0,1.0,7.0,1.0,1.0,6.0,17.0,1.0,1.0,-1.0,17.0,23983.0,339539.0,14.157486552975024,300.82342529135093,7.0,1.0,1.0,6.0,17.0,1.0,1.0,-1.0,17.0,23983.0,339539.0,14.157486552975024,300.82342529135093,1
<androidx.arch.core.internal.SafeIterableMap$ListIterator: java.util.Map$Entry next()>,0,<androidx.arch.core.internal.SafeIterableMap$ListIterator: androidx.arch.core.internal.SafeIterableMap$Entry nextNode()>,1.0,1.0,5.0,300.0,2.0,2.0,1.0,1.0,1.0,-1.0,1.0,23983.0,339539.0,14.157486552975024,300.82342529135093,5.0,300.0,2.0,2.0,1.0,1.0,1.0,-1.0,1.0,23983.0,339539.0,14.157486552975024,300.82342529135093,1
<com.google.android.gms.internal.ads.zzawv: void <clinit>()>,0,<com.google.android.gms.internal.ads.zzawu: void <init>()>,1.0,1.0,8.0,15.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,23983.0,339539.0,14.157486552975024,300.82342529135093,8.0,15.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,23983.0,339539.0,14.157486552975024,300.82342529135093,1
"<com.google.android.gms.common.internal.safeparcel.SafeParcelWriter: void writeBoolean(android.os.Parcel,int,boolean)>",0,"<com.google.android.gms.common.internal.safeparcel.SafeParcelWriter: void zzb(android.os.Parcel,int,int)>",1.0,1.0,9.0,22.0,1.0,17.0,2.0,1.0,1.0,-1.0,2.0,23983.0,339539.0,14.157486552975024,300.82342529135093,9.0,22.0,1.0,17.0,2.0,1.0,1.0,-1.0,2.0,23983.0,339539.0,14.157486552975024,300.82342529135093,1
"<com.google.android.gms.internal.measurement.zzd: void zza(android.os.Parcel,android.os.Parcelable)>",0,"<com.google.android.gms.internal.measurement.zzx: void writeToParcel(android.os.Parcel,int)>",1.0,1.0,7.0,22.0,6.0,7.0,380.0,1.0,1.0,-1.0,380.0,23983.0,339539.0,14.157486552975024,300.82342529135093,7.0,22.0,6.0,7.0,380.0,1.0,1.0,-1.0,380.0,23983.0,339539.0,14.157486552975024,300.82342529135093,0
<androidx.lifecycle.LifecycleRegistry: void forwardPass(androidx.lifecycle.LifecycleOwner)>,0,<androidx.lifecycle.LifecycleRegistry: void pushParentState(androidx.lifecycle.Lifecycle$State)>,1.0,1.0,11.0,1.0,1.0,3.0,25.0,1.0,1.0,-1.0,25.0,23983.0,339539.0,14.157486552975024,300.82342529135093,11.0,1.0,1.0,3.0,25.0,1.0,1.0,-1.0,25.0,23983.0,339539.0,14.157486552975024,300.82342529135093,1
<com.unity3d.player.UnityPlayer: void resume()>,0,<com.unity3d.player.UnityPlayer: void h()>,1.0,1.0,3.0,4.0,5.0,2.0,10.0,1.0,1.0,-1.0,10.0,23983.0,339539.0,14.157486552975024,300.82342529135093,3.0,4.0,5.0,2.0,10.0,1.0,1.0,-1.0,10.0,23983.0,339539.0,14.157486552975024,300.82342529135093,1
<com.google.android.gms.common.api.Status: void <init>(int)>,0,"<com.google.android.gms.common.api.Status: void <init>(int,java.lang.String)>",1.0,1.0,10.0,1.0,1.0,2.0,1.0,1.0,1.0,-1.0,1.0,23983.0,339539.0,14.157486552975024,300.82342529135093,10.0,1.0,1.0,2.0,1.0,1.0,1.0,-1.0,1.0,23983.0,339539.0,14.157486552975024,300.82342529135093,1
"<com.google.android.gms.internal.measurement.zzx: void <init>(long,long,boolean,java.lang.String,java.lang.String,java.lang.String,android.os.Bundle)>",0,<com.google.android.gms.common.internal.safeparcel.AbstractSafeParcelable: void <init>()>,1.0,1.0,7.0,3.0,1.0,66.0,1.0,1.0,1.0,-1.0,1.0,23983.0,339539.0,14.157486552975024,300.82342529135093,7.0,3.0,1.0,66.0,1.0,1.0,1.0,-1.0,1.0,23983.0,339539.0,14.157486552975024,300.82342529135093,1
