method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<androidx.fragment.app.w: java.util.ArrayList w()>,0,<androidx.fragment.app.n: boolean H0(int)>,1.0,1.0,8.0,1.0,2.0,58.0,82.0,1.0,1.0,-1.0,82.0,35145.0,359399.0,10.226177265613885,270.85100681971846,8.0,1.0,2.0,58.0,82.0,1.0,1.0,-1.0,82.0,35145.0,359399.0,10.226177265613885,270.85100681971846,1
"<androidx.core.content.FileProvider$b: void c(java.lang.String,java.io.File)>",0,"<org.springframework.util.LinkedCaseInsensitiveMap: java.lang.Object put(java.lang.Object,java.lang.Object)>",1.0,1.0,5.0,1.0,1.0,312.0,13.0,1.0,1.0,-1.0,13.0,35145.0,359399.0,10.226177265613885,270.85100681971846,5.0,1.0,1.0,312.0,13.0,1.0,1.0,-1.0,13.0,35145.0,359399.0,10.226177265613885,270.85100681971846,0
<androidx.fragment.app.n: androidx.fragment.app.v g(androidx.fragment.app.Fragment)>,0,<androidx.fragment.app.w: void p(androidx.fragment.app.v)>,1.0,1.0,9.0,2.0,15.0,4.0,11.0,1.0,1.0,-1.0,11.0,35145.0,359399.0,10.226177265613885,270.85100681971846,9.0,2.0,15.0,4.0,11.0,1.0,1.0,-1.0,11.0,35145.0,359399.0,10.226177265613885,270.85100681971846,1
<y3.c$f: void run()>,0,<androidx.collection.f$a: java.lang.Object next()>,1.0,1.0,4.0,63.0,4.0,624.0,77.0,1.0,1.0,-1.0,77.0,35145.0,359399.0,10.226177265613885,270.85100681971846,4.0,63.0,4.0,624.0,77.0,1.0,1.0,-1.0,77.0,35145.0,359399.0,10.226177265613885,270.85100681971846,0
<com.google.android.gms.tagmanager.zzf: void <clinit>()>,0,<com.google.android.gms.internal.measurement.zza: java.lang.String toString()>,1.0,1.0,9.0,2.0,0.0,102.0,2.0,1.0,1.0,-1.0,2.0,35145.0,359399.0,10.226177265613885,270.85100681971846,9.0,2.0,0.0,102.0,2.0,1.0,1.0,-1.0,2.0,35145.0,359399.0,10.226177265613885,270.85100681971846,1
"<j4.a: j4.a m(java.util.concurrent.Executor,java.lang.Object[])>",0,<g4.h: void s()>,1.0,1.0,9.0,1.0,12.0,1.0,19.0,1.0,1.0,-1.0,19.0,35145.0,359399.0,10.226177265613885,270.85100681971846,9.0,1.0,12.0,1.0,19.0,1.0,1.0,-1.0,19.0,35145.0,359399.0,10.226177265613885,270.85100681971846,0
"<org.springframework.http.MediaType: void checkParameters(java.lang.String,java.lang.String)>",0,<org.springframework.http.MediaType: void checkToken(java.lang.String)>,1.0,1.0,8.0,1.0,9.0,2.0,12.0,1.0,1.0,-1.0,12.0,35145.0,359399.0,10.226177265613885,270.85100681971846,8.0,1.0,9.0,2.0,12.0,1.0,1.0,-1.0,12.0,35145.0,359399.0,10.226177265613885,270.85100681971846,1
<com.j256.ormlite.field.DataType: void <clinit>()>,0,<com.j256.ormlite.field.types.DateLongType: com.j256.ormlite.field.types.DateLongType getSingleton()>,1.0,1.0,8.0,6.0,2.0,1.0,68.0,1.0,1.0,-1.0,68.0,35145.0,359399.0,10.226177265613885,270.85100681971846,8.0,6.0,2.0,1.0,68.0,1.0,1.0,-1.0,68.0,35145.0,359399.0,10.226177265613885,270.85100681971846,1
<com.google.android.gms.tagmanager.zzdi: void zzdj(java.lang.String)>,0,<com.google.android.gms.tagmanager.zzba: void zzdj(java.lang.String)>,1.0,1.0,6.0,4.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,35145.0,359399.0,10.226177265613885,270.85100681971846,6.0,4.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,35145.0,359399.0,10.226177265613885,270.85100681971846,0
<o4.l: org.json.JSONObject c(o4.w)>,0,<m4.d: java.lang.String C(java.lang.String)>,1.0,1.0,13.0,1.0,2.0,6.0,13.0,1.0,1.0,-1.0,13.0,35145.0,359399.0,10.226177265613885,270.85100681971846,13.0,1.0,2.0,6.0,13.0,1.0,1.0,-1.0,13.0,35145.0,359399.0,10.226177265613885,270.85100681971846,1
"<n4.c: void <init>(android.content.Context,java.lang.String)>",0,"<g4.d: android.content.SharedPreferences getSharedPreferences(java.lang.String,int)>",1.0,1.0,11.0,2.0,4.0,15.0,4.0,1.0,1.0,-1.0,4.0,35145.0,359399.0,10.226177265613885,270.85100681971846,11.0,2.0,4.0,15.0,4.0,1.0,1.0,-1.0,4.0,35145.0,359399.0,10.226177265613885,270.85100681971846,0
<n2.a: void <init>()>,0,<o2.a: void <init>()>,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,-1.0,4.0,35145.0,359399.0,10.226177265613885,270.85100681971846,3.0,1.0,1.0,1.0,4.0,1.0,1.0,-1.0,4.0,35145.0,359399.0,10.226177265613885,270.85100681971846,1
<androidx.fragment.app.d0: androidx.fragment.app.d0$e i(androidx.fragment.app.Fragment)>,0,<androidx.fragment.app.Fragment: boolean equals(java.lang.Object)>,1.0,1.0,10.0,1.0,1.0,70.0,73.0,1.0,1.0,-1.0,73.0,35145.0,359399.0,10.226177265613885,270.85100681971846,10.0,1.0,1.0,70.0,73.0,1.0,1.0,-1.0,73.0,35145.0,359399.0,10.226177265613885,270.85100681971846,0
"<org.springframework.http.MediaType: void appendTo(java.util.Map,java.lang.StringBuilder)>",0,<a0.b$e: boolean hasNext()>,1.0,1.0,8.0,1.0,0.0,616.0,137.0,1.0,1.0,-1.0,137.0,35145.0,359399.0,10.226177265613885,270.85100681971846,8.0,1.0,0.0,616.0,137.0,1.0,1.0,-1.0,137.0,35145.0,359399.0,10.226177265613885,270.85100681971846,0
<p3.a: p3.b b(java.lang.Class)>,0,<androidx.collection.g: java.lang.Object get(java.lang.Object)>,1.0,1.0,7.0,3.0,2.0,310.0,146.0,1.0,1.0,-1.0,146.0,35145.0,359399.0,10.226177265613885,270.85100681971846,7.0,3.0,2.0,310.0,146.0,1.0,1.0,-1.0,146.0,35145.0,359399.0,10.226177265613885,270.85100681971846,0
<com.google.android.gms.internal.measurement.zzrs: com.google.android.gms.internal.measurement.zzrw zza(com.google.android.gms.internal.measurement.zzl)>,0,"<com.google.android.gms.internal.measurement.zzrs: com.google.android.gms.internal.measurement.zzp zza(int,com.google.android.gms.internal.measurement.zzl,com.google.android.gms.internal.measurement.zzp[],java.util.Set)>",1.0,1.0,8.0,2.0,64.0,2.0,28.0,1.0,1.0,-1.0,28.0,35145.0,359399.0,10.226177265613885,270.85100681971846,8.0,2.0,64.0,2.0,28.0,1.0,1.0,-1.0,28.0,35145.0,359399.0,10.226177265613885,270.85100681971846,1
<org.springframework.web.util.UriComponentsBuilder: org.springframework.web.util.UriComponents build()>,0,<org.springframework.web.util.UriComponentsBuilder: org.springframework.web.util.UriComponents build(boolean)>,1.0,1.0,12.0,1.0,6.0,1.0,1.0,1.0,1.0,-1.0,1.0,35145.0,359399.0,10.226177265613885,270.85100681971846,12.0,1.0,6.0,1.0,1.0,1.0,1.0,-1.0,1.0,35145.0,359399.0,10.226177265613885,270.85100681971846,1
"<androidx.core.view.x: void c0(android.view.View,java.lang.Runnable)>",0,<com.google.android.gms.tagmanager.zzav: void run()>,1.0,1.0,5.0,15.0,3.0,64.0,224.0,1.0,1.0,-1.0,224.0,35145.0,359399.0,10.226177265613885,270.85100681971846,5.0,15.0,3.0,64.0,224.0,1.0,1.0,-1.0,224.0,35145.0,359399.0,10.226177265613885,270.85100681971846,0
<q2.k: void U(java.lang.String)>,0,"<q2.d: void <init>(java.io.File,java.lang.String)>",1.0,1.0,9.0,1.0,8.0,8.0,13.0,1.0,1.0,-1.0,13.0,35145.0,359399.0,10.226177265613885,270.85100681971846,9.0,1.0,8.0,8.0,13.0,1.0,1.0,-1.0,13.0,35145.0,359399.0,10.226177265613885,270.85100681971846,1
<com.octo.android.robospice.b: void <init>(java.lang.Class)>,0,"<com.octo.android.robospice.b$c: void <init>(com.octo.android.robospice.b,com.octo.android.robospice.a)>",1.0,1.0,4.0,1.0,1.0,1.0,10.0,1.0,1.0,-1.0,10.0,35145.0,359399.0,10.226177265613885,270.85100681971846,4.0,1.0,1.0,1.0,10.0,1.0,1.0,-1.0,10.0,35145.0,359399.0,10.226177265613885,270.85100681971846,1
<i4.n$a$a: void a()>,0,<androidx.appcompat.app.h$b: void run()>,1.0,1.0,5.0,1.0,1.0,63.0,220.0,1.0,1.0,-1.0,220.0,35145.0,359399.0,10.226177265613885,270.85100681971846,5.0,1.0,1.0,63.0,220.0,1.0,1.0,-1.0,220.0,35145.0,359399.0,10.226177265613885,270.85100681971846,0
<q2.u: q2.b b()>,0,<g4.c: void <clinit>()>,1.0,1.0,10.0,1.0,1.0,125.0,10.0,1.0,1.0,-1.0,10.0,35145.0,359399.0,10.226177265613885,270.85100681971846,10.0,1.0,1.0,125.0,10.0,1.0,1.0,-1.0,10.0,35145.0,359399.0,10.226177265613885,270.85100681971846,0
"<q2.a0: void a(java.io.File,java.io.FilenameFilter,int,java.util.Comparator)>",0,"<q2.d$a: boolean accept(java.io.File,java.lang.String)>",1.0,1.0,8.0,2.0,1.0,7.0,26.0,1.0,1.0,-1.0,26.0,35145.0,359399.0,10.226177265613885,270.85100681971846,8.0,2.0,1.0,7.0,26.0,1.0,1.0,-1.0,26.0,35145.0,359399.0,10.226177265613885,270.85100681971846,0
