method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<org.apache.cordova.whitelist.WhitelistPlugin: void pluginInitialize()>,0,<org.apache.cordova.Whitelist: void <init>()>,1,1,7,1,2,1,5,1,1,1,5,5099.0,26665.0,5.229456756226711,124.8330395649728,7,1,2,1,5,1,1,1,5,5099.0,26665.0,5.229456756226711,124.8330395649728,0
<org.apache.cordova.Whitelist: boolean isUrlWhiteListed(java.lang.String)>,0,<org.apache.cordova.Whitelist$URLPattern: boolean matches(android.net.Uri)>,1,1,7,2,11,1,14,1,1,1,14,5099.0,26665.0,5.229456756226711,124.8330395649728,7,2,11,1,14,1,1,1,14,5099.0,26665.0,5.229456756226711,124.8330395649728,0
"<org.apache.cordova.PluginManager: java.lang.Object postMessage(java.lang.String,java.lang.Object)>",0,"<org.apache.cordova.CordovaActivity$1: java.lang.Object onMessage(java.lang.String,java.lang.Object)>",1,1,4,3,1,1,50,1,1,3,50,5099.0,26665.0,5.229456756226711,124.8330395649728,4,3,1,1,50,1,1,3,50,5099.0,26665.0,5.229456756226711,124.8330395649728,0
<org.apache.cordova.CordovaActivity: void init()>,0,<org.apache.cordova.CordovaWebViewImpl: org.apache.cordova.PluginManager getPluginManager()>,1,1,4,1,0,2,11,1,1,1,11,5099.0,26665.0,5.229456756226711,124.8330395649728,4,1,0,2,11,1,1,1,11,5099.0,26665.0,5.229456756226711,124.8330395649728,0
<org.apache.cordova.CordovaActivity: void loadUrl(java.lang.String)>,0,"<org.apache.cordova.CordovaPreferences: boolean getBoolean(java.lang.String,boolean)>",1,1,3,1,6,4,3,1,1,1,3,5099.0,26665.0,5.229456756226711,124.8330395649728,3,1,6,4,3,1,1,1,3,5099.0,26665.0,5.229456756226711,124.8330395649728,0
"<org.apache.cordova.CordovaPlugin: void privateInitialize(java.lang.String,org.apache.cordova.CordovaInterface,org.apache.cordova.CordovaWebView,org.apache.cordova.CordovaPreferences)>",0,"<org.apache.cordova.CordovaPlugin: void initialize(org.apache.cordova.CordovaInterface,org.apache.cordova.CordovaWebView)>",1,1,6,2,0,2,7,1,1,2,7,5099.0,26665.0,5.229456756226711,124.8330395649728,6,2,0,2,7,1,1,2,7,5099.0,26665.0,5.229456756226711,124.8330395649728,0
<org.apache.cordova.CordovaActivity: void onPause()>,0,<org.apache.cordova.CordovaWebViewImpl: void handlePause(boolean)>,1,1,2,1,4,1,6,1,1,1,6,5099.0,26665.0,5.229456756226711,124.8330395649728,2,1,4,1,6,1,1,1,6,5099.0,26665.0,5.229456756226711,124.8330395649728,0
<org.apache.cordova.PluginManager: void setPluginEntries(java.util.Collection)>,0,<org.apache.cordova.PluginManager: void startupPlugins()>,1,1,7,1,47,2,36,1,1,1,36,5099.0,26665.0,5.229456756226711,124.8330395649728,7,1,47,2,36,1,1,1,36,5099.0,26665.0,5.229456756226711,124.8330395649728,0
<org.apache.cordova.CordovaWebViewImpl: void handleDestroy()>,0,<org.apache.cordova.PluginManager: void onDestroy()>,1,1,3,1,35,3,5,1,1,1,5,5099.0,26665.0,5.229456756226711,124.8330395649728,3,1,35,3,5,1,1,1,5,5099.0,26665.0,5.229456756226711,124.8330395649728,0
"<org.apache.cordova.engine.SystemWebView: void init(org.apache.cordova.engine.SystemWebViewEngine,org.apache.cordova.CordovaInterface)>",0,<org.apache.cordova.engine.SystemWebChromeClient: void <init>(org.apache.cordova.engine.SystemWebViewEngine)>,1,1,7,1,3,1,4,1,1,1,4,5099.0,26665.0,5.229456756226711,124.8330395649728,7,1,3,1,4,1,1,1,4,5099.0,26665.0,5.229456756226711,124.8330395649728,0
<org.apache.cordova.CordovaWebViewImpl: void handleResume(boolean)>,0,<org.apache.cordova.PluginManager: void onResume(boolean)>,1,1,3,1,35,1,4,1,1,1,4,5099.0,26665.0,5.229456756226711,124.8330395649728,3,1,35,1,4,1,1,1,4,5099.0,26665.0,5.229456756226711,124.8330395649728,0
<org.apache.cordova.CordovaActivity: void init()>,0,<org.apache.cordova.CordovaWebViewImpl: boolean isInitialized()>,1,1,4,1,0,6,11,1,1,1,11,5099.0,26665.0,5.229456756226711,124.8330395649728,4,1,0,6,11,1,1,1,11,5099.0,26665.0,5.229456756226711,124.8330395649728,0
<org.apache.cordova.engine.SystemWebChromeClient: void <init>(org.apache.cordova.engine.SystemWebViewEngine)>,0,<org.apache.cordova.CordovaDialogsHelper: void <init>(android.content.Context)>,1,1,8,1,1,1,3,1,1,1,3,5099.0,26665.0,5.229456756226711,124.8330395649728,8,1,1,1,3,1,1,1,3,5099.0,26665.0,5.229456756226711,124.8330395649728,0
<org.apache.cordova.CordovaActivity: void loadConfig()>,0,<org.apache.cordova.CordovaPreferences: void setPreferencesBundle(android.os.Bundle)>,1,1,4,1,0,1,10,1,1,1,10,5099.0,26665.0,5.229456756226711,124.8330395649728,4,1,0,1,10,1,1,1,10,5099.0,26665.0,5.229456756226711,124.8330395649728,0
<org.apache.cordova.CordovaActivity: void loadConfig()>,0,<org.apache.cordova.ConfigXmlParser: void parse(android.content.Context)>,1,1,4,1,12,2,10,1,1,1,10,5099.0,26665.0,5.229456756226711,124.8330395649728,4,1,12,2,10,1,1,1,10,5099.0,26665.0,5.229456756226711,124.8330395649728,0
"<org.apache.cordova.Whitelist$URLPattern: void <init>(java.lang.String,java.lang.String,java.lang.String,java.lang.String)>",0,"<org.apache.cordova.Whitelist$URLPattern: java.lang.String regexFromPattern(java.lang.String,boolean)>",1,1,9,1,7,1,14,1,1,1,14,5099.0,26665.0,5.229456756226711,124.8330395649728,9,1,7,1,14,1,1,1,14,5099.0,26665.0,5.229456756226711,124.8330395649728,0
"<org.apache.cordova.CordovaPlugin: void privateInitialize(java.lang.String,org.apache.cordova.CordovaInterface,org.apache.cordova.CordovaWebView,org.apache.cordova.CordovaPreferences)>",0,<org.apache.cordova.whitelist.WhitelistPlugin: void pluginInitialize()>,1,1,6,2,5,1,7,1,1,2,7,5099.0,26665.0,5.229456756226711,124.8330395649728,6,2,5,1,7,1,1,2,7,5099.0,26665.0,5.229456756226711,124.8330395649728,0
<org.apache.cordova.CordovaPreferences: boolean contains(java.lang.String)>,0,"<org.apache.cordova.CordovaPreferences: java.lang.String getString(java.lang.String,java.lang.String)>",1,1,6,1,4,8,1,1,1,1,1,5099.0,26665.0,5.229456756226711,124.8330395649728,6,1,4,8,1,1,1,1,1,5099.0,26665.0,5.229456756226711,124.8330395649728,0
<org.apache.cordova.CordovaWebViewImpl: void <init>(org.apache.cordova.CordovaWebViewEngine)>,0,<org.apache.cordova.CordovaWebViewImpl$EngineClient: void <init>(org.apache.cordova.CordovaWebViewImpl)>,1,1,6,1,1,1,3,1,1,1,3,5099.0,26665.0,5.229456756226711,124.8330395649728,6,1,1,1,3,1,1,1,3,5099.0,26665.0,5.229456756226711,124.8330395649728,0
<org.apache.cordova.CordovaWebViewImpl$2: void run()>,0,<org.apache.cordova.CordovaWebViewImpl: org.apache.cordova.CordovaInterface access$200(org.apache.cordova.CordovaWebViewImpl)>,1,1,3,19,0,3,150,1,1,3,150,5099.0,26665.0,5.229456756226711,124.8330395649728,3,19,0,3,150,1,1,3,150,5099.0,26665.0,5.229456756226711,124.8330395649728,0
<org.apache.cordova.whitelist.WhitelistPlugin$CustomConfigXmlParser: void handleStartTag(org.xmlpull.v1.XmlPullParser)>,0,<org.apache.cordova.whitelist.WhitelistPlugin: org.apache.cordova.Whitelist access$200(org.apache.cordova.whitelist.WhitelistPlugin)>,1,1,7,1,0,1,9,1,1,1,9,5099.0,26665.0,5.229456756226711,124.8330395649728,7,1,0,1,9,1,1,1,9,5099.0,26665.0,5.229456756226711,124.8330395649728,0
<org.apache.cordova.CordovaActivity: void onStop()>,0,<org.apache.cordova.CordovaWebViewImpl: void handleStop()>,1,1,2,1,2,1,6,1,1,1,6,5099.0,26665.0,5.229456756226711,124.8330395649728,2,1,2,1,6,1,1,1,6,5099.0,26665.0,5.229456756226711,124.8330395649728,0
