method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.google.firebase.installations.FirebaseInstallations: com.google.firebase.installations.local.PersistedInstallationEntry getPrefsWithGeneratedIdMultiProcessSafe()>,0,<com.google.firebase.installations.local.PersistedInstallation: com.google.firebase.installations.local.PersistedInstallationEntry insertOrUpdatePersistedInstallationEntry(com.google.firebase.installations.local.PersistedInstallationEntry)>,1.0,1.0,7.0,1.0,26.0,2.0,9.0,1.0,1.0,-1.0,9.0,23585.0,175774.0,7.452787788848845,150.21863301739734,7.0,1.0,26.0,2.0,9.0,1.0,1.0,-1.0,9.0,23585.0,175774.0,7.452787788848845,150.21863301739734,1
"<com.google.firebase.installations.FirebaseInstallations: void <init>(java.util.concurrent.ExecutorService,com.google.firebase.FirebaseApp,com.google.firebase.installations.remote.FirebaseInstallationServiceClient,com.google.firebase.installations.local.PersistedInstallation,com.google.firebase.installations.Utils,com.google.firebase.installations.local.IidStore,com.google.firebase.installations.RandomFidGenerator)>",0,<com.google.firebase.installations.FirebaseInstallations: void <clinit>()>,1.0,1.0,12.0,1.0,2.0,10.0,7.0,1.0,1.0,-1.0,7.0,23585.0,175774.0,7.452787788848845,150.21863301739734,12.0,1.0,2.0,10.0,7.0,1.0,1.0,-1.0,7.0,23585.0,175774.0,7.452787788848845,150.21863301739734,0
"<androidx.collection.SimpleArrayMap: int indexOf(java.lang.Object,int)>",0,"<androidx.collection.SimpleArrayMap: int binarySearchHashes(int[],int,int)>",1.0,1.0,5.0,2.0,3.0,2.0,429.0,1.0,1.0,-1.0,429.0,23585.0,175774.0,7.452787788848845,150.21863301739734,5.0,2.0,3.0,2.0,429.0,1.0,1.0,-1.0,429.0,23585.0,175774.0,7.452787788848845,150.21863301739734,1
<com.google.firebase.crashlytics.internal.model.AutoCrashlyticsReportEncoder$CrashlyticsReportSessionEventApplicationExecutionThreadFrameEncoder: void <clinit>()>,0,<com.google.firebase.encoders.FieldDescriptor: com.google.firebase.encoders.FieldDescriptor of(java.lang.String)>,1.0,1.0,11.0,2.0,3.0,26.0,2.0,1.0,1.0,-1.0,2.0,23585.0,175774.0,7.452787788848845,150.21863301739734,11.0,2.0,3.0,26.0,2.0,1.0,1.0,-1.0,2.0,23585.0,175774.0,7.452787788848845,150.21863301739734,1
"<androidx.fragment.app.FragmentManagerImpl: void moveToState(int,boolean)>",0,<androidx.arch.core.internal.SafeIterableMap$IteratorWithAdditions: boolean hasNext()>,1.0,1.0,6.0,5.0,0.0,476.0,69.0,1.0,1.0,-1.0,69.0,23585.0,175774.0,7.452787788848845,150.21863301739734,6.0,5.0,0.0,476.0,69.0,1.0,1.0,-1.0,69.0,23585.0,175774.0,7.452787788848845,150.21863301739734,0
"<androidx.core.content.FileProvider: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",0,<androidx.core.content.FileProvider: void <clinit>()>,1.0,1.0,2.0,1.0,4.0,11.0,4.0,1.0,1.0,-1.0,4.0,23585.0,175774.0,7.452787788848845,150.21863301739734,2.0,1.0,4.0,11.0,4.0,1.0,1.0,-1.0,4.0,23585.0,175774.0,7.452787788848845,150.21863301739734,0
<com.google.android.datatransport.runtime.scheduling.jobscheduling.Uploader_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.Uploader get()>,0,<com.google.android.datatransport.runtime.time.TimeModule_EventClockFactory: com.google.android.datatransport.runtime.time.Clock get()>,1.0,1.0,10.0,17.0,1.0,17.0,25.0,1.0,1.0,-1.0,25.0,23585.0,175774.0,7.452787788848845,150.21863301739734,10.0,17.0,1.0,17.0,25.0,1.0,1.0,-1.0,25.0,23585.0,175774.0,7.452787788848845,150.21863301739734,0
"<edu.gmu.ttaconline.atcguide.ui.TaskPart4ScreenAdapter: void <init>(edu.gmu.ttaconline.atcguide.Area,edu.gmu.ttaconline.atcguide.ui.AreaTaskTrialPart4Activity$OnATDeviceClickListener,edu.gmu.ttaconline.atcguide.AT,android.content.Context)>",0,<edu.gmu.ttaconline.atcguide.ui.TaskPart4ScreenAdapter: java.util.ArrayList getNonWorkingSolutionTasks(java.util.ArrayList)>,1.0,1.0,15.0,1.0,49.0,1.0,5.0,1.0,1.0,-1.0,5.0,23585.0,175774.0,7.452787788848845,150.21863301739734,15.0,1.0,49.0,1.0,5.0,1.0,1.0,-1.0,5.0,23585.0,175774.0,7.452787788848845,150.21863301739734,1
<com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer get()>,0,<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore_Factory: com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore get()>,1.0,1.0,10.0,17.0,25.0,17.0,25.0,1.0,1.0,-1.0,25.0,23585.0,175774.0,7.452787788848845,150.21863301739734,10.0,17.0,25.0,17.0,25.0,1.0,1.0,-1.0,25.0,23585.0,175774.0,7.452787788848845,150.21863301739734,0
<com.google.android.datatransport.runtime.backends.CreationContextFactory_Factory: com.google.android.datatransport.runtime.backends.CreationContextFactory get()>,0,<com.google.android.datatransport.runtime.scheduling.persistence.EventStoreModule_StoreConfigFactory: com.google.android.datatransport.runtime.scheduling.persistence.EventStoreConfig get()>,1.0,1.0,10.0,17.0,1.0,17.0,25.0,1.0,1.0,-1.0,25.0,23585.0,175774.0,7.452787788848845,150.21863301739734,10.0,17.0,1.0,17.0,25.0,1.0,1.0,-1.0,25.0,23585.0,175774.0,7.452787788848845,150.21863301739734,0
<com.google.firebase.FirebaseApp: java.lang.String getName()>,0,<com.google.firebase.FirebaseApp: void checkNotDeleted()>,1.0,1.0,7.0,5.0,2.0,4.0,1.0,1.0,1.0,-1.0,1.0,23585.0,175774.0,7.452787788848845,150.21863301739734,7.0,5.0,2.0,4.0,1.0,1.0,1.0,-1.0,1.0,23585.0,175774.0,7.452787788848845,150.21863301739734,1
<com.google.firebase.crashlytics.internal.common.CrashlyticsController: void doOpenSession()>,0,<com.google.firebase.crashlytics.internal.common.CrashlyticsController: long getCurrentTimestampSeconds()>,1.0,1.0,7.0,1.0,3.0,2.0,18.0,1.0,1.0,-1.0,18.0,23585.0,175774.0,7.452787788848845,150.21863301739734,7.0,1.0,3.0,2.0,18.0,1.0,1.0,-1.0,18.0,23585.0,175774.0,7.452787788848845,150.21863301739734,1
